date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,10.41,10.48,10.31,10.29,16258.01,-0.09,-0.86,10.432,10.509,10.545,15960.74,15570.8,13905.8,0.47
2018-01-11,10.27,10.45,10.4,10.25,14765.23,0.09,0.87,10.514,10.518,10.583,16729.93,15223.98,13949.45,0.43
2018-01-10,10.5,10.5,10.31,10.25,18251.23,-0.2,-1.9,10.552,10.509,10.615,16591.51,14947.46,13985.19,0.53
2018-01-09,10.63,10.63,10.51,10.46,15229.1,-0.12,-1.13,10.612,10.514,10.638,17334.44,14442.05,13671.98,0.44
2018-01-08,10.68,10.72,10.63,10.53,15300.11,-0.09,-0.84,10.614,10.493,10.664,16568.32,14433.25,13539.0,0.45
2018-01-05,10.58,10.75,10.72,10.55,20104.0,0.13,1.23,10.586,10.488,10.676,15180.86,13751.57,13513.69,0.59
2018-01-04,10.57,10.63,10.59,10.52,14073.13,-0.02,-0.19,10.522,10.479,10.679,13718.03,13102.99,13198.43,0.41
2018-01-03,10.55,10.62,10.61,10.44,21965.87,0.09,0.86,10.466,10.48,10.694,13303.4,12988.84,13708.85,0.64
2018-01-02,10.49,10.58,10.52,10.44,11398.5,0.03,0.29,10.416,10.506,10.71,11549.66,11604.61,13547.8,0.33
2017-12-29,10.42,10.49,10.49,10.35,8362.8,0.09,0.86,10.372,10.542,10.744,12298.18,11820.57,13699.58,0.24
2017-12-28,10.35,10.48,10.4,10.3,12789.83,0.09,0.87,10.39,10.581,10.794,12322.27,12240.8,13880.84,0.37
2017-12-27,10.33,10.37,10.31,10.27,11999.99,-0.05,-0.48,10.436,10.648,10.844,12487.94,12674.92,13880.65,0.35
2017-12-26,10.29,10.4,10.36,10.22,13197.17,0.06,0.58,10.494,10.72,10.896,12674.28,13022.92,14039.45,0.38
2017-12-25,10.55,10.67,10.3,10.28,15141.1,-0.28,-2.65,10.596,10.761,10.951,11659.57,12901.91,13949.7,0.44
2017-12-22,10.63,10.7,10.58,10.54,8483.28,-0.05,-0.47,10.712,10.834,11.004,11342.96,12644.74,13827.94,0.25
2017-12-21,10.63,10.71,10.63,10.42,13618.18,0.03,0.28,10.772,10.864,11.046,12159.33,13275.82,13993.73,0.4
2017-12-20,10.88,10.88,10.6,10.58,12931.69,-0.27,-2.48,10.86,10.878,11.087,12861.9,13293.87,14615.18,0.38
2017-12-19,10.81,10.96,10.87,10.81,8123.58,-0.01,-0.09,10.946,10.907,11.151,13371.56,14428.85,14878.06,0.24
2017-12-18,10.96,11.04,10.88,10.82,13558.09,0.0,0.0,10.926,10.914,11.205,14144.25,15491.0,15528.44,0.39
2017-12-15,11.05,11.1,10.88,10.85,12565.13,-0.19,-1.72,10.956,10.946,11.257,13946.52,15578.59,16149.64,0.37
2017-12-14,11.0,11.21,11.07,10.98,17131.0,0.04,0.36,10.956,11.007,11.311,14392.3,15520.87,17319.28,0.5
2017-12-13,10.88,11.06,11.03,10.84,15480.0,0.26,2.41,10.896,11.039,11.379,13725.83,15086.37,17326.63,0.45
2017-12-12,11.0,11.0,10.77,10.73,11987.01,-0.26,-2.36,10.868,11.071,11.444,15486.14,15055.99,18075.88,0.35
2017-12-11,10.88,11.1,11.03,10.85,12569.44,0.15,1.38,10.902,11.141,11.541,16837.74,14997.49,18960.41,0.37
2017-12-08,10.8,10.94,10.88,10.6,14794.04,0.11,1.02,10.936,11.173,11.629,17210.66,15011.15,20287.05,0.43
2017-12-07,10.86,10.86,10.77,10.7,13798.68,-0.12,-1.1,11.058,11.228,11.743,16649.45,14711.64,22082.87,0.4
2017-12-06,10.91,10.95,10.89,10.57,24281.55,-0.05,-0.46,11.182,11.296,11.868,16446.91,15936.48,26161.48,0.71
2017-12-05,11.19,11.4,10.94,10.9,18745.01,-0.26,-2.32,11.274,11.395,11.976,14625.83,15327.26,28274.51,0.55
2017-12-04,11.41,11.47,11.2,11.18,14434.01,-0.29,-2.52,11.38,11.495,12.061,13157.23,15565.89,29274.17,0.42
2017-12-01,11.39,11.5,11.49,11.36,11988.0,0.1,0.88,11.41,11.567,12.108,12811.63,16720.69,29908.83,0.35
2017-11-30,11.39,11.45,11.39,11.28,12786.0,0.04,0.35,11.398,11.614,12.151,12773.83,19117.69,31290.69,0.37
2017-11-29,11.5,11.5,11.35,11.25,15176.13,-0.12,-1.05,11.41,11.718,12.186,15426.06,19566.88,31812.61,0.44
2017-11-28,11.35,11.51,11.47,11.3,11402.03,0.12,1.06,11.516,11.817,12.238,16028.69,21095.78,31783.15,0.33
2017-11-27,11.5,11.54,11.35,11.35,12706.01,-0.08,-0.7,11.61,11.941,12.288,17974.54,22923.33,32038.5,0.37
2017-11-24,11.4,11.57,11.43,11.33,11799.0,-0.02,-0.17,11.724,12.085,12.345,20629.74,25562.96,32714.21,0.34
2017-11-23,11.89,11.94,11.45,11.42,26047.11,-0.43,-3.62,11.83,12.258,12.415,25461.54,29454.1,33141.98,0.76
2017-11-22,11.91,12.01,11.88,11.8,18189.29,-0.06,-0.5,12.026,12.44,12.495,23707.71,36386.47,32620.93,0.53
2017-11-21,11.88,12.05,11.94,11.85,21131.28,0.02,0.17,12.118,12.557,12.55,26162.88,41221.77,32418.84,0.62
2017-11-20,11.95,11.99,11.92,11.63,25982.0,-0.04,-0.33,12.272,12.626,12.599,27872.12,42982.45,32399.41,0.76
2017-11-17,12.43,12.48,11.96,11.9,35958.0,-0.47,-3.78,12.446,12.649,12.66,30496.18,43096.98,31879.5,1.05
2017-11-16,12.3,12.6,12.43,12.23,17277.99,0.09,0.73,12.686,12.687,12.72,33446.67,43463.7,31327.57,0.5
2017-11-15,12.63,12.71,12.34,12.3,30465.11,-0.37,-2.91,12.854,12.654,12.736,49065.23,44058.35,32106.47,0.89
2017-11-14,12.76,12.95,12.71,12.64,29677.5,-0.08,-0.62,12.996,12.658,12.776,56280.66,42470.52,31635.36,0.86
2017-11-13,13.1,13.19,12.79,12.79,39102.29,-0.37,-2.81,12.98,12.635,12.806,58092.79,41153.67,30959.07,1.14
2017-11-10,13.09,13.35,13.16,13.02,50710.44,-0.11,-0.83,12.852,12.605,12.832,55697.78,39865.46,30655.36,1.48
2017-11-09,13.51,13.8,13.27,13.16,95370.82,0.22,1.69,12.688,12.571,12.861,53480.74,36829.87,29335.74,2.78
2017-11-08,12.55,13.06,13.05,12.46,66542.24,0.42,3.33,12.454,12.549,12.889,39051.46,28855.38,26344.51,1.94
2017-11-07,12.17,12.76,12.63,12.17,38738.14,0.48,3.95,12.32,12.543,12.939,28660.38,23615.92,25795.32,1.13
2017-11-06,12.2,12.3,12.15,11.99,27127.28,-0.19,-1.54,12.29,12.571,13.001,24214.55,21816.37,25171.89,0.79
2017-11-03,12.8,12.96,12.34,12.27,39625.21,0.24,1.98,12.358,12.67,13.081,24033.14,20662.02,26125.63,1.15
2017-11-02,12.36,12.45,12.1,12.05,23224.42,-0.28,-2.26,12.454,12.752,13.153,20178.99,19191.44,26709.84,0.68
2017-11-01,12.48,12.57,12.38,12.35,14586.85,-0.1,-0.8,12.644,12.818,13.229,18659.31,20154.59,30770.56,0.42
2017-10-31,12.3,12.56,12.48,12.3,16509.0,-0.01,-0.08,12.766,12.894,13.285,18571.46,20800.21,31426.58,0.48
2017-10-30,12.81,12.83,12.49,11.99,26220.23,-0.33,-2.57,12.852,12.976,13.315,19418.18,20764.48,31667.59,0.76
2017-10-27,13.0,13.07,12.82,12.75,20354.47,-0.23,-1.76,12.982,13.058,13.346,17290.9,21445.27,31188.59,0.59
2017-10-26,13.0,13.09,13.05,12.93,15626.0,0.06,0.46,13.05,13.151,13.366,18203.88,21841.62,31631.55,0.45
2017-10-25,12.98,13.01,12.99,12.87,14147.6,0.08,0.62,12.992,13.229,13.391,21649.87,23833.64,32542.2,0.41
2017-10-24,13.14,13.19,12.91,12.83,20742.59,-0.23,-1.75,13.022,13.334,13.415,23028.95,27974.72,32895.32,0.6
2017-10-23,13.11,13.22,13.14,13.01,15583.84,-0.02,-0.15,13.1,13.43,13.439,22110.77,28527.42,33267.24,0.45
2017-10-20,12.8,13.47,13.16,12.75,24919.36,0.4,3.13,13.134,13.492,13.467,25599.63,31589.24,33810.28,0.73
2017-10-19,13.15,13.2,12.76,12.66,32855.97,-0.38,-2.89,13.252,13.553,13.488,25479.36,34228.24,33749.82,0.96
2017-10-18,13.36,13.46,13.14,13.14,21043.0,-0.16,-1.2,13.466,13.639,13.537,26017.41,41386.53,33781.62,0.61
2017-10-17,13.3,13.4,13.3,13.27,16151.7,-0.01,-0.07,13.646,13.675,13.578,32920.48,42052.96,34164.23,0.47
2017-10-16,13.82,13.85,13.31,13.31,33028.12,-0.44,-3.2,13.76,13.654,13.603,34944.06,42570.71,35190.64,0.96
2017-10-13,13.88,13.88,13.75,13.68,24318.01,-0.08,-0.58,13.85,13.634,13.626,37578.84,40931.91,34902.92,0.71
2017-10-12,13.86,14.14,13.83,13.68,35546.23,-0.21,-1.5,13.854,13.581,13.621,42977.11,41421.49,35177.65,1.03
2017-10-11,13.78,14.3,14.04,13.78,55558.33,0.17,1.23,13.812,13.552,13.608,56755.65,41250.76,35886.76,1.62
2017-10-10,13.65,13.93,13.87,13.65,26269.61,0.11,0.8,13.704,13.496,13.595,51185.45,37815.93,37026.83,0.76
2017-10-09,13.83,13.93,13.76,13.7,46202.03,-0.01,-0.07,13.548,13.447,13.592,50197.35,38007.07,37427.39,1.35
2017-09-29,13.51,13.88,13.77,13.31,51309.36,0.15,1.1,13.418,13.442,13.601,44284.97,36031.32,37739.81,1.49
2017-09-28,14.1,14.5,13.62,13.62,104438.9,0.12,0.89,13.308,13.423,13.588,39865.86,33271.4,37245.05,3.04
2017-09-27,13.1,13.5,13.5,13.04,27707.34,0.41,3.13,13.292,13.435,13.578,25745.88,26176.71,33919.57,0.81
2017-09-26,13.11,13.21,13.09,12.88,21329.14,-0.02,-0.15,13.288,13.48,13.577,24446.4,26275.49,36070.13,0.62
2017-09-25,13.27,13.43,13.11,13.11,16640.13,-0.11,-0.83,13.346,13.552,13.574,25816.78,27810.57,36355.04,0.48
2017-09-22,13.54,13.54,13.22,13.19,29213.8,-0.32,-2.36,13.466,13.617,13.572,27777.66,28873.94,37468.48,0.85
2017-09-21,13.52,13.76,13.54,13.5,33838.97,0.06,0.45,13.538,13.66,13.557,26676.94,28933.81,37087.04,0.99
2017-09-20,13.36,13.53,13.48,13.35,21209.97,0.1,0.75,13.578,13.663,13.521,26607.54,30522.75,36646.44,0.62
2017-09-19,13.64,13.7,13.38,13.35,28181.02,-0.33,-2.41,13.672,13.693,13.503,28104.57,36237.74,36774.67,0.82
2017-09-18,13.6,13.71,13.71,13.48,26444.54,0.13,0.96,13.758,13.736,13.483,29804.36,36847.72,36932.87,0.77
2017-09-15,13.73,13.79,13.58,13.52,23710.18,-0.16,-1.16,13.768,13.76,13.446,29970.21,39448.3,36728.61,0.69
2017-09-14,13.96,14.02,13.74,13.66,33492.01,-0.21,-1.5,13.782,13.753,13.408,31190.69,41218.71,36827.01,0.98
2017-09-13,13.81,13.97,13.95,13.72,28695.12,0.14,1.01,13.748,13.721,13.374,34437.96,41662.44,36753.96,0.84
2017-09-12,13.65,13.95,13.81,13.65,36679.93,0.05,0.36,13.714,13.673,13.327,44370.9,45864.78,37480.8,1.07
2017-09-11,13.59,13.81,13.76,13.45,27273.81,0.11,0.81,13.714,13.596,13.287,43891.09,44899.5,38225.07,0.79
