date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,12.35,12.65,12.3,12.3,68919.65,-0.14,-1.12,12.196,12.12,12.463,64728.02,67298.03,79444.84,0.77
2018-01-11,12.02,12.65,12.44,11.85,104890.06,0.42,3.49,12.212,12.056,12.685,73016.9,65958.63,77688.58,1.18
2018-01-10,12.06,12.06,12.02,11.81,48778.55,-0.05,-0.41,12.148,11.979,12.908,65838.99,61123.58,74317.41,0.55
2018-01-09,12.2,12.2,12.07,12.02,41946.55,-0.08,-0.66,12.15,11.975,13.142,69766.43,61452.04,73096.14,0.47
2018-01-08,12.28,12.3,12.15,12.09,59105.28,-0.23,-1.86,12.124,11.952,13.378,72424.67,65903.74,72884.31,0.66
2018-01-05,12.09,12.88,12.38,12.07,110364.07,0.26,2.15,12.044,11.987,13.609,69868.04,66289.11,72670.62,1.24
2018-01-04,12.06,12.13,12.12,11.93,69000.49,0.09,0.75,11.9,12.023,13.824,58900.37,63866.5,68852.04,0.78
2018-01-03,11.98,12.06,12.03,11.87,68415.74,0.09,0.75,11.81,12.141,14.051,56408.16,63064.43,67423.75,0.77
2018-01-02,11.81,11.99,11.94,11.81,55237.77,0.19,1.62,11.8,12.268,14.264,53137.65,65308.3,66120.67,0.62
2017-12-29,11.7,11.78,11.75,11.63,46322.15,0.09,0.77,11.78,12.451,14.49,59382.82,73270.19,65495.13,0.52
2017-12-28,11.67,11.89,11.66,11.6,55525.68,-0.01,-0.09,11.93,12.806,14.743,62710.18,91591.66,65188.51,0.62
2017-12-27,12.08,12.08,11.67,11.55,56539.47,-0.31,-2.59,12.146,13.313,15.006,68832.63,89418.53,65037.32,0.64
2017-12-26,11.9,12.09,11.98,11.85,52063.2,0.14,1.18,12.472,13.836,15.277,69720.7,87511.25,66419.88,0.59
2017-12-25,12.47,12.47,11.84,11.83,86463.58,-0.66,-5.28,12.736,14.308,15.507,77478.94,84740.25,66423.25,0.97
2017-12-22,12.67,12.78,12.5,12.41,62958.95,-0.24,-1.88,13.122,14.803,15.75,87157.57,79864.89,66137.28,0.71
2017-12-21,13.31,13.35,12.74,12.55,86137.94,-0.56,-4.21,13.682,15.231,15.938,120473.14,79052.13,64524.26,0.97
2017-12-20,13.26,13.68,13.3,13.21,60979.82,0.0,0.0,14.48,15.625,16.112,110004.43,73837.59,61691.61,0.69
2017-12-19,13.42,13.55,13.3,13.08,90854.4,-0.47,-3.41,15.2,15.96,16.249,105301.8,71783.06,60289.63,1.02
2017-12-18,14.42,14.56,13.77,13.77,134856.75,-1.53,-10.0,15.88,16.26,16.401,92001.55,66933.05,57693.89,1.52
2017-12-15,17.5,17.74,15.3,15.18,229536.77,-1.43,-8.55,16.484,16.528,16.53,72572.2,57720.07,54529.37,2.58
2017-07-04,16.9,16.91,16.73,16.62,33794.4,-0.17,-1.01,16.78,16.68,16.587,37631.13,38785.37,45495.67,0.38
2017-07-03,16.69,16.96,16.9,16.6,37466.7,0.2,1.2,16.77,16.699,16.552,37670.75,40656.1,44977.24,0.42
2017-06-30,16.69,16.77,16.7,16.53,24353.15,-0.09,-0.54,16.72,16.717,16.505,38264.32,45328.51,44872.57,0.27
2017-06-29,16.77,16.93,16.79,16.6,37709.99,0.01,0.06,16.64,16.706,16.466,41864.54,48106.26,47929.95,0.43
2017-06-28,16.74,17.04,16.78,16.72,54831.39,0.1,0.6,16.572,16.697,16.469,42867.93,52409.68,50177.29,0.62
2017-06-27,16.65,16.81,16.68,16.6,33992.51,0.03,0.18,16.58,16.644,16.451,39939.6,49996.38,49339.67,0.38
2017-06-26,16.32,16.69,16.65,16.26,40434.57,0.35,2.15,16.628,16.599,16.443,43641.46,49545.63,50974.55,0.46
2017-06-23,16.45,16.46,16.3,16.04,42354.22,-0.15,-0.91,16.714,16.537,16.416,52392.69,48796.2,50617.82,0.48
2017-06-22,16.82,17.03,16.45,16.4,42726.96,-0.37,-2.2,16.772,16.542,16.405,54347.98,48454.74,50078.08,0.48
2017-06-21,16.99,17.03,16.82,16.66,40189.76,-0.1,-0.59,16.822,16.532,16.396,61951.42,51338.66,49749.23,0.45
2017-06-20,17.14,17.18,16.92,16.88,52501.79,-0.16,-0.94,16.708,16.494,16.391,60053.16,52205.98,49294.14,0.59
2017-06-19,16.69,17.17,17.08,16.69,84190.71,0.49,2.95,16.57,16.404,16.407,55449.8,49298.38,48234.06,0.95
2017-06-16,16.86,16.88,16.59,16.43,52130.66,-0.11,-0.66,16.36,16.293,16.414,45199.7,44416.63,45860.07,0.59
2017-06-15,16.26,16.89,16.7,16.25,80744.2,0.45,2.77,16.312,16.226,16.45,42561.5,47753.64,45713.16,0.91
2017-06-14,16.24,16.47,16.25,16.18,30698.43,0.02,0.12,16.242,16.24,16.478,40725.9,47944.9,44026.73,0.35
2017-06-13,16.05,16.34,16.23,16.05,29484.99,0.2,1.25,16.28,16.257,16.521,44358.8,48682.96,44467.46,0.33
2017-06-12,16.25,16.25,16.03,16.01,32940.24,-0.32,-1.96,16.238,16.286,16.554,43146.96,52403.47,44499.42,0.37
2017-06-09,16.21,16.45,16.35,16.16,38939.64,0.0,0.0,16.226,16.294,16.588,43633.56,52439.45,45323.43,0.44
2017-06-08,16.82,16.99,16.35,16.31,71566.22,-0.09,-0.55,16.14,16.268,16.631,52945.79,51701.42,45283.3,0.81
2017-06-07,16.05,16.45,16.44,15.96,48862.92,0.42,2.62,16.238,16.259,16.702,55163.89,48159.8,43562.32,0.55
2017-06-06,15.9,16.07,16.02,15.82,23425.8,0.05,0.31,16.234,16.288,16.783,53007.11,46382.31,42927.45,0.26
2017-06-05,15.93,16.05,15.97,15.67,35373.21,0.05,0.31,16.334,16.409,16.917,61659.98,47169.75,43680.41,0.4
2017-06-02,16.03,16.09,15.92,15.16,85500.78,-0.92,-5.46,16.362,16.534,17.062,61245.34,47303.5,45293.71,0.96
2017-06-01,16.39,16.95,16.84,16.13,82656.76,0.42,2.56,16.396,16.674,17.222,50457.06,43672.67,46124.08,0.93
2017-05-31,16.6,16.69,16.42,16.4,38079.02,-0.1,-0.6,16.28,16.716,17.276,41155.7,40108.57,42980.52,0.43
2017-05-26,16.52,17.25,16.52,16.5,66690.12,0.41,2.54,16.342,16.785,17.354,39757.5,40251.95,42363.89,0.75
2017-05-25,16.08,16.2,16.11,15.71,33300.03,0.02,0.12,16.484,16.821,17.42,32679.52,36595.37,41012.68,0.38
2017-05-24,15.95,16.2,16.09,15.57,31559.36,-0.17,-1.05,16.706,16.882,17.506,33361.66,38207.41,40603.3,0.36
2017-05-23,16.73,17.0,16.26,16.21,36149.99,-0.44,-2.63,16.952,16.994,17.583,36888.29,38865.18,40177.85,0.41
2017-05-22,17.2,17.25,16.73,16.66,31088.01,-0.5,-2.9,17.152,17.145,17.652,39061.43,38964.83,40309.56,0.35
2017-05-19,17.22,17.41,17.23,16.93,31300.21,0.01,0.06,17.228,17.278,17.74,40746.41,39472.58,39675.55,0.35
2017-05-18,17.07,17.5,17.22,16.93,36710.73,-0.1,-0.58,17.158,17.424,17.808,40511.21,40191.06,39230.34,0.41
2017-05-17,17.21,17.55,17.32,17.15,49192.49,0.06,0.35,17.058,17.59,17.879,43053.17,43283.91,39368.96,0.56
2017-05-16,16.98,17.26,17.26,16.5,47015.7,0.15,0.88,17.036,17.769,17.969,40842.08,48575.49,38447.0,0.53
2017-05-15,17.25,17.62,17.11,17.07,39512.9,0.23,1.36,17.138,17.836,18.086,38868.24,45852.47,37625.02,0.45
2017-05-12,16.7,17.16,16.88,16.6,30124.25,0.16,0.96,17.328,17.923,18.217,38198.76,44475.83,37414.24,0.34
2017-05-11,17.19,17.19,16.72,16.28,49420.5,-0.49,-2.85,17.69,18.019,18.385,39870.91,45429.99,38099.62,0.56
2017-05-10,17.9,18.03,17.21,17.2,38137.03,-0.56,-3.15,18.122,18.13,18.557,43514.65,42999.18,37944.3,0.43
