date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,8.71,8.71,8.5,8.45,22921.96,-0.04,-0.47,8.538,8.603,8.714,25766.86,27196.75,33635.9,0.39
2018-01-11,8.33,8.58,8.54,8.29,22314.18,0.12,1.43,8.58,8.605,8.757,26208.1,27491.61,37727.71,0.38
2018-01-10,8.57,8.6,8.42,8.41,28738.0,-0.15,-1.75,8.614,8.609,8.771,27515.15,27644.0,37970.58,0.48
2018-01-09,8.6,8.67,8.57,8.55,27805.12,-0.09,-1.04,8.682,8.635,8.791,30934.55,27795.55,38144.31,0.47
2018-01-08,8.74,8.77,8.66,8.66,27055.02,-0.05,-0.57,8.692,8.644,8.805,29366.97,29857.07,39045.17,0.46
2018-01-05,8.67,8.74,8.71,8.64,25128.2,0.0,0.0,8.668,8.674,8.822,28626.65,33829.24,40146.38,0.42
2018-01-04,8.77,8.77,8.71,8.67,28849.42,-0.05,-0.57,8.63,8.683,8.84,28775.12,34823.11,42315.27,0.49
2018-01-03,8.63,8.77,8.76,8.63,45834.97,0.14,1.62,8.604,8.701,8.859,27772.85,34649.49,44011.57,0.77
2018-01-02,8.59,8.67,8.62,8.54,19967.24,0.08,0.94,8.588,8.738,8.87,24656.56,33868.75,47293.47,0.34
2017-12-29,8.53,8.56,8.54,8.42,23353.41,0.02,0.23,8.596,8.766,8.87,30347.17,36702.43,48837.51,0.39
2017-12-28,8.59,8.68,8.52,8.5,25870.58,-0.06,-0.7,8.68,8.824,8.863,39031.83,40075.04,48723.66,0.44
2017-12-27,8.63,8.74,8.58,8.54,23838.05,-0.1,-1.15,8.736,8.908,8.852,40871.1,47963.8,48388.94,0.4
2017-12-26,8.67,8.72,8.68,8.43,30253.53,0.02,0.23,8.798,8.933,8.839,41526.13,48297.16,48281.33,0.51
2017-12-25,8.88,8.92,8.66,8.59,48420.27,-0.3,-3.35,8.888,8.946,8.823,43080.94,48493.06,47689.12,0.82
2017-12-22,9.08,9.33,8.96,8.85,66776.72,0.16,1.82,8.936,8.966,8.805,43057.69,48233.28,46944.93,1.12
2017-12-21,8.89,8.94,8.8,8.7,35066.95,-0.09,-1.01,8.968,8.969,8.786,41118.26,46463.52,46078.17,0.59
2017-12-20,9.1,9.1,8.89,8.88,27113.16,-0.24,-2.63,9.08,8.997,8.756,55056.5,49807.42,45735.96,0.46
2017-12-19,8.98,9.15,9.13,8.9,38027.61,0.23,2.58,9.068,9.016,8.739,55068.2,53373.65,46220.05,0.64
2017-12-18,9.15,9.23,8.9,8.9,48303.99,-0.22,-2.41,9.004,9.002,8.702,53905.19,60718.19,45341.86,0.81
2017-12-15,9.41,9.44,9.12,9.11,57079.57,-0.24,-2.56,8.996,8.974,8.68,53408.87,60972.6,44311.46,0.96
2017-12-14,8.8,9.71,9.36,8.61,104758.16,0.53,6.0,8.97,8.902,8.641,51808.79,57372.28,44463.44,1.76
2017-12-13,8.79,8.88,8.83,8.7,27171.66,0.02,0.23,8.914,8.795,8.62,44558.34,48814.08,40732.38,0.46
2017-12-12,8.82,8.91,8.81,8.77,32212.55,-0.05,-0.56,8.964,8.744,8.633,51679.09,48265.51,40759.23,0.54
2017-12-11,8.99,9.0,8.86,8.79,45822.42,-0.13,-1.45,9.0,8.699,8.653,67531.2,46885.19,40666.52,0.77
2017-12-08,8.98,9.09,8.99,8.94,49079.15,-0.09,-0.99,8.952,8.644,8.669,68536.33,45656.57,40237.94,0.83
2017-12-07,9.0,9.23,9.08,8.9,68505.9,0.0,0.0,8.834,8.602,8.686,62935.77,45692.82,39102.34,1.15
2017-12-06,8.82,9.1,9.08,8.7,62775.45,0.09,1.0,8.676,8.514,8.698,53069.82,41664.5,36954.11,1.06
2017-12-05,8.61,9.35,8.99,8.61,111473.09,0.37,4.29,8.524,8.462,8.708,44851.92,39066.45,35580.65,1.88
2017-12-04,8.42,8.64,8.62,8.36,50848.06,0.22,2.62,8.398,8.401,8.718,26239.17,29965.53,31400.24,0.86
2017-12-01,8.31,8.45,8.4,8.23,21076.34,0.11,1.33,8.336,8.385,8.746,22776.82,27650.32,30126.36,0.35
