date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,20.78,21.98,20.79,20.53,199420.41,-0.02,-0.1,19.732,19.602,19.931,110576.35,71769.21,57259.24,7.13
2018-01-11,21.17,21.79,20.81,20.06,208143.08,0.75,3.74,19.39,19.486,19.938,76524.34,54240.91,49663.23,7.44
2018-01-10,18.5,20.06,20.06,18.49,75079.38,1.82,9.98,19.076,19.372,19.933,42933.85,35944.97,42221.24,2.68
2018-01-09,18.78,18.95,18.24,18.14,44941.0,-0.52,-2.77,19.064,19.341,19.945,36314.35,31572.6,40998.32,1.61
2018-01-08,19.09,19.09,18.76,18.58,25297.88,-0.32,-1.68,19.324,19.502,20.05,31040.11,32408.77,43695.31,0.9
2018-01-05,19.06,19.32,19.08,19.0,29160.38,-0.16,-0.83,19.472,19.692,20.126,32962.06,33961.42,46136.01,1.04
2018-01-04,20.0,20.05,19.24,19.2,40190.6,-0.76,-3.8,19.582,19.874,20.142,31957.48,37917.17,46289.9,1.44
2018-01-03,19.55,20.13,20.0,19.3,41981.9,0.46,2.35,19.668,19.987,20.162,28956.09,38917.82,46884.18,1.5
2018-01-02,19.5,19.67,19.54,19.26,18569.81,0.04,0.2,19.618,20.049,20.128,26830.86,39926.68,46974.18,0.66
2017-12-29,19.71,19.72,19.5,18.85,34907.61,-0.13,-0.66,19.68,20.18,20.126,33777.43,42001.52,50212.82,1.25
2017-12-28,19.3,19.88,19.63,19.2,24137.5,-0.04,-0.2,19.912,20.259,20.121,34960.78,42749.27,51742.13,0.86
2017-12-27,19.73,20.18,19.67,19.53,25183.61,-0.08,-0.41,20.166,20.39,20.021,43876.85,45085.54,51410.01,0.9
2017-12-26,19.75,19.95,19.75,19.27,31355.75,-0.1,-0.5,20.306,20.493,19.927,48879.56,48497.51,51653.19,1.12
2017-12-25,20.5,20.5,19.85,19.38,53302.69,-0.81,-3.92,20.48,20.548,19.851,53022.51,50424.04,50883.01,1.9
2017-12-22,20.71,21.14,20.66,20.5,40824.34,-0.24,-1.15,20.68,20.598,19.776,50225.61,54981.85,49632.38,1.46
2017-12-21,20.38,21.08,20.9,20.18,68717.88,0.53,2.6,20.606,20.559,19.651,50537.77,58310.6,49146.48,2.46
2017-12-20,20.62,20.73,20.37,19.83,50197.16,-0.25,-1.21,20.614,20.409,19.521,46294.22,54662.62,48780.1,1.79
2017-12-19,20.76,21.2,20.62,20.61,52070.48,-0.23,-1.1,20.68,20.336,19.487,48115.46,54850.53,50934.58,1.86
2017-12-18,20.29,20.9,20.85,19.75,39318.17,0.56,2.76,20.616,20.207,19.484,47825.57,54021.67,51754.14,1.4
