date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,12.79,13.02,12.73,12.63,46675.14,-0.17,-1.32,12.766,12.768,12.551,45800.3,55436.98,54158.16,1.38
2018-01-11,12.54,12.95,12.9,12.53,53104.64,0.26,2.06,12.728,12.753,12.539,45149.53,56638.62,53866.58,1.57
2018-01-10,12.79,12.82,12.64,12.5,41778.75,-0.13,-1.02,12.698,12.713,12.516,45997.51,57433.44,54135.04,1.24
2018-01-09,12.78,13.07,12.77,12.65,38878.27,-0.02,-0.16,12.77,12.667,12.514,58801.41,56434.77,55837.42,1.15
2018-01-08,12.5,12.88,12.79,12.4,48564.7,0.25,1.99,12.774,12.62,12.515,59863.77,57723.2,58191.75,1.44
2018-01-05,12.74,12.74,12.54,12.52,43421.27,-0.21,-1.65,12.77,12.603,12.516,65073.66,58886.06,58392.05,1.29
2018-01-04,13.0,13.0,12.75,12.69,57344.54,-0.25,-1.92,12.778,12.603,12.525,68127.72,68171.71,58844.23,1.7
2018-01-03,12.84,13.25,13.0,12.73,105798.27,0.21,1.64,12.728,12.528,12.524,68869.36,66060.26,57725.31,3.14
2018-01-02,12.79,12.86,12.79,12.64,44190.05,0.02,0.16,12.564,12.442,12.511,54068.14,59489.64,55733.82,1.31
2017-12-29,12.58,12.93,12.77,12.51,74614.18,0.19,1.51,12.466,12.371,12.499,55582.63,58469.99,56487.22,2.21
2017-12-28,12.36,12.73,12.58,12.36,58691.55,0.08,0.64,12.436,12.334,12.499,52698.46,52879.33,54547.61,1.74
2017-12-27,12.16,12.52,12.5,12.13,61052.77,0.32,2.63,12.428,12.324,12.508,68215.7,51094.53,54583.9,1.81
2017-12-26,12.3,12.31,12.18,12.11,31792.14,-0.12,-0.98,12.328,12.319,12.516,63251.16,50836.64,54198.06,0.94
2017-12-25,12.55,12.58,12.3,12.21,51762.53,-0.32,-2.54,12.32,12.361,12.557,64911.14,55240.07,57305.45,1.53
2017-12-22,12.5,12.69,12.62,12.33,60193.33,0.08,0.64,12.276,12.409,12.592,61357.35,58660.29,57430.31,1.78
2017-12-21,12.01,12.87,12.54,12.01,136277.75,0.54,4.5,12.232,12.429,12.616,53060.2,57898.03,58043.57,4.04
2017-12-20,12.05,12.1,12.0,11.83,36230.05,-0.14,-1.15,12.22,12.447,12.641,33973.36,49516.75,56648.33,1.07
2017-12-19,12.1,12.17,12.14,11.97,40092.02,0.06,0.5,12.31,12.52,12.678,38422.12,49390.35,60394.16,1.19
2017-12-18,12.4,12.44,12.08,12.08,33993.59,-0.32,-2.58,12.402,12.579,12.701,45569.0,51977.99,64417.78,1.01
2017-12-15,12.39,12.49,12.4,12.33,18707.59,-0.08,-0.64,12.542,12.627,12.743,55963.24,54504.44,69574.56,0.55
2017-12-14,12.44,12.53,12.48,12.2,40843.55,0.03,0.24,12.626,12.664,12.711,62735.86,56215.89,71393.78,1.21
2017-12-13,12.44,12.54,12.45,12.07,58473.85,-0.15,-1.19,12.674,12.691,12.695,65060.15,58073.27,71644.09,1.73
2017-12-12,12.7,12.75,12.6,12.31,75826.42,-0.18,-1.41,12.73,12.712,12.69,60358.58,57559.48,71948.38,2.25
2017-12-11,13.02,13.28,12.78,12.78,85964.77,-0.04,-0.31,12.756,12.753,12.698,58386.99,59370.83,74067.2,2.55
2017-12-08,12.64,12.85,12.82,12.52,52570.69,0.1,0.79,12.712,12.775,12.665,53045.65,56200.32,72997.79,1.56
2017-12-07,12.71,12.73,12.72,12.42,52465.0,-0.01,-0.08,12.702,12.802,12.626,49695.92,58189.12,74287.42,1.55
2017-12-06,12.62,12.74,12.73,12.41,34966.0,0.0,0.0,12.708,12.834,12.612,51086.39,63779.92,73924.83,1.04
2017-12-05,12.57,12.74,12.73,12.12,65968.48,0.17,1.35,12.694,12.835,12.606,54760.38,71397.98,74041.41,1.95
2017-12-04,12.58,12.78,12.56,12.45,59258.08,-0.21,-1.64,12.75,12.822,12.595,60354.67,76857.56,73859.47,1.76
2017-12-01,12.7,12.79,12.77,12.5,35822.02,0.02,0.16,12.838,12.859,12.612,59355.0,84644.68,72334.11,1.06
2017-11-30,12.6,12.75,12.75,12.38,59417.35,0.09,0.71,12.902,12.757,12.626,66682.32,86571.67,72604.8,1.76
2017-11-29,12.88,12.98,12.66,12.59,53335.98,-0.35,-2.69,12.96,12.698,12.652,76473.45,85214.91,71511.5,1.58
2017-11-28,13.0,13.04,13.01,12.66,93939.9,0.01,0.08,12.976,12.667,12.709,88035.58,86337.27,70223.52,2.78
2017-11-27,13.0,13.22,13.0,12.6,54259.73,-0.09,-0.69,12.894,12.643,12.741,93360.46,88763.58,66600.52,1.61
2017-11-24,13.04,13.31,13.09,12.9,72458.65,0.05,0.38,12.88,12.554,12.775,109934.36,89795.26,65099.01,2.15
2017-11-23,12.6,13.15,13.04,12.52,108372.97,0.3,2.35,12.612,12.449,12.816,106461.01,90385.72,62459.71,3.21
2017-11-22,12.5,13.3,12.74,12.38,111146.63,0.14,1.11,12.436,12.39,12.868,93956.37,84069.75,58423.43,3.29
2017-11-21,12.93,12.95,12.6,12.47,120564.33,-0.33,-2.55,12.358,12.376,12.933,84638.97,76684.85,54500.91,3.57
2017-11-20,12.0,12.93,12.93,12.0,137129.23,1.18,10.04,12.392,12.367,12.999,84166.69,70861.38,50331.02,4.06
2017-11-17,12.16,12.3,11.75,11.61,55091.89,-0.41,-3.37,12.228,12.364,13.056,69656.15,60023.54,45030.93,1.63
2017-11-16,12.36,12.39,12.16,12.05,45849.76,-0.19,-1.54,12.286,12.494,13.166,74310.43,58637.93,43601.75,1.36
2017-11-15,12.72,12.72,12.35,12.23,64559.63,-0.42,-3.29,12.344,12.606,13.253,74183.13,57808.09,43716.11,2.01
2017-11-14,12.2,12.78,12.77,12.2,118202.94,0.66,5.45,12.394,12.751,13.353,68730.72,54109.76,42362.98,3.67
2017-11-13,12.25,12.29,12.11,11.95,64576.54,0.07,0.58,12.342,12.838,13.435,57556.06,44437.46,38202.73,2.01
