date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,5.97,5.97,5.86,5.84,53840.88,-0.06,-1.01,5.882,5.881,5.88,49772.85,56138.25,58285.99,0.53
2018-01-11,5.77,5.95,5.92,5.7,57320.74,0.12,2.07,5.902,5.859,5.891,49175.36,54871.03,58991.4,0.56
2018-01-10,5.94,5.94,5.8,5.74,48379.62,-0.15,-2.52,5.9,5.828,5.896,47006.25,53160.3,59761.15,0.47
2018-01-09,5.89,5.97,5.95,5.88,37351.14,0.07,1.19,5.92,5.814,5.903,50587.58,53673.18,61554.66,0.37
2018-01-08,5.93,5.96,5.88,5.87,51971.85,-0.08,-1.34,5.912,5.78,5.912,63861.94,60924.8,63439.99,0.51
2018-01-05,5.9,5.97,5.96,5.87,50853.47,0.05,0.85,5.88,5.785,5.923,62503.64,60359.52,65491.12,0.5
2018-01-04,5.9,5.96,5.91,5.85,46475.18,0.01,0.17,5.816,5.788,5.93,60566.7,60713.87,68609.86,0.45
2018-01-03,5.9,5.93,5.9,5.81,66286.28,-0.01,-0.17,5.756,5.796,5.939,59314.35,61280.47,71534.32,0.65
2018-01-02,5.71,6.14,5.91,5.68,103722.93,0.19,3.32,5.708,5.819,5.946,56758.77,60741.08,74232.52,1.01
2017-12-29,5.64,5.74,5.72,5.62,45180.36,0.08,1.42,5.648,5.84,5.956,57987.66,59049.08,74018.87,0.44
2017-12-28,5.56,5.69,5.64,5.56,41168.77,0.03,0.54,5.69,5.878,5.991,58215.39,60433.73,74347.86,0.4
2017-12-27,5.64,5.7,5.61,5.6,40213.4,-0.05,-0.88,5.76,5.923,6.03,60861.04,63111.76,74937.93,0.39
2017-12-26,5.63,5.7,5.66,5.54,53508.37,0.05,0.89,5.836,5.963,6.073,63246.59,66361.99,75347.88,0.52
2017-12-25,5.9,5.93,5.61,5.6,109867.42,-0.32,-5.4,5.93,5.992,6.116,64723.4,69436.14,75047.93,1.07
2017-12-22,5.98,6.01,5.93,5.92,46319.0,-0.06,-1.0,6.032,6.043,6.158,60110.5,65955.18,71790.51,0.45
2017-12-21,5.95,6.02,5.99,5.88,54397.0,0.0,0.0,6.066,6.06,6.189,62652.06,70622.73,72055.36,0.53
2017-12-20,6.09,6.11,5.99,5.99,52141.16,-0.14,-2.28,6.086,6.071,6.222,65362.47,76505.85,74214.85,0.51
2017-12-19,6.12,6.15,6.13,6.06,60892.43,0.01,0.16,6.09,6.082,6.256,69477.4,81788.17,75729.53,0.6
2017-12-18,6.09,6.2,6.12,6.04,86802.91,0.02,0.33,6.054,6.072,6.279,74148.89,87723.96,76146.33,0.85
2017-12-15,6.15,6.15,6.1,6.03,59026.79,0.01,0.16,6.054,6.071,6.306,71799.87,88988.67,77117.94,0.58
2017-12-14,6.02,6.1,6.09,5.98,67949.08,0.08,1.33,6.054,6.104,6.348,78593.39,88262.0,78380.04,0.66
2017-12-13,5.93,6.08,6.01,5.89,72715.78,0.06,1.01,6.056,6.136,6.401,87649.23,86764.09,76920.57,0.71
2017-12-12,6.09,6.12,5.95,5.93,84249.87,-0.17,-2.78,6.074,6.183,6.459,94098.94,84333.76,75371.33,0.82
2017-12-11,6.09,6.14,6.12,6.05,75057.82,0.02,0.33,6.09,6.24,6.524,101299.03,80659.71,73439.79,0.73
2017-12-08,6.03,6.14,6.1,6.02,92994.41,0.0,0.0,6.088,6.273,6.582,106177.46,77625.84,72024.29,0.91
2017-12-07,6.08,6.32,6.1,6.02,113228.26,0.0,0.0,6.154,6.317,6.646,97930.62,73488.0,70073.32,1.11
2017-12-06,5.99,6.12,6.1,5.85,104964.32,0.07,1.16,6.216,6.373,6.711,85878.96,71923.85,69396.16,1.03
2017-12-05,6.2,6.37,6.03,5.98,120250.33,-0.08,-1.31,6.292,6.43,6.77,74568.58,69670.89,67331.69,1.18
2017-12-04,6.41,6.42,6.11,6.1,99450.0,-0.32,-4.98,6.39,6.486,6.829,60020.39,64568.7,63415.46,0.97
2017-12-01,6.41,6.45,6.43,6.38,51760.17,0.02,0.31,6.458,6.541,6.882,49074.21,65247.22,61915.03,0.51
2017-11-30,6.46,6.51,6.41,6.4,52969.98,-0.07,-1.08,6.48,6.591,6.917,49045.38,68498.07,61754.97,0.52
2017-11-29,6.5,6.58,6.48,6.45,48412.4,-0.04,-0.61,6.53,6.666,6.96,57968.73,67077.04,61492.17,0.47
2017-11-28,6.46,6.55,6.52,6.43,47509.42,0.07,1.08,6.568,6.735,7.007,64773.21,66408.9,60815.39,0.46
2017-11-27,6.55,6.6,6.45,6.45,44719.06,-0.09,-1.38,6.582,6.808,7.051,69117.0,66219.86,60773.83,0.44
2017-11-24,6.62,6.66,6.54,6.39,51616.02,-0.12,-1.8,6.624,6.89,7.096,81420.22,66422.74,64219.4,0.5
2017-11-23,6.63,7.12,6.66,6.6,97586.75,-0.01,-0.15,6.702,6.974,7.159,87950.76,66658.64,64281.68,0.95
2017-11-22,6.59,6.79,6.67,6.56,82434.81,0.08,1.21,6.802,7.048,7.223,76185.35,66868.48,61919.19,0.81
2017-11-21,6.66,6.74,6.59,6.51,69228.38,-0.07,-1.05,6.902,7.11,7.283,68044.6,64992.49,59753.0,0.68
2017-11-20,6.95,6.95,6.66,6.49,106235.16,-0.27,-3.9,7.034,7.171,7.345,63322.72,62262.22,60638.77,1.04
2017-11-17,7.18,7.21,6.93,6.87,84268.71,-0.23,-3.21,7.156,7.222,7.41,51425.25,58582.85,57838.91,0.82
2017-11-16,7.16,7.23,7.16,7.12,38759.7,-0.01,-0.14,7.246,7.243,7.463,45366.52,55011.88,56491.17,0.38
2017-11-15,7.25,7.25,7.17,7.13,41731.03,-0.08,-1.1,7.294,7.253,7.502,57551.61,55907.29,59144.04,0.41
2017-11-14,7.31,7.35,7.25,7.2,45618.98,-0.02,-0.28,7.318,7.279,7.555,61940.39,55221.87,62273.59,0.45
2017-11-13,7.37,7.39,7.27,7.24,46747.82,-0.11,-1.49,7.308,7.294,7.601,61201.72,55327.8,64072.25,0.46
2017-11-10,7.39,7.5,7.38,7.35,53975.06,-0.02,-0.27,7.288,7.302,7.651,65740.45,62016.07,70599.39,0.53
2017-11-09,7.36,7.54,7.4,7.29,99685.16,0.11,1.51,7.24,7.344,7.718,64657.24,61904.72,75232.73,0.97
2017-11-08,7.2,7.39,7.29,7.17,63674.92,0.09,1.25,7.212,7.397,7.775,54262.97,56969.9,77017.77,0.62
2017-11-07,7.17,7.23,7.2,7.13,41925.62,0.03,0.42,7.24,7.455,7.836,48503.36,54513.51,80863.67,0.41
2017-11-06,7.13,7.2,7.17,7.05,69441.48,0.03,0.42,7.28,7.518,7.913,49453.89,59015.32,86214.57,0.68
2017-11-03,7.27,7.31,7.14,7.1,48559.0,-0.12,-1.65,7.316,7.598,7.992,58291.68,57094.97,93989.77,0.47
2017-11-02,7.44,7.49,7.26,7.26,47713.85,-0.17,-2.29,7.448,7.682,8.067,59152.21,57970.46,104533.7,0.47
2017-11-01,7.44,7.55,7.43,7.39,34876.84,0.03,0.41,7.582,7.751,8.134,59676.82,62380.79,117545.83,0.34
2017-10-31,7.35,7.43,7.4,7.3,46678.26,0.05,0.68,7.67,7.83,8.18,60523.66,69325.32,121071.14,0.46
2017-10-30,7.81,7.84,7.35,7.35,113630.47,-0.45,-5.77,7.756,7.907,8.222,68576.75,72816.7,122590.12,1.11
2017-10-27,7.94,7.94,7.8,7.78,52861.61,-0.13,-1.64,7.88,7.999,8.268,55898.26,79182.71,125798.38,0.52
2017-10-26,7.88,7.96,7.93,7.8,50336.9,0.06,0.76,7.916,8.092,8.282,56788.71,88560.73,126158.84,0.49
2017-10-25,7.8,7.9,7.87,7.8,39111.07,0.04,0.51,7.92,8.152,8.292,65084.76,97065.64,128055.28,0.38
2017-10-24,7.98,7.99,7.83,7.72,86943.72,-0.14,-1.76,7.99,8.217,8.311,78126.97,107213.82,130105.44,0.85
2017-10-23,7.96,8.05,7.97,7.96,50238.0,-0.01,-0.12,8.058,8.308,8.33,77056.64,113413.82,129638.97,0.49
2017-10-20,7.93,7.99,7.98,7.88,57313.87,0.03,0.38,8.118,8.385,8.345,102467.16,130884.57,132168.54,0.56
2017-10-19,8.13,8.22,7.95,7.84,91817.16,-0.27,-3.29,8.268,8.451,8.365,120332.75,151096.95,140324.01,0.9
2017-10-18,8.17,8.5,8.22,8.17,104322.1,0.05,0.61,8.384,8.517,8.377,129046.51,172710.87,140722.53,1.02
2017-10-17,8.26,8.27,8.17,8.15,81592.08,-0.1,-1.21,8.444,8.53,8.375,136300.68,172816.97,140023.01,0.8
2017-10-16,8.73,8.73,8.27,8.26,177290.58,-0.46,-5.27,8.558,8.536,8.374,149771.0,172363.54,142942.57,1.73
2017-10-13,8.5,8.75,8.73,8.48,146641.84,0.2,2.35,8.652,8.536,8.373,159301.99,172414.05,138159.51,1.43
2017-10-12,8.47,8.69,8.53,8.46,135385.95,0.01,0.12,8.634,8.472,8.347,181861.15,163756.94,134413.59,1.32
2017-10-11,8.73,8.74,8.52,8.47,140592.94,-0.22,-2.52,8.65,8.432,8.336,216375.24,159044.91,131248.18,1.37
2017-10-10,8.68,8.85,8.74,8.65,148943.69,0.0,0.0,8.616,8.405,8.328,209333.26,152997.07,128416.19,1.46
2017-10-09,8.75,8.79,8.74,8.56,224945.52,0.1,1.16,8.514,8.351,8.304,194956.07,145864.13,126531.37,2.2
2017-09-29,8.52,8.84,8.64,8.43,259437.64,0.03,0.35,8.42,8.305,8.286,185526.11,133452.5,120805.05,2.54
2017-09-28,8.31,9.08,8.61,8.25,307956.41,0.26,3.11,8.31,8.278,8.271,145652.73,129551.07,112001.21,3.01
2017-09-27,8.27,8.41,8.35,8.22,105383.06,0.12,1.46,8.214,8.237,8.259,101714.59,108734.18,103184.83,1.03
2017-09-26,8.17,8.26,8.23,8.11,77057.74,-0.04,-0.48,8.194,8.219,8.268,96660.87,107229.04,103710.13,0.75
2017-09-25,8.17,8.49,8.27,8.17,177795.72,0.18,2.23,8.188,8.211,8.292,96772.18,113521.61,105275.28,1.74
2017-09-22,8.1,8.15,8.09,8.02,60070.74,-0.04,-0.49,8.19,8.209,8.312,81378.89,103904.97,100444.39,0.59
