date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,4.84,4.98,4.85,4.82,273528.0,-0.04,-0.82,5.03,4.759,4.506,470999.34,367527.32,242558.28,2.31
2018-01-11,5.02,5.02,4.89,4.82,357989.97,-0.12,-2.4,5.09,4.692,4.484,536596.57,356717.29,236338.85,3.03
2018-01-10,5.15,5.25,5.01,5.0,375177.12,-0.24,-4.57,5.048,4.62,4.46,552379.2,332460.67,224658.85,3.17
2018-01-09,5.22,5.32,5.25,5.12,442081.03,0.1,1.94,4.896,4.536,4.429,500875.11,305133.36,217289.73,3.74
2018-01-08,5.48,5.48,5.15,5.1,906220.56,0.0,0.0,4.684,4.431,4.387,432886.3,269221.67,201500.57,7.66
2018-01-05,4.78,5.15,5.15,4.69,601514.19,0.47,10.04,4.488,4.345,4.349,264055.31,189354.37,165953.31,5.09
2018-01-04,4.25,4.68,4.68,4.23,436903.12,0.43,10.12,4.294,4.253,4.314,176838.0,139492.93,148998.99,3.69
2018-01-03,4.17,4.27,4.25,4.16,117656.64,0.06,1.43,4.192,4.211,4.3,112542.13,114016.16,150908.89,0.99
2018-01-02,4.17,4.22,4.19,4.14,102137.0,0.02,0.48,4.176,4.217,4.315,109391.6,113486.16,159364.75,0.86
2017-12-29,4.15,4.19,4.17,4.14,62065.6,-0.01,-0.24,4.178,4.23,4.358,105557.04,114454.9,170549.34,0.52
2017-12-28,4.14,4.21,4.18,4.11,165427.64,0.01,0.24,4.202,4.253,4.407,114653.43,117589.24,190017.47,1.4
2017-12-27,4.18,4.18,4.17,4.1,115423.77,0.0,0.0,4.212,4.276,4.457,102147.86,115960.41,194175.58,0.98
2017-12-26,4.2,4.22,4.17,4.12,101904.0,-0.03,-0.71,4.23,4.299,4.508,115490.19,116857.04,215742.2,0.86
2017-12-25,4.28,4.3,4.2,4.19,82964.2,-0.09,-2.1,4.258,4.322,4.572,117580.72,129446.11,249758.47,0.7
2017-12-22,4.26,4.33,4.29,4.21,107547.56,0.06,1.42,4.282,4.342,4.664,123352.75,133779.46,252158.57,0.91
2017-12-21,4.24,4.26,4.23,4.17,102899.77,-0.03,-0.7,4.304,4.353,4.76,120525.04,142552.26,249939.6,0.87
2017-12-20,4.32,4.32,4.26,4.18,182135.41,-0.05,-1.16,4.34,4.374,4.863,129772.95,158505.05,249064.01,1.54
2017-12-19,4.31,4.35,4.31,4.28,112356.64,-0.01,-0.23,4.368,4.388,4.96,118223.89,187801.61,242531.2,0.95
2017-12-18,4.39,4.39,4.32,4.3,111824.38,-0.08,-1.82,4.386,4.412,5.058,141311.5,205243.35,241686.24,0.95
2017-12-15,4.41,4.41,4.4,4.36,93409.0,-0.01,-0.23,4.402,4.486,5.156,144206.17,226643.77,242730.87,0.79
2017-12-14,4.41,4.45,4.41,4.34,149139.34,0.01,0.23,4.402,4.561,5.25,164579.47,262445.7,240831.39,1.26
2017-12-13,4.36,4.4,4.4,4.32,124390.11,0.0,0.0,4.408,4.638,5.341,187237.14,272390.75,238879.81,1.05
2017-12-12,4.43,4.43,4.4,4.29,227794.69,0.0,0.0,4.408,4.716,5.44,257379.33,314627.35,238060.18,1.93
2017-12-11,4.4,4.42,4.4,4.37,126297.73,0.0,0.0,4.438,4.821,5.547,269175.2,370070.83,230284.0,1.07
2017-12-08,4.44,4.49,4.4,4.34,195275.5,-0.04,-0.9,4.57,4.986,5.656,309081.37,370537.69,229040.88,1.65
2017-12-07,4.39,4.5,4.44,4.3,262427.69,0.04,0.91,4.72,5.167,5.765,360311.92,357326.94,229855.79,2.22
2017-12-06,4.45,4.56,4.4,4.17,475101.03,-0.15,-3.3,4.868,5.352,5.872,357544.35,339622.97,223330.76,4.02
2017-12-05,4.92,5.06,4.55,4.55,286774.03,-0.51,-10.08,5.024,5.531,5.969,371875.38,297260.79,203416.36,2.42
2017-11-30,5.06,5.1,5.06,4.87,325828.62,-0.09,-1.75,5.204,5.704,6.065,470966.47,278129.13,196113.27,2.76
2017-11-29,5.14,5.16,5.15,4.93,451428.25,-0.03,-0.58,5.402,5.826,6.139,431994.0,258817.97,186455.02,3.82
2017-11-28,5.12,5.18,5.18,5.0,248589.8,0.0,0.0,5.614,5.938,6.213,354341.95,219217.08,174431.62,2.1
2017-11-27,5.3,5.36,5.18,4.98,546756.19,-0.27,-4.95,5.836,6.044,6.282,321701.59,205368.88,192035.53,4.62
2017-11-24,5.45,5.9,5.45,5.45,782229.5,-0.6,-9.92,6.038,6.163,6.38,222646.19,161493.01,174288.67,6.61
2017-05-23,6.2,6.2,6.05,6.0,130966.24,-0.16,-2.58,6.204,6.273,6.471,85291.79,90497.17,139852.33,1.11
2017-05-22,6.22,6.3,6.21,6.13,63168.0,-0.08,-1.27,6.25,6.326,6.533,85641.94,87544.08,145374.32,0.53
2017-05-19,6.19,6.33,6.29,6.15,85388.03,0.1,1.62,6.262,6.363,6.601,84092.21,102384.64,149054.86,0.72
2017-05-18,6.26,6.38,6.19,6.18,51479.2,-0.09,-1.43,6.252,6.392,6.661,89036.17,107038.55,156042.67,0.44
2017-05-17,6.27,6.36,6.28,6.18,95457.48,0.0,0.0,6.288,6.407,6.719,100339.83,109571.94,166700.11,0.81
2017-05-16,6.27,6.29,6.28,5.91,132717.0,0.01,0.16,6.342,6.426,6.776,95702.55,114097.4,180550.13,1.12
