date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,9.06,9.15,8.94,8.92,58262.94,-0.17,-1.87,8.898,8.806,8.791,73020.59,52959.16,43785.29,1.01
2018-01-11,8.83,9.22,9.11,8.75,133159.62,0.2,2.25,8.866,8.759,8.797,66443.06,49784.28,42386.85,2.31
2018-01-10,8.89,8.97,8.91,8.74,104711.71,0.18,2.06,8.8,8.69,8.799,46774.33,39801.62,37407.55,1.81
2018-01-09,8.79,8.79,8.73,8.69,30106.52,-0.07,-0.8,8.778,8.653,8.805,35599.23,32273.62,34243.01,0.52
2018-01-08,8.87,8.91,8.8,8.75,38862.14,0.02,0.23,8.766,8.63,8.829,36498.66,34743.06,35698.02,0.67
2018-01-05,8.8,8.81,8.78,8.73,25375.29,0.0,0.0,8.714,8.631,8.846,32897.73,33385.35,36281.18,0.44
2018-01-04,8.78,8.85,8.78,8.73,34816.0,-0.02,-0.23,8.652,8.635,8.859,33125.51,34999.12,36717.75,0.6
2018-01-03,8.65,8.86,8.8,8.62,48836.21,0.13,1.5,8.58,8.652,8.874,32828.91,35276.52,37335.39,0.85
2018-01-02,8.55,8.68,8.67,8.5,34603.65,0.13,1.52,8.528,8.685,8.873,28948.01,34392.06,38657.58,0.6
2017-12-29,8.48,8.57,8.54,8.43,20857.51,0.07,0.83,8.494,8.719,8.896,32987.46,33482.73,39645.81,0.36
2017-12-28,8.43,8.55,8.47,8.42,26514.17,0.05,0.59,8.548,8.776,8.939,33872.97,34611.42,40680.16,0.46
2017-12-27,8.55,8.56,8.42,8.39,33333.0,-0.12,-1.41,8.618,8.834,8.983,36872.74,34989.43,42174.96,0.58
2017-12-26,8.46,8.57,8.54,8.4,29431.72,0.04,0.47,8.724,8.907,9.028,37724.14,35013.47,43909.9,0.51
2017-12-25,8.78,8.82,8.5,8.45,54800.9,-0.31,-3.52,8.842,8.957,9.079,39836.11,36212.4,46358.82,0.95
2017-12-22,8.87,8.91,8.81,8.8,25285.04,-0.01,-0.11,8.944,9.027,9.129,33978.01,36652.97,50271.48,0.44
2017-12-21,8.97,8.97,8.82,8.8,41513.02,-0.13,-1.45,9.004,9.06,9.188,35349.88,39177.02,59913.05,0.72
2017-12-20,9.1,9.11,8.95,8.88,37590.01,-0.18,-1.97,9.05,9.082,9.205,33106.12,38436.38,62412.95,0.65
2017-12-19,9.12,9.17,9.13,9.08,39991.57,0.12,1.33,9.09,9.095,9.21,32302.8,39394.26,62397.18,0.69
2017-12-18,9.09,9.15,9.01,8.96,25510.4,-0.1,-1.1,9.072,9.061,9.211,32588.69,42923.11,62728.84,0.44
2017-12-15,9.09,9.14,9.11,9.01,32144.38,0.06,0.66,9.11,9.072,9.217,39327.94,45808.89,64770.43,0.56
2017-12-14,9.14,9.14,9.05,8.99,30294.22,-0.1,-1.09,9.116,9.102,9.208,43004.16,46748.91,72715.79,0.52
2017-12-13,9.07,9.17,9.15,9.03,33573.44,0.11,1.22,9.114,9.132,9.252,43766.63,49360.49,73075.06,0.58
2017-12-12,9.24,9.24,9.04,9.02,41421.0,-0.16,-1.74,9.1,9.149,9.292,46485.72,52806.32,73415.82,0.72
2017-12-11,9.22,9.33,9.2,9.13,59206.66,0.06,0.66,9.05,9.201,9.342,53257.52,56505.24,74024.83,1.03
2017-12-08,9.01,9.23,9.14,9.01,50525.46,0.1,1.11,9.034,9.23,9.392,52289.83,63889.98,73549.9,0.87
2017-12-07,9.03,9.11,9.04,8.96,34106.61,-0.04,-0.44,9.088,9.316,9.447,50493.65,80649.08,74724.44,0.59
2017-12-06,8.86,9.08,9.08,8.72,47168.88,0.29,3.3,9.15,9.327,9.51,54954.34,86389.52,75511.83,0.82
2017-12-05,9.12,9.2,8.79,8.74,75280.01,-0.33,-3.62,9.198,9.325,9.574,59126.92,85400.09,75862.66,1.3
2017-12-04,9.35,9.4,9.12,9.12,54368.19,-0.29,-3.08,9.352,9.36,9.638,59752.95,82534.56,73435.41,0.94
2017-12-01,9.3,9.49,9.41,9.3,41544.58,0.06,0.64,9.426,9.361,9.686,75490.14,83731.97,72970.03,0.72
2017-11-30,9.23,9.56,9.35,9.19,56410.02,0.03,0.32,9.544,9.314,9.711,110804.51,98682.67,74773.36,0.98
2017-11-29,9.5,9.5,9.32,9.2,68031.8,-0.24,-2.51,9.504,9.372,9.757,117824.7,96789.63,74180.82,1.19
2017-11-28,9.38,9.58,9.56,9.32,78410.18,0.07,0.74,9.452,9.434,9.804,111673.26,94025.33,76395.41,1.37
2017-11-27,9.95,9.95,9.49,9.4,133054.11,-0.51,-5.1,9.368,9.482,9.856,105316.17,91544.42,75040.8,2.32
2017-11-24,9.08,10.07,10.0,9.08,218116.44,0.85,9.29,9.296,9.554,9.906,91973.8,83209.81,72700.21,3.8
2017-11-23,9.28,9.58,9.15,9.02,91510.95,0.09,0.99,9.084,9.577,9.94,86560.83,68799.79,66489.61,1.59
2017-11-22,9.18,9.24,9.06,9.02,37274.6,-0.08,-0.88,9.24,9.693,10.026,75754.56,64634.14,64748.61,0.65
2017-11-21,9.12,9.27,9.14,9.0,46624.77,0.01,0.11,9.416,9.822,10.118,76377.4,66325.23,69456.51,0.81
2017-11-20,8.9,9.14,9.13,8.7,66342.22,0.19,2.12,9.596,9.915,10.215,77772.66,64336.25,73163.7,1.16
2017-11-17,9.93,9.97,8.94,8.94,191051.59,-0.99,-9.97,9.812,10.01,10.334,74445.82,62208.09,85178.6,3.33
2017-11-16,9.94,10.05,9.93,9.89,37479.61,-0.01,-0.1,10.07,10.107,10.486,51038.75,50864.06,83409.43,0.65
2017-11-15,10.06,10.15,9.94,9.9,40388.79,-0.1,-1.0,10.146,10.141,10.549,53513.73,51572.02,85954.45,0.7
2017-11-14,10.19,10.27,10.04,9.98,53601.07,-0.17,-1.67,10.228,10.173,10.604,56273.06,58765.48,90580.26,0.93
2017-11-13,10.24,10.43,10.21,10.1,49708.06,-0.02,-0.2,10.234,10.229,10.675,50899.85,58537.18,92972.86,0.87
2017-11-10,10.26,10.3,10.23,10.03,74016.22,-0.08,-0.78,10.208,10.258,10.75,49970.35,62190.61,97786.92,1.42
