date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,14.44,14.52,14.0,13.99,254320.41,-0.46,-3.18,14.44,14.412,14.052,264183.65,240708.15,209423.22,2.39
2018-01-11,14.4,14.61,14.46,14.29,166485.16,-0.04,-0.28,14.482,14.455,14.032,247583.28,254715.38,203037.27,1.56
2018-01-10,14.66,14.91,14.5,14.41,324110.25,-0.15,-1.02,14.484,14.395,14.001,261335.95,267057.74,200972.2,3.04
2018-01-09,14.57,14.93,14.65,14.34,291867.34,0.06,0.41,14.464,14.312,13.968,247206.01,247830.23,194679.83,2.74
2018-01-08,14.15,14.66,14.59,14.15,284135.09,0.38,2.67,14.426,14.206,13.927,227557.75,234795.46,185778.47,2.67
2018-01-05,14.38,14.41,14.21,14.12,171318.56,-0.26,-1.8,14.384,14.095,13.882,217232.65,223833.72,177172.01,1.61
2018-01-04,14.31,14.47,14.47,14.11,235248.52,0.07,0.49,14.428,14.005,13.852,261847.49,218745.74,175646.46,2.21
2018-01-03,14.44,14.74,14.4,14.37,253460.52,-0.06,-0.41,14.306,13.884,13.808,272779.53,212453.51,170309.46,2.38
2018-01-02,14.38,14.55,14.46,14.22,193626.08,0.08,0.56,14.16,13.826,13.757,248454.45,196375.67,172718.05,1.82
2017-12-29,14.34,14.49,14.38,14.16,232509.59,-0.05,-0.35,13.986,13.762,13.744,242033.17,189606.41,171381.42,2.18
2017-12-28,13.89,14.54,14.43,13.83,394392.72,0.57,4.11,13.806,13.692,13.756,230434.79,178138.29,165595.86,3.7
2017-12-27,13.67,14.08,13.86,13.62,289908.75,0.19,1.39,13.582,13.609,13.764,175644.0,151359.15,155482.87,2.72
2017-12-26,13.54,13.67,13.67,13.32,131835.09,0.08,0.59,13.462,13.606,13.812,152127.48,134886.67,159174.06,1.24
2017-12-25,13.45,13.75,13.59,13.42,161519.69,0.11,0.82,13.492,13.623,13.841,144296.89,141529.44,161217.85,1.52
2017-12-22,13.3,13.75,13.48,13.27,174517.72,0.17,1.28,13.538,13.647,13.867,137179.65,136761.49,161307.33,1.64
2017-12-21,13.27,13.45,13.31,13.2,120438.76,0.05,0.38,13.578,13.668,13.92,125841.79,130510.3,162822.88,1.13
2017-12-20,13.78,13.84,13.26,13.23,172326.16,-0.56,-4.05,13.636,13.698,13.962,127074.3,132547.19,166594.97,1.62
2017-12-19,13.83,13.87,13.82,13.67,92682.11,0.0,0.0,13.75,13.731,14.024,117645.85,128165.42,168416.52,0.87
2017-12-18,13.65,13.84,13.82,13.58,125933.5,0.14,1.02,13.754,13.688,14.05,138761.99,149060.43,172172.82,1.18
2017-12-15,13.56,13.72,13.68,13.46,117828.42,0.08,0.59,13.756,13.726,14.076,136343.33,153156.44,176600.72,1.11
2017-12-14,13.87,13.91,13.6,13.52,126601.3,-0.23,-1.66,13.758,13.819,14.102,135178.81,153053.42,183872.43,1.19
2017-12-13,13.88,13.97,13.83,13.6,125183.92,-0.01,-0.07,13.76,13.918,14.167,138020.07,159606.6,187215.68,1.18
2017-12-12,13.77,14.12,13.84,13.75,198262.8,0.01,0.07,13.712,14.018,14.219,138684.98,183461.46,200188.05,1.86
2017-12-11,13.61,13.95,13.83,13.61,113840.19,0.14,1.02,13.622,14.059,14.311,159358.88,180906.27,203121.57,1.07
2017-12-08,13.54,13.82,13.69,13.5,112005.82,0.08,0.59,13.696,14.087,14.424,169969.55,185853.18,216254.57,1.05
2017-12-07,13.57,13.95,13.61,13.52,140807.64,0.02,0.15,13.88,14.171,14.525,170928.04,195135.46,224509.15,1.32
