date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,20.08,20.08,19.56,19.53,179631.2,-0.5,-2.49,19.372,19.04,18.774,179893.25,147524.55,104699.09,1.93
2018-01-11,19.29,20.35,20.06,19.12,340749.53,0.79,4.1,19.226,18.905,18.747,159541.09,135023.14,100886.08,3.67
2018-01-10,18.83,19.39,19.27,18.68,179726.8,0.43,2.28,18.984,18.719,18.694,110365.53,105060.54,90268.61,1.93
2018-01-09,19.1,19.1,18.84,18.77,79472.43,-0.29,-1.52,18.934,18.624,18.663,102822.97,91187.54,84865.02,0.86
2018-01-08,18.86,19.14,19.13,18.61,119886.3,0.3,1.59,18.948,18.556,18.665,122519.73,89737.91,87485.74,1.29
2018-01-05,18.94,19.04,18.83,18.81,77870.37,-0.02,-0.11,18.708,18.488,18.633,115155.84,82570.46,86145.85,0.84
2018-01-04,18.87,18.96,18.85,18.77,94871.77,-0.17,-0.89,18.584,18.461,18.6,110505.2,84124.44,85453.98,1.02
2018-01-03,18.8,19.08,19.02,18.74,142014.0,0.11,0.58,18.454,18.44,18.583,99755.55,80374.13,85004.2,1.53
2018-01-02,18.02,18.96,18.91,18.02,177956.19,0.98,5.47,18.314,18.433,18.538,79552.1,73883.48,82321.18,1.91
2017-12-29,18.24,18.33,17.93,17.93,83066.88,-0.28,-1.54,18.164,18.41,18.52,56956.09,62698.72,76694.48,0.89
2017-12-28,18.2,18.37,18.21,18.18,54617.18,0.01,0.06,18.268,18.508,18.561,49985.07,61873.63,77481.64,0.59
2017-12-27,18.32,18.4,18.2,18.17,41123.48,-0.12,-0.66,18.338,18.588,18.563,57743.67,66749.02,77637.57,0.44
2017-12-26,18.06,18.36,18.32,18.05,40996.75,0.16,0.88,18.426,18.668,18.575,60992.71,75476.68,78774.49,0.44
2017-12-25,18.37,18.44,18.16,18.04,64976.15,-0.29,-1.57,18.552,18.701,18.582,68214.86,78542.51,80553.05,0.7
2017-12-22,18.66,18.71,18.45,18.45,48211.78,-0.11,-0.59,18.656,18.774,18.573,68441.35,85233.58,81403.43,0.52
2017-12-21,18.55,18.69,18.56,18.16,93410.17,-0.08,-0.43,18.748,18.777,18.566,73762.2,89721.25,83059.14,1.01
2017-12-20,18.88,18.9,18.64,18.61,57368.7,-0.31,-1.64,18.838,18.739,18.551,75754.37,86783.53,89042.67,0.62
2017-12-19,18.62,19.1,18.95,18.62,77107.48,0.27,1.45,18.91,18.725,18.593,89960.64,89634.27,92403.16,0.83
2017-12-18,18.83,18.88,18.68,18.54,66108.64,-0.23,-1.22,18.85,18.643,18.625,88870.16,90758.89,95431.56,0.71
2017-12-15,18.99,19.17,18.91,18.81,74816.0,-0.1,-0.53,18.892,18.63,18.674,102025.8,90690.24,103217.89,0.8
2017-12-14,18.99,19.17,19.01,18.72,103371.01,0.01,0.05,18.806,18.614,18.768,105680.3,93089.66,107170.84,1.11
2017-12-13,18.62,19.25,19.0,18.55,128400.09,0.35,1.88,18.64,18.538,18.874,97812.7,88526.12,106922.36,1.38
2017-12-12,18.78,18.84,18.65,18.63,71655.05,-0.24,-1.27,18.54,18.482,18.973,89307.89,82072.3,106975.88,0.77
2017-12-11,18.58,18.95,18.89,18.58,131886.83,0.41,2.22,18.436,18.462,19.118,92647.62,82563.59,111756.83,1.42
2017-12-08,18.08,18.56,18.48,18.08,93088.52,0.3,1.65,18.368,18.371,19.233,79354.69,77573.29,111131.73,1.0
2017-12-07,18.48,18.48,18.18,18.12,64032.99,-0.32,-1.73,18.422,18.355,19.378,80499.01,76397.03,111638.87,0.69
2017-12-06,18.1,18.5,18.5,18.08,85876.04,0.37,2.04,18.436,18.362,19.544,79239.54,91301.81,113181.48,0.92
2017-12-05,18.54,18.54,18.13,17.97,88353.72,-0.42,-2.26,18.424,18.46,19.687,74836.71,95172.05,115911.57,0.95
2017-12-04,18.65,18.87,18.55,18.51,65422.17,-0.2,-1.07,18.488,18.607,19.834,72479.56,100104.22,115772.52,0.7
2017-12-01,18.32,18.93,18.75,18.26,98810.14,0.5,2.74,18.374,18.717,19.963,75791.9,115745.54,118132.93,1.06
