date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,13.53,13.65,13.55,13.31,352912.31,0.21,1.57,13.482,13.681,13.684,546727.41,575544.64,547604.73,0.61
2018-01-11,13.69,13.87,13.34,13.16,538768.19,-0.23,-1.7,13.53,13.73,13.693,590794.06,614497.04,569927.79,0.93
2018-01-10,13.46,13.7,13.57,13.36,520400.88,0.13,0.97,13.594,13.741,13.703,628900.14,591953.78,572214.79,0.9
2018-01-09,13.52,13.52,13.44,13.12,623736.25,-0.07,-0.52,13.638,13.75,13.69,670370.57,587500.32,572690.75,1.07
2018-01-08,13.66,13.98,13.51,13.3,697819.44,-0.28,-2.03,13.766,13.771,13.69,655782.61,556533.47,589062.29,1.2
2018-01-05,13.65,14.1,13.79,13.52,573245.56,0.13,0.95,13.88,13.803,13.665,604361.87,518007.15,592402.17,0.99
2018-01-04,13.85,13.86,13.66,13.51,729298.56,-0.13,-0.94,13.93,13.824,13.61,638200.02,529784.45,588801.16,1.26
2018-01-03,14.15,14.29,13.79,13.73,727753.06,-0.29,-2.06,13.888,13.819,13.574,555007.43,494981.7,578292.37,1.25
2018-01-02,14.11,14.51,14.08,13.98,550796.44,0.0,0.0,13.862,13.794,13.518,504630.07,460244.22,568017.96,0.95
2017-12-29,14.04,14.35,14.08,13.91,440715.75,0.04,0.28,13.776,13.718,13.447,457284.33,456859.92,569982.32,0.76
2017-12-28,13.51,14.17,14.04,13.35,742436.31,0.59,4.39,13.726,13.687,13.39,431652.43,519664.82,587966.85,1.28
2017-12-27,13.62,13.64,13.45,13.37,313335.59,-0.21,-1.54,13.718,13.655,13.288,421368.88,525358.54,567720.9,0.54
2017-12-26,13.69,13.77,13.66,13.26,475866.28,0.01,0.07,13.75,13.664,13.221,434955.98,552475.79,567924.02,0.82
2017-12-25,13.99,14.09,13.65,13.48,314067.72,-0.18,-1.3,13.726,13.63,13.15,415858.36,557881.17,567182.13,0.54
2017-12-22,14.01,14.04,13.83,13.65,312556.25,-0.17,-1.21,13.66,13.609,13.061,456435.52,621591.12,580083.83,0.54
2017-12-21,13.48,14.05,14.0,13.48,691018.56,0.39,2.87,13.648,13.526,13.005,607677.22,666797.18,588548.45,1.19
2017-12-20,13.68,13.73,13.61,13.44,381271.09,0.07,0.52,13.592,13.396,12.933,629348.21,647817.87,586848.23,0.66
2017-12-19,13.37,13.64,13.54,13.12,380378.16,0.22,1.65,13.578,13.329,12.929,669995.6,661603.02,593787.31,0.66
2017-12-18,13.56,13.71,13.32,13.03,516953.53,-0.45,-3.27,13.534,13.241,12.936,699903.98,675791.7,612217.79,0.89
2017-12-15,13.67,13.91,13.77,13.38,1068764.75,0.05,0.36,13.558,13.175,12.924,786746.71,683104.71,617737.51,1.84
2017-12-14,13.5,14.09,13.72,13.35,799373.5,0.18,1.33,13.404,13.092,12.867,725917.15,656268.87,609644.87,1.38
2017-12-13,13.29,13.56,13.54,12.98,584508.06,0.22,1.65,13.2,12.92,12.786,666287.54,610083.26,591548.26,1.01
2017-12-12,13.44,13.74,13.32,13.28,529920.06,-0.12,-0.89,13.08,12.778,12.715,653210.45,583372.24,587203.12,0.91
2017-12-11,12.98,13.85,13.44,12.98,951167.19,0.44,3.38,12.948,12.669,12.668,651679.42,576483.09,595482.44,1.64
2017-12-08,12.6,13.13,13.0,12.47,764616.94,0.3,2.36,12.792,12.513,12.611,579462.71,538576.54,579527.69,1.32
2017-12-07,12.8,12.93,12.7,12.58,501225.47,-0.24,-1.85,12.78,12.484,12.569,586620.59,510299.71,573700.7,0.86
2017-12-06,12.69,13.02,12.94,12.5,519122.59,0.28,2.21,12.64,12.469,12.536,553878.98,525878.59,572818.51,0.89
2017-12-05,12.51,13.05,12.66,12.47,522264.91,0.0,0.0,12.476,12.528,12.5,513534.03,525971.6,568601.53,0.9
2017-12-04,12.91,13.0,12.66,12.58,590083.62,-0.28,-2.16,12.39,12.63,12.49,501286.76,548643.88,565636.45,1.02
2017-12-01,12.19,13.09,12.94,12.14,800406.38,0.94,7.83,12.234,12.672,12.48,497690.38,552370.3,574669.65,1.38
2017-11-30,12.11,12.45,12.0,11.55,337517.41,-0.12,-0.99,12.188,12.641,12.428,433978.83,563020.87,553923.01,0.58
2017-11-29,12.28,12.47,12.12,11.98,317397.84,-0.11,-0.9,12.298,12.652,12.42,497878.2,573013.27,557306.99,0.55
2017-11-28,11.93,12.38,12.23,11.92,461028.53,0.35,2.95,12.58,12.652,12.408,538409.17,591033.99,563007.2,0.79
2017-11-27,12.87,12.9,11.88,11.78,572101.75,-0.83,-6.53,12.87,12.667,12.391,596001.01,614481.79,563284.84,0.99
2017-11-24,12.58,13.07,12.71,12.53,481848.62,0.16,1.27,13.11,12.709,12.405,607050.22,620478.84,555001.49,0.83
2017-11-23,13.41,13.48,12.55,12.54,657014.25,-0.98,-7.24,13.094,12.654,12.375,692062.9,637101.68,544876.16,1.13
2017-11-22,13.65,13.74,13.53,13.38,520052.69,-0.15,-1.1,13.006,12.603,12.36,648148.33,619758.43,529666.3,0.9
2017-11-21,13.08,13.77,13.68,12.9,748987.75,0.6,4.59,12.724,12.472,12.291,643658.81,611231.45,522126.98,1.29
2017-11-20,12.54,13.18,13.08,12.4,627347.81,0.45,3.56,12.464,12.35,12.196,632962.57,582629.02,506137.91,1.08
