date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,5.62,5.65,5.55,5.55,58442.48,-0.07,-1.25,5.578,5.622,5.658,70953.61,67546.5,62666.52,0.94
2018-01-11,5.53,5.64,5.62,5.46,94551.93,0.09,1.63,5.608,5.621,5.675,76058.12,66822.56,62679.65,1.52
2018-01-10,5.53,5.57,5.53,5.48,66792.0,-0.03,-0.54,5.614,5.611,5.692,70488.18,63717.97,60966.95,1.07
2018-01-09,5.6,5.64,5.56,5.54,63068.68,-0.07,-1.24,5.65,5.616,5.711,70658.78,61960.48,62427.1,1.01
2018-01-08,5.7,5.7,5.63,5.57,71912.97,-0.07,-1.23,5.672,5.615,5.733,68492.62,62658.81,64709.01,1.15
2018-01-05,5.64,5.78,5.7,5.62,83965.03,0.05,0.89,5.666,5.622,5.755,64139.38,59914.73,70632.98,1.35
2018-01-04,5.68,5.7,5.65,5.63,66702.23,-0.06,-1.05,5.634,5.62,5.761,57587.0,57802.73,72029.65,1.07
2018-01-03,5.64,5.71,5.71,5.59,67645.01,0.04,0.7,5.608,5.628,5.762,56947.76,57211.82,72313.82,1.09
2018-01-02,5.65,5.69,5.67,5.58,52237.87,0.07,1.25,5.582,5.648,5.755,53262.18,58128.43,73145.95,0.84
2017-12-29,5.53,5.62,5.6,5.52,50146.75,0.06,1.08,5.558,5.664,5.761,56825.01,57880.71,73947.96,0.81
2017-12-28,5.55,5.57,5.54,5.51,51203.16,0.02,0.36,5.578,5.694,5.774,55690.08,57786.54,75322.96,0.82
2017-12-27,5.54,5.62,5.52,5.48,63506.02,-0.06,-1.07,5.606,5.728,5.788,58018.46,58536.73,80045.37,1.02
2017-12-26,5.53,5.64,5.58,5.53,49217.1,0.03,0.54,5.648,5.772,5.799,57475.88,58215.94,80653.12,0.79
2017-12-25,5.67,5.69,5.55,5.55,70052.0,-0.15,-2.63,5.714,5.805,5.812,62994.68,62893.73,81462.97,1.12
2017-12-22,5.67,5.75,5.7,5.64,44472.1,0.02,0.35,5.77,5.851,5.822,58936.41,66759.21,83203.64,0.71
2017-12-21,5.72,5.72,5.68,5.57,62845.1,-0.05,-0.87,5.81,5.888,5.837,59883.01,81351.23,88440.89,1.01
2017-12-20,5.88,5.89,5.73,5.73,60793.1,-0.18,-3.05,5.85,5.902,5.855,59054.99,86256.57,98640.39,0.98
2017-12-19,5.84,5.96,5.91,5.76,76811.12,0.08,1.37,5.896,5.895,5.855,58955.99,87415.82,100002.42,1.23
