date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,5.69,5.73,5.67,5.63,72400.24,-0.03,-0.53,5.692,5.693,5.664,78255.67,80408.34,78216.96,0.78
2018-01-11,5.65,5.72,5.7,5.59,82647.71,0.01,0.18,5.706,5.687,5.668,80556.56,81855.02,84918.3,0.89
2018-01-10,5.68,5.69,5.69,5.53,104704.52,-0.01,-0.17,5.718,5.675,5.661,83636.45,80775.57,83065.39,1.12
2018-01-09,5.68,5.72,5.7,5.65,56543.25,0.0,0.0,5.726,5.664,5.654,86727.48,76726.24,81627.73,0.61
2018-01-08,5.74,5.75,5.7,5.66,74982.64,-0.04,-0.7,5.71,5.659,5.654,87235.23,79604.98,83661.34,0.8
2018-01-05,5.75,5.78,5.74,5.68,83904.7,-0.02,-0.35,5.694,5.659,5.65,82561.0,78520.55,84479.02,0.9
2018-01-04,5.73,5.76,5.76,5.65,98047.16,0.03,0.52,5.668,5.644,5.643,83153.48,76198.73,85036.44,1.05
2018-01-03,5.6,5.78,5.73,5.6,120159.64,0.11,1.96,5.632,5.623,5.635,77914.68,73055.36,87033.77,1.29
2018-01-02,5.61,5.63,5.62,5.57,59082.0,0.0,0.0,5.602,5.616,5.628,66725.0,67689.02,84778.0,0.63
2017-12-29,5.57,5.64,5.62,5.57,51611.5,0.01,0.18,5.608,5.621,5.631,71974.73,70593.72,85260.45,0.55
2017-12-28,5.64,5.7,5.61,5.58,86867.1,0.03,0.54,5.624,5.634,5.637,74480.09,76025.58,86934.44,0.93
2017-12-27,5.58,5.62,5.58,5.53,71853.18,0.0,0.0,5.62,5.648,5.64,69243.97,87981.59,86763.87,0.77
2017-12-26,5.63,5.63,5.58,5.52,64211.23,-0.07,-1.24,5.614,5.646,5.644,68196.04,85355.22,87627.35,0.69
2017-12-25,5.63,5.68,5.65,5.51,85330.66,-0.05,-0.88,5.63,5.643,5.652,68653.04,86529.23,88615.59,0.91
2017-12-22,5.67,5.75,5.7,5.6,64138.3,0.11,1.97,5.634,5.648,5.656,69212.71,87717.69,88557.98,0.69
2017-12-21,5.59,5.62,5.59,5.51,60686.5,0.04,0.72,5.644,5.641,5.658,77571.07,90437.49,92172.13,0.65
2017-12-20,5.69,5.7,5.55,5.53,66613.5,-0.11,-1.94,5.676,5.641,5.667,106719.2,93874.15,95603.04,0.71
2017-12-19,5.66,5.72,5.66,5.64,66496.26,-0.01,-0.18,5.678,5.646,5.68,102514.39,101012.17,96678.72,0.71
2017-12-18,5.76,5.78,5.67,5.59,88129.0,-0.08,-1.39,5.656,5.64,5.694,104405.42,101866.99,98741.64,0.94
2017-12-15,5.71,5.84,5.75,5.71,105930.07,0.0,0.0,5.662,5.641,5.713,106222.67,99927.17,100100.39,1.14
2017-12-14,5.54,5.82,5.75,5.5,206427.16,0.19,3.42,5.638,5.639,5.728,103303.9,97843.3,101475.73,2.21
2017-12-13,5.55,5.59,5.56,5.52,45589.48,0.01,0.18,5.606,5.631,5.756,81029.11,85546.16,94677.81,0.49
2017-12-12,5.66,5.69,5.55,5.52,75951.37,-0.15,-2.63,5.614,5.642,5.795,99509.95,89899.48,96454.3,0.81
2017-12-11,5.62,5.72,5.7,5.6,97215.27,0.07,1.24,5.624,5.661,5.835,99328.55,90701.94,99159.2,1.04
2017-12-08,5.61,5.65,5.63,5.53,91336.24,0.04,0.72,5.62,5.663,5.874,93631.66,89398.26,102879.81,0.98
2017-12-07,5.55,5.68,5.59,5.5,95053.18,-0.01,-0.18,5.64,5.674,5.928,92382.7,93906.78,104831.52,1.02
2017-12-06,5.6,5.6,5.6,5.31,137993.67,0.0,0.0,5.656,5.692,5.98,90063.22,97331.93,105081.11,1.48
2017-12-05,5.66,5.69,5.6,5.59,75044.41,-0.08,-1.41,5.67,5.714,6.034,80289.0,92345.26,105514.3,0.8
2017-12-04,5.72,5.73,5.68,5.6,68730.82,-0.05,-0.87,5.698,5.747,6.092,82075.33,95616.29,109716.63,0.74
2017-12-01,5.64,5.76,5.73,5.62,85091.42,0.06,1.06,5.706,5.785,6.143,85164.86,100273.62,115002.6,0.91
2017-11-30,5.67,5.68,5.67,5.61,83455.78,0.0,0.0,5.708,5.816,6.192,95430.86,105108.15,127597.8,0.89
2017-11-29,5.76,5.77,5.67,5.61,89122.59,-0.07,-1.22,5.728,5.88,6.223,104600.63,103809.46,126659.93,0.96
2017-11-28,5.71,5.78,5.74,5.66,83976.04,0.02,0.35,5.758,5.948,6.258,104401.52,103009.12,125453.63,0.9
2017-11-27,5.75,5.8,5.72,5.65,84178.46,-0.02,-0.35,5.796,6.009,6.289,109157.25,107616.47,124223.42,0.9
2017-11-24,5.8,5.8,5.74,5.62,136421.41,-0.03,-0.52,5.864,6.085,6.319,115382.39,116361.36,126944.88,1.46
2017-11-23,5.8,5.98,5.77,5.76,129304.67,-0.05,-0.86,5.924,6.182,6.36,114785.44,115756.27,125226.76,1.39
2017-11-22,5.92,6.01,5.82,5.82,88127.02,-0.11,-1.85,6.032,6.268,6.406,103018.29,112830.3,122991.6,0.94
2017-11-21,6.07,6.1,5.93,5.86,107754.7,-0.13,-2.15,6.138,6.354,6.45,101616.71,118683.33,122348.03,1.16
2017-11-20,6.04,6.13,6.06,5.8,115304.14,0.02,0.33,6.222,6.436,6.485,106075.68,123816.96,121142.93,1.24
2017-11-17,6.33,6.36,6.04,5.93,133436.69,-0.27,-4.28,6.306,6.5,6.521,117340.34,129731.57,119072.04,1.43
2017-11-16,6.35,6.37,6.31,6.28,70468.9,-0.04,-0.63,6.44,6.567,6.553,116727.09,150087.44,115834.65,0.76
2017-11-15,6.35,6.45,6.35,6.32,81119.14,0.0,0.0,6.504,6.566,6.567,122642.32,149510.39,120184.51,0.87
2017-11-14,6.48,6.48,6.35,6.32,130049.54,-0.13,-2.01,6.57,6.567,6.59,135749.95,147898.15,120538.3,1.39
2017-11-13,6.71,6.75,6.48,6.46,171627.42,-0.23,-3.43,6.65,6.569,6.617,141558.25,140830.37,118199.49,1.84
2017-11-10,6.61,6.77,6.71,6.57,130370.46,0.08,1.21,6.694,6.552,6.636,142122.81,137528.4,119259.7,1.4
2017-11-09,6.65,6.66,6.63,6.56,100045.02,-0.05,-0.75,6.694,6.538,6.657,183447.79,134697.25,120407.33,1.07
