date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,34.9,35.76,34.75,34.7,17120.11,-0.15,-0.43,34.456,34.788,34.933,14336.86,13026.73,13467.46,0.68
2018-01-11,33.65,35.2,34.9,33.65,21230.85,0.73,2.14,34.516,34.813,34.946,13156.08,12761.17,13468.06,0.84
2018-01-10,33.72,34.65,34.17,33.72,10126.03,0.23,0.68,34.618,34.731,34.987,11482.73,11740.06,14027.7,0.4
2018-01-09,34.27,34.42,33.94,33.81,10361.81,-0.58,-1.68,34.862,34.79,35.017,12527.52,11645.27,14793.02,0.41
2018-01-08,35.2,35.2,34.52,33.85,12845.49,-0.53,-1.51,35.052,34.826,35.059,12044.26,12139.0,16479.48,0.51
2018-01-05,35.2,35.8,35.05,34.91,11216.2,-0.36,-1.02,35.12,34.919,34.958,11716.6,12045.05,16467.41,0.45
2018-01-04,35.34,35.8,35.41,35.1,12864.1,0.02,0.06,35.11,34.933,34.818,12366.26,12074.38,16444.83,0.51
2018-01-03,34.99,35.5,35.39,34.68,15349.98,0.5,1.43,34.844,34.93,34.669,11997.39,12049.06,17068.61,0.61
2018-01-02,35.15,35.28,34.89,34.64,7945.55,0.03,0.09,34.718,34.984,34.509,10763.03,12990.05,17199.67,0.32
2017-12-29,35.29,35.29,34.86,34.5,11207.16,-0.14,-0.4,34.6,35.054,34.456,12233.73,13848.44,17514.2,0.45
2017-12-28,33.51,35.09,35.0,33.51,14464.53,0.92,2.7,34.718,35.078,34.442,12373.51,13908.19,17992.01,0.57
2017-12-27,34.77,34.9,34.08,33.73,11019.74,-0.68,-1.96,34.756,35.079,34.371,11782.5,14174.94,17799.62,0.44
2017-12-26,34.31,35.1,34.76,34.31,9178.18,0.46,1.34,35.016,35.243,34.339,12100.73,16315.34,17988.76,0.36
2017-12-25,35.43,35.43,34.3,34.3,15299.05,-1.15,-3.24,35.25,35.244,34.302,15217.07,17940.77,18598.0,0.61
2017-12-22,35.25,35.98,35.45,35.22,11906.04,0.26,0.74,35.508,35.292,34.271,15463.14,20819.95,18471.9,0.47
2017-12-21,35.45,35.63,35.19,34.7,11509.47,-0.19,-0.54,35.438,34.997,34.217,15442.88,20889.77,18855.24,0.46
2017-12-20,35.59,35.78,35.38,34.83,12610.91,-0.55,-1.53,35.402,34.703,34.22,16567.39,20815.29,19694.18,0.5
2017-12-19,35.41,36.5,35.93,35.0,24759.88,0.34,0.95,35.47,34.408,34.198,20529.94,22088.17,20015.61,0.98
2017-12-18,34.74,35.63,35.59,34.7,16529.39,0.49,1.4,35.238,34.033,34.106,20664.48,21409.3,19561.54,0.66
2017-12-15,35.01,35.2,35.1,34.55,11804.74,0.09,0.26,35.076,33.858,34.027,26176.77,21179.96,19389.21,0.47
2017-12-14,35.73,35.74,35.01,34.7,17132.03,-0.71,-1.99,34.556,33.806,33.943,26336.67,22075.84,20051.83,0.68
2017-12-13,34.76,35.79,35.72,34.41,32423.67,0.95,2.73,34.004,33.662,33.962,25063.18,21424.3,19928.19,1.29
2017-12-12,34.29,34.95,34.77,34.04,25432.56,-0.01,-0.03,33.346,33.435,33.942,23646.39,19662.19,19435.3,1.01
2017-12-11,32.96,35.04,34.78,32.65,44090.85,2.28,7.01,32.828,33.359,34.042,22154.12,19255.23,18904.11,1.75
2017-12-08,32.3,33.08,32.5,32.3,12604.22,0.25,0.78,32.64,33.249,34.129,16183.15,16123.84,18023.24,0.5
2017-12-07,32.01,32.53,32.25,31.9,10764.62,-0.18,-0.56,33.056,33.437,34.383,17815.0,16820.71,18227.43,0.43
2017-12-06,32.29,32.87,32.43,30.96,25339.7,0.25,0.78,33.32,33.736,34.645,17785.42,18573.07,18516.29,1.01
2017-12-05,33.78,33.97,32.18,32.0,17971.2,-1.66,-4.91,33.524,33.987,34.898,15677.99,17943.05,18308.12,0.71
2017-12-04,34.3,34.45,33.84,33.56,14235.99,-0.74,-2.14,33.89,34.179,35.154,16356.34,17713.79,19699.57,0.57
2017-12-01,33.48,34.7,34.58,33.32,20763.51,1.01,3.01,33.858,34.195,35.396,16064.54,17598.46,20242.24,0.83
2017-11-30,33.49,34.1,33.57,33.47,10616.69,0.12,0.36,33.818,34.08,35.623,15826.42,18027.82,21112.15,0.42
2017-11-29,34.39,34.39,33.45,33.03,14802.57,-0.56,-1.65,34.152,34.261,36.035,19360.72,18432.07,22235.61,0.59
2017-11-28,33.68,34.92,34.01,33.68,21362.93,0.33,0.98,34.45,34.449,36.447,20208.1,19208.42,23404.76,0.85
2017-11-27,34.39,34.4,33.68,33.45,12777.0,-0.7,-2.04,34.468,34.725,36.834,19071.24,18552.99,24964.23,0.51
2017-11-24,35.3,36.25,34.38,34.12,19572.93,-0.86,-2.44,34.532,35.009,37.157,19132.39,19922.63,26034.04,0.78
2017-11-23,34.94,36.5,35.24,34.56,28288.16,0.3,0.86,34.342,35.328,37.469,20229.21,19634.15,28007.68,1.12
2017-11-22,34.1,34.99,34.94,33.92,19039.48,0.84,2.46,34.37,35.554,37.634,17503.43,18459.52,27357.58,0.76
2017-11-21,34.0,34.76,34.1,33.81,15678.63,0.1,0.29,34.448,35.809,37.799,18208.74,18673.2,27089.49,0.62
2017-11-20,33.43,34.0,34.0,32.51,13082.74,0.57,1.71,34.982,36.128,37.996,18034.73,21685.36,27447.67,0.52
2017-11-17,35.38,35.47,33.43,33.3,25057.06,-1.95,-5.51,35.486,36.597,38.242,20712.87,22886.01,28139.04,1.0
2017-11-16,35.24,35.6,35.38,35.1,14659.23,0.05,0.14,36.314,37.166,38.536,19039.09,24196.48,27704.03,0.58
2017-11-15,36.77,37.12,35.33,35.0,22566.02,-1.44,-3.92,36.738,37.808,38.697,19415.6,26039.14,27778.35,0.9
2017-11-14,36.56,37.26,36.77,36.56,14808.61,0.25,0.69,37.17,38.445,38.892,19137.65,27601.09,27896.45,0.59
2017-11-13,37.45,37.45,36.52,36.22,26473.44,-1.05,-2.79,37.274,38.942,38.991,25335.98,31375.47,27894.13,1.05
2017-11-10,37.33,37.87,37.57,37.2,16688.13,0.07,0.19,37.708,39.305,39.089,25059.16,32145.46,27861.68,0.66
2017-11-09,37.25,37.66,37.5,37.01,16541.81,0.01,0.03,38.018,39.61,39.195,29353.88,36381.21,28130.15,0.66
2017-11-08,37.3,37.8,37.49,37.27,21176.28,0.2,0.54,38.878,39.713,39.289,32662.69,36255.64,28861.62,0.84
2017-11-07,38.58,38.98,37.29,36.52,45800.26,-1.4,-3.62,39.72,39.788,39.374,36064.54,35505.79,29993.87,1.82
2017-11-06,38.5,39.35,38.69,38.34,25089.3,-0.43,-1.1,40.61,39.863,39.613,37414.95,33209.98,28985.27,1.0
