date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,9.5,9.6,9.34,9.32,138772.55,-0.23,-2.4,9.294,9.273,9.186,121928.34,105779.61,86424.81,3.15
2018-01-11,9.08,9.82,9.57,9.03,220536.8,0.44,4.82,9.28,9.242,9.191,108262.06,98417.17,82709.91,5.0
2018-01-10,9.25,9.26,9.13,9.06,73027.42,-0.09,-0.98,9.236,9.174,9.187,81286.55,82064.47,75585.53,1.66
2018-01-09,9.21,9.3,9.22,9.11,79476.93,0.01,0.11,9.27,9.159,9.196,86860.42,80088.24,76388.27,1.8
2018-01-08,9.26,9.26,9.21,9.05,97828.01,-0.06,-0.65,9.28,9.125,9.213,95976.43,82083.24,77080.72,2.22
2018-01-05,9.28,9.35,9.27,9.22,70441.12,-0.08,-0.86,9.252,9.119,9.224,89630.88,76344.47,77126.08,1.6
2018-01-04,9.28,9.38,9.35,9.24,85659.29,0.05,0.54,9.204,9.107,9.225,88572.27,75585.23,77912.86,1.94
2018-01-03,9.18,9.35,9.3,9.17,100896.77,0.03,0.32,9.112,9.084,9.231,82842.38,74871.16,80568.0,2.29
2018-01-02,9.08,9.36,9.27,9.01,125056.98,0.2,2.21,9.048,9.089,9.234,73316.06,72745.52,84569.06,2.84
2017-12-29,9.05,9.09,9.07,8.9,66100.24,0.04,0.44,8.97,9.077,9.271,68190.04,67190.23,83706.33,1.5
2017-12-28,8.92,9.06,9.03,8.88,65148.09,0.14,1.57,8.986,9.098,9.328,63058.06,67070.01,87056.99,1.48
2017-12-27,8.98,9.06,8.89,8.88,57009.8,-0.09,-1.0,9.01,9.139,9.373,62598.19,67002.66,87789.3,1.29
2017-12-26,8.88,9.02,8.98,8.8,53265.21,0.1,1.13,9.056,9.2,9.429,66899.95,69106.6,89310.69,1.21
2017-12-25,9.18,9.2,8.88,8.82,99426.84,-0.27,-2.95,9.13,9.232,9.481,72174.97,72688.3,90347.93,2.26
2017-12-22,9.14,9.26,9.15,9.11,40440.35,0.0,0.0,9.184,9.301,9.529,66190.42,72078.2,89589.26,0.92
2017-12-21,9.06,9.23,9.15,9.0,62848.77,0.03,0.33,9.21,9.328,9.575,71081.96,77907.68,93059.57,1.43
2017-12-20,9.3,9.33,9.12,9.06,78518.59,-0.23,-2.46,9.268,9.343,9.613,71407.13,80240.49,98413.49,1.78
2017-12-19,9.2,9.42,9.35,9.08,79640.28,0.2,2.19,9.344,9.378,9.679,71313.24,86264.83,100247.97,1.81
2017-12-18,9.28,9.35,9.15,9.09,69504.12,-0.13,-1.4,9.334,9.378,9.739,73201.62,96392.6,102374.01,1.58
2017-12-15,9.42,9.44,9.28,9.24,64898.06,-0.16,-1.7,9.418,9.464,9.814,77965.98,100222.43,105191.53,1.47
2017-12-14,9.5,9.55,9.44,9.34,64474.58,-0.06,-0.63,9.446,9.557,9.874,84733.4,107043.97,111399.7,1.46
2017-12-13,9.26,9.52,9.5,9.25,78049.16,0.2,2.15,9.418,9.606,9.958,89073.85,108575.95,123623.68,1.77
2017-12-12,9.61,9.61,9.3,9.29,89082.2,-0.27,-2.82,9.412,9.658,10.024,101216.43,109514.79,127018.96,2.02
2017-12-11,9.46,9.67,9.57,9.42,93325.92,0.15,1.59,9.422,9.73,10.089,119583.58,108007.56,130975.38,2.12
2017-12-08,9.24,9.56,9.42,9.24,98735.15,0.12,1.29,9.51,9.757,10.162,122478.88,107100.32,133337.59,2.24
2017-12-07,9.4,9.46,9.3,9.25,86176.84,-0.17,-1.79,9.668,9.822,10.238,129354.53,108211.45,136215.7,1.95
2017-12-06,9.33,9.49,9.47,8.98,138762.03,0.12,1.28,9.794,9.882,10.317,128078.04,116586.49,138113.93,3.15
2017-12-05,10.01,10.01,9.35,9.18,180917.95,-0.66,-6.59,9.904,9.979,10.384,117813.15,114231.11,139221.17,4.1
2017-12-04,10.16,10.2,10.01,9.96,107802.44,-0.2,-1.96,10.038,10.1,10.452,96431.55,108355.43,135554.64,2.44
2017-12-01,9.92,10.25,10.21,9.83,133113.38,0.28,2.82,10.004,10.164,10.482,91721.76,110160.63,135339.5,3.02
2017-11-30,10.02,10.12,9.93,9.88,79794.42,-0.09,-0.9,9.976,10.191,10.493,87068.38,115755.44,134319.24,1.81
2017-11-29,9.99,10.04,10.02,9.78,87437.57,0.0,0.0,9.97,10.309,10.514,105094.94,138671.41,140143.08,1.98
2017-11-28,9.8,10.05,10.02,9.8,74009.94,0.18,1.83,10.054,10.389,10.554,110649.08,144523.14,142041.63,1.68
2017-11-27,10.0,10.14,9.84,9.82,84253.47,-0.23,-2.28,10.162,10.447,10.602,120279.3,153943.19,143720.0,1.91
2017-11-24,9.96,10.27,10.07,9.92,109846.48,0.17,1.72,10.324,10.566,10.655,128599.5,159574.85,149679.05,2.49
2017-11-23,10.3,10.42,9.9,9.83,169927.23,-0.54,-5.17,10.406,10.654,10.728,144442.5,164219.95,150409.65,3.85
2017-11-22,10.56,10.63,10.44,10.34,115208.26,-0.12,-1.14,10.648,10.752,10.815,172247.88,159641.37,149862.13,2.61
2017-11-21,10.58,10.66,10.56,10.31,122161.06,-0.09,-0.84,10.724,10.788,10.868,178397.2,164211.22,150790.72,2.77
2017-11-20,10.37,10.68,10.65,10.02,125854.46,0.17,1.62,10.732,10.803,10.908,187607.09,162753.86,161340.87,2.85
2017-11-17,11.08,11.08,10.48,10.44,189061.48,-0.63,-5.67,10.808,10.799,10.973,190550.21,160518.37,161315.36,4.29
2017-11-16,10.88,11.4,11.11,10.86,308954.12,0.29,2.68,10.902,10.794,11.039,183997.41,152883.04,157921.32,7.01
2017-11-15,10.6,10.82,10.82,10.42,145954.89,0.22,2.08,10.856,10.719,11.065,147034.86,141614.75,157471.59,3.31
2017-11-14,11.0,11.0,10.6,10.57,168210.48,-0.43,-3.9,10.852,10.719,11.129,150025.25,139560.13,162323.36,3.82
2017-11-13,10.92,11.08,11.03,10.92,140570.08,0.08,0.73,10.874,10.757,11.227,137900.63,133496.81,163730.91,3.19
2017-11-10,10.88,11.08,10.95,10.83,156297.47,0.07,0.64,10.79,10.743,11.295,130486.53,139783.25,173450.38,3.54
2017-11-09,10.76,10.99,10.88,10.69,124141.36,0.08,0.74,10.686,10.801,11.388,121768.67,136599.35,179420.18,2.82
2017-11-08,10.74,10.99,10.8,10.67,160906.84,0.09,0.84,10.582,10.878,11.491,136194.65,140082.9,196379.98,3.65
2017-11-07,10.54,10.72,10.71,10.51,107587.39,0.1,0.94,10.586,10.947,11.588,129095.01,137370.21,214184.3,2.44
2017-11-06,10.43,10.64,10.61,10.4,103499.58,0.18,1.73,10.64,11.013,11.717,129092.98,159927.88,256626.42,2.35
2017-11-03,10.39,10.48,10.43,10.29,112708.2,0.07,0.68,10.696,11.147,11.846,149079.98,162112.35,312387.61,2.56
2017-11-02,10.7,10.79,10.36,10.35,196271.22,-0.46,-4.25,10.916,11.284,11.925,151430.03,162959.6,320497.22,4.45
2017-11-01,10.95,11.02,10.82,10.81,125408.66,-0.16,-1.46,11.174,11.411,12.015,143971.15,173328.44,325915.1,2.84
2017-10-31,10.89,11.05,10.98,10.78,107577.26,0.09,0.83,11.308,11.539,12.064,145645.42,185086.59,327926.01,2.44
2017-10-30,11.53,11.64,10.89,10.74,203434.55,-0.64,-5.55,11.386,11.696,12.101,190762.78,193965.02,333836.15,4.61
2017-10-27,11.65,11.74,11.53,11.4,124458.47,-0.12,-1.03,11.598,11.847,12.154,175144.71,207117.51,338954.9,2.82
