date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,34.99,35.18,33.84,33.53,176353.78,-0.77,-2.23,34.238,33.347,33.033,224318.62,164898.45,166535.49,7.26
2018-01-11,34.5,35.1,34.61,34.17,173854.66,-0.3,-0.86,33.888,33.097,32.92,212614.39,157033.64,163434.02,7.16
2018-01-10,33.91,35.26,34.91,33.61,283037.72,0.45,1.31,33.536,32.742,32.809,201371.36,149616.58,159856.31,11.66
2018-01-09,33.35,35.11,34.46,33.11,322799.19,1.09,3.27,33.158,32.429,32.659,171186.21,136041.76,152486.35,13.29
2018-01-08,32.04,33.47,33.37,31.71,165547.77,1.28,3.99,32.726,32.279,32.579,122064.6,117523.6,143185.82,6.82
2018-01-05,32.54,32.76,32.09,31.91,117832.61,-0.76,-2.31,32.456,32.226,32.548,105478.27,112165.66,143826.72,4.85
2018-01-04,32.91,33.24,32.85,32.5,117639.53,-0.17,-0.52,32.306,32.334,32.598,101452.88,117714.64,149200.56,4.84
2018-01-03,32.4,33.3,33.02,32.02,132111.95,0.72,2.23,31.948,32.419,32.609,97861.79,128151.15,155111.92,5.44
2018-01-02,32.17,32.49,32.3,31.88,77191.15,0.28,0.87,31.7,32.492,32.507,100897.3,132920.35,155821.48,3.18
2017-12-29,31.09,32.14,32.02,31.01,82616.13,0.68,2.17,31.832,32.59,32.495,112982.6,146822.43,162384.43,3.4
2017-12-28,31.3,31.96,31.34,31.26,97705.66,0.28,0.9,31.996,32.718,32.444,118853.04,168172.54,164096.96,4.02
2017-12-27,31.75,32.18,31.06,31.03,99684.05,-0.72,-2.27,32.362,32.742,32.37,133976.39,169834.41,163740.46,4.11
2017-12-26,32.6,32.8,31.78,30.6,147289.52,-1.18,-3.58,32.89,32.876,32.292,158440.51,170096.04,162779.18,6.07
2017-12-25,32.72,33.81,32.96,32.5,137617.62,0.12,0.36,33.284,32.889,32.2,164943.4,168930.94,160101.08,5.67
2017-12-22,32.85,33.3,32.84,32.39,111968.34,-0.33,-0.99,33.348,32.878,32.01,180662.26,168848.03,160833.43,4.61
2017-12-21,33.01,33.4,33.17,32.16,173322.44,-0.53,-1.57,33.44,32.869,31.918,217492.04,175487.78,161744.45,7.14
2017-12-20,33.87,34.55,33.7,33.4,222004.64,-0.05,-0.15,33.122,32.862,31.85,205692.42,180686.47,161777.56,9.14
2017-12-19,33.0,33.75,33.75,32.54,179803.98,0.47,1.41,32.862,32.799,31.812,181751.57,182072.69,163288.97,7.41
2017-12-18,32.94,33.77,33.28,32.7,216211.88,-0.02,-0.06,32.494,32.522,31.716,172918.47,178722.62,161300.63,8.9
2017-12-15,31.26,33.8,33.3,31.26,296117.25,1.72,5.45,32.408,32.399,31.662,157033.81,177946.43,158907.0,12.2
2017-12-14,32.3,32.3,31.58,31.38,114324.33,-0.82,-2.53,32.298,32.169,31.532,133483.52,160021.37,154476.51,4.71
2017-12-13,31.6,32.44,32.4,31.52,102300.41,0.49,1.54,32.602,31.997,31.593,155680.53,157646.51,157332.86,4.21
2017-12-12,32.85,32.97,31.91,31.89,135638.5,-0.94,-2.86,32.736,31.707,31.609,182393.8,155462.32,163950.77,5.59
2017-12-11,32.51,32.85,32.85,32.02,136788.56,0.1,0.3,32.55,31.51,31.732,184526.76,151271.22,174497.92,5.63
2017-12-08,32.7,33.64,32.75,32.41,178365.8,-0.35,-1.06,32.39,31.141,31.732,198859.06,152818.83,179257.78,7.35
2017-12-07,32.6,33.69,33.1,32.4,225309.36,0.03,0.09,32.04,30.967,31.694,186559.23,148001.12,178817.96,9.28
2017-12-06,31.31,33.5,33.07,31.25,235866.8,2.09,6.75,31.392,30.837,31.601,159612.49,142868.66,173736.0,9.71
2017-12-05,31.9,32.62,30.98,30.36,146303.27,-1.07,-3.34,30.678,30.825,31.497,128530.84,144505.26,169865.45,6.03
2017-12-04,31.35,33.56,32.05,31.06,208450.05,1.05,3.39,30.47,30.91,31.519,118015.69,143878.64,174995.72,8.58
2017-12-01,29.82,31.15,31.0,29.57,116866.66,1.14,3.82,29.892,30.925,31.415,106778.6,139867.57,172951.67,4.81
2017-11-30,29.51,30.49,29.86,29.47,90575.69,0.36,1.22,29.894,30.895,31.349,109443.01,148931.64,177822.86,3.73
2017-11-29,29.89,30.14,29.5,29.05,80458.55,-0.44,-1.47,30.282,31.188,31.285,126124.82,157019.2,179364.35,3.31
2017-11-28,29.2,30.15,29.94,29.17,93727.49,0.78,2.67,30.972,31.511,31.252,160479.67,172439.22,180467.81,3.86
2017-11-27,30.56,30.79,29.16,29.01,152264.62,-1.85,-5.97,31.35,31.953,31.144,169741.58,197724.61,177332.95,6.27
2017-11-24,31.48,32.68,31.01,30.9,130188.72,-0.79,-2.48,31.958,32.323,31.076,172956.54,205696.74,172412.46,5.36
2017-11-23,33.01,33.45,31.8,31.8,173984.73,-1.15,-3.49,31.896,32.42,30.927,188420.27,209634.8,168440.05,7.17
2017-11-22,31.74,33.23,32.95,31.31,252232.8,1.12,3.52,32.094,32.365,30.737,187913.59,204603.34,161771.78,10.39
2017-11-21,32.0,32.48,31.83,31.41,140037.05,-0.37,-1.15,32.05,32.168,30.471,184398.77,195225.64,150322.8,5.77
2017-11-20,30.85,32.2,32.2,30.5,168339.42,1.5,4.89,32.556,32.128,30.253,225707.64,206112.81,145225.48,7.21
2017-11-17,32.9,32.9,30.7,30.25,207507.36,-2.09,-6.37,32.688,31.905,30.029,238436.93,206035.76,138269.95,8.88
2017-11-16,32.6,33.26,32.79,31.82,171451.31,0.06,0.18,32.944,31.802,29.882,230849.33,206714.07,129525.92,7.34
2017-11-15,33.8,34.18,32.73,32.58,234658.69,-1.63,-4.74,32.636,31.382,29.616,221293.09,201709.49,124118.07,10.04
2017-11-14,33.7,35.68,34.36,33.2,346581.44,1.5,4.57,32.286,30.993,29.389,206052.51,188496.4,115989.57,14.83
2017-11-13,32.81,33.6,32.86,32.18,231985.84,0.88,2.75,31.7,30.335,29.101,186517.98,156941.29,101904.21,9.93
2017-11-10,31.28,32.38,31.98,30.85,169569.36,0.73,2.34,31.122,29.829,28.909,173634.59,139128.19,99390.55,7.26
2017-11-09,30.89,31.71,31.25,30.87,123670.1,0.27,0.87,30.66,29.434,28.724,182578.81,127245.31,92817.99,5.29
2017-11-08,31.0,31.66,30.98,30.88,158455.83,-0.45,-1.43,30.128,29.109,28.58,182125.89,118940.22,89322.8,6.78
2017-11-07,30.1,32.8,31.43,29.39,248908.77,1.46,4.87,29.7,28.773,28.451,170940.29,105419.96,85096.94,10.65
2017-11-06,30.18,30.57,29.97,29.67,167568.91,0.3,1.01,28.97,28.377,28.337,127364.6,84338.14,76762.33,7.17
2017-11-03,28.76,30.36,29.67,28.76,214290.42,1.08,3.78,28.536,28.152,28.265,104621.79,70504.13,73466.36,9.17
2017-11-02,29.0,29.55,28.59,28.59,121405.53,-0.25,-0.87,28.208,27.961,28.22,71911.81,52337.77,67331.5,5.2
2017-11-01,27.69,29.07,28.84,27.69,102527.8,1.06,3.82,28.09,27.849,28.222,55754.55,46526.64,67090.83,4.39
2017-10-31,27.55,27.99,27.78,27.36,31030.32,-0.02,-0.07,27.846,27.784,28.178,39899.64,43482.74,64260.86,1.33
2017-10-30,28.05,28.13,27.8,26.92,53854.88,-0.23,-0.82,27.784,27.866,28.172,41311.68,46867.14,65790.77,2.31
2017-10-27,28.18,28.52,28.03,27.9,50740.53,0.03,0.11,27.768,27.989,28.182,36386.47,59652.92,68735.12,2.17
2017-10-26,27.64,28.14,28.0,27.63,40619.2,0.38,1.38,27.714,28.014,28.191,32763.72,58390.67,70419.15,1.74
2017-10-25,27.5,27.76,27.62,27.47,23253.27,0.15,0.55,27.608,28.05,28.176,37298.74,59705.38,71593.27,1.0
2017-10-24,27.69,27.89,27.47,27.43,38090.53,-0.25,-0.9,27.722,28.129,28.205,47065.83,64773.91,77151.28,1.63
2017-10-23,27.72,27.99,27.72,27.58,29228.83,-0.04,-0.14,27.948,28.296,28.2,52422.59,69186.51,79072.81,1.25
2017-10-20,27.49,27.77,27.76,27.4,32626.78,0.29,1.06,28.21,28.378,28.206,82919.36,76428.59,85726.06,1.4
2017-10-19,28.09,28.09,27.47,27.35,63294.28,-0.72,-2.55,28.314,28.479,28.157,84017.62,82325.24,85817.0,2.71
2017-10-18,28.6,29.28,28.19,28.15,72088.73,-0.41,-1.43,28.492,28.594,28.108,82112.02,87655.02,84436.14,3.09
2017-10-17,28.95,28.95,28.6,28.25,64874.33,-0.43,-1.48,28.536,28.571,28.037,82481.99,85038.98,82053.91,2.78
2017-10-16,28.46,29.98,29.03,28.46,181712.69,0.75,2.65,28.644,28.477,27.944,85950.44,84714.41,80703.29,7.78
2017-10-13,28.36,28.56,28.28,28.11,38118.05,-0.08,-0.28,28.546,28.374,27.838,69937.82,77817.32,72880.02,1.63
2017-10-12,28.55,28.78,28.36,28.16,53766.28,-0.05,-0.18,28.644,28.367,27.761,80632.86,82447.63,72164.14,2.3
2017-10-11,28.96,28.96,28.41,28.37,73938.58,-0.73,-2.5,28.696,28.302,27.682,93198.03,83481.16,71747.94,3.16
2017-10-10,28.54,29.15,29.14,28.2,82216.59,0.6,2.1,28.606,28.281,27.618,87595.97,89528.65,71615.98,3.52
2017-10-09,29.17,29.59,28.54,28.5,101649.61,-0.23,-0.8,28.31,28.104,27.524,83478.37,88959.1,69401.51,4.35
2017-09-29,28.62,28.84,28.77,28.38,91593.22,0.15,0.52,28.202,28.034,27.473,85696.81,95023.53,67344.3,3.92
2017-09-28,27.96,28.84,28.62,27.8,116592.14,0.66,2.36,28.09,27.834,27.393,84262.41,89308.77,64127.62,4.99
2017-09-27,27.75,27.97,27.96,27.53,45928.3,0.3,1.08,27.908,27.622,27.325,73764.3,81217.25,60461.87,1.97
2017-09-26,27.75,27.75,27.66,27.25,61628.6,-0.34,-1.21,27.956,27.503,27.28,91461.34,79068.85,59281.55,2.64
2017-09-25,28.3,28.98,28.0,27.9,112741.81,-0.21,-0.74,27.898,27.41,27.242,94439.83,76692.17,57646.72,4.83
2017-09-22,27.87,28.37,28.21,27.7,84421.19,0.5,1.8,27.866,27.302,27.199,104350.25,67942.73,53676.76,3.61
2017-09-21,28.46,28.46,27.71,27.7,64101.6,-0.49,-1.74,27.578,27.155,27.134,94355.13,61880.65,50703.43,2.74
2017-09-20,27.27,28.52,28.2,27.2,134413.48,0.83,3.03,27.336,27.062,27.08,88670.2,60014.72,49212.36,5.75
2017-09-19,27.88,27.9,27.37,27.2,76521.05,-0.47,-1.69,27.05,26.955,27.025,66676.36,53703.31,43739.79,3.28
2017-09-18,28.0,28.78,27.84,27.63,162293.95,1.07,4.0,26.922,26.943,27.01,58944.51,49843.92,41569.64,6.95
2017-09-15,26.63,26.88,26.77,26.54,34445.55,0.27,1.02,26.738,26.912,26.98,31535.2,39665.07,34965.49,1.47
2017-09-14,26.77,26.8,26.5,26.47,35676.95,-0.27,-1.01,26.732,26.952,26.996,29406.18,38946.46,35633.92,1.53
2017-09-13,26.72,26.88,26.77,26.56,24444.29,0.04,0.15,26.788,27.027,27.048,31359.24,39706.49,38506.29,1.05
2017-09-12,26.93,27.05,26.73,26.6,37861.8,-0.19,-0.71,26.86,27.057,27.062,40730.27,39494.25,39685.14,1.62
2017-09-11,26.75,27.1,26.92,26.72,25247.39,0.18,0.67,26.964,27.074,27.071,40743.32,38601.28,39588.02,1.08
2017-09-08,26.7,26.95,26.74,26.6,23800.47,-0.04,-0.15,27.086,27.096,27.077,47794.95,39410.79,40376.62,1.02
2017-09-07,27.05,27.12,26.78,26.76,45442.27,-0.35,-1.29,27.172,27.113,27.085,48486.75,39526.2,41864.15,1.95
2017-09-06,26.97,27.24,27.13,26.65,71299.4,-0.12,-0.44,27.266,27.097,27.095,48053.73,38410.0,41470.98,3.05
2017-09-05,27.49,27.5,27.25,27.25,37927.08,-0.28,-1.02,27.254,27.094,27.092,38258.23,33776.26,39420.4,1.62
2017-09-04,27.34,27.64,27.53,27.21,60505.51,0.36,1.32,27.184,27.077,27.076,36459.23,33295.36,39876.81,2.59
