date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,9.02,9.22,8.91,8.89,122968.34,-0.21,-2.3,8.962,9.018,9.005,125140.42,125300.02,141299.85,1.76
2018-01-11,8.71,9.23,9.12,8.61,191346.95,0.35,3.99,8.994,9.006,9.031,121866.34,121854.87,151589.65,2.74
2018-01-10,8.92,8.92,8.77,8.65,114263.78,-0.16,-1.79,8.998,8.964,9.047,106160.28,110095.82,163509.83,1.64
2018-01-09,9.05,9.07,8.93,8.89,101670.61,-0.15,-1.65,9.084,8.969,9.044,119884.86,108261.37,161735.31,1.46
2018-01-08,9.01,9.14,9.08,9.01,95452.43,0.01,0.11,9.118,8.965,9.044,129523.06,109371.85,161622.89,1.37
2018-01-05,9.15,9.25,9.07,9.05,106597.94,-0.07,-0.77,9.074,8.94,9.03,125459.62,108192.81,162245.37,1.53
2018-01-04,9.23,9.24,9.14,9.08,112816.63,-0.06,-0.65,9.018,8.907,9.008,121843.39,113178.6,159903.82,1.62
2018-01-03,9.04,9.3,9.2,9.03,182886.69,0.1,1.1,8.93,8.883,8.983,114031.37,120277.97,158790.02,2.62
2018-01-02,8.92,9.13,9.1,8.87,149861.59,0.24,2.71,8.854,8.884,8.945,96637.88,123471.23,157807.23,2.15
2017-12-29,8.8,8.87,8.86,8.71,75135.27,0.07,0.8,8.812,8.92,8.939,89220.65,126723.17,155889.33,1.08
2017-12-28,8.68,8.85,8.79,8.63,88516.79,0.09,1.03,8.806,8.991,8.951,90925.99,157299.68,157937.96,1.27
2017-12-27,8.81,8.83,8.7,8.68,73756.5,-0.12,-1.36,8.796,9.055,8.953,104513.81,181324.42,156739.86,1.06
2017-12-26,8.87,8.9,8.82,8.59,95919.27,-0.07,-0.79,8.836,9.13,8.969,126524.58,216923.84,157770.47,1.37
2017-12-25,8.8,8.98,8.89,8.76,112775.41,0.06,0.68,8.914,9.119,8.981,150304.57,215209.26,156600.31,1.62
2017-12-22,8.74,8.9,8.83,8.66,83661.99,0.09,1.03,9.028,9.122,8.986,164225.69,213873.92,155914.23,1.2
2017-12-21,8.85,8.94,8.74,8.53,156455.89,-0.16,-1.8,9.176,9.12,8.986,223673.37,216297.92,155252.58,2.24
2017-12-20,9.2,9.24,8.9,8.82,183810.34,-0.31,-3.37,9.314,9.109,8.986,258135.03,206629.03,151521.3,2.63
2017-12-19,9.1,9.26,9.21,8.99,214819.22,-0.25,-2.64,9.424,9.082,8.988,307323.11,197302.06,147560.83,3.08
2017-12-18,9.6,9.61,9.46,9.11,182381.0,-0.11,-1.15,9.324,9.005,8.978,280113.94,192143.22,141549.64,2.61
2017-12-15,9.33,9.88,9.57,9.33,380900.41,0.14,1.49,9.216,8.958,8.96,263522.15,185055.49,137318.27,5.46
2017-12-14,9.37,9.53,9.43,9.1,328764.19,-0.02,-0.21,9.064,8.91,8.937,208922.48,158576.23,127631.0,4.71
2017-12-13,8.66,9.58,9.45,8.66,429750.72,0.74,8.5,8.904,8.851,8.955,155123.03,132155.29,115002.51,6.15
2017-12-12,8.88,8.9,8.71,8.71,78773.39,-0.21,-2.35,8.74,8.807,8.971,87281.01,98617.1,98938.48,1.13
2017-12-11,8.85,8.95,8.92,8.81,99422.05,0.11,1.25,8.686,8.842,9.035,104172.51,97991.37,101176.82,1.42
2017-12-08,8.66,8.93,8.81,8.64,107902.03,0.18,2.09,8.7,8.849,9.1,106588.82,97954.54,102074.21,1.55
2017-12-07,8.59,8.69,8.63,8.53,59766.96,0.0,0.0,8.756,8.852,9.169,108229.98,94207.24,102908.73,0.86
2017-12-06,8.3,8.63,8.63,8.28,90540.64,0.19,2.25,8.798,8.863,9.257,109187.55,96413.57,109851.65,1.3
2017-12-05,8.95,8.95,8.44,8.37,163230.86,-0.55,-6.12,8.874,8.894,9.33,109953.19,97819.59,110989.4,2.34
2017-12-04,9.04,9.23,8.99,8.97,111503.62,-0.1,-1.1,8.998,8.951,9.408,91810.23,90956.05,110859.45,1.6
2017-12-01,8.84,9.13,9.09,8.79,116107.83,0.25,2.83,8.998,8.961,9.455,89320.26,89581.06,111538.62,1.66
2017-11-30,9.01,9.03,8.84,8.81,64554.82,-0.17,-1.89,8.948,8.964,9.481,80184.5,96685.77,113652.41,0.92
2017-11-29,9.08,9.11,9.01,8.79,94368.84,-0.05,-0.55,8.928,9.058,9.541,83639.58,97849.72,117407.31,1.35
2017-11-28,8.97,9.06,9.06,8.9,72516.06,0.07,0.78,8.914,9.135,9.602,85685.99,99259.85,116924.67,1.04
2017-11-27,8.85,9.06,8.99,8.78,99053.76,0.15,1.7,8.904,9.228,9.665,90101.86,104362.26,117789.29,1.42
2017-11-24,8.7,8.89,8.84,8.65,70429.0,0.1,1.14,8.924,9.35,9.724,89841.86,106193.88,122790.43,1.01
2017-11-23,8.93,8.99,8.74,8.72,81830.24,-0.2,-2.24,8.98,9.486,9.829,113187.05,111610.21,125406.86,1.17
2017-11-22,9.05,9.09,8.94,8.8,104600.87,-0.07,-0.78,9.188,9.651,9.944,112059.86,123289.73,130256.47,1.5
2017-11-21,9.09,9.24,9.01,8.9,94595.42,-0.08,-0.88,9.356,9.766,10.044,112833.72,124159.21,133207.42,1.35
2017-11-20,9.12,9.12,9.09,8.72,97753.76,-0.03,-0.33,9.552,9.865,10.15,118622.66,130762.85,143526.94,1.4
2017-11-17,9.77,9.77,9.12,8.9,187154.95,-0.66,-6.75,9.776,9.948,10.23,122545.9,133496.18,144151.66,2.68
2017-11-16,9.85,9.92,9.78,9.65,76194.28,0.0,0.0,9.992,9.997,10.315,110033.38,130619.06,145972.13,1.09
2017-11-15,10.02,10.09,9.78,9.76,108470.19,-0.21,-2.1,10.114,10.023,10.383,134519.61,136964.89,148150.69,1.55
2017-11-14,10.22,10.23,9.99,9.88,123540.14,-0.22,-2.15,10.176,10.069,10.447,135484.69,134589.5,148720.78,1.77
2017-11-13,10.2,10.33,10.21,10.0,117369.94,0.01,0.1,10.178,10.102,10.503,142903.04,131216.33,149063.36,1.68
