date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,23.0,24.79,23.67,23.0,181836.45,1.07,4.74,22.92,23.077,23.171,71341.0,66821.27,66376.09,3.17
2018-01-11,22.36,22.93,22.6,22.23,38306.79,0.1,0.44,22.77,22.965,23.123,44004.02,53144.11,59740.09,0.67
2018-01-10,22.93,23.04,22.5,22.21,51348.31,-0.41,-1.79,22.968,23.03,23.135,45382.51,52839.51,60298.19,0.89
2018-01-09,23.0,23.49,22.91,22.71,45744.98,-0.01,-0.04,23.248,23.097,23.151,48479.57,49915.24,61709.92,0.8
2018-01-08,22.93,23.08,22.92,22.5,39468.47,0.0,0.0,23.358,23.125,23.175,54895.7,50547.53,64883.42,0.69
2018-01-05,23.59,23.75,22.92,22.85,45151.54,-0.67,-2.84,23.234,23.189,23.17,62301.53,51373.05,69679.39,0.79
2018-01-04,23.87,23.98,23.59,23.37,45199.27,-0.31,-1.3,23.16,23.259,23.146,62284.2,52296.4,76640.54,0.79
2018-01-03,23.34,24.06,23.9,23.34,66833.61,0.44,1.88,23.092,23.264,23.061,60296.51,55401.71,82286.34,1.16
2018-01-02,22.3,23.74,23.46,22.04,77825.61,1.16,5.2,22.946,23.264,22.906,51350.91,61698.86,82164.36,1.36
2017-12-29,22.54,22.62,22.3,21.13,76497.62,-0.25,-1.11,22.892,23.253,22.803,46199.36,66598.22,81132.2,1.33
2017-12-28,23.07,23.24,22.55,22.5,45064.9,-0.7,-3.01,23.144,23.265,22.753,40444.57,65930.91,80356.52,0.79
2017-12-27,23.19,23.45,23.25,22.95,35260.8,0.08,0.34,23.358,23.281,22.68,42308.6,66336.06,81103.0,0.61
2017-12-26,23.27,23.33,23.17,23.01,22105.63,-0.02,-0.09,23.436,23.24,22.555,50506.92,67756.86,83189.09,0.39
2017-12-25,23.58,23.91,23.19,22.84,52067.86,-0.37,-1.57,23.582,23.205,22.477,72046.8,73504.6,84612.42,0.91
2017-12-22,23.51,23.96,23.56,23.46,47723.68,-0.06,-0.25,23.614,23.225,22.399,86997.08,79219.31,83993.52,0.83
2017-12-21,23.66,23.94,23.62,23.31,54385.05,-0.02,-0.09,23.386,23.15,22.316,91417.25,87985.73,84396.42,0.95
2017-12-20,23.8,24.28,23.64,23.58,76252.37,-0.26,-1.09,23.204,23.032,22.248,90363.52,100984.68,84544.17,1.33
2017-12-19,23.27,24.36,23.9,23.27,129805.05,0.55,2.35,23.044,22.857,22.206,85006.81,109170.96,83608.92,2.26
2017-12-18,22.35,23.67,23.35,22.0,126819.27,0.93,4.15,22.828,22.547,22.159,74962.39,102629.86,80631.02,2.21
2017-12-15,22.99,23.15,22.42,22.24,69824.49,-0.29,-1.28,22.836,22.353,22.106,71441.53,95666.17,77274.27,1.27
