date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,5.75,5.85,5.63,5.62,415723.91,-0.26,-4.41,5.62,5.329,5.143,548839.47,334073.05,227922.81,6.9
2018-01-11,5.58,6.1,5.89,5.48,729500.38,0.21,3.7,5.52,5.252,5.101,511452.63,298928.3,208780.76,12.1
2018-01-10,5.4,5.79,5.68,5.4,586143.81,0.34,6.37,5.352,5.149,5.048,382704.37,233329.77,174223.04,9.72
2018-01-09,5.47,5.47,5.34,5.3,396362.44,-0.22,-3.96,5.222,5.072,5.002,282862.7,181741.77,147190.06,6.58
2018-01-08,5.1,5.64,5.56,5.06,616466.81,0.43,8.38,5.152,5.024,4.978,218786.71,151347.7,130173.26,10.23
2018-01-05,5.35,5.53,5.13,5.12,228789.72,0.08,1.58,5.038,4.966,4.941,119306.63,100489.09,101977.65,3.8
2018-01-04,5.02,5.11,5.05,5.01,85759.05,0.02,0.4,4.984,4.963,4.921,86403.97,92899.12,92573.42,1.42
2018-01-03,5.01,5.05,5.03,4.99,86935.48,0.04,0.8,4.946,4.969,4.906,83955.18,113949.21,91042.31,1.44
2018-01-02,4.99,5.0,4.99,4.92,75982.48,0.0,0.0,4.922,4.992,4.893,80620.84,132951.93,89847.13,1.26
2017-12-29,4.84,5.08,4.99,4.84,119066.43,0.13,2.67,4.896,4.971,4.891,83908.69,128967.18,88183.53,1.98
2017-12-28,4.83,4.91,4.86,4.82,64276.41,0.0,0.0,4.894,4.956,4.896,81671.54,121772.58,84786.51,1.07
2017-12-27,4.88,4.9,4.86,4.83,73515.1,-0.05,-1.02,4.942,4.95,4.903,99394.28,118633.21,83236.64,1.22
2017-12-26,4.83,4.92,4.91,4.82,70263.76,0.05,1.03,4.992,4.946,4.911,143943.24,115116.3,81323.05,1.17
2017-12-25,4.98,4.98,4.86,4.83,92421.77,-0.12,-2.41,5.062,4.932,4.918,185283.03,112638.35,79349.52,1.53
2017-12-22,5.06,5.08,4.98,4.97,107880.68,-0.12,-2.35,5.046,4.932,4.925,174025.67,108998.83,76486.16,1.79
2017-12-21,5.06,5.12,5.1,5.01,152890.09,-0.01,-0.2,5.018,4.915,4.925,161873.61,103466.22,73010.76,2.54
2017-12-20,5.21,5.22,5.11,5.05,296259.88,-0.15,-2.85,4.958,4.879,4.919,137872.14,92247.71,67924.92,4.91
2017-12-19,4.79,5.26,5.26,4.78,276962.72,0.48,10.04,4.9,4.843,4.915,86289.37,68135.41,55725.35,4.59
2017-12-18,4.82,4.85,4.78,4.76,36135.0,-0.06,-1.24,4.802,4.793,4.905,39993.68,46742.33,44444.98,0.6
2017-12-15,4.8,4.85,4.84,4.78,47120.36,0.04,0.83,4.818,4.811,4.921,43971.98,47399.87,46519.31,0.78
2017-12-14,4.81,4.81,4.8,4.77,32882.76,-0.02,-0.41,4.812,4.835,4.938,45058.82,47800.45,50644.87,0.55
2017-12-13,4.81,4.85,4.82,4.77,38346.0,0.05,1.05,4.8,4.856,4.975,46623.27,47840.08,55109.58,0.64
2017-12-12,4.87,4.88,4.77,4.77,45484.27,-0.09,-1.85,4.786,4.876,5.003,49981.44,47529.8,54581.2,0.75
2017-12-11,4.82,4.9,4.86,4.8,56026.49,0.05,1.04,4.784,4.904,5.035,53490.99,46060.69,54790.99,0.93
2017-12-08,4.74,4.87,4.81,4.73,52554.6,0.07,1.48,4.804,4.917,5.067,50827.77,43973.49,54125.47,0.87
2017-12-07,4.73,4.78,4.74,4.72,40705.01,-0.01,-0.21,4.858,4.934,5.102,50542.08,42555.31,53831.27,0.68
2017-12-06,4.75,4.8,4.75,4.61,55136.85,-0.01,-0.21,4.912,4.958,5.142,49056.88,43602.14,54539.66,0.91
2017-12-05,4.96,4.96,4.76,4.74,63032.0,-0.2,-4.03,4.966,4.987,5.179,45078.15,43315.29,54048.94,1.05
2017-12-04,5.08,5.08,4.96,4.96,42710.37,-0.12,-2.36,5.024,5.016,5.213,38630.39,42147.63,52873.61,0.71
2017-12-01,5.06,5.09,5.08,5.02,51126.16,0.07,1.4,5.03,5.03,5.234,37119.2,45638.75,52633.42,0.85
