date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,25.43,26.65,26.21,25.3,28243.65,0.78,3.07,25.404,26.052,26.71,24058.84,24447.87,19750.46,0.41
2018-01-11,24.74,25.47,25.43,24.46,17819.65,0.55,2.21,25.322,26.133,26.827,27347.86,22384.47,19254.8,0.26
2018-01-10,25.22,25.22,24.88,24.55,24090.03,-0.32,-1.27,25.506,26.292,27.01,27038.77,21514.76,19764.68,0.35
2018-01-09,25.37,25.65,25.2,25.0,18686.27,-0.1,-0.4,25.848,26.534,27.266,29956.52,19948.2,20016.16,0.27
2018-01-08,25.67,25.78,25.3,25.02,31454.6,-0.5,-1.94,26.298,26.727,27.478,28928.98,20441.84,19666.33,0.46
2018-01-05,26.35,26.39,25.8,24.85,44688.75,-0.55,-2.09,26.7,26.923,27.697,24836.9,18987.92,18814.93,0.65
2018-01-04,26.62,26.77,26.35,26.26,16274.21,-0.24,-0.9,26.944,27.068,27.871,17421.09,16287.22,17308.25,0.24
2018-01-03,27.3,27.49,26.59,26.35,38678.77,-0.86,-3.13,27.078,27.155,28.016,15990.76,16496.1,17174.75,0.56
2018-01-02,27.5,27.77,27.45,27.15,13548.57,0.14,0.51,27.22,27.243,28.127,9939.89,13963.32,16712.97,0.2
2017-12-29,27.02,27.34,27.31,26.8,10994.2,0.29,1.07,27.156,27.299,28.264,11954.7,14276.48,17414.03,0.16
2017-12-28,26.95,27.17,27.02,26.62,7609.69,0.0,0.0,27.146,27.368,28.407,13138.95,15053.05,17911.59,0.11
2017-12-27,27.46,27.46,27.02,26.91,9122.55,-0.28,-1.03,27.192,27.521,28.54,15153.36,16125.12,18424.54,0.13
2017-12-26,27.25,27.58,27.3,26.98,8424.43,0.17,0.63,27.232,27.727,28.701,17001.44,18014.61,19327.26,0.12
2017-12-25,27.23,27.79,27.13,26.88,23622.62,-0.13,-0.48,27.266,27.997,28.827,17986.75,20084.11,19838.5,0.34
2017-12-22,27.5,27.6,27.26,26.9,16915.44,0.01,0.04,27.442,28.229,28.956,16598.26,18890.82,19569.57,0.25
2017-12-21,27.22,27.65,27.25,26.88,17681.75,0.03,0.11,27.59,28.47,29.084,16967.16,18641.93,19951.67,0.9
2017-12-20,27.55,28.2,27.22,26.85,18362.94,-0.25,-0.91,27.85,28.673,29.189,17096.89,18329.28,20153.87,0.93
2017-12-19,27.81,28.14,27.47,27.21,13351.0,-0.54,-1.93,28.222,28.876,29.348,19027.77,17853.4,21207.71,0.68
2017-12-18,28.0,28.23,28.01,27.34,16680.18,0.01,0.04,28.728,29.011,29.5,22181.47,19462.61,22461.16,0.85
2017-12-15,28.63,28.94,28.0,27.55,18759.93,-0.55,-1.93,29.016,29.228,29.557,21183.39,20551.59,22602.53,0.95
2017-12-14,29.06,29.38,28.55,28.44,18330.38,-0.53,-1.82,29.35,29.445,29.629,20316.7,20770.13,22699.82,0.93
2017-12-13,29.6,29.84,29.08,28.87,28017.38,-0.92,-3.07,29.496,29.559,29.702,19561.68,20723.96,23343.08,1.42
2017-12-12,29.25,30.1,30.0,29.0,29119.49,0.55,1.87,29.53,29.674,29.817,16679.03,20639.92,23854.46,1.48
2017-12-11,29.68,29.68,29.45,29.12,11689.75,-0.22,-0.74,29.294,29.657,29.857,16743.75,19592.9,25112.81,0.59
2017-12-08,29.4,29.79,29.67,29.0,14426.51,0.39,1.33,29.44,29.682,29.934,19919.79,20248.32,25654.16,0.73
2017-12-07,28.97,29.8,29.28,28.97,14555.28,0.03,0.1,29.54,29.698,30.025,21223.56,21261.42,26405.21,0.74
2017-12-06,28.83,29.4,29.25,28.26,13604.11,0.43,1.49,29.622,29.705,30.107,21886.24,21978.45,27157.32,0.69
2017-12-05,29.83,29.9,28.82,28.68,29443.12,-1.36,-4.51,29.818,29.82,30.152,24600.81,24562.02,27434.4,1.49
2017-12-04,30.39,30.88,30.18,30.0,27569.92,0.01,0.03,30.02,29.989,30.241,22442.04,25459.71,26985.79,1.4
2017-12-01,29.69,30.45,30.17,29.4,20945.35,0.48,1.62,29.924,29.885,30.193,20576.84,24653.46,26489.7,1.06
2017-11-30,29.97,30.49,29.69,29.6,17868.72,-0.54,-1.79,29.856,29.812,30.149,21299.28,24629.51,26278.15,0.91
2017-11-29,30.8,31.0,30.23,29.9,27176.94,0.4,1.34,29.788,29.844,30.162,22070.66,25962.19,27110.85,1.38
2017-11-28,29.48,29.88,29.83,28.55,18649.26,0.13,0.44,29.822,29.959,30.074,24523.24,27069.01,28030.38,0.95
2017-11-27,29.77,30.5,29.7,29.5,18243.94,-0.13,-0.44,29.958,30.056,30.067,28477.38,30632.73,30069.37,0.92
2017-11-24,29.29,30.58,29.83,29.29,24557.54,0.48,1.64,29.846,30.186,30.196,28730.08,31059.99,29685.09,1.25
2017-11-23,29.88,30.22,29.35,29.29,21725.61,-1.05,-3.45,29.768,30.351,30.336,27959.74,31549.0,28972.52,1.1
2017-11-22,29.83,31.49,30.4,29.45,39439.84,-0.11,-0.36,29.9,30.508,30.515,29853.72,32336.19,28729.74,2.0
2017-11-21,28.12,30.57,30.51,28.12,38419.97,1.37,4.7,30.096,30.483,30.621,29614.78,30306.78,27906.49,1.95
2017-11-20,28.8,29.7,29.14,28.45,19507.46,-0.3,-1.02,30.154,30.493,30.653,32788.08,28511.87,26212.36,0.29
2017-11-17,30.03,30.88,29.44,29.11,20705.81,-0.57,-1.9,30.526,30.501,30.755,33389.91,28325.93,25596.9,0.3
2017-11-16,31.01,31.29,30.01,29.91,31195.5,-1.37,-4.37,30.934,30.486,30.843,35138.26,27926.8,25108.32,0.46
2017-11-15,29.74,31.38,31.38,28.71,38245.16,0.58,1.88,31.116,30.48,30.861,34818.66,28259.52,24489.2,0.56
2017-11-14,32.0,32.85,30.8,30.8,54286.45,-0.2,-0.65,30.87,30.188,30.842,30998.77,28991.74,23339.99,0.8
2017-11-13,31.5,32.15,31.0,30.83,22516.61,-0.48,-1.52,30.832,30.078,30.851,24235.67,29506.02,21206.12,0.33
2017-11-10,30.92,31.49,31.48,30.01,29447.59,0.56,1.81,30.476,30.206,30.865,23261.96,28310.18,21308.35,0.43
2017-11-09,30.3,31.48,30.92,30.2,29597.49,0.77,2.55,30.038,30.32,30.867,20715.34,26396.04,21292.96,0.43
2017-11-08,30.51,30.91,30.15,30.04,19145.71,-0.46,-1.5,29.844,30.521,30.84,21700.38,25123.3,21414.24,0.28
2017-11-07,29.8,30.94,30.61,29.22,20470.96,1.39,4.76,29.506,30.758,30.801,26984.72,25506.2,21463.12,0.3
