date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,6.75,6.75,6.48,6.47,851200.5,-0.29,-4.28,6.342,6.165,6.053,821932.74,584846.9,426285.71,2.75
2018-01-11,6.26,6.93,6.77,6.21,1655641.62,0.47,7.46,6.276,6.097,6.031,748695.87,521399.09,402471.2,5.34
2018-01-10,6.05,6.35,6.3,6.03,897197.69,0.24,3.96,6.128,5.998,6.001,479645.08,375798.68,335538.93,2.9
2018-01-09,6.08,6.13,6.06,6.02,332297.0,-0.04,-0.66,6.07,5.953,5.996,386943.22,311799.99,308089.88,1.07
2018-01-08,6.15,6.17,6.1,6.07,373326.88,-0.05,-0.81,6.04,5.926,6.008,388235.33,322859.27,326916.24,1.2
2018-01-05,6.02,6.18,6.15,6.0,485016.16,0.12,1.99,5.988,5.916,6.011,347761.06,313554.16,327402.87,1.57
2018-01-04,5.99,6.07,6.03,5.97,310387.69,0.02,0.33,5.918,5.908,6.012,294102.3,286296.93,318426.22,1.0
2018-01-03,5.9,6.02,6.01,5.88,433688.38,0.1,1.69,5.868,5.906,6.022,271952.28,277221.13,323375.99,1.4
2018-01-02,5.85,5.91,5.91,5.8,338757.56,0.07,1.2,5.836,5.913,6.023,236656.76,264957.02,318536.02,1.09
2017-12-29,5.8,5.84,5.84,5.78,170955.52,0.04,0.69,5.812,5.919,6.037,257483.21,259152.35,319106.08,0.55
2017-12-28,5.76,5.87,5.8,5.74,216722.36,0.02,0.35,5.844,5.94,6.06,279347.25,267724.53,343812.58,0.7
2017-12-27,5.83,5.84,5.78,5.78,199637.56,-0.07,-1.2,5.898,5.965,6.07,278491.55,283543.32,343694.51,0.64
2017-12-26,5.78,5.89,5.85,5.72,257210.8,0.06,1.04,5.944,6.003,6.084,282489.98,295279.18,348525.57,0.83
2017-12-25,6.0,6.0,5.79,5.74,442889.81,-0.21,-3.5,5.99,6.038,6.094,293257.28,304379.76,350215.83,1.43
2017-12-22,6.06,6.08,6.0,5.97,280275.72,-0.07,-1.15,6.026,6.09,6.101,260821.5,330973.21,344970.38,0.9
2017-12-21,6.01,6.07,6.07,5.96,212443.88,0.06,1.0,6.036,6.106,6.103,256101.81,341251.58,344764.61,0.69
2017-12-20,6.07,6.08,6.01,6.0,219629.69,-0.07,-1.15,6.032,6.115,6.101,288595.09,350555.52,356130.97,0.71
2017-12-19,6.0,6.09,6.08,5.99,311047.31,0.11,1.84,6.062,6.137,6.11,308068.39,369530.85,364207.07,1.0
2017-12-18,6.03,6.07,5.97,5.95,280710.88,-0.08,-1.32,6.086,6.132,6.122,315502.24,372115.02,362308.54,0.91
2017-12-15,6.03,6.07,6.05,5.98,256677.28,0.0,0.0,6.154,6.154,6.141,401124.93,379059.81,363365.53,0.83
2017-12-14,6.12,6.13,6.05,6.02,374910.28,-0.11,-1.79,6.176,6.179,6.153,426401.35,419900.64,385296.21,1.21
2017-12-13,6.16,6.21,6.16,6.08,316996.19,-0.04,-0.65,6.198,6.174,6.184,412515.94,403845.7,379144.53,1.02
2017-12-12,6.29,6.29,6.2,6.18,348216.59,-0.11,-1.74,6.212,6.165,6.209,430993.31,401771.97,378314.34,1.12
2017-12-11,6.2,6.35,6.31,6.19,708824.31,0.15,2.44,6.178,6.149,6.235,428727.79,396051.89,377662.27,2.28
2017-12-08,6.15,6.29,6.16,6.12,383059.38,0.0,0.0,6.154,6.111,6.255,356994.69,358967.56,374849.76,1.24
2017-12-07,6.22,6.23,6.16,6.12,305483.25,-0.07,-1.12,6.182,6.1,6.297,413399.93,348277.64,377471.32,0.99
2017-12-06,6.03,6.26,6.23,5.99,409383.03,0.2,3.32,6.15,6.087,6.339,395175.45,361706.42,381377.44,1.32
2017-12-05,6.14,6.19,6.03,6.0,336888.97,-0.16,-2.58,6.118,6.083,6.379,372550.62,358883.29,386592.62,1.09
2017-12-04,6.21,6.26,6.19,6.17,350158.84,-0.11,-1.75,6.12,6.112,6.428,363375.99,352502.07,401570.02,1.13
2017-12-01,5.98,6.33,6.3,5.98,665085.56,0.3,5.0,6.068,6.127,6.472,360940.42,347671.25,398457.57,2.15
2017-11-30,6.06,6.09,6.0,5.98,214360.84,-0.07,-1.15,6.018,6.126,6.507,283155.36,350691.78,384865.58,0.69
2017-11-29,6.04,6.08,6.07,5.94,296258.88,0.03,0.5,6.024,6.193,6.561,328237.39,354443.36,406783.49,0.99
2017-11-28,5.94,6.05,6.04,5.93,291015.84,0.11,1.85,6.048,6.252,6.612,345215.96,354856.72,429813.04,0.97
2017-11-27,6.04,6.05,5.93,5.92,337980.97,-0.12,-1.98,6.104,6.32,6.649,341628.14,359272.65,435895.72,1.13
2017-11-24,6.01,6.13,6.05,5.98,276160.25,0.02,0.33,6.186,6.399,6.686,334402.07,390731.97,468104.52,0.92
2017-11-23,6.17,6.17,6.03,5.92,439771.03,-0.16,-2.58,6.234,6.493,6.742,418228.2,406665.0,471909.63,1.47
2017-11-22,6.32,6.32,6.19,6.16,381151.72,-0.13,-2.06,6.362,6.59,6.804,380649.33,401048.47,470512.68,1.27
