date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,66.9,67.4,64.82,64.7,607759.75,-1.59,-2.39,62.878,62.099,61.371,466737.41,397542.51,377878.82,5.14
2018-01-11,60.5,66.41,66.41,59.69,910275.19,6.04,10.01,62.304,61.499,61.169,404799.81,363548.59,369007.16,7.7
2018-01-10,61.78,61.78,60.37,59.67,282837.16,-1.16,-1.89,61.61,60.822,60.966,303039.13,303432.88,340051.96,2.39
2018-01-09,61.2,61.98,61.53,60.68,240519.05,0.27,0.44,61.936,60.923,61.043,332305.65,295747.93,347646.9,2.03
2018-01-08,62.02,62.2,61.26,60.21,292295.88,-0.69,-1.11,61.744,60.962,61.073,350582.62,309375.09,363713.25,2.47
2018-01-05,63.06,63.56,61.95,61.8,298071.75,-0.99,-1.57,61.32,61.012,61.035,328347.62,307050.95,371098.53,2.52
2018-01-04,62.31,63.58,62.94,61.61,401471.81,0.94,1.52,60.694,60.996,60.995,322297.36,315809.56,379412.64,3.39
2018-01-03,60.61,62.6,62.0,60.17,429169.75,1.43,2.36,60.034,60.852,61.048,303826.63,322442.7,391079.34,3.63
2018-01-02,60.0,60.84,60.57,58.9,331903.91,1.43,2.42,59.91,60.62,61.089,259190.21,310182.13,409830.09,2.81
2017-12-29,59.6,60.19,59.14,59.01,181120.88,0.32,0.54,60.18,60.436,61.449,268167.56,332480.22,419991.75,1.53
2017-12-28,58.99,60.35,58.82,58.63,267820.47,-0.82,-1.38,60.704,60.642,61.929,285754.28,358215.12,445813.74,2.26
2017-12-27,61.3,61.84,59.64,59.55,309118.16,-1.74,-2.83,61.298,60.839,62.281,309321.76,374465.74,457006.8,2.61
2017-12-26,61.92,61.98,61.38,60.9,205987.62,-0.54,-0.87,61.67,61.111,62.653,341058.77,376671.03,478682.65,1.74
2017-12-25,61.5,62.28,61.92,59.88,376790.69,0.16,0.26,61.33,61.162,62.935,361174.05,399545.87,508870.08,3.19
2017-12-22,61.78,62.89,61.76,61.42,269054.47,-0.03,-0.05,60.692,61.183,62.916,396792.87,418051.41,519483.93,2.27
2017-12-21,61.0,62.44,61.79,60.85,385657.88,0.29,0.47,60.58,61.057,62.99,430675.95,435146.1,541948.49,3.26
2017-12-20,59.91,62.05,61.5,58.9,467803.19,1.82,3.05,60.38,60.994,63.242,439609.72,443015.71,565623.9,3.95
2017-12-19,58.74,59.77,59.68,58.5,306564.0,0.95,1.62,60.552,61.244,63.726,412283.29,459715.97,595037.74,2.59
2017-12-18,62.52,62.86,58.73,58.58,554884.81,-2.47,-4.04,60.994,61.557,64.251,437917.69,509478.05,615550.48,4.69
2017-12-15,61.97,62.85,61.2,60.79,438469.88,0.41,0.67,61.674,62.462,64.828,439309.95,507503.28,635015.71,3.71
2017-12-14,62.0,62.29,60.79,60.46,430326.72,-1.57,-2.52,61.534,63.216,65.125,439616.26,533412.36,666483.85,3.64
