date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,10.7,10.74,10.68,10.45,25800.0,-0.04,-0.37,10.834,10.926,10.849,12424.81,12584.8,13658.68,0.89
2018-01-11,10.79,10.84,10.72,10.67,7003.01,-0.07,-0.65,10.9,10.938,10.866,9718.94,11408.71,12842.88,0.24
2018-01-10,10.93,10.94,10.79,10.68,11491.01,-0.17,-1.55,10.948,10.921,10.885,10196.58,11575.42,13331.64,0.4
2018-01-09,11.0,11.0,10.96,10.9,7189.01,-0.06,-0.54,11.002,10.893,10.897,10731.89,11026.92,13929.89,0.25
2018-01-08,10.96,11.03,11.02,10.85,10641.0,0.01,0.09,11.022,10.848,10.898,11008.9,11525.8,14122.19,0.37
2018-01-05,10.89,11.06,11.01,10.8,12270.66,0.05,0.46,11.018,10.798,10.897,12744.79,12210.16,15018.82,0.42
2018-01-04,10.93,11.05,10.96,10.93,9391.2,-0.1,-0.9,10.976,10.772,10.891,13098.49,12409.79,15642.26,0.33
2018-01-03,11.04,11.09,11.06,10.88,14167.6,0.0,0.0,10.894,10.776,10.888,12954.25,14111.53,17373.11,0.49
2018-01-02,11.01,11.06,11.06,10.89,8574.02,0.06,0.55,10.784,10.778,10.865,11321.95,14659.52,17565.26,0.3
2017-12-29,10.83,11.06,11.0,10.7,19320.49,0.2,1.85,10.674,10.772,10.84,12042.7,15488.61,17635.94,0.67
2017-12-28,10.5,10.85,10.8,10.45,14039.14,0.25,2.37,10.578,10.772,10.832,11675.53,14732.57,17114.97,0.49
2017-12-27,10.52,10.55,10.55,10.38,8670.02,0.04,0.38,10.568,10.794,10.829,11721.1,14277.05,16763.66,0.3
2017-12-26,10.48,10.54,10.51,10.38,6006.1,0.0,0.0,10.658,10.849,10.842,15268.81,15087.86,16834.73,0.21
2017-12-25,10.52,10.55,10.51,10.28,12177.76,-0.01,-0.1,10.772,10.9,10.862,17997.08,16832.85,17147.18,0.42
2017-12-22,10.79,10.8,10.52,10.45,17484.61,-0.23,-2.14,10.87,10.947,10.88,18934.53,16718.58,17889.97,0.61
2017-12-21,10.9,10.9,10.75,10.7,14267.0,-0.25,-2.27,10.966,10.996,10.915,17789.61,17827.48,17390.49,0.49
2017-12-20,11.06,11.06,11.0,10.71,26408.57,-0.08,-0.72,11.02,11.01,10.938,16833.01,18874.73,17593.44,0.91
2017-12-19,10.99,11.1,11.08,10.85,19647.45,0.08,0.73,11.04,11.0,10.964,14906.9,20634.69,17062.46,0.68
2017-12-18,11.0,11.0,11.0,10.75,16865.0,0.0,0.0,11.028,10.952,10.991,15668.61,20471.01,16861.39,0.58
2017-12-15,11.05,11.08,11.0,10.87,11760.01,-0.02,-0.18,11.024,10.907,11.037,14502.64,19783.26,17278.5,0.41
2017-12-14,11.1,11.13,11.02,10.89,9484.02,-0.08,-0.72,11.026,10.891,11.072,17865.35,19497.36,18027.0,0.33
2017-12-13,10.93,11.1,11.1,10.9,16778.04,0.08,0.73,11.0,10.863,11.136,20916.45,19250.26,19109.55,0.58
2017-12-12,11.0,11.04,11.02,10.73,23456.0,0.04,0.36,10.96,10.835,11.192,26362.47,18581.6,19209.7,0.81
2017-12-11,10.94,11.05,10.98,10.9,11035.12,-0.03,-0.27,10.876,10.823,11.244,25273.4,17461.5,19571.93,0.38
2017-12-08,10.73,11.08,11.01,10.61,28573.55,0.12,1.1,10.79,10.813,11.318,25063.89,19061.36,20352.1,0.99
2017-12-07,10.9,10.98,10.89,10.61,24739.52,-0.01,-0.09,10.756,10.834,11.391,21129.38,16953.5,20596.78,0.86
2017-12-06,10.59,10.97,10.9,10.51,44008.18,0.3,2.83,10.726,10.865,11.471,17584.08,16312.15,22595.21,1.52
2017-12-05,10.65,10.72,10.6,10.49,18010.62,0.05,0.47,10.71,10.927,11.55,10800.73,13490.24,23789.19,0.62
