date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,10.89,10.98,10.67,10.56,118973.55,-0.37,-3.35,10.578,10.507,10.613,116032.54,96804.84,90612.37,4.34
2018-01-11,10.39,11.3,11.04,10.26,211251.0,0.51,4.84,10.564,10.46,10.639,121989.91,89415.53,94371.24,7.7
2018-01-10,10.22,10.59,10.53,10.2,113721.32,0.26,2.53,10.438,10.375,10.637,92336.74,73053.22,88858.17,4.15
2018-01-09,10.28,10.36,10.27,10.25,46894.55,-0.11,-1.06,10.43,10.356,10.661,86596.86,66277.07,92557.29,1.71
2018-01-08,10.48,10.49,10.38,10.2,89322.27,-0.22,-2.08,10.452,10.355,10.707,87216.59,69776.99,102921.25,3.26
2018-01-05,10.4,10.84,10.6,10.36,148760.42,0.19,1.82,10.436,10.383,10.696,77577.15,70878.82,100009.34,5.42
2018-01-04,10.49,10.5,10.41,10.35,62985.12,-0.08,-0.76,10.356,10.436,10.671,56841.14,64731.34,94396.02,2.3
2018-01-03,10.38,10.57,10.49,10.31,85021.94,0.11,1.06,10.312,10.508,10.657,53769.7,67069.11,94244.92,3.1
2018-01-02,10.21,10.48,10.38,10.21,49993.19,0.08,0.78,10.282,10.585,10.638,45957.28,71934.29,92317.7,1.82
2017-12-29,10.2,10.31,10.3,10.15,41125.08,0.1,0.98,10.258,10.651,10.647,52337.38,78296.3,91087.64,1.5
2017-12-28,10.18,10.33,10.2,10.12,45080.37,0.01,0.1,10.33,10.719,10.665,64180.49,84419.91,91693.25,1.64
2017-12-27,10.25,10.4,10.19,10.1,47627.92,-0.15,-1.45,10.516,10.817,10.675,72621.55,99326.96,90763.2,1.74
2017-12-26,10.17,10.35,10.34,10.15,45959.86,0.08,0.78,10.704,10.899,10.687,80368.53,104663.12,90354.09,1.68
2017-12-25,10.6,10.61,10.26,10.17,81893.68,-0.4,-3.75,10.888,10.965,10.696,97911.3,118837.5,89843.7,2.99
2017-12-22,11.07,11.1,10.66,10.6,100340.63,-0.47,-4.22,11.044,11.058,10.705,104255.21,136065.51,86978.33,3.66
2017-12-21,11.06,11.27,11.13,10.9,87285.64,0.0,0.0,11.108,11.009,10.696,104659.32,129139.86,83323.55,3.18
2017-12-20,11.1,11.19,11.13,10.96,86362.84,-0.13,-1.16,11.118,10.906,10.663,126032.37,124060.69,80967.72,3.15
2017-12-19,10.93,11.36,11.26,10.85,133673.72,0.22,1.99,11.094,10.806,10.634,128957.72,121420.72,79477.69,4.87
2017-12-18,10.9,11.3,11.04,10.82,113613.21,0.06,0.55,11.042,10.69,10.611,139763.7,112701.11,78111.45,4.14
2017-12-15,11.01,11.09,10.98,10.85,102361.19,-0.2,-1.79,11.072,10.643,10.59,167875.81,103878.98,75625.79,3.73
2017-12-14,10.95,11.37,11.18,10.91,194150.88,0.17,1.54,10.91,10.611,10.587,153620.39,98966.6,78260.57,7.08
2017-12-13,10.93,11.05,11.01,10.8,100989.59,0.01,0.09,10.694,10.533,10.628,122089.02,82199.45,70207.93,3.68
2017-12-12,11.08,11.16,11.0,10.86,187703.64,-0.19,-1.7,10.518,10.474,10.674,113883.72,76045.06,67366.47,6.84
2017-12-11,10.58,11.19,11.19,10.58,254173.77,1.02,10.03,10.338,10.426,10.721,85638.53,60849.9,59485.1,9.27
2017-12-08,10.05,10.24,10.17,10.03,31084.07,0.07,0.69,10.214,10.352,10.761,39882.14,37891.15,48307.01,1.13
2017-12-07,10.07,10.12,10.1,9.93,36494.03,-0.03,-0.3,10.312,10.383,10.842,44312.8,37507.25,48006.0,1.33
2017-12-06,10.11,10.29,10.13,9.81,59963.1,0.03,0.3,10.372,10.42,10.924,42309.89,37874.74,49028.0,2.19
2017-12-05,10.55,10.55,10.1,10.0,46477.66,-0.47,-4.45,10.43,10.461,11.022,38206.41,37534.66,48868.64,1.69
2017-12-04,10.66,10.68,10.57,10.52,25391.83,-0.09,-0.84,10.514,10.532,11.118,36061.28,43521.79,49139.91,0.93
2017-12-01,10.45,10.78,10.66,10.36,53237.39,0.26,2.5,10.49,10.536,11.194,35900.17,47372.6,50743.21,1.94
2017-11-30,10.35,10.49,10.4,10.26,26479.45,-0.02,-0.19,10.454,10.562,11.29,30701.69,57554.55,49944.19,0.97
2017-11-29,10.5,10.51,10.42,10.25,39445.71,-0.1,-0.95,10.468,10.722,11.406,33439.6,58216.4,51288.11,1.44
2017-11-28,10.44,10.62,10.52,10.42,35752.02,0.07,0.67,10.492,10.874,11.511,36862.91,58687.88,50987.02,1.3
2017-11-27,10.5,10.62,10.45,10.38,24586.28,-0.03,-0.29,10.55,11.016,11.608,50982.31,58120.29,51206.69,0.9
2017-11-24,10.45,10.58,10.48,10.38,27245.01,0.01,0.1,10.582,11.17,11.715,58845.03,58722.87,51449.83,0.99
2017-11-23,10.61,10.73,10.47,10.35,40168.97,-0.07,-0.66,10.67,11.301,11.823,84407.41,58504.76,51580.15,1.46
2017-11-22,10.75,10.88,10.54,10.53,56562.25,-0.27,-2.5,10.976,11.427,11.921,82993.21,60181.26,51057.28,2.06
2017-11-21,10.61,11.11,10.81,10.12,106349.03,0.2,1.89,11.256,11.582,12.012,80512.85,60202.62,50513.68,3.88
2017-11-20,10.72,10.72,10.61,10.35,63899.88,-0.31,-2.84,11.482,11.703,12.097,65258.28,54758.03,47290.45,2.33
2017-11-17,11.96,11.96,10.92,10.8,155056.91,-1.08,-9.0,11.758,11.852,12.196,58600.72,54113.82,48295.09,5.65
2017-11-09,11.95,12.06,12.0,11.84,33097.97,0.06,0.5,11.932,12.018,12.294,32602.1,42333.83,44389.73,1.21
2017-11-08,11.94,12.01,11.94,11.81,44160.46,0.0,0.0,11.878,12.09,12.333,37369.32,44359.82,45887.38,1.61
2017-11-07,12.0,12.0,11.94,11.82,30076.19,-0.05,-0.42,11.908,12.147,12.374,39892.38,43286.16,46998.05,1.1
2017-11-06,11.82,12.04,11.99,11.76,30612.07,0.2,1.7,11.924,12.2,12.416,44257.78,44293.08,50303.42,1.12
2017-11-03,11.77,11.9,11.79,11.7,25063.83,0.06,0.51,11.946,12.26,12.441,49626.91,44176.79,51095.06,0.91
2017-11-02,12.08,12.08,11.73,11.73,56934.05,-0.36,-2.98,12.104,12.344,12.463,52065.55,44655.55,51290.93,2.08
2017-11-01,12.01,12.18,12.09,11.91,56775.77,0.07,0.58,12.302,12.414,12.483,51350.33,41933.29,50014.43,2.07
2017-10-31,12.11,12.26,12.02,11.81,51903.2,-0.08,-0.66,12.386,12.441,12.486,46679.94,40824.75,49414.95,1.89
2017-10-30,12.61,12.69,12.1,12.1,57457.72,-0.48,-3.82,12.476,12.491,12.491,44328.38,39822.87,49497.31,2.09
2017-10-27,12.7,12.74,12.58,12.54,37257.03,-0.14,-1.1,12.574,12.54,12.503,38726.66,42476.36,50507.92,1.36
2017-10-26,12.5,12.78,12.72,12.4,53357.91,0.21,1.68,12.584,12.57,12.514,37245.54,46445.63,52668.53,1.95
2017-10-25,12.4,12.55,12.51,12.39,33423.84,0.04,0.32,12.526,12.576,12.502,32516.25,47414.94,52589.95,1.22
2017-10-24,12.55,12.55,12.47,12.31,40145.41,-0.12,-0.95,12.496,12.6,12.499,34969.56,50709.93,53074.85,1.46
2017-10-23,12.63,12.69,12.59,12.51,29449.11,-0.04,-0.32,12.506,12.632,12.494,35317.35,56313.75,53677.44,1.07
2017-10-20,12.44,12.63,12.63,12.28,29851.45,0.2,1.61,12.506,12.621,12.496,46226.05,58013.34,54442.5,1.09
2017-10-19,12.37,12.52,12.43,12.25,29711.46,0.07,0.57,12.556,12.581,12.495,55645.72,57926.31,56092.17,1.08
2017-10-18,12.58,12.67,12.36,12.3,45690.35,-0.16,-1.28,12.626,12.552,12.522,62313.63,58095.56,59682.57,1.67
2017-10-17,12.62,12.67,12.52,12.48,41884.4,-0.07,-0.56,12.704,12.53,12.549,66450.3,58005.15,65686.88,1.53
2017-10-16,12.92,13.06,12.59,12.46,83992.6,-0.29,-2.25,12.758,12.49,12.561,77310.15,59171.74,71114.04,3.06
2017-10-13,12.78,12.95,12.88,12.69,76949.78,0.1,0.78,12.736,12.466,12.551,69800.63,58539.48,69300.84,2.81
2017-10-12,12.73,12.88,12.78,12.6,63051.0,0.03,0.23,12.606,12.458,12.526,60206.9,58891.42,67919.48,2.3
2017-10-11,12.7,12.85,12.75,12.58,66373.74,-0.04,-0.31,12.478,12.427,12.503,53877.5,57764.96,68243.8,2.42
2017-10-10,12.48,12.94,12.79,12.41,96183.62,0.31,2.48,12.356,12.397,12.487,49559.99,55439.78,68449.29,3.51
2017-10-09,12.36,12.59,12.48,12.36,46445.0,0.25,2.04,12.222,12.355,12.461,41033.34,51041.13,70593.67,1.69
2017-09-29,12.22,12.29,12.23,12.14,28981.13,0.09,0.74,12.196,12.37,12.48,47278.33,50871.67,74348.22,1.06
2017-09-28,12.13,12.27,12.14,12.08,31404.0,0.0,0.0,12.31,12.409,12.502,57575.94,54258.03,77383.77,1.14
2017-09-27,12.12,12.21,12.14,12.07,44786.2,0.02,0.17,12.376,12.492,12.518,61652.42,61269.57,78120.76,1.63
2017-09-26,12.25,12.32,12.12,12.0,53550.37,-0.23,-1.86,12.438,12.568,12.533,61319.57,73368.61,80698.96,1.95
2017-09-25,12.85,12.93,12.35,12.3,77669.94,-0.45,-3.52,12.488,12.631,12.538,61048.91,83056.33,80051.86,2.83
2017-09-22,12.49,12.83,12.8,12.38,80469.19,0.33,2.65,12.544,12.636,12.533,54465.01,80062.19,78834.59,2.93
2017-09-21,12.46,12.65,12.47,12.4,51786.42,0.02,0.16,12.508,12.594,12.501,50940.13,76947.54,76486.4,1.89
2017-09-20,12.35,12.52,12.45,12.3,43121.92,0.08,0.65,12.608,12.578,12.478,60886.72,78722.64,75646.03,1.57
2017-09-19,12.65,12.65,12.37,12.35,52197.08,-0.26,-2.06,12.698,12.576,12.467,85417.65,81458.81,75340.19,1.9
2017-09-18,12.58,12.69,12.63,12.53,44750.43,0.01,0.08,12.774,12.566,12.458,105063.75,90146.22,75416.1,1.63
2017-09-15,12.84,12.96,12.62,12.58,62844.79,-0.35,-2.7,12.728,12.589,12.445,105659.38,97824.77,76070.45,2.29
2017-09-14,12.71,13.15,12.97,12.61,101519.38,0.07,0.54,12.68,12.594,12.433,102954.95,100509.5,75887.83,3.7
2017-09-13,12.71,13.25,12.9,12.71,165776.55,0.15,1.18,12.548,12.543,12.416,96558.57,94971.94,76062.63,6.04
2017-09-12,12.45,12.85,12.75,12.28,150427.59,0.35,2.82,12.454,12.498,12.385,77499.97,88029.32,71541.7,5.48
2017-09-11,12.32,12.43,12.4,12.27,47728.6,0.02,0.16,12.358,12.445,12.351,75228.69,77047.39,66739.53,1.74
2017-09-08,12.3,12.46,12.38,12.23,49322.62,0.07,0.57,12.45,12.43,12.34,89990.16,77606.98,69401.44,1.8
2017-09-07,12.42,12.62,12.31,12.3,69537.47,-0.12,-0.96,12.508,12.408,12.3,98064.05,76025.27,69138.7,2.54
2017-09-06,12.21,12.44,12.43,12.21,70483.57,0.16,1.3,12.538,12.378,12.264,93385.32,72569.41,67322.83,2.57
2017-09-05,12.59,12.59,12.27,12.22,139071.17,-0.59,-4.59,12.542,12.358,12.226,98558.67,69221.58,65563.22,5.07
2017-09-04,12.63,13.05,12.86,12.56,121535.99,0.19,1.5,12.532,12.349,12.2,78866.09,60685.98,61100.35,4.43
2017-09-01,12.6,12.78,12.67,12.4,89692.07,0.21,1.69,12.41,12.301,12.129,65223.8,54316.14,56651.97,3.27
2017-08-31,12.5,12.57,12.46,12.4,46143.82,0.01,0.08,12.308,12.271,12.057,53986.48,51266.15,53629.08,1.68
2017-08-30,12.32,12.62,12.45,12.32,96350.29,0.23,1.88,12.218,12.289,12.002,51753.5,57153.31,52867.76,3.51
2017-08-29,12.26,12.39,12.22,12.18,40608.3,-0.03,-0.24,12.174,12.272,11.944,39884.49,55054.08,49730.47,1.48
2017-08-28,12.21,12.44,12.25,12.21,53324.54,0.09,0.74,12.166,12.257,11.906,42505.87,56431.67,49662.6,1.94
2017-08-25,12.05,12.23,12.16,12.01,33505.46,0.15,1.25,12.192,12.249,11.872,43408.47,61195.89,48985.32,1.22
2017-08-24,12.12,12.21,12.01,12.0,34978.89,-0.22,-1.8,12.234,12.192,11.848,48545.82,62252.12,49568.31,1.28
2017-08-23,12.18,12.35,12.23,12.06,37005.27,0.05,0.41,12.36,12.149,11.833,62553.13,62076.26,51778.78,1.35
2017-08-22,12.31,12.43,12.18,12.03,53715.2,-0.2,-1.62,12.37,12.094,11.785,70223.67,61904.86,51762.04,1.96
