date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,8.04,8.18,7.91,7.91,186501.2,-0.22,-2.71,7.894,7.831,7.816,226381.78,173691.42,144430.69,0.96
2018-01-11,7.95,8.28,8.13,7.78,305295.88,0.12,1.5,7.882,7.804,7.831,220777.3,163122.68,144212.5,1.58
2018-01-10,7.64,8.43,8.01,7.55,427455.19,0.34,4.43,7.804,7.759,7.844,181405.75,139275.0,134095.19,2.21
2018-01-09,7.74,7.74,7.67,7.63,108364.64,-0.08,-1.03,7.766,7.735,7.864,128322.45,104307.67,118786.69,0.56
2018-01-08,7.83,7.84,7.75,7.69,104292.0,-0.1,-1.27,7.786,7.73,7.914,126654.58,103187.75,118829.21,0.54
2018-01-05,7.72,7.94,7.85,7.71,158478.81,0.11,1.42,7.768,7.729,7.954,121001.06,100958.02,117922.72,0.82
2018-01-04,7.81,7.81,7.74,7.7,108438.1,-0.08,-1.02,7.726,7.723,7.985,105468.05,96651.22,114151.08,0.56
2018-01-03,7.75,7.86,7.82,7.72,162038.7,0.05,0.64,7.714,7.718,8.026,97144.26,104063.46,113877.7,0.84
2018-01-02,7.75,7.85,7.77,7.72,100025.31,0.11,1.44,7.704,7.74,8.051,80292.89,95370.21,112599.67,0.52
2017-12-29,7.64,7.7,7.66,7.58,76024.4,0.02,0.26,7.674,7.761,8.089,79720.92,96896.97,117099.95,0.39
2017-12-28,7.68,7.8,7.64,7.61,80813.75,-0.04,-0.52,7.69,7.8,8.149,80914.98,115169.96,126073.43,0.42
2017-12-27,7.7,7.83,7.68,7.66,66819.12,-0.09,-1.16,7.72,7.857,8.221,87834.38,125302.33,130617.13,0.35
2017-12-26,7.6,7.77,7.77,7.58,77781.85,0.15,1.97,7.722,7.928,8.299,110982.66,128915.37,137079.6,0.4
2017-12-25,7.75,7.77,7.62,7.61,97165.5,-0.12,-1.55,7.776,7.992,8.368,110447.54,133265.71,141245.9,0.5
2017-12-22,7.75,7.77,7.74,7.69,81994.7,-0.05,-0.64,7.848,8.097,8.444,114073.02,134470.66,144998.92,0.42
2017-12-21,7.64,7.88,7.79,7.63,115410.74,0.1,1.3,7.91,8.178,8.515,149424.93,134887.42,154157.72,0.6
2017-12-20,8.05,8.05,7.69,7.66,182560.52,-0.35,-4.35,7.994,8.247,8.575,162770.27,131650.94,159848.56,1.44
2017-12-19,7.99,8.11,8.04,7.99,75106.24,0.06,0.75,8.134,8.334,8.647,146848.07,123691.93,161327.13,0.59
2017-12-18,7.91,8.09,7.98,7.88,115292.89,-0.07,-0.87,8.208,8.362,8.702,156083.87,129829.12,170037.71,0.91
2017-12-15,8.21,8.22,8.05,7.8,258754.28,-0.16,-1.95,8.346,8.416,8.754,154868.3,137302.94,178376.9,2.04
2017-12-14,8.38,8.38,8.21,8.18,182137.42,-0.18,-2.15,8.446,8.498,8.789,120349.92,136976.9,183515.23,1.44
2017-12-13,8.37,8.48,8.39,8.32,102949.54,-0.02,-0.24,8.5,8.584,8.828,100531.62,135931.94,190278.96,0.81
2017-12-12,8.67,8.67,8.41,8.38,121285.24,-0.26,-3.0,8.534,8.67,8.864,100535.79,145243.83,202909.17,0.96
2017-12-11,8.55,8.75,8.67,8.54,109215.0,0.12,1.4,8.516,8.744,8.912,103574.37,149226.1,226107.38,0.86
2017-12-08,8.46,8.61,8.55,8.46,86162.38,0.07,0.82,8.486,8.791,8.938,119737.58,155527.18,256226.51,0.68
2017-12-07,8.57,8.6,8.48,8.47,83045.92,-0.08,-0.94,8.55,8.852,8.993,153603.87,173428.02,288825.53,0.66
2017-12-06,8.32,8.57,8.56,8.26,102970.41,0.24,2.88,8.668,8.902,9.035,171332.26,188046.18,313196.25,0.81
2017-12-05,8.5,8.62,8.32,8.26,136478.12,-0.2,-2.35,8.806,8.96,9.048,189951.86,198962.34,321936.88,1.08
2017-12-04,8.75,8.85,8.52,8.51,190031.08,-0.35,-3.95,8.972,9.042,9.068,194877.84,210246.31,325626.36,1.5
2017-12-01,8.91,9.0,8.87,8.65,255493.84,-0.2,-2.21,9.096,9.092,9.07,191316.78,219450.86,323384.06,2.02
2017-11-30,9.3,9.32,9.07,9.06,171687.84,-0.18,-1.95,9.154,9.08,9.048,193252.17,230053.57,323168.0,1.36
2017-11-29,9.15,9.28,9.25,9.08,196068.44,0.1,1.09,9.136,9.071,9.022,204760.11,244625.97,321173.69,1.55
2017-11-28,9.14,9.23,9.15,9.12,161108.0,0.01,0.11,9.114,9.057,8.986,207972.81,260574.52,318746.41,1.27
2017-11-27,9.14,9.17,9.14,8.9,172225.8,-0.02,-0.22,9.112,9.079,8.96,225614.77,302988.66,318720.47,1.36
