date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,31.7,32.06,31.17,31.15,151326.56,-0.62,-1.95,31.092,30.676,30.743,189441.16,173882.08,186834.64,2.45
2018-01-11,30.6,32.1,31.79,30.4,262415.75,0.89,2.88,30.894,30.459,30.752,195149.66,173791.83,196694.88,4.26
2018-01-10,31.08,31.42,30.9,30.33,155011.22,-0.53,-1.69,30.752,30.203,30.678,170442.17,173819.34,191903.72,2.51
2018-01-09,30.49,31.46,31.43,30.18,237204.3,1.26,4.18,30.78,30.269,30.63,187644.31,174432.58,192777.89,3.85
2018-01-08,30.02,30.18,30.17,29.2,141247.98,-0.01,-0.03,30.414,30.333,30.574,164950.81,167859.3,195581.54,2.29
2018-01-05,30.95,31.1,30.18,30.05,179869.05,-0.9,-2.9,30.26,30.509,30.533,158322.99,172265.78,199592.68,2.92
2018-01-04,31.0,31.1,31.08,30.58,138878.3,0.04,0.13,30.024,30.714,30.439,152434.01,183317.42,197529.87,2.25
2018-01-03,29.92,31.15,31.04,29.62,241021.92,1.44,4.87,29.654,30.689,30.311,177196.51,191131.65,199451.42,3.91
2018-01-02,29.67,29.79,29.6,29.08,123736.81,0.2,0.68,29.758,30.67,30.155,161220.86,182444.31,201630.08,2.01
2017-12-29,29.1,29.84,29.4,29.1,108108.86,0.4,1.38,30.252,30.698,30.16,170767.78,186976.07,204892.97,1.75
2017-12-28,29.0,29.77,29.0,28.8,150424.14,-0.23,-0.79,30.758,30.809,30.19,186208.57,199787.21,210695.79,2.44
2017-12-27,31.56,31.6,29.23,28.8,262690.81,-2.33,-7.38,31.404,31.045,30.215,214200.83,219597.94,217882.99,4.26
2017-12-26,32.1,32.16,31.56,31.16,161143.67,-0.51,-1.59,31.724,31.152,30.293,205066.78,209988.11,217366.51,2.61
2017-12-25,31.99,32.3,32.07,31.48,171471.44,0.14,0.44,31.582,30.991,30.284,203667.76,211123.19,224913.59,2.78
2017-12-22,32.1,32.29,31.93,31.66,185312.8,-0.3,-0.93,31.144,30.814,30.127,203184.36,223303.77,231658.22,3.01
2017-12-21,31.0,32.3,32.23,30.82,290385.41,1.4,4.54,30.86,30.557,30.022,213365.84,226919.57,240047.84,4.71
2017-12-20,30.7,31.39,30.83,30.58,217020.59,-0.02,-0.07,30.686,30.164,29.945,224995.04,211742.32,244359.07,3.52
2017-12-19,29.92,30.89,30.85,29.92,154148.55,0.97,3.25,30.58,29.933,30.08,214909.43,207771.2,251797.55,2.5
2017-12-18,30.18,30.78,29.88,29.4,169054.45,-0.63,-2.06,30.4,29.64,30.167,218578.62,220815.86,264702.57,2.74
2017-12-15,30.9,31.2,30.51,30.03,236220.22,-0.85,-2.71,30.484,29.621,30.26,243423.19,222809.86,274120.8,3.83
2017-12-14,30.68,31.95,31.36,30.5,348531.41,1.06,3.5,30.254,29.57,30.178,240473.3,221604.37,276240.63,5.65
2017-12-13,29.79,30.64,30.3,29.76,166592.52,0.35,1.17,29.642,29.385,30.163,198489.59,216168.04,271903.82,2.7
2017-12-12,30.43,30.52,29.95,29.89,172494.48,-0.35,-1.16,29.286,29.433,30.188,200632.98,224744.92,278397.69,2.8
2017-12-11,29.39,30.42,30.3,29.37,293277.31,0.94,3.2,28.88,29.576,30.19,223053.1,238704.0,281833.54,4.76
