date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,11.38,11.39,11.24,11.14,55662.88,-0.08,-0.71,11.426,11.767,11.742,65265.31,51328.91,41584.7,0.66
2018-01-11,11.29,11.35,11.32,11.18,45680.44,0.06,0.53,11.574,11.831,11.776,59370.54,48999.26,40447.77,0.54
2018-01-10,11.66,11.66,11.26,11.15,104659.87,-0.4,-3.43,11.718,11.87,11.809,58914.33,47428.0,39870.4,1.25
2018-01-09,11.72,11.74,11.66,11.5,53850.36,0.01,0.09,11.904,11.929,11.846,47015.45,41009.83,37351.01,0.64
2018-01-08,12.06,12.06,11.65,11.59,66473.0,-0.33,-2.75,11.998,11.923,11.871,44455.85,37900.97,40364.86,0.79
2018-01-05,12.08,12.11,11.98,11.98,26189.01,-0.06,-0.5,12.108,11.918,11.862,37392.5,33164.62,39499.12,0.31
2018-01-04,12.18,12.35,12.04,12.04,43399.4,-0.15,-1.23,12.088,11.894,11.841,38627.99,33032.62,40314.83,0.52
2018-01-03,12.21,12.27,12.19,12.07,45165.48,0.06,0.49,12.022,11.85,11.832,35941.67,31462.52,39847.55,0.54
2018-01-02,12.11,12.16,12.13,11.96,41052.36,-0.07,-0.57,11.954,11.795,11.805,35004.2,31002.76,39420.5,0.49
2017-12-29,11.91,12.2,12.2,11.75,31156.26,0.32,2.69,11.848,11.742,11.788,31346.1,31874.2,39656.74,0.37
2017-12-28,11.75,11.97,11.88,11.71,32366.45,0.17,1.45,11.728,11.717,11.778,28936.74,31840.5,40773.61,0.39
2017-12-27,11.84,12.03,11.71,11.71,29967.82,-0.14,-1.18,11.7,11.721,11.778,27437.25,31896.27,41621.06,0.36
2017-12-26,11.6,11.9,11.85,11.59,40478.12,0.25,2.15,11.678,11.748,11.783,26983.36,32312.79,43496.66,0.48
2017-12-25,11.65,11.71,11.6,11.52,22761.83,0.0,0.0,11.636,11.762,11.763,27001.31,33692.2,43518.78,0.27
