date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,31.75,31.93,30.55,30.28,76608.18,-1.29,-4.05,31.796,31.884,30.038,58620.37,69645.73,70951.46,2.46
2018-01-11,31.8,32.24,31.84,31.6,32619.64,0.01,0.03,32.01,31.83,29.847,53052.16,67306.72,68241.5,1.05
2018-01-10,32.71,32.71,31.83,31.74,55190.93,-0.92,-2.81,31.956,31.596,29.589,65628.69,72870.52,69870.58,1.77
2018-01-09,31.9,33.88,32.75,31.87,81093.25,0.74,2.31,32.044,31.397,29.331,68835.44,77511.45,68568.09,2.6
2018-01-08,31.8,32.19,32.01,31.33,47589.83,0.39,1.23,31.894,31.012,29.04,69333.41,78696.45,68396.41,1.53
2018-01-05,31.6,32.11,31.62,31.4,48767.14,0.05,0.16,31.972,30.611,28.805,80671.1,87331.07,68174.15,1.56
2018-01-04,32.18,32.68,31.57,31.21,95502.32,-0.7,-2.17,31.65,30.139,28.587,81561.27,85218.14,68249.53,3.06
2018-01-03,31.88,32.8,32.27,31.8,71224.64,0.27,0.84,31.236,29.667,28.383,80112.34,80324.4,66493.04,2.28
2018-01-02,32.68,32.77,32.0,31.69,83583.13,-0.4,-1.24,30.75,29.144,28.139,86187.46,79457.1,65972.47,2.68
2017-12-29,30.4,32.5,32.4,30.33,104278.25,2.39,7.96,30.13,28.714,27.853,88059.49,78142.47,64238.48,3.34
2017-12-28,29.44,30.18,30.01,29.23,53218.02,0.51,1.73,29.25,28.192,27.553,93991.04,72257.19,61973.67,1.71
2017-12-27,29.68,30.56,29.5,29.3,88257.66,-0.34,-1.14,28.628,27.863,27.402,88875.0,69176.29,62883.78,2.83
2017-12-26,29.02,30.45,29.84,28.72,101600.22,0.94,3.25,28.098,27.582,27.297,80536.47,66870.63,60384.23,3.26
2017-12-25,27.61,28.9,28.9,27.52,92943.28,0.9,3.21,27.538,27.264,27.17,72726.75,59624.74,57002.65,2.98
2017-12-22,28.5,28.99,28.0,27.29,133936.03,1.1,4.09,27.298,27.068,27.108,68225.46,58096.37,53891.22,4.29
2017-12-07,26.8,27.14,26.9,26.57,27637.8,0.05,0.19,27.134,26.998,27.104,50523.34,49017.23,49478.27,0.89
2017-12-06,27.0,27.04,26.85,26.23,46565.0,-0.19,-0.7,27.098,27.034,27.138,49477.59,51280.93,50277.72,1.49
2017-12-05,27.71,28.39,27.04,26.9,62551.63,-0.66,-2.38,27.066,27.099,27.144,53204.8,52661.68,50699.19,2.0
2017-12-04,27.11,28.16,27.7,26.94,70436.83,0.52,1.91,26.99,27.134,27.098,46522.72,52487.84,48999.71,2.26
2017-12-01,26.51,27.5,27.18,26.2,45425.44,0.46,1.72,26.838,26.991,27.027,47967.28,50334.5,47253.02,1.46
2017-11-30,26.58,26.83,26.72,26.21,22409.03,0.03,0.11,26.862,26.913,26.98,47511.13,51690.15,47166.29,0.72
