date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,22.72,22.72,22.19,22.19,17734.63,-0.56,-2.46,22.134,22.014,22.481,16800.13,13834.53,14843.17,1.41
2018-01-11,21.76,22.98,22.75,21.6,34912.17,0.94,4.31,22.094,21.945,22.563,15603.67,13377.16,14471.7,2.77
2018-01-10,21.92,22.16,21.81,21.62,11471.05,-0.11,-0.5,21.922,21.86,22.626,10869.09,10847.17,13243.06,0.91
2018-01-09,21.91,21.99,21.92,21.77,6971.18,-0.08,-0.36,21.972,21.9,22.727,11321.16,11304.48,13496.16,0.55
2018-01-08,21.99,22.0,22.0,21.55,12911.6,0.01,0.04,21.968,21.931,22.844,11996.73,12873.06,14508.67,1.02
2018-01-05,21.91,22.25,21.99,21.89,11752.35,0.1,0.46,21.894,22.039,22.923,10868.93,12505.0,14451.79,0.93
2018-01-04,22.06,22.07,21.89,21.76,11239.29,-0.17,-0.77,21.796,22.167,22.991,11150.64,12525.69,14441.51,0.89
2018-01-03,21.82,22.14,22.06,21.72,13731.39,0.16,0.73,21.798,22.32,23.067,10825.25,13165.89,14530.41,1.09
2018-01-02,21.68,21.92,21.9,21.67,10349.0,0.27,1.25,21.828,22.519,23.118,11287.81,13621.3,14660.34,0.82
2017-12-29,21.54,21.69,21.63,21.45,7272.6,0.13,0.6,21.894,22.691,23.21,13749.4,14174.75,15029.64,0.58
2017-12-28,21.21,21.84,21.5,21.21,13160.92,-0.4,-1.83,22.184,22.947,23.337,14141.08,15851.82,15419.91,1.04
2017-12-27,22.17,22.21,21.9,21.88,9612.36,-0.31,-1.4,22.538,23.18,23.45,13900.75,15566.25,15375.67,0.76
2017-12-26,22.33,22.35,22.21,21.65,16044.15,-0.02,-0.09,22.842,23.392,23.562,15506.52,15638.95,15889.44,1.27
2017-12-25,22.93,23.15,22.23,22.1,22656.95,-0.85,-3.68,23.21,23.553,23.671,15954.78,15687.83,15898.95,1.8
2017-12-22,23.21,23.45,23.08,23.05,9231.0,-0.19,-0.82,23.488,23.757,23.757,14600.09,16144.28,15491.27,0.73
2017-12-21,23.41,23.46,23.27,23.0,11959.27,-0.15,-0.64,23.71,23.806,23.812,17562.56,16398.59,15801.47,0.95
2017-12-20,23.95,23.95,23.42,23.3,17641.24,-0.63,-2.62,23.822,23.814,23.843,17231.75,16357.32,16477.3,1.4
2017-12-19,23.53,24.1,24.05,23.51,18285.46,0.43,1.82,23.942,23.814,23.866,15771.37,15894.93,16355.75,1.45
2017-12-18,23.97,23.99,23.62,23.5,15883.5,-0.57,-2.36,23.896,23.717,23.86,15420.87,15699.39,16218.34,1.26
2017-12-15,24.2,24.7,24.19,24.11,24043.33,0.36,1.51,24.026,23.728,23.869,17688.47,15884.54,16197.3,1.91
2017-12-14,24.13,24.13,23.83,23.75,10305.2,-0.19,-0.79,23.902,23.727,23.836,15234.61,14988.01,16353.48,0.82
2017-12-13,23.76,24.16,24.02,23.72,10339.35,0.2,0.84,23.806,23.719,23.878,15482.89,15185.09,16514.45,0.82
2017-12-12,24.07,24.25,23.82,23.75,16532.96,-0.45,-1.85,23.686,23.732,23.916,16018.49,16139.94,17122.44,1.31
2017-12-11,23.7,24.38,24.27,23.65,27221.52,0.7,2.97,23.538,23.789,24.004,15977.9,16110.08,17687.56,2.16
2017-12-08,23.4,23.72,23.57,23.33,11774.03,0.22,0.94,23.43,23.757,24.047,14080.6,14838.25,17280.83,0.93
2017-12-07,23.46,23.62,23.35,23.26,11546.58,-0.07,-0.3,23.552,23.817,24.137,14741.4,15204.35,18036.39,0.92
2017-12-06,23.0,23.45,23.42,22.94,13017.34,0.34,1.47,23.632,23.872,24.25,14887.29,16597.28,18862.9,1.03
2017-12-05,23.52,23.88,23.08,22.92,16330.05,-0.65,-2.74,23.778,23.917,24.346,16261.4,16816.57,19640.59,1.3
2017-12-04,24.25,24.25,23.73,23.6,17735.0,-0.45,-1.86,24.04,24.002,24.455,16242.26,16737.3,19984.39,1.41
2017-12-01,23.74,24.32,24.18,23.72,15078.04,0.43,1.81,24.084,24.009,24.516,15595.91,16510.07,20285.62,1.2
2017-11-30,24.05,24.14,23.75,23.73,12276.0,-0.4,-1.66,24.082,23.945,24.537,15667.29,17718.96,21194.46,0.97
2017-11-29,24.4,24.45,24.15,23.38,19887.93,-0.24,-0.98,24.112,24.036,24.6,18307.26,17843.81,22734.49,1.58
2017-11-28,24.16,24.48,24.39,23.95,16234.33,0.44,1.84,24.056,24.099,24.69,17371.73,18104.93,23236.6,1.29
2017-11-27,24.1,24.39,23.95,23.83,14503.24,-0.22,-0.91,23.964,24.218,24.776,17232.33,19265.04,23586.02,1.15
2017-11-24,23.95,24.28,24.17,23.7,15434.97,0.27,1.13,23.934,24.337,24.881,17424.24,19723.41,25134.25,1.22
2017-11-23,23.86,24.8,23.9,23.7,25475.85,0.03,0.13,23.808,24.457,25.073,19770.62,20868.43,25970.74,2.02
2017-11-22,23.94,24.13,23.87,23.67,15210.28,-0.06,-0.25,23.96,24.628,25.305,17380.35,21128.53,26410.28,1.21
2017-11-21,23.7,24.1,23.93,23.53,15537.32,0.13,0.55,24.142,24.775,25.527,18838.12,22464.62,27328.79,1.23
2017-11-20,23.56,23.87,23.8,22.92,15462.76,0.26,1.1,24.472,24.907,25.72,21297.74,23231.48,27968.16,1.23
2017-11-17,24.65,24.82,23.54,23.5,27166.88,-1.12,-4.54,24.74,25.022,25.937,22022.58,24061.17,29053.24,2.16
2017-11-16,24.78,25.05,24.66,24.56,13524.52,-0.12,-0.48,25.106,25.128,26.188,21966.25,24669.97,29102.14,1.07
2017-11-15,25.43,25.43,24.78,24.71,22499.12,-0.8,-3.13,25.296,25.163,26.359,24876.71,27625.17,29722.79,1.79
2017-11-14,24.98,25.9,25.58,24.98,27835.44,0.44,1.75,25.408,25.28,26.515,26091.11,28368.27,31031.91,2.21
2017-11-13,25.37,25.38,25.14,25.0,19086.94,-0.23,-0.91,25.342,25.334,26.689,25165.21,27907.01,31332.54,1.51
2017-11-10,25.6,25.66,25.37,25.0,26885.23,-0.24,-0.94,25.304,25.424,26.872,26099.77,30545.1,33247.67,2.13
2017-11-09,25.39,25.93,25.61,25.37,28076.84,0.27,1.07,25.15,25.688,27.111,27373.7,31073.05,35270.63,2.23
2017-11-08,25.25,25.7,25.34,25.15,28571.1,0.09,0.36,25.03,25.981,27.353,30373.64,31692.02,37661.24,2.27
2017-11-07,24.97,25.26,25.25,24.56,23205.93,0.3,1.2,25.152,26.278,27.63,30645.43,32192.97,44153.52,1.84
2017-11-06,24.72,25.05,24.95,24.3,23759.74,0.35,1.42,25.326,26.533,28.025,30648.81,32704.84,54007.63,1.89
2017-11-03,25.12,25.2,24.6,24.32,33254.87,-0.41,-1.64,25.544,26.851,28.285,34990.42,34045.3,54659.9,2.64
2017-11-02,25.88,25.98,25.01,24.71,43076.54,-0.94,-3.62,26.226,27.248,28.425,34772.41,33534.31,53870.8,3.42
2017-11-01,25.99,26.18,25.95,25.74,29930.06,-0.17,-0.65,26.932,27.554,28.536,33010.4,31820.4,52790.38,2.37
