date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,11.22,11.31,11.17,11.01,23475.75,-0.03,-0.27,11.098,11.294,11.505,19743.31,14851.89,14070.75,0.75
2018-01-11,11.01,11.34,11.2,10.86,23450.83,0.17,1.54,11.13,11.328,11.556,19199.73,13632.86,14774.87,0.74
2018-01-10,11.0,11.04,11.03,10.84,14515.9,0.01,0.09,11.18,11.364,11.59,16497.36,12170.48,14307.12,0.46
2018-01-09,11.11,11.35,11.02,10.91,22424.99,-0.05,-0.45,11.298,11.433,11.634,14972.8,11952.73,15030.42,0.71
2018-01-08,11.31,11.31,11.07,11.07,14849.1,-0.26,-2.29,11.406,11.491,11.698,11783.74,10926.83,16635.65,0.47
2018-01-05,11.48,11.48,11.33,11.17,20757.82,-0.12,-1.05,11.49,11.552,11.737,9960.47,11498.54,16360.98,0.66
2018-01-04,11.59,11.62,11.45,11.44,9939.0,-0.17,-1.46,11.526,11.594,11.763,8065.99,10259.35,15882.91,0.32
2018-01-03,11.6,11.65,11.62,11.54,6893.11,0.06,0.52,11.548,11.625,11.78,7843.6,10182.35,15933.86,0.22
2018-01-02,11.51,11.68,11.56,11.51,6479.66,0.07,0.61,11.568,11.643,11.789,8932.66,10660.13,16050.09,0.21
2017-12-29,11.46,11.58,11.49,11.44,5732.75,-0.02,-0.17,11.576,11.667,11.801,10069.93,11631.77,16274.09,0.18
2017-12-28,11.56,11.65,11.51,11.45,11285.42,-0.05,-0.43,11.614,11.715,11.818,13036.62,13289.62,16226.02,0.36
2017-12-27,11.72,11.72,11.56,11.45,8827.04,-0.16,-1.36,11.662,11.784,11.833,12452.71,15916.89,16200.4,0.28
2017-12-26,11.55,11.77,11.72,11.49,12338.42,0.12,1.03,11.702,11.815,11.85,12521.1,16443.75,16275.45,0.39
2017-12-25,11.59,11.68,11.6,11.35,12166.0,-0.08,-0.69,11.718,11.834,11.858,12387.61,18108.11,16137.88,0.39
2017-12-22,11.7,11.71,11.68,11.37,20566.2,-0.07,-0.6,11.758,11.905,11.868,13193.61,22344.46,16364.24,0.65
2017-12-21,11.68,11.76,11.75,11.6,8365.88,-0.01,-0.09,11.816,11.921,11.874,13542.62,21223.41,15920.35,0.27
2017-12-20,11.85,11.85,11.76,11.62,9169.01,-0.04,-0.34,11.906,11.931,11.879,19381.07,21506.47,16527.71,0.29
2017-12-19,11.8,11.83,11.8,11.67,11670.96,0.0,0.0,11.928,11.935,11.894,20366.4,21685.38,17805.04,0.37
2017-12-18,11.97,12.0,11.8,11.52,16196.02,-0.17,-1.42,11.95,11.935,11.898,23828.62,21440.04,18498.97,0.51
2017-12-15,12.19,12.19,11.97,11.9,22311.22,-0.23,-1.89,12.052,11.935,11.873,31495.31,20916.4,18841.11,0.71
2017-12-14,12.0,12.38,12.2,12.0,37558.15,0.33,2.78,12.026,11.92,11.859,28904.2,19162.41,19526.12,1.19
2017-12-13,11.8,11.97,11.87,11.76,14095.66,-0.04,-0.34,11.956,11.882,11.825,23631.87,16483.9,18550.45,0.45
2017-12-12,12.22,12.41,11.91,11.91,28982.04,-0.4,-3.25,11.942,11.885,11.824,23004.35,16107.14,18561.59,0.92
2017-12-11,12.49,12.81,12.31,12.26,54529.5,0.47,3.97,11.92,11.882,11.826,19051.46,14167.65,17974.93,1.73
2017-12-08,11.83,11.95,11.84,11.73,9355.67,-0.01,-0.08,11.818,11.831,11.811,10337.49,10384.02,15859.03,0.3
2017-12-07,11.81,11.85,11.85,11.65,11196.49,0.05,0.42,11.814,11.827,11.832,9420.62,10617.29,16003.01,0.36
2017-12-06,11.73,11.88,11.8,11.66,10958.05,0.0,0.0,11.808,11.827,11.852,9335.93,11548.95,16058.69,0.35
