date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,17.79,18.88,17.84,17.71,142944.58,0.08,0.45,17.52,17.43,17.541,94999.93,81743.24,72681.03,2.75
2018-01-11,17.08,17.86,17.76,16.86,125160.51,0.6,3.5,17.45,17.359,17.574,77246.2,75929.36,69677.58,2.41
2018-01-10,17.35,17.44,17.16,17.05,77188.58,-0.29,-1.66,17.396,17.278,17.627,66296.79,69965.84,66272.02,1.48
2018-01-09,17.32,17.68,17.45,17.24,72581.43,0.06,0.34,17.456,17.267,17.71,68916.77,68397.14,65844.43,1.4
2018-01-08,17.48,17.5,17.39,17.2,57124.54,-0.1,-0.57,17.398,17.222,17.802,66047.76,69946.96,66680.46,1.1
2018-01-05,17.39,17.62,17.49,17.36,54175.94,0.0,0.0,17.34,17.231,17.89,68486.56,70321.73,71296.48,1.04
2018-01-04,17.5,17.74,17.49,17.37,70413.47,0.03,0.17,17.268,17.256,17.951,74612.51,69988.6,72339.08,1.35
2018-01-03,17.15,17.49,17.46,17.12,90288.45,0.3,1.75,17.16,17.305,18.009,73634.9,69079.6,70918.7,1.74
2018-01-02,17.04,17.25,17.16,16.96,58236.4,0.06,0.35,17.078,17.402,18.067,67877.51,65187.24,70539.37,1.12
2017-12-29,16.99,17.13,17.1,16.8,69318.52,-0.03,-0.17,17.046,17.524,18.165,73846.16,64585.45,73301.23,1.33
2017-12-28,16.85,17.34,17.13,16.82,84805.71,0.18,1.06,17.122,17.652,18.268,72156.9,63618.82,76041.49,1.63
2017-12-27,17.05,17.09,16.95,16.76,65525.4,-0.1,-0.59,17.244,17.789,18.349,65364.7,63425.8,74669.98,1.26
2017-12-26,17.03,17.1,17.05,16.89,61501.54,0.05,0.29,17.45,17.976,18.443,64524.3,62578.2,74962.24,1.18
2017-12-25,17.48,17.49,17.0,16.85,88079.63,-0.48,-2.75,17.726,18.152,18.536,62496.97,63291.71,74961.52,1.69
2017-12-22,17.73,17.84,17.48,17.48,60872.2,-0.26,-1.47,18.002,18.381,18.634,55324.74,63413.96,73838.08,1.17
2017-12-21,17.89,17.94,17.74,17.62,50844.71,-0.24,-1.33,18.182,18.549,18.702,55080.74,72271.23,73261.22,0.98
2017-12-20,18.37,18.41,17.98,17.9,61323.4,-0.45,-2.44,18.334,18.645,18.755,61486.9,74689.55,75042.86,1.18
2017-12-19,18.25,18.44,18.43,18.16,51364.93,0.05,0.27,18.502,18.713,18.798,60632.1,72757.81,75744.01,0.99
2017-12-18,18.41,18.44,18.38,18.09,52218.44,0.0,0.0,18.578,18.732,18.806,64086.45,75891.49,79237.1,1.0
2017-12-15,18.37,18.47,18.38,18.05,59652.23,-0.12,-0.65,18.76,18.805,18.803,71503.19,82017.02,82770.43,1.22
2017-12-14,18.67,18.78,18.5,18.26,82875.49,-0.32,-1.7,18.916,18.883,18.8,89461.71,88464.17,85015.59,1.7
2017-12-13,18.7,18.85,18.82,18.53,57049.4,0.01,0.05,18.956,18.908,18.833,87892.2,85914.16,83409.74,1.17
2017-12-12,19.23,19.25,18.81,18.81,68636.67,-0.48,-2.49,18.924,18.91,18.856,84883.53,87346.29,83907.52,1.41
2017-12-11,19.21,19.41,19.29,19.12,89302.15,0.13,0.68,18.886,18.919,18.878,87696.54,86631.34,90223.97,1.85
2017-12-08,19.01,19.39,19.16,18.89,149444.86,0.46,2.46,18.85,18.886,18.915,92530.85,84262.2,90606.15,3.09
2017-12-07,18.61,18.92,18.7,18.61,75027.91,0.04,0.21,18.85,18.855,18.966,87466.62,74251.21,87803.9,1.55
2017-12-06,18.45,18.73,18.66,18.42,42006.05,0.04,0.21,18.86,18.864,19.038,83936.13,75396.18,91309.52,0.87
2017-12-05,19.0,19.09,18.62,18.35,82701.73,-0.49,-2.56,18.896,18.883,19.129,89809.05,78730.21,95099.31,1.71
2017-12-04,19.0,19.36,19.11,18.93,113473.7,-0.05,-0.26,18.952,18.879,19.235,85566.13,82582.7,95820.06,2.35
2017-12-01,18.6,19.2,19.16,18.49,124123.73,0.41,2.19,18.922,18.8,19.317,75993.54,83523.83,95289.4,2.57
2017-11-30,18.65,18.8,18.75,18.52,57375.42,-0.09,-0.48,18.86,18.716,19.399,61035.8,81567.01,94193.77,1.19
2017-11-29,18.81,18.85,18.84,18.35,71370.68,-0.06,-0.32,18.868,18.757,19.519,66856.22,80905.32,100968.34,1.48
2017-11-28,18.87,18.93,18.9,18.68,61487.12,-0.06,-0.32,18.87,18.802,19.613,67651.36,80468.75,102532.58,1.27
2017-11-27,18.86,18.96,18.96,18.59,65610.75,0.11,0.58,18.806,18.837,19.711,79599.27,93816.61,103388.5,1.36
2017-11-24,18.64,18.85,18.85,18.64,49335.05,0.06,0.32,18.678,18.944,19.804,91054.12,96950.1,106246.65,1.02
2017-11-23,18.8,18.95,18.79,18.34,86477.52,-0.06,-0.32,18.572,19.077,19.925,102098.22,101356.58,110443.67,1.79
2017-11-22,18.55,18.85,18.85,18.36,75346.38,0.27,1.45,18.646,19.211,20.036,94954.42,107222.87,119366.75,1.56
2017-11-21,18.07,18.59,18.58,17.99,121226.65,0.26,1.42,18.734,19.374,20.186,93286.13,111468.41,119857.99,2.51
2017-11-20,18.22,18.32,18.32,17.51,122885.01,0.0,0.0,18.868,19.591,20.356,108033.94,109057.41,119715.12,2.54
2017-11-17,19.12,19.18,18.32,18.26,104555.55,-0.84,-4.38,19.21,19.834,20.533,102846.07,107054.97,119760.48,2.16
2017-11-16,19.32,19.37,19.16,19.16,50758.5,-0.13,-0.67,19.582,20.082,20.713,100614.94,106820.53,126221.67,1.05
2017-11-15,19.05,19.34,19.29,19.03,67004.92,0.04,0.21,19.776,20.28,20.835,119491.33,121031.36,130430.42,1.39
2017-11-14,19.95,19.95,19.25,18.95,194965.72,-0.78,-3.89,20.014,20.424,20.935,129650.69,124596.42,132247.02,4.04
2017-11-13,20.25,20.39,20.03,19.98,96945.68,-0.15,-0.74,20.314,20.584,21.05,110080.88,112960.4,128754.22,2.01
2017-11-10,20.14,20.36,20.18,20.11,93399.86,0.05,0.25,20.458,20.664,21.093,111263.87,115543.21,129116.73,1.93
2017-11-09,20.4,20.4,20.13,20.06,145140.45,-0.35,-1.71,20.582,20.772,21.148,113026.12,119530.77,128610.33,3.0
2017-11-08,20.72,20.72,20.48,20.46,117801.76,-0.27,-1.3,20.784,20.86,21.202,122571.39,131510.62,125676.56,2.44
2017-11-07,20.71,20.89,20.75,20.51,97116.67,0.0,0.0,20.834,20.997,21.23,119542.14,128247.56,125378.5,2.01
2017-11-06,20.77,20.9,20.75,20.31,102860.6,-0.05,-0.24,20.854,21.121,21.239,115839.92,130372.82,125234.2,2.13
2017-11-03,21.05,21.2,20.8,20.54,102211.1,-0.34,-1.61,20.87,21.231,21.236,119822.55,132465.99,125327.01,2.12
2017-11-02,20.62,21.4,21.14,20.45,192866.8,0.41,1.98,20.962,21.344,21.2,126035.42,145622.82,122216.63,3.99
2017-11-01,20.81,20.93,20.73,20.56,102655.54,-0.12,-0.58,20.936,21.39,21.143,140449.86,139829.48,115112.31,2.12
2017-10-31,20.7,20.94,20.85,20.41,78605.54,0.02,0.1,21.16,21.445,21.124,136952.98,139897.62,112192.57,1.63
2017-10-30,21.1,21.44,20.83,20.6,122773.79,-0.43,-2.02,21.388,21.516,21.083,144905.72,144548.04,110218.97,2.54
2017-10-27,20.81,21.28,21.26,20.76,133275.41,0.25,1.19,21.592,21.521,21.043,145109.42,142690.24,106637.62,2.76
2017-10-26,21.49,21.49,21.01,20.81,264939.03,-0.84,-3.84,21.726,21.524,21.001,165210.23,137689.89,103666.38,5.48
2017-10-25,21.94,22.08,21.85,21.66,85171.14,-0.14,-0.64,21.844,21.543,20.968,139209.11,119842.49,94109.81,1.76
2017-10-24,21.84,22.15,21.99,21.36,118369.23,0.14,0.64,21.73,21.462,20.911,142842.26,122509.45,93158.32,2.45
2017-10-23,21.81,22.15,21.85,21.61,123792.31,-0.08,-0.36,21.644,21.357,20.855,144190.35,120095.58,90091.64,2.56
2017-10-20,21.5,22.35,21.93,21.43,233779.44,0.33,1.53,21.45,21.24,20.817,140271.06,118188.02,87587.5,4.84
2017-10-19,21.18,21.67,21.6,21.06,134933.41,0.32,1.5,21.322,21.055,20.754,110169.56,98810.44,79779.68,2.79
2017-10-18,21.4,21.54,21.28,20.92,103336.89,-0.28,-1.3,21.242,20.895,20.716,100475.87,90395.14,76445.62,2.14
2017-10-17,20.85,21.65,21.56,20.73,125109.72,0.68,3.26,21.194,20.803,20.709,102176.63,84487.52,75110.78,2.59
2017-10-16,21.12,21.75,20.88,20.85,104195.85,-0.41,-1.93,21.07,20.65,20.685,96000.8,75889.9,74352.81,2.16
2017-10-13,21.21,21.46,21.29,21.15,83271.91,0.09,0.42,21.03,20.565,20.721,96104.99,70584.99,74426.56,1.72
2017-10-12,21.0,21.35,21.2,20.87,86464.96,0.16,0.76,20.788,20.478,20.743,87451.32,69642.87,78866.87,1.79
2017-10-11,20.95,21.38,21.04,20.87,111840.73,0.1,0.48,20.548,20.393,20.745,80314.42,68377.14,81738.75,2.31
2017-10-10,20.75,20.95,20.94,20.5,94230.56,0.26,1.26,20.412,20.359,20.743,66798.4,63807.19,81291.8,1.95
