date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,25.79,25.79,25.04,24.89,111390.03,-0.91,-3.51,25.042,25.1,25.004,102013.4,99742.19,109401.21,6.37
2018-01-11,24.1,25.97,25.95,24.01,174599.56,1.58,6.48,25.136,25.055,24.919,106940.73,98333.72,106651.24,9.98
2018-01-10,24.67,24.81,24.37,23.9,69402.9,-0.4,-1.61,25.01,24.836,24.798,89632.01,88591.73,101788.24,3.97
2018-01-09,25.06,25.07,24.77,24.5,71206.01,-0.31,-1.24,25.2,24.82,24.725,96571.6,87903.31,101916.55,4.07
2018-01-08,25.51,25.98,25.08,24.72,83468.51,-0.43,-1.69,25.276,24.746,24.661,99902.08,89663.61,101838.53,4.77
2018-01-05,25.61,26.2,25.51,25.35,136026.69,0.19,0.75,25.158,24.743,24.573,97470.98,89812.8,101816.8,7.77
2018-01-04,25.26,25.55,25.32,24.93,88055.96,0.0,0.0,24.974,24.741,24.438,89726.7,88853.94,98899.11,5.03
2018-01-03,25.16,25.39,25.32,24.75,104100.84,0.17,0.68,24.662,24.784,24.314,87551.44,94789.63,98944.0,5.95
2018-01-02,24.49,25.17,25.15,24.33,87858.4,0.66,2.69,24.44,24.794,24.165,79235.01,98497.76,101650.97,5.02
2017-12-29,24.81,24.97,24.49,24.26,71313.0,-0.1,-0.41,24.216,24.789,24.144,79425.14,107627.41,100969.13,4.08
2017-12-28,23.82,24.65,24.59,23.82,97305.3,0.83,3.49,24.328,24.907,24.187,82154.62,119060.23,101526.62,5.56
2017-12-27,24.23,24.66,23.76,23.76,77179.66,-0.45,-1.86,24.508,24.782,24.202,87981.19,114968.77,100606.46,4.41
2017-12-26,24.12,24.5,24.21,24.01,62518.71,0.18,0.75,24.906,24.759,24.277,102027.82,114984.75,102325.53,3.57
2017-12-25,24.75,25.0,24.03,23.86,88809.01,-1.02,-4.07,25.148,24.63,24.371,117760.51,115929.8,105715.4,5.08
2017-12-22,25.7,25.78,25.05,25.03,84960.43,-0.44,-1.73,25.362,24.576,24.417,135829.68,114013.46,108438.56,4.86
2017-12-21,25.23,25.88,25.49,25.02,126438.13,-0.26,-1.01,25.486,24.402,24.485,155965.84,113820.81,114701.38,7.23
2017-12-20,25.23,25.78,25.75,24.31,147412.81,0.33,1.3,25.056,24.135,24.679,141956.35,108944.28,120005.49,8.42
2017-12-19,24.88,25.79,25.42,24.77,141182.17,0.32,1.27,24.612,23.843,25.022,127941.69,103098.37,124215.73,8.07
2017-12-18,25.7,25.85,25.1,24.88,179154.84,-0.57,-2.22,24.112,23.535,25.424,114099.08,104804.17,125709.46,10.24
2017-12-15,23.88,25.67,25.67,23.85,185641.23,2.33,9.98,23.79,23.498,25.859,92197.24,94310.85,126082.58,10.61
2017-12-14,23.49,23.75,23.34,23.21,56390.71,-0.19,-0.81,23.318,23.466,26.208,71675.78,83993.01,131027.64,3.22
2017-12-13,22.85,23.59,23.53,22.85,77339.5,0.61,2.66,23.214,23.622,26.706,75932.2,86244.14,140102.5,4.42
2017-12-12,23.54,23.77,22.92,22.6,71969.13,-0.57,-2.43,23.074,23.795,27.114,78255.05,89666.31,145227.97,4.11
2017-12-11,23.51,23.92,23.49,23.34,69645.61,0.18,0.77,22.958,24.111,27.627,95509.26,95501.0,154684.15,3.98
2017-12-08,23.13,23.8,23.31,23.13,83033.93,0.49,2.15,23.206,24.257,28.094,96424.46,102863.66,164964.38,4.75
2017-12-07,22.65,23.28,22.82,22.64,77672.83,-0.01,-0.04,23.614,24.568,28.464,96310.25,115581.96,166780.89,4.44
2017-12-06,22.31,22.86,22.83,22.08,88953.73,0.49,2.19,24.03,25.222,28.906,96556.08,131066.71,169320.14,5.08
2017-12-05,24.5,24.5,22.34,22.26,158240.19,-2.39,-9.66,24.516,26.201,29.347,101077.57,145333.09,172726.08,9.04
2017-12-04,25.53,25.53,24.73,24.6,74221.6,-0.62,-2.45,25.264,27.312,29.842,95492.75,146614.76,175497.06,4.24
2017-12-01,24.9,25.56,25.35,24.8,82462.89,0.45,1.81,25.308,28.219,30.145,109302.87,157854.31,177808.89,4.71
2017-11-30,24.99,25.44,24.9,24.62,78901.99,-0.36,-1.43,25.522,28.95,30.412,134853.67,178062.28,182030.17,4.51
2017-11-29,25.8,25.8,25.26,24.66,111561.2,-0.82,-3.14,26.414,29.79,30.702,165577.33,193960.85,188804.04,6.38
2017-11-28,25.25,26.29,26.08,25.0,130316.08,1.13,4.53,27.886,30.432,30.928,189588.6,200789.64,190402.37,7.45
2017-11-27,25.49,26.3,24.95,24.5,143272.2,-1.47,-5.56,29.36,31.142,31.096,197736.77,213867.3,189482.75,8.19
2017-11-24,28.0,28.42,26.42,26.42,210216.88,-2.94,-10.01,31.13,31.93,31.299,206405.75,227065.1,188907.75,12.01
2017-11-23,31.85,31.85,29.36,29.36,232520.31,-3.26,-9.99,32.378,32.36,31.445,221270.88,217979.82,183319.95,13.29
2017-11-22,33.24,34.75,32.62,32.6,231617.52,-0.83,-2.48,33.166,32.59,31.447,222344.37,207573.57,176906.74,13.24
2017-11-21,33.28,33.95,33.45,32.96,171056.92,-0.35,-1.04,32.978,32.493,31.291,211990.68,200119.07,172314.44,9.78
2017-11-20,31.66,33.8,33.8,31.12,186617.14,1.14,3.49,32.924,32.371,31.035,229997.83,204379.36,167764.35,10.67
2017-11-17,33.01,34.45,32.66,32.07,284542.53,-0.64,-1.92,32.73,32.071,30.788,247724.44,197763.47,161792.25,16.26
2017-11-16,31.8,33.6,33.3,31.8,237887.72,1.62,5.11,32.342,31.874,30.609,214688.76,185998.07,152437.66,13.6
2017-11-15,32.8,33.53,31.68,31.67,179849.09,-1.5,-4.52,32.014,31.614,30.369,192802.77,183647.23,147844.27,10.28
2017-11-14,32.5,33.53,33.18,32.25,261092.69,0.35,1.07,32.008,31.424,30.261,188247.45,180015.11,147455.86,14.92
2017-11-13,30.57,33.0,32.83,30.08,275250.19,2.11,6.87,31.818,31.049,30.179,178760.88,165098.19,144652.73,15.73
2017-11-10,31.58,31.83,30.72,30.71,119364.11,-0.94,-2.97,31.412,30.667,30.181,147802.5,150750.41,149630.5,6.82
2017-11-09,31.4,31.66,31.66,30.68,128457.76,0.01,0.03,31.406,30.529,30.194,157307.38,148660.08,147759.87,7.34
2017-11-08,32.25,32.4,31.65,31.51,157072.52,-0.58,-1.8,31.214,30.303,30.157,174491.68,146239.91,146789.4,8.98
2017-11-07,30.89,32.35,32.23,30.89,213659.84,1.43,4.64,30.84,30.088,30.114,171782.76,144509.81,147919.44,12.21
2017-11-06,30.49,31.08,30.8,30.3,120458.26,0.11,0.36,30.28,29.698,30.131,151435.5,131149.35,145404.47,6.88
2017-11-03,30.4,31.5,30.69,30.2,166888.52,-0.01,-0.03,29.922,29.504,30.205,153698.31,125821.03,149168.17,9.54
2017-11-02,29.62,31.3,30.7,29.45,214379.28,0.92,3.09,29.652,29.343,30.177,140012.77,118877.25,148796.9,12.25
2017-11-01,29.6,30.19,29.78,29.07,143527.91,0.35,1.19,29.392,29.123,30.202,117988.14,112041.31,145602.91,8.2
2017-10-31,28.6,29.48,29.43,28.01,111923.54,0.42,1.45,29.336,29.097,30.311,117236.86,114896.61,145527.5,6.4
2017-10-30,29.0,29.27,29.01,27.1,131772.31,-0.33,-1.12,29.116,29.309,30.412,110863.2,124207.27,146747.38,7.53
2017-10-27,29.41,30.17,29.34,29.23,98460.81,-0.06,-0.2,29.086,29.694,30.514,97943.74,148510.59,146241.43,5.63
2017-10-26,29.21,29.59,29.4,28.9,104256.12,-0.1,-0.34,29.034,29.859,30.626,97741.74,146859.67,149036.47,5.96
2017-10-25,28.45,29.68,29.5,28.45,139771.5,1.17,4.13,28.854,30.01,30.74,106094.48,147338.9,154235.82,7.99
2017-10-24,28.93,29.11,28.33,27.91,80055.25,-0.53,-1.84,28.858,30.139,30.974,112556.36,151329.07,161545.35,4.58
2017-10-23,29.08,29.22,28.86,28.72,67175.01,-0.22,-0.76,29.502,30.563,31.197,137551.35,159659.59,167712.42,3.84
2017-10-20,28.4,29.14,29.08,28.23,97450.81,0.58,2.04,30.302,30.906,31.388,199077.44,172515.32,172766.91,5.57
2017-10-19,29.2,29.86,28.5,28.2,146019.83,-1.02,-3.46,30.684,31.011,31.57,195977.6,178716.55,180777.54,8.35
2017-10-18,31.56,31.85,29.52,29.51,172080.88,-2.03,-6.43,31.166,31.281,31.828,188583.31,179164.52,184909.84,9.83
2017-10-17,32.0,32.7,31.55,30.11,205030.2,-1.31,-3.99,31.42,31.525,32.09,190101.78,176158.4,189977.08,11.72
2017-10-16,31.33,34.09,32.86,31.33,374805.47,1.87,6.03,31.624,31.515,32.314,181767.83,169287.48,203347.22,21.42
2017-10-13,30.9,31.38,30.99,30.6,81951.61,0.08,0.26,31.51,31.334,32.427,145953.19,143972.26,196327.16,4.68
2017-10-12,30.57,31.45,30.91,30.16,109048.41,0.12,0.39,31.338,31.393,32.613,161455.51,151213.27,205725.08,6.23
2017-10-11,32.39,33.12,30.79,30.78,179673.22,-1.78,-5.46,31.396,31.469,32.779,169745.72,161132.75,218197.57,10.27
2017-10-10,32.0,32.57,32.57,31.69,163360.45,0.28,0.87,31.63,31.808,33.064,162215.01,171761.64,229634.88,9.34
2017-10-09,30.6,32.3,32.29,30.16,195732.28,2.16,7.17,31.406,31.831,33.243,156807.13,175765.25,250602.82,11.19
2017-09-29,31.09,31.46,30.13,30.02,159463.17,-1.07,-3.43,31.158,31.871,33.428,141991.33,173018.5,255053.95,9.11
2017-09-28,31.67,32.49,31.2,31.0,150499.5,-0.76,-2.38,31.448,32.128,33.558,140971.04,182838.54,267196.51,8.6
2017-09-27,31.38,32.23,31.96,31.01,142019.66,0.51,1.62,31.542,32.374,33.486,152519.77,190655.16,284372.29,8.12
2017-09-26,30.73,31.95,31.45,30.72,136321.02,0.4,1.29,31.986,32.654,33.332,181308.27,203795.76,289904.61,7.79
2017-09-25,31.6,32.15,31.05,31.05,121653.31,-0.53,-1.68,32.256,33.113,33.072,194723.37,237406.95,293456.35,6.95
2017-09-22,31.14,32.24,31.58,30.52,154361.69,-0.09,-0.28,32.584,33.519,32.836,204045.66,248682.06,304394.97,8.82
2017-09-21,33.7,33.83,31.67,31.67,208243.16,-2.51,-7.34,32.808,33.833,32.49,224706.03,260236.89,305485.76,11.9
2017-09-20,32.31,34.28,34.18,31.88,285962.16,1.38,4.21,33.206,34.088,32.135,228790.56,275262.39,307989.68,16.34
2017-09-19,32.6,33.3,32.8,32.24,203396.52,0.11,0.34,33.322,34.319,31.621,226283.26,287508.11,302389.74,11.62
2017-09-18,32.16,33.0,32.69,31.81,168264.77,-0.01,-0.03,33.97,34.654,31.198,280090.54,325440.39,299839.08,9.62
2017-09-15,33.18,33.3,32.7,31.45,257663.56,-0.96,-2.85,34.454,34.985,30.811,293318.45,337089.41,302716.35,14.73
2017-09-14,34.5,35.47,33.66,33.51,228665.78,-1.1,-3.17,34.858,34.988,30.38,295767.74,351554.49,303028.88,13.07
2017-09-13,35.0,35.35,34.76,33.9,273425.66,-1.28,-3.55,34.97,34.597,29.881,321734.21,378089.42,303648.15,15.63
2017-09-12,34.8,37.58,36.04,34.22,472432.91,0.93,2.65,35.316,34.009,29.236,348732.97,376013.45,296355.8,27.0
2017-09-11,34.0,35.18,35.11,33.33,234404.34,0.39,1.12,35.338,33.03,28.506,370790.24,349505.75,276655.72,13.4
2017-09-08,34.39,35.11,34.72,33.72,269910.0,0.5,1.46,35.516,32.152,27.803,380860.38,360107.89,268281.44,15.43
2017-09-07,35.71,36.1,34.22,33.91,358498.16,-2.27,-6.22,35.118,31.146,27.067,407341.24,350734.64,256733.35,20.49
2017-09-06,35.0,37.5,36.49,34.5,408419.44,0.34,0.94,34.224,30.182,26.388,434444.62,340716.98,240699.4,23.34
2017-09-05,37.0,37.88,36.15,34.62,582719.25,0.15,0.42,32.702,28.923,25.609,403293.94,317271.37,222010.59,33.3
2017-09-04,34.5,36.0,36.0,33.7,284755.03,3.27,9.99,30.722,27.742,24.859,328221.27,274237.78,195611.56,16.27
2017-09-01,29.3,32.73,32.73,28.99,402314.31,2.98,10.02,28.788,26.636,24.09,339355.4,268343.3,183160.09,22.99
2017-08-31,30.73,31.66,29.75,29.4,494015.09,0.87,3.01,27.174,25.771,23.476,294128.04,254503.28,165305.78,28.23
2017-08-30,26.19,28.88,28.88,26.19,252666.0,2.63,10.02,26.14,25.165,23.035,246989.34,229206.88,143474.59,14.44
2017-08-29,25.65,26.53,26.25,25.41,207355.92,-0.08,-0.3,25.144,24.463,22.633,231248.8,216698.15,133029.39,11.85
2017-08-28,25.15,27.13,26.33,24.69,340425.69,1.67,6.77,24.762,23.981,22.385,220254.28,203805.69,125094.22,19.46
2017-08-25,24.55,24.96,24.66,23.92,176177.48,0.08,0.33,24.484,23.454,22.13,197331.19,176454.98,111399.19,10.07
2017-08-24,24.16,25.62,24.58,23.62,258321.62,0.68,2.85,24.368,22.988,21.943,214878.52,162732.06,104798.57,14.76
2017-08-23,24.36,25.3,23.9,23.78,173963.28,-0.44,-1.81,24.19,22.594,21.765,211424.41,140681.81,96249.36,9.94
2017-08-22,24.96,24.98,24.34,24.06,152383.34,-0.6,-2.41,23.782,22.295,21.563,202147.5,126749.8,88567.3,8.71
2017-08-21,23.92,25.5,24.94,23.8,225810.22,0.86,3.57,23.2,21.976,21.341,187357.09,116985.34,82204.83,12.91
2017-08-18,23.3,24.55,24.08,23.3,263914.12,0.39,1.65,22.424,21.543,21.105,155578.78,97976.88,72474.18,15.08
2017-08-17,21.8,24.05,23.69,21.8,241051.08,1.83,8.37,21.608,21.181,20.915,110585.6,76108.28,62103.21,13.78
