date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,24.7,24.84,23.89,23.87,61166.86,-0.87,-3.51,24.826,25.135,25.695,43820.89,46803.69,36632.77,1.56
2018-01-11,24.65,24.84,24.76,24.01,46478.25,0.05,0.2,25.178,25.269,25.838,44266.65,44155.27,35449.18,1.19
2018-01-10,25.3,25.3,24.71,24.44,52090.43,-0.55,-2.18,25.27,25.331,25.918,46836.36,42118.05,34222.75,1.33
2018-01-09,25.51,25.55,25.26,25.19,29383.9,-0.25,-0.98,25.452,25.43,25.998,46836.92,39002.37,33605.02,0.75
2018-01-08,25.6,25.65,25.51,25.23,29985.03,-0.14,-0.55,25.472,25.474,26.059,49904.11,38894.0,35969.58,0.77
2018-01-05,25.2,25.69,25.65,25.15,63395.63,0.43,1.71,25.444,25.611,26.073,49786.49,38139.76,36862.63,1.62
2018-01-04,25.57,25.57,25.22,25.04,59326.8,-0.4,-1.56,25.36,25.751,26.094,44043.9,34775.75,35373.46,1.51
2018-01-03,25.4,25.72,25.62,25.11,52093.25,0.26,1.02,25.392,25.911,26.127,37399.74,31199.57,33891.49,1.33
2018-01-02,25.54,25.59,25.36,25.13,44719.83,-0.01,-0.04,25.408,26.049,26.106,31167.83,29700.19,32306.74,1.14
2017-12-29,25.33,25.45,25.37,25.21,29396.94,0.14,0.56,25.476,26.147,26.113,27883.89,26851.47,31042.31,0.75
2017-12-28,25.36,25.49,25.23,25.13,34682.68,-0.15,-0.59,25.778,26.255,26.134,26493.03,26461.86,30659.78,0.89
2017-12-27,25.69,25.92,25.38,25.21,26106.02,-0.32,-1.25,26.142,26.407,26.145,25507.6,26743.09,30642.53,0.67
2017-12-26,25.67,25.9,25.7,25.15,20933.66,0.0,0.0,26.43,26.505,26.176,24999.39,26327.45,30724.48,0.53
2017-12-25,26.88,26.88,25.7,25.7,28300.14,-1.18,-4.39,26.69,26.565,26.205,28232.54,28207.66,31342.95,0.72
2017-12-22,26.92,27.14,26.88,26.6,22442.63,-0.17,-0.63,26.818,26.644,26.233,25819.06,33045.16,32029.26,0.57
2017-12-21,26.75,27.16,27.05,26.43,29755.55,0.23,0.86,26.732,26.534,26.21,26430.68,35585.5,32738.26,0.76
2017-12-20,27.0,27.04,26.82,26.64,23564.97,-0.18,-0.67,26.672,26.437,26.199,27978.59,35971.17,32866.76,0.6
2017-12-19,26.3,27.0,27.0,26.3,37099.43,0.66,2.51,26.58,26.343,26.235,27655.51,36583.42,34406.06,0.95
2017-12-18,26.33,26.53,26.34,26.14,16232.7,-0.11,-0.42,26.44,26.163,26.253,28182.77,34913.29,35854.37,0.41
2017-12-15,26.56,26.75,26.45,26.19,25500.77,-0.3,-1.12,26.47,26.079,26.298,40271.27,35233.15,37547.4,0.65
2017-12-14,26.39,26.87,26.75,26.3,37495.07,0.39,1.48,26.336,26.013,26.341,44740.31,34857.71,40776.08,0.96
2017-12-13,26.36,26.48,26.36,26.11,21949.58,0.06,0.23,26.202,25.883,26.455,43963.74,34541.97,43135.19,0.56
2017-12-12,26.7,26.89,26.3,26.25,39735.74,-0.19,-0.72,26.106,25.847,26.647,45511.33,35121.52,46625.07,1.01
2017-12-11,26.88,27.22,26.49,26.34,76675.2,0.71,2.75,25.886,25.845,26.847,41643.8,34478.24,52381.03,1.96
2017-12-08,26.14,26.29,25.78,25.75,47845.96,-0.3,-1.15,25.688,25.822,26.972,30195.03,31013.37,51328.2,1.22
2017-12-07,25.67,26.42,26.08,25.67,33612.24,0.2,0.77,25.69,25.886,27.141,24975.11,29891.03,53082.02,0.86
2017-12-06,25.03,25.98,25.88,25.03,29687.5,0.68,2.7,25.564,25.96,27.313,25120.2,29762.35,54388.92,0.76
