date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,12.78,12.78,12.18,12.06,1137043.12,0.56,4.82,10.76,10.372,10.094,458609.35,282057.21,168785.59,27.08
2018-01-11,11.62,11.62,11.62,11.23,446377.28,1.06,10.04,10.218,10.194,9.972,257355.78,185024.09,112997.17,10.63
2018-01-10,9.53,10.56,10.56,9.52,540419.38,0.96,10.0,9.87,10.022,9.879,181266.08,148632.19,92079.64,12.87
2018-01-09,9.7,9.7,9.6,9.47,86599.28,-0.24,-2.44,9.776,9.949,9.838,89084.61,99622.35,66843.86,2.06
2018-01-08,9.47,9.91,9.84,9.46,82607.7,0.37,3.91,9.882,9.965,9.852,93162.45,94585.68,63744.71,1.97
2018-01-05,9.9,9.92,9.47,9.42,130775.24,-0.41,-4.15,9.984,9.972,9.854,105505.06,91078.7,61910.29,3.12
2018-01-04,10.11,10.18,9.88,9.84,65928.82,-0.21,-2.08,10.17,10.027,9.854,112692.4,84075.54,56757.28,1.57
2018-01-03,10.11,10.14,10.09,9.96,79512.03,-0.04,-0.4,10.174,10.015,9.835,115998.29,81298.8,56974.71,1.89
2018-01-02,10.39,10.39,10.13,10.01,106988.46,-0.22,-2.13,10.122,9.96,9.815,110160.08,76669.55,59404.72,2.55
2017-12-29,10.24,10.45,10.35,10.11,144320.75,-0.05,-0.48,10.048,9.893,9.798,96008.9,67271.88,55292.46,3.44
2017-12-28,9.83,10.4,10.4,9.83,166711.95,0.5,5.05,9.96,9.816,9.774,76652.34,55513.97,49571.27,3.97
2017-12-27,9.75,10.2,9.9,9.75,82458.26,0.07,0.71,9.884,9.75,9.74,55458.67,40970.26,42940.1,1.96
2017-12-26,9.8,9.93,9.83,9.53,50321.0,0.07,0.72,9.856,9.735,9.739,46599.31,35527.09,40489.7,1.2
2017-12-25,9.9,9.96,9.76,9.73,36232.54,-0.15,-1.51,9.798,9.727,9.742,43179.01,34065.37,39897.75,0.86
2017-12-22,10.06,10.06,9.91,9.79,47537.95,-0.11,-1.1,9.738,9.739,9.742,38534.87,32903.75,40036.7,1.13
