date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,20.3,20.41,20.4,20.0,47429.0,0.17,0.84,20.298,20.483,20.496,62938.39,64494.74,81429.25,1.0
2018-01-11,20.28,20.35,20.23,19.98,38106.66,0.0,0.0,20.37,20.451,20.465,64023.08,64380.02,82226.5,0.81
2018-01-10,20.28,20.41,20.23,19.98,66651.7,0.07,0.35,20.494,20.429,20.453,71028.18,65774.0,84464.51,1.41
2018-01-09,20.53,20.56,20.16,19.96,87870.04,-0.31,-1.51,20.632,20.419,20.429,73242.79,65585.38,85119.05,1.86
2018-01-08,20.74,20.75,20.47,20.14,74634.56,-0.29,-1.4,20.756,20.406,20.425,72671.12,67858.97,85999.5,1.58
2018-01-05,20.97,20.97,20.76,20.6,52852.42,-0.09,-0.43,20.668,20.44,20.401,66051.08,67169.43,90025.5,1.12
2018-01-04,20.88,20.98,20.85,20.58,73132.2,-0.07,-0.34,20.532,20.476,20.349,64736.97,72942.65,94451.65,1.55
2018-01-03,20.83,21.09,20.92,20.52,77724.72,0.14,0.67,20.364,20.473,20.283,60519.81,75914.92,95670.93,1.65
2018-01-02,20.07,20.95,20.78,20.06,85011.7,0.75,3.74,20.206,20.485,20.184,57927.98,79946.97,98731.66,1.8
2017-12-29,19.94,20.17,20.03,19.94,41534.37,-0.05,-0.25,20.056,20.452,20.116,63046.82,82987.97,101038.22,0.88
2017-12-28,20.01,20.41,20.08,19.94,46281.85,0.07,0.35,20.212,20.509,20.1,68287.77,98363.76,105607.1,0.98
2017-12-27,20.1,20.4,20.01,19.81,52046.4,-0.12,-0.6,20.42,20.478,20.035,81148.34,100072.97,106734.45,1.1
2017-12-26,20.2,20.55,20.13,20.0,64765.59,0.1,0.5,20.582,20.477,19.99,91310.03,103155.03,108805.61,1.37
2017-12-25,20.8,20.8,20.03,19.85,110605.91,-0.78,-3.75,20.764,20.439,19.929,101965.96,104652.71,112018.33,2.34
2017-12-22,21.05,21.28,20.81,20.66,67739.11,-0.31,-1.47,20.848,20.444,19.827,102929.12,104140.02,112508.91,1.43
2017-12-21,20.71,21.21,21.12,20.32,110584.67,0.3,1.44,20.806,20.362,19.702,128439.74,112881.56,119627.75,2.34
2017-12-20,20.9,21.06,20.82,20.54,102854.89,-0.22,-1.05,20.536,20.221,19.624,118997.61,115960.65,123813.83,2.18
2017-12-19,20.45,21.15,21.04,20.3,118045.23,0.59,2.88,20.372,20.093,19.563,115000.02,115426.94,125288.84,2.5
2017-12-18,20.41,20.79,20.45,20.12,115421.69,-0.15,-0.73,20.114,19.882,19.508,107339.45,117516.34,128319.08,2.44
