date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,27.0,27.13,26.43,26.21,373480.16,-0.81,-2.97,26.604,26.641,26.566,414493.19,377949.59,351920.53,3.64
2018-01-11,25.95,27.26,27.24,25.9,595146.38,1.11,4.25,26.578,26.635,26.632,411626.45,364251.18,348768.3,5.8
2018-01-10,26.59,26.77,26.13,26.0,275342.97,-0.25,-0.95,26.546,26.573,26.67,369264.99,334048.14,338598.91,2.68
2018-01-09,26.5,26.6,26.38,26.0,335024.03,-0.46,-1.71,26.752,26.632,26.767,417896.74,338819.07,354115.73,3.26
2018-01-08,27.2,27.64,26.84,26.7,493472.41,0.54,2.05,26.768,26.604,26.831,397224.64,331666.74,360933.25,4.81
2018-01-05,26.99,27.36,26.3,26.28,359146.44,-0.78,-2.88,26.678,26.554,26.843,341405.99,306986.98,360342.41,3.5
2018-01-04,26.98,27.37,27.08,26.75,383339.12,-0.08,-0.29,26.692,26.573,26.843,316875.92,304176.78,355836.73,3.73
2018-01-03,26.49,27.17,27.16,25.91,518501.69,0.7,2.65,26.6,26.48,26.835,298831.29,291215.42,357579.66,5.05
2018-01-02,26.6,26.65,26.46,25.85,231663.56,0.07,0.27,26.512,26.388,26.77,259741.4,265635.22,357303.1,2.26
2017-12-29,26.45,26.85,26.39,26.36,214379.12,0.02,0.08,26.44,26.337,26.812,266108.84,294254.11,366829.32,2.09
2017-12-28,26.47,26.92,26.37,26.27,236496.09,-0.25,-0.94,26.43,26.49,26.841,272567.98,325891.47,378624.62,2.3
2017-12-27,26.67,27.05,26.62,26.2,293116.0,-0.1,-0.37,26.454,26.628,26.853,291477.64,333285.41,387359.65,2.86
2017-12-26,26.08,26.75,26.72,25.69,323052.22,0.62,2.38,26.36,26.766,26.863,283599.55,343149.67,401718.61,3.15
2017-12-25,26.5,26.71,26.1,25.85,263500.75,-0.24,-0.91,26.264,26.902,26.918,271529.04,369412.38,418025.31,2.57
