date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,12.69,12.8,12.56,12.52,10440.53,-0.18,-1.41,12.56,12.798,13.046,13629.06,12916.01,16603.0,0.47
2018-01-11,12.31,12.75,12.74,12.25,19002.23,0.49,4.0,12.604,12.833,13.148,14861.62,12732.23,17159.09,0.85
2018-01-10,12.37,12.55,12.25,12.08,14778.0,-0.27,-2.16,12.664,12.845,13.249,13801.81,12114.2,17834.15,0.66
2018-01-09,12.78,12.84,12.52,12.49,14932.79,-0.21,-1.65,12.854,12.917,13.357,13533.64,12162.5,18650.23,0.67
2018-01-08,12.65,12.84,12.73,12.65,8991.75,-0.05,-0.39,12.976,12.978,13.473,12288.2,11828.32,20112.23,0.4
2018-01-05,13.05,13.07,12.78,12.28,16603.32,-0.26,-1.99,13.036,13.022,13.569,12202.95,12614.35,21781.62,0.74
2018-01-04,13.2,13.2,13.04,12.95,13703.2,-0.16,-1.21,13.062,13.084,13.66,10602.83,13473.87,22718.74,0.61
2018-01-03,13.13,13.29,13.2,13.05,13437.12,0.07,0.53,13.026,13.08,13.744,10426.59,14938.05,25279.56,0.6
2018-01-02,13.1,13.16,13.13,12.98,8705.59,0.1,0.77,12.98,13.116,13.808,10791.37,16098.35,28360.08,0.39
2017-12-29,12.98,13.1,13.03,12.84,8565.53,0.12,0.93,12.98,13.166,13.851,11368.45,18953.86,29887.51,0.38
2017-12-28,12.9,13.0,12.91,12.82,8602.73,0.05,0.39,13.008,13.293,13.926,13025.75,20289.98,31956.75,0.38
2017-12-27,12.92,13.14,12.86,12.75,12822.0,-0.11,-0.85,13.106,13.462,13.994,16344.9,21585.96,34031.75,0.57
2017-12-26,13.1,13.19,12.97,12.53,15261.0,-0.16,-1.22,13.134,13.652,14.086,19449.5,23554.11,37013.36,0.68
2017-12-25,13.25,13.26,13.13,13.11,11591.0,-0.04,-0.3,13.252,13.796,14.177,21405.34,25137.95,41455.71,0.52
2017-12-22,13.26,13.4,13.17,13.15,16852.0,-0.23,-1.72,13.352,13.968,14.201,26539.27,28396.14,42259.11,0.75
2017-12-21,13.38,13.57,13.4,13.23,25198.51,0.4,3.08,13.578,14.116,14.244,27554.22,30948.88,43007.06,1.12
2017-12-20,13.51,13.66,13.0,13.0,28344.99,-0.56,-4.13,13.818,14.236,14.271,26827.02,31963.62,44531.9,1.26
2017-12-19,13.62,13.79,13.56,13.33,25040.19,-0.07,-0.51,14.17,14.408,14.319,27658.71,35621.06,45272.27,1.12
2017-12-18,14.23,14.25,13.63,13.6,37260.68,-0.67,-4.68,14.34,14.5,14.363,28870.56,40621.8,46474.05,1.66
2017-12-15,14.61,14.71,14.3,14.3,21926.74,-0.3,-2.06,14.584,14.536,14.408,30253.0,40821.16,48596.98,0.98
2017-12-14,14.65,14.77,14.6,14.5,21562.48,-0.16,-1.08,14.654,14.559,14.38,34343.54,43623.52,50451.83,0.96
2017-12-13,14.5,14.85,14.76,14.3,32503.46,0.35,2.43,14.654,14.525,14.357,37100.21,46477.55,51144.36,1.45
2017-12-12,14.8,14.8,14.41,14.36,31099.43,-0.44,-2.96,14.646,14.519,14.318,43583.42,50472.62,50902.03,1.39
2017-12-11,14.66,14.88,14.85,14.48,44172.88,0.2,1.36,14.66,14.557,14.291,52373.04,57773.47,50966.92,1.97
2017-12-08,14.48,14.84,14.65,14.48,42379.47,0.05,0.34,14.488,14.434,14.242,51389.32,56122.08,50178.2,1.89
2017-12-07,14.88,14.89,14.6,14.48,35345.83,-0.12,-0.81,14.464,14.371,14.214,52903.51,55065.25,50446.99,1.57
2017-12-06,14.48,14.73,14.72,14.22,64919.49,0.24,1.66,14.396,14.306,14.165,55854.88,57100.18,49903.8,2.89
2017-12-05,13.98,14.77,14.48,13.52,75047.53,0.49,3.5,14.392,14.23,14.121,57361.81,54923.48,48795.42,3.34
2017-12-04,14.39,14.46,13.99,13.88,39254.26,-0.54,-3.72,14.454,14.226,14.098,63173.89,52326.3,48449.09,1.75
2017-12-01,14.24,14.64,14.53,14.15,49950.42,0.27,1.89,14.38,14.28,14.079,60854.83,56372.8,47703.62,2.22
2017-11-30,14.42,14.65,14.26,14.11,50102.68,-0.44,-2.99,14.278,14.2,14.031,57226.99,57280.13,46736.19,2.23
2017-11-29,14.66,14.77,14.7,14.38,72454.17,-0.09,-0.61,14.216,14.189,14.006,58345.49,55811.17,47644.56,3.23
2017-11-28,13.82,14.98,14.79,13.81,104107.94,1.17,8.59,14.068,14.116,13.919,52485.14,51331.44,45644.26,4.64
2017-11-27,14.24,14.29,13.62,13.6,27658.96,-0.4,-2.85,13.998,14.025,13.801,41478.71,44160.38,41128.73,1.23
2017-11-24,13.71,14.25,14.02,13.71,31811.18,0.07,0.5,14.18,14.049,13.733,51890.77,44234.33,41068.01,1.42
2017-11-23,13.6,14.27,13.95,13.58,55695.2,-0.01,-0.07,14.122,14.056,13.677,57333.28,45828.74,40204.15,2.48
2017-11-22,14.33,14.45,13.96,13.8,43152.42,-0.48,-3.32,14.162,14.024,13.637,53276.85,42707.42,38543.65,1.92
2017-11-21,14.33,14.53,14.44,14.1,49075.8,-0.09,-0.62,14.164,14.011,13.596,50177.73,42667.37,37166.22,2.19
2017-11-20,13.41,14.55,14.53,13.01,79719.24,0.8,5.83,14.052,13.97,13.528,46842.05,44571.88,36005.48,3.55
2017-11-17,14.31,14.75,13.73,13.7,59023.76,-0.42,-2.97,13.918,13.877,13.466,36577.89,39034.43,32745.82,2.63
2017-11-16,13.88,14.29,14.15,13.7,35413.01,0.18,1.29,13.99,13.862,13.445,34324.2,36192.26,30679.58,1.58
2017-11-15,13.75,14.09,13.97,13.63,27656.85,0.09,0.65,13.886,13.822,13.393,32138.0,39477.95,30560.07,1.23
2017-11-14,13.79,14.19,13.88,13.6,32397.4,0.02,0.14,13.858,13.721,13.377,35157.0,39957.09,30323.12,1.44
2017-11-13,14.12,14.14,13.86,13.75,28398.44,-0.23,-1.63,13.888,13.576,13.375,42301.7,38097.08,29778.67,1.26
2017-11-10,13.72,14.15,14.09,13.72,47755.28,0.46,3.38,13.836,13.416,13.372,41490.97,37901.7,30116.95,2.13
2017-11-09,13.83,13.95,13.63,13.55,24482.04,-0.2,-1.45,13.734,13.297,13.374,38060.31,34579.57,29586.36,1.09
2017-11-08,14.03,14.32,13.83,13.81,42751.83,-0.2,-1.43,13.758,13.25,13.406,46817.9,34379.87,30418.78,1.9
2017-11-07,13.6,14.41,14.03,13.13,68120.93,0.43,3.16,13.584,13.18,13.434,44757.19,31665.07,30374.9,3.03
2017-11-06,13.5,13.68,13.6,13.36,24344.76,0.02,0.15,13.264,13.085,13.477,33892.46,27439.08,30655.39,1.08
2017-11-03,13.62,13.88,13.58,13.32,30602.01,-0.17,-1.24,12.996,13.054,13.53,34312.42,26457.21,34920.47,1.36
2017-11-02,13.06,13.97,13.75,13.0,68269.95,0.79,6.1,12.86,13.028,13.596,31098.82,25166.9,39269.36,3.04
2017-11-01,12.38,13.2,12.96,12.38,32448.29,0.53,4.26,12.742,12.964,13.63,21941.85,21642.2,41652.4,1.45
2017-10-31,12.14,12.5,12.43,12.02,13797.3,0.17,1.39,12.776,13.032,13.691,18572.96,20689.15,43979.51,0.61
2017-10-30,13.0,13.17,12.26,11.7,26444.56,-0.64,-4.96,12.906,13.173,13.75,20985.7,21460.25,45551.24,1.18
2017-10-27,13.15,13.21,12.9,12.9,14534.01,-0.26,-1.98,13.112,13.327,13.827,18601.99,22332.2,47373.2,0.65
2017-10-26,13.13,13.34,13.16,13.09,22485.11,0.03,0.23,13.196,13.451,13.892,19234.97,24593.15,52988.81,1.0
2017-10-25,13.04,13.19,13.13,13.04,15603.81,0.05,0.38,13.186,13.562,13.921,21342.54,26457.68,56731.01,0.7
2017-10-24,13.28,13.29,13.08,12.85,25861.01,-0.21,-1.58,13.288,13.688,13.925,22805.34,29084.73,57513.01,1.15
2017-10-23,13.23,13.4,13.29,13.21,14526.03,-0.03,-0.23,13.44,13.868,13.914,21934.81,33871.71,57117.25,0.65
2017-10-20,13.1,13.36,13.32,13.1,17698.9,0.21,1.6,13.542,14.006,13.899,26062.4,43383.74,57527.64,0.79
2017-10-19,13.7,13.71,13.11,13.1,33022.96,-0.53,-3.89,13.706,14.164,13.887,29951.32,53371.81,57816.77,1.47
2017-10-18,13.9,13.96,13.64,13.6,22917.79,-0.2,-1.45,13.938,14.295,13.89,31572.81,61662.59,57982.42,1.02
2017-10-17,13.9,13.99,13.84,13.61,21508.35,0.04,0.29,14.088,14.349,13.873,35364.12,67269.87,59072.55,0.96
2017-10-16,14.09,14.32,13.8,13.8,35164.0,-0.34,-2.4,14.296,14.326,13.827,45808.6,69642.22,60131.95,1.57
2017-10-13,14.27,14.27,14.14,13.95,37143.5,-0.13,-0.91,14.47,14.326,13.798,60705.07,72414.21,60435.06,1.65
2017-10-12,14.36,14.75,14.27,14.09,41130.43,-0.12,-0.83,14.622,14.333,13.754,76792.31,81384.47,62797.7,1.83
2017-10-11,14.85,14.85,14.39,14.33,41874.3,-0.49,-3.29,14.652,14.279,13.701,91752.38,87004.34,64390.52,1.87
2017-10-10,14.7,14.95,14.88,14.1,73730.79,0.21,1.43,14.61,14.162,13.631,99175.63,85941.3,65811.89,3.28
2017-10-09,14.91,15.3,14.67,14.63,109646.35,-0.23,-1.54,14.356,13.959,13.537,93475.83,80362.79,66408.5,4.88
2017-09-29,14.05,15.15,14.9,14.03,117579.68,0.48,3.33,14.182,13.792,13.435,84123.35,71671.54,63654.72,5.24
2017-09-28,14.02,15.5,14.42,13.91,115930.76,0.24,1.69,14.044,13.609,13.315,85976.63,62261.74,59892.08,5.16
