date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,6.01,6.03,5.97,5.95,91729.0,-0.06,-0.99,6.01,6.068,6.086,136643.93,174397.08,152552.42,0.53
2018-01-11,5.98,6.04,6.03,5.94,101646.0,0.03,0.5,6.042,6.067,6.104,160977.87,174617.89,155287.3,0.59
2018-01-10,5.99,6.05,6.0,5.95,109368.35,0.01,0.17,6.06,6.067,6.116,188543.54,171113.79,156470.85,0.64
2018-01-09,6.07,6.07,5.99,5.95,205229.84,-0.07,-1.16,6.112,6.07,6.128,255356.27,166724.55,157349.78,1.19
2018-01-08,6.14,6.14,6.06,6.03,175246.44,-0.07,-1.14,6.128,6.064,6.145,230615.71,155262.07,156513.68,1.02
2018-01-05,6.09,6.23,6.13,6.07,213398.7,0.01,0.16,6.126,6.06,6.157,212150.24,149343.34,155672.46,1.24
2018-01-04,6.22,6.24,6.12,6.1,239474.36,-0.14,-2.24,6.092,6.053,6.166,188257.91,141529.44,164493.65,1.39
2018-01-03,6.07,6.29,6.26,6.06,443432.03,0.19,3.13,6.074,6.056,6.166,153684.04,130889.3,158822.09,2.58
2018-01-02,6.06,6.1,6.07,6.03,81527.0,0.02,0.33,6.028,6.054,6.155,78092.83,102715.09,145430.98,0.47
2017-12-29,5.97,6.05,6.05,5.96,82919.11,0.09,1.51,6.0,6.071,6.159,79908.43,119243.13,148649.13,0.48
2017-12-28,6.02,6.05,5.96,5.95,93937.06,-0.07,-1.16,5.994,6.104,6.162,86536.43,130707.76,150440.73,0.55
2017-12-27,6.08,6.12,6.03,6.02,66605.0,0.0,0.0,6.014,6.14,6.169,94800.96,135956.71,154777.22,0.39
2017-12-26,5.92,6.05,6.03,5.91,65476.0,0.1,1.69,6.038,6.164,6.165,108094.56,141827.92,155973.52,0.38
2017-12-25,6.01,6.05,5.93,5.93,90605.0,-0.09,-1.5,6.08,6.185,6.162,127337.35,147975.0,157886.04,0.53
2017-12-22,6.05,6.13,6.02,6.0,116059.1,-0.04,-0.66,6.142,6.225,6.163,158577.84,157765.3,158834.43,0.67
2017-12-21,6.16,6.16,6.06,6.02,135259.69,-0.09,-1.46,6.214,6.253,6.162,174879.09,162001.59,161812.63,0.79
2017-12-20,6.24,6.24,6.15,6.11,133073.0,-0.09,-1.44,6.266,6.278,6.155,177112.46,187457.86,168604.29,0.77
2017-12-19,6.24,6.29,6.24,6.18,161689.98,0.0,0.0,6.29,6.276,6.156,175561.28,186754.88,173749.86,0.94
2017-12-18,6.35,6.37,6.24,6.18,246807.41,-0.14,-2.19,6.29,6.255,6.151,168612.64,188146.86,175468.55,1.44
2017-12-15,6.33,6.42,6.38,6.24,197565.36,0.06,0.95,6.308,6.247,6.137,156952.76,178055.13,169536.05,1.15
2017-12-14,6.29,6.33,6.32,6.23,146426.56,0.05,0.8,6.292,6.219,6.115,149124.09,170173.71,170666.98,0.85
2017-12-13,6.23,6.33,6.27,6.19,125317.09,0.03,0.48,6.29,6.197,6.109,197803.26,173597.72,172002.5,0.73
2017-12-12,6.33,6.37,6.24,6.24,126946.8,-0.09,-1.42,6.262,6.165,6.099,197948.49,170119.11,173886.62,0.74
2017-12-11,6.3,6.37,6.33,6.23,188508.0,0.03,0.48,6.22,6.139,6.096,207681.07,167797.09,179629.21,1.1
2017-12-08,6.32,6.35,6.3,6.25,158422.0,-0.01,-0.16,6.186,6.1,6.09,199157.5,159903.56,183733.15,0.92
2017-12-07,6.16,6.36,6.31,6.14,389822.41,0.18,2.94,6.146,6.07,6.079,191223.33,161623.67,186163.95,2.27
2017-12-06,6.03,6.14,6.13,5.99,126043.23,0.1,1.66,6.104,6.031,6.068,149392.19,149750.72,177280.33,0.73
2017-12-05,6.12,6.21,6.03,6.0,175609.72,-0.13,-2.11,6.068,6.036,6.06,142289.74,160744.84,181250.42,1.02
2017-12-04,6.09,6.18,6.16,6.06,145890.12,0.06,0.98,6.058,6.046,6.057,127913.1,162790.24,181052.69,0.85
2017-12-01,6.12,6.13,6.1,6.04,118751.15,0.0,0.0,6.014,6.026,6.046,120649.62,161016.98,183632.67,0.69
2017-11-30,5.96,6.12,6.1,5.95,180666.72,0.15,2.52,5.994,6.01,6.039,132024.02,171160.25,193075.5,1.05
2017-11-29,5.97,6.0,5.95,5.91,90531.0,-0.03,-0.5,5.958,6.02,6.026,150109.26,170407.28,195315.13,0.53
2017-11-28,5.94,6.01,5.98,5.91,103726.51,0.04,0.67,6.004,6.033,6.025,179199.94,177654.13,197392.75,0.6
2017-11-27,5.92,6.05,5.94,5.92,109572.72,-0.06,-1.0,6.034,6.052,6.025,197667.38,191461.32,200408.72,0.64
2017-11-24,5.9,6.01,6.0,5.85,175623.16,0.08,1.35,6.038,6.079,6.027,201384.34,207562.74,205531.37,1.02
2017-11-23,6.18,6.18,5.92,5.91,271092.91,-0.26,-4.21,6.026,6.088,6.036,210296.49,210704.23,204399.53,1.58
2017-11-22,6.12,6.25,6.18,6.1,235984.41,0.05,0.82,6.082,6.105,6.054,190705.29,204809.94,198049.2,1.37
2017-11-21,5.96,6.14,6.13,5.89,196063.69,0.17,2.85,6.062,6.084,6.061,176108.33,201756.0,191245.97,1.14
2017-11-20,5.9,5.98,5.96,5.82,128157.52,0.02,0.34,6.07,6.068,6.069,185255.27,199315.15,189189.49,0.75
2017-11-17,6.19,6.19,5.94,5.94,220183.91,-0.26,-4.19,6.12,6.065,6.089,213741.13,206248.36,197691.07,1.28
2017-11-16,6.05,6.24,6.2,6.04,173136.92,0.12,1.97,6.15,6.067,6.1,211111.96,214990.74,192390.12,1.01
2017-11-15,6.19,6.22,6.08,6.06,162999.59,-0.09,-1.46,6.128,6.031,6.096,218914.59,220222.99,194830.62,0.95
2017-11-14,6.2,6.3,6.17,6.12,241798.41,-0.04,-0.64,6.106,6.017,6.103,227403.68,217131.36,196053.91,1.41
