date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,10.32,10.48,10.32,10.31,76311.58,0.08,0.78,10.212,10.235,10.465,51297.74,49849.97,71818.85,1.8
2018-01-11,10.01,10.26,10.24,9.96,50957.58,0.16,1.59,10.176,10.22,10.501,44965.9,47783.0,73504.56,1.2
2018-01-10,10.2,10.21,10.08,9.99,44425.42,-0.1,-0.98,10.182,10.198,10.534,44840.68,49095.96,74791.72,1.05
2018-01-09,10.17,10.28,10.18,10.1,37148.1,-0.06,-0.59,10.246,10.205,10.574,48933.74,49010.94,77929.58,0.88
2018-01-08,10.1,10.28,10.24,10.03,47646.0,0.1,0.99,10.252,10.2,10.626,49186.85,52779.53,86483.43,1.12
2018-01-05,10.26,10.27,10.14,10.09,44652.39,-0.13,-1.27,10.258,10.235,10.682,48402.2,55844.31,97203.51,1.05
2018-01-04,10.36,10.37,10.27,10.2,50331.48,-0.13,-1.25,10.264,10.321,10.692,50600.1,61612.35,99470.83,1.19
2018-01-03,10.23,10.5,10.4,10.18,64890.75,0.19,1.86,10.214,10.388,10.683,53351.24,67060.19,98483.4,1.53
2018-01-02,10.23,10.23,10.21,10.05,38413.64,-0.06,-0.58,10.164,10.499,10.663,49088.13,77658.28,97241.82,0.91
2017-12-29,10.12,10.29,10.27,10.08,43722.75,0.1,0.98,10.148,10.604,10.666,56372.21,86129.74,97812.81,1.0
2017-12-28,10.0,10.2,10.17,9.9,55641.9,0.15,1.5,10.212,10.695,10.655,63286.42,93787.73,97235.69,1.27
2017-12-27,10.01,10.02,10.02,9.82,64087.18,-0.13,-1.28,10.378,10.782,10.643,72624.6,99226.12,96103.88,1.46
2017-12-26,10.13,10.29,10.15,10.08,43575.2,0.02,0.2,10.562,10.87,10.643,80769.13,100487.47,95239.91,0.99
2017-12-25,10.32,10.54,10.13,10.08,74834.02,-0.46,-4.34,10.834,10.942,10.649,106228.43,106848.23,94734.11,1.71
2017-12-22,11.0,11.0,10.59,10.59,78293.79,-0.41,-3.73,11.06,11.051,10.651,115887.27,120187.34,92897.04,1.79
2017-12-21,10.91,11.15,11.0,10.64,102332.81,0.06,0.55,11.178,11.129,10.638,124289.04,138562.71,90748.06,2.33
