date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,10.24,10.24,10.07,10.05,103143.98,-0.14,-1.37,10.192,10.109,9.575,170324.18,237418.94,184182.29,0.56
2018-01-11,10.09,10.33,10.21,10.03,173836.08,-0.06,-0.58,10.234,10.053,9.518,198059.55,254283.89,185220.81,0.94
2018-01-10,10.14,10.33,10.27,9.98,227806.84,0.2,1.99,10.264,9.963,9.458,259498.09,262300.87,180792.63,1.24
2018-01-09,10.35,10.37,10.07,10.03,167472.45,-0.27,-2.61,10.22,9.838,9.394,285371.64,250847.13,175590.48,0.91
2018-01-08,10.37,10.42,10.34,10.18,179361.56,0.06,0.58,10.176,9.725,9.344,312299.52,249278.03,171473.0,0.97
2018-01-05,10.32,10.5,10.28,10.26,241820.81,-0.08,-0.77,10.026,9.581,9.282,304513.7,237425.64,169974.01,1.31
2018-01-04,9.97,10.57,10.36,9.88,481028.81,0.31,3.08,9.872,9.446,9.222,310508.23,221280.66,164906.25,2.61
2018-01-03,9.85,10.05,10.05,9.66,357174.59,0.2,2.03,9.662,9.308,9.153,265103.65,182337.68,146405.3,1.94
2018-01-02,9.98,10.1,9.85,9.78,302111.81,0.26,2.71,9.456,9.21,9.093,216322.62,158369.89,143451.25,1.64
2017-12-29,9.52,9.59,9.59,9.35,140432.48,0.08,0.84,9.274,9.11,9.068,186256.53,135421.79,133672.85,0.76
2017-12-28,9.35,9.76,9.51,9.35,271793.44,0.2,2.15,9.136,9.041,9.058,170337.58,130945.64,134560.37,1.47
2017-12-27,9.07,9.44,9.31,8.98,254005.92,0.29,3.21,9.02,8.983,9.049,132053.1,116157.73,130846.39,1.38
2017-12-26,9.0,9.04,9.02,8.89,113269.44,0.08,0.9,8.954,8.952,9.061,99571.72,99284.39,124942.15,0.61
2017-12-25,8.92,9.03,8.94,8.91,151781.39,0.04,0.45,8.964,8.95,9.096,100417.16,100333.84,126024.81,0.82
2017-12-22,8.89,9.0,8.9,8.89,60837.69,-0.03,-0.34,8.946,8.963,9.135,84587.04,93667.98,122647.27,0.33
2017-12-21,8.95,9.01,8.93,8.82,80371.06,-0.05,-0.56,8.946,8.982,9.182,91553.7,102522.39,123959.11,0.44
2017-12-20,9.1,9.12,8.98,8.96,91599.0,-0.09,-0.99,8.946,8.998,9.23,100262.36,108531.84,125450.27,0.5
2017-12-19,8.88,9.08,9.07,8.85,117496.67,0.22,2.49,8.95,8.998,9.285,98997.06,110472.92,128625.74,0.64
2017-12-18,8.94,8.96,8.85,8.79,72630.8,-0.05,-0.56,8.936,8.975,9.339,100250.51,128532.61,133451.97,0.39
2017-12-15,8.96,9.0,8.9,8.85,95670.95,-0.03,-0.34,8.98,9.025,9.404,102748.91,131923.92,139440.95,0.52
2017-12-14,8.98,9.0,8.93,8.89,123914.37,-0.07,-0.78,9.018,9.075,9.453,113491.08,138175.1,154415.6,0.67
2017-12-13,9.03,9.03,9.0,8.88,85272.51,0.0,0.0,9.05,9.114,9.533,116801.33,145535.06,153769.31,0.46
2017-12-12,9.1,9.1,9.0,8.92,123763.94,-0.07,-0.77,9.046,9.169,9.613,121948.77,150599.91,162960.57,0.67
2017-12-11,9.01,9.14,9.07,9.01,85122.76,-0.02,-0.22,9.014,9.242,9.704,156814.71,151715.79,163252.76,0.46
2017-12-08,9.05,9.19,9.09,9.03,149381.84,0.0,0.0,9.07,9.307,9.793,161098.92,151626.57,163462.5,0.81
2017-12-07,9.0,9.21,9.09,8.91,140465.58,0.11,1.23,9.132,9.381,9.884,162859.11,145395.82,162222.64,0.76
2017-12-06,8.81,9.0,8.98,8.8,111009.74,0.14,1.58,9.178,9.461,9.968,174268.78,142368.69,160112.55,0.6
2017-12-05,9.35,9.38,8.84,8.55,298093.62,-0.51,-5.46,9.292,9.572,10.064,179251.05,146778.56,158159.2,1.62
2017-12-04,9.4,9.48,9.35,9.3,106543.84,-0.05,-0.53,9.47,9.703,10.17,146616.87,138371.34,150708.51,0.58
2017-12-01,9.3,9.44,9.4,9.22,158182.77,0.08,0.86,9.544,9.782,10.251,142154.22,146957.98,152540.09,0.86
2017-11-30,9.52,9.58,9.32,9.31,197513.95,-0.23,-2.41,9.63,9.831,10.337,127932.54,170656.11,154577.2,1.07
2017-11-29,9.73,9.77,9.55,9.54,135921.09,-0.18,-1.85,9.744,9.952,10.416,110468.6,162003.56,150088.26,0.74
2017-11-28,9.69,9.79,9.73,9.65,134922.7,0.01,0.1,9.852,10.057,10.485,114306.06,175321.22,148872.8,0.73
2017-11-27,9.78,9.82,9.72,9.61,84230.58,-0.11,-1.12,9.936,10.165,10.545,130125.81,174789.74,146471.34,0.46
2017-11-24,9.83,9.98,9.83,9.82,87074.37,-0.06,-0.61,10.02,10.278,10.604,151761.74,175298.42,155474.66,0.47
2017-11-23,10.09,10.09,9.89,9.72,110194.25,-0.2,-1.98,10.032,10.386,10.657,213379.68,179049.46,180458.73,0.6
2017-11-22,10.03,10.13,10.09,9.93,155108.42,-0.06,-0.59,10.16,10.475,10.726,213538.51,177856.41,180062.82,0.84
2017-11-21,10.04,10.15,10.15,9.73,214021.41,0.01,0.1,10.262,10.555,10.783,236336.37,169539.83,176324.15,1.16
2017-11-20,9.89,10.16,10.14,9.65,192410.23,0.25,2.53,10.394,10.637,10.84,219453.67,163045.68,170672.48,1.04
2017-11-17,10.51,10.54,9.89,9.76,395164.09,-0.64,-6.08,10.536,10.72,10.901,198835.11,158122.2,164546.1,2.14
2017-11-16,10.6,10.66,10.53,10.48,110988.42,-0.07,-0.66,10.74,10.842,10.97,144719.24,138498.3,148208.31,0.6
2017-11-15,10.79,10.89,10.6,10.56,269097.72,-0.21,-1.94,10.79,10.88,11.002,142174.3,138172.97,148873.71,1.46
2017-11-14,10.79,10.9,10.81,10.69,129607.87,-0.04,-0.37,10.848,10.913,11.04,102743.29,122424.38,141756.32,0.7
2017-11-13,10.86,10.94,10.85,10.83,89317.44,-0.06,-0.55,10.88,10.924,11.068,106637.69,118152.95,140925.14,0.48
