date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,8.99,9.14,8.89,8.86,79746.0,-0.17,-1.88,8.76,8.674,8.704,81864.02,61233.14,49849.53,1.71
2018-01-11,8.71,9.2,9.06,8.62,142197.7,0.25,2.84,8.712,8.616,8.716,74235.45,56357.24,48383.29,3.06
2018-01-10,8.52,8.88,8.81,8.49,113720.4,0.3,3.52,8.646,8.541,8.713,58160.88,45099.39,42812.51,2.44
2018-01-09,8.52,8.57,8.51,8.49,27416.89,-0.02,-0.23,8.61,8.503,8.719,44403.17,36569.72,40120.22,0.59
2018-01-08,8.63,8.65,8.53,8.46,46239.13,-0.12,-1.39,8.61,8.491,8.751,45178.75,39494.17,44197.09,0.99
2018-01-05,8.7,8.74,8.65,8.62,41603.14,-0.08,-0.92,8.588,8.511,8.757,40602.25,37939.46,43230.64,0.89
2018-01-04,8.59,8.89,8.73,8.54,61824.83,0.1,1.16,8.52,8.528,8.753,38479.02,38836.94,42418.56,1.33
2018-01-03,8.51,8.64,8.63,8.44,44931.88,0.12,1.41,8.436,8.555,8.747,32037.9,36663.36,41790.82,0.97
2018-01-02,8.43,8.53,8.51,8.4,31294.79,0.09,1.07,8.396,8.608,8.739,28736.27,36292.53,43139.05,0.67
2017-12-29,8.3,8.42,8.42,8.29,23356.62,0.11,1.32,8.372,8.658,8.766,33809.59,36785.75,43587.06,0.5
2017-12-28,8.26,8.42,8.31,8.26,30986.98,0.0,0.0,8.434,8.733,8.805,35276.66,38465.91,45003.29,0.67
2017-12-27,8.43,8.44,8.31,8.28,29619.21,-0.12,-1.42,8.536,8.815,8.841,39194.86,40409.35,44962.54,0.64
2017-12-26,8.4,8.47,8.43,8.3,28423.75,0.04,0.48,8.674,8.884,8.879,41288.82,40525.63,45295.32,0.61
2017-12-25,8.65,8.75,8.39,8.21,56661.4,-0.34,-3.9,8.82,8.934,8.915,43848.79,43670.72,45813.24,1.22
2017-12-22,8.92,8.93,8.73,8.72,30691.95,-0.09,-1.02,8.944,9.011,8.945,39761.91,48900.02,44409.08,0.66
2017-12-21,8.96,8.99,8.82,8.61,50578.0,-0.18,-2.0,9.032,9.002,8.961,41655.17,48521.82,44678.39,1.09
2017-12-20,9.14,9.16,9.0,8.96,40089.0,-0.16,-1.75,9.094,8.977,8.973,41623.84,46000.17,44587.29,0.86
2017-12-19,9.04,9.2,9.16,9.02,41223.61,0.15,1.67,9.094,8.938,8.991,39762.44,46918.27,45240.29,0.89
2017-12-18,9.16,9.19,9.01,8.93,36227.0,-0.16,-1.75,9.048,8.869,9.001,43492.64,49985.57,45781.62,0.78
2017-12-15,9.09,9.22,9.17,9.03,40158.23,0.04,0.44,9.078,8.873,9.015,58038.12,50388.37,47424.65,0.86
2017-12-14,8.92,9.2,9.13,8.92,50421.37,0.13,1.44,8.972,8.876,9.02,55388.47,51540.67,48751.96,1.08
2017-12-13,8.92,9.05,9.0,8.89,30782.0,0.07,0.78,8.86,8.866,9.055,50376.5,49515.73,48473.75,0.66
2017-12-12,9.13,9.18,8.93,8.9,59874.62,-0.23,-2.51,8.782,8.874,9.091,54074.11,50065.01,49596.82,1.29
2017-12-11,8.75,9.5,9.16,8.75,108954.38,0.52,6.02,8.69,8.896,9.146,56478.49,47955.76,49700.35,2.34
2017-12-08,8.55,8.73,8.64,8.55,26910.0,0.07,0.82,8.668,8.879,9.184,42738.61,39918.13,46547.03,0.58
2017-12-07,8.54,8.69,8.57,8.52,25361.49,-0.04,-0.47,8.78,8.92,9.257,47692.87,40834.96,48694.05,0.55
2017-12-06,8.5,8.62,8.61,8.12,49270.05,0.14,1.65,8.872,8.969,9.33,48654.97,43174.4,50154.58,1.06
2017-12-05,9.09,9.09,8.47,8.4,71896.53,-0.58,-6.41,8.966,9.043,9.394,46055.92,43562.3,50897.37,1.55
2017-12-04,9.16,9.21,9.05,9.03,40255.0,-0.15,-1.63,9.102,9.132,9.458,39433.04,41577.68,49081.35,0.87
2017-12-01,9.04,9.23,9.2,9.03,51681.29,0.17,1.88,9.09,9.157,9.491,37097.66,44460.93,48669.4,1.11
2017-11-30,9.08,9.14,9.03,9.01,30171.96,-0.05,-0.55,9.06,9.163,9.511,33977.05,45963.25,47649.07,0.65
2017-11-29,9.16,9.16,9.08,8.99,36274.81,-0.07,-0.77,9.066,9.243,9.538,37693.83,47431.78,47966.86,0.78
2017-11-28,9.01,9.18,9.15,9.0,38782.12,0.16,1.78,9.12,9.308,9.572,41068.68,49128.64,47730.03,0.83
2017-11-27,9.05,9.15,8.99,8.99,28578.1,-0.06,-0.66,9.162,9.395,9.601,43722.32,51444.94,47928.86,0.61
2017-11-24,9.06,9.19,9.05,8.95,36078.27,-0.01,-0.11,9.224,9.489,9.635,51824.2,53175.93,51465.49,0.78
2017-11-23,9.35,9.35,9.06,9.01,48755.87,-0.29,-3.1,9.266,9.594,9.692,57949.44,56553.14,51962.38,1.05
2017-11-22,9.31,9.54,9.35,9.29,53149.03,-0.01,-0.11,9.42,9.691,9.759,57169.72,57134.77,51932.47,1.14
2017-11-21,9.26,9.43,9.36,9.19,52050.31,0.06,0.65,9.496,9.745,9.811,57188.59,58232.45,51895.27,1.12
2017-11-20,9.3,9.32,9.3,8.86,69087.52,0.04,0.43,9.628,9.783,9.866,59167.55,56585.02,53661.16,1.48
2017-11-17,9.78,9.86,9.26,9.11,66704.46,-0.57,-5.8,9.754,9.825,9.926,54527.65,52877.88,52787.85,1.43
2017-11-16,9.72,9.97,9.83,9.62,44857.26,0.1,1.03,9.922,9.858,9.983,55156.84,49334.9,53347.54,0.96
2017-11-15,9.93,10.02,9.73,9.62,53243.42,-0.29,-2.89,9.962,9.832,10.025,57099.82,48501.94,55063.99,1.14
2017-11-14,9.93,10.19,10.02,9.86,61945.11,0.09,0.91,9.994,9.835,10.068,59276.3,46331.41,56010.0,1.33
2017-11-13,10.05,10.13,9.93,9.92,45888.0,-0.17,-1.68,9.938,9.806,10.105,54002.48,44412.78,55514.25,0.99
2017-11-10,9.99,10.25,10.1,9.87,69850.4,0.07,0.7,9.896,9.781,10.145,51228.11,49755.05,60142.56,1.5
2017-11-09,9.82,10.09,10.03,9.82,54572.16,0.14,1.42,9.794,9.789,10.21,43512.96,47371.62,63808.9,1.17
2017-11-08,9.75,9.96,9.89,9.7,64125.85,0.15,1.54,9.702,9.826,10.269,39904.07,46730.16,66158.05,1.38
2017-11-07,9.73,9.75,9.74,9.64,35576.0,0.02,0.21,9.676,9.876,10.334,33386.52,45558.09,67479.7,0.76
2017-11-06,9.52,9.72,9.72,9.52,32016.12,0.13,1.36,9.674,9.949,10.418,34823.07,50737.3,73805.26,0.69
2017-11-03,9.58,9.7,9.59,9.5,31274.67,0.02,0.21,9.666,10.027,10.491,48282.0,52697.82,76248.22,0.67
2017-11-02,9.73,9.75,9.57,9.56,36527.69,-0.19,-1.95,9.784,10.108,10.557,51230.27,57360.18,76949.22,0.79
2017-11-01,9.72,9.81,9.76,9.7,31538.14,0.03,0.31,9.95,10.217,10.617,53556.26,61626.04,78073.3,0.68
2017-10-31,9.7,9.78,9.73,9.64,42758.75,0.05,0.52,10.076,10.301,10.673,57729.65,65688.58,79591.49,0.92
2017-10-30,10.15,10.25,9.68,9.66,99310.76,-0.5,-4.91,10.224,10.403,10.72,66651.52,66615.73,80958.7,2.13
2017-10-27,10.42,10.45,10.18,10.15,46016.02,-0.22,-2.12,10.388,10.508,10.777,57113.64,70530.07,78894.36,0.99
2017-10-26,10.38,10.43,10.4,10.27,48157.63,0.01,0.1,10.432,10.631,10.82,63490.08,80246.18,80721.64,1.04
2017-10-25,10.26,10.44,10.39,10.26,52405.11,-0.08,-0.76,10.484,10.711,10.859,69695.82,85585.94,82441.18,1.13
2017-10-24,10.39,10.5,10.47,10.17,87368.09,-0.03,-0.29,10.526,10.791,10.909,73647.52,89401.32,85223.89,1.88
2017-10-23,10.41,10.58,10.5,10.38,51621.35,0.1,0.96,10.582,10.887,10.939,66579.94,96873.22,84223.52,1.11
2017-10-20,10.25,10.49,10.4,10.17,77898.24,-0.26,-2.44,10.628,10.955,10.977,83946.5,99798.63,85911.55,1.67
2017-10-19,10.71,10.97,10.66,10.58,79186.29,0.06,0.57,10.83,11.006,11.008,97002.27,96538.27,85835.88,1.7
2017-10-18,10.75,11.06,10.6,10.6,72163.61,-0.15,-1.4,10.938,11.017,11.028,101476.07,94520.55,87022.31,1.55
2017-10-17,10.73,10.84,10.75,10.6,52030.19,0.02,0.19,11.056,11.045,11.063,105155.11,93494.4,89154.95,1.12
2017-10-16,11.38,11.39,10.73,10.71,138454.19,-0.68,-5.96,11.192,11.037,11.1,127166.5,95301.66,98640.55,2.98
2017-10-13,11.21,11.49,11.41,11.11,143177.06,0.21,1.88,11.282,11.046,11.128,115650.75,87258.64,97197.4,3.08
2017-10-12,11.16,11.37,11.2,11.14,101555.31,0.01,0.09,11.182,11.008,11.124,96074.27,81197.1,96755.35,2.18
2017-10-11,11.4,11.43,11.19,11.17,90558.82,-0.24,-2.1,11.096,11.006,11.13,87565.03,79296.41,105876.39,1.95
2017-10-10,11.17,11.61,11.43,11.11,162087.11,0.25,2.24,11.034,11.026,11.149,81833.69,81046.47,114630.63,3.48
2017-10-09,11.09,11.19,11.18,10.99,80875.45,0.27,2.48,10.882,10.991,11.147,63436.83,71573.82,118320.08,1.74
2017-09-29,10.73,10.94,10.91,10.73,45294.67,0.14,1.3,10.81,10.998,11.146,58866.54,72024.48,128347.1,0.97
2017-09-28,10.87,10.99,10.77,10.77,59009.11,-0.11,-1.01,10.834,11.009,11.149,66319.93,75133.49,135023.12,1.27
2017-09-27,10.68,11.05,10.88,10.62,61902.11,0.21,1.97,10.916,11.039,11.147,71027.79,79524.06,136617.49,1.33
2017-09-26,10.82,10.93,10.67,10.54,70102.8,-0.15,-1.39,11.018,11.081,11.137,80259.25,84815.49,139019.58,1.51
2017-09-25,11.0,11.23,10.82,10.78,58024.0,-0.21,-1.9,11.1,11.162,11.143,79710.81,101979.43,142858.83,1.25
2017-09-22,11.2,11.25,11.03,10.93,82561.61,-0.15,-1.34,11.186,11.21,11.139,85182.42,107136.15,152379.87,1.77
2017-09-21,11.39,11.47,11.18,11.17,82548.45,-0.21,-1.84,11.184,11.239,11.111,83947.06,112313.61,154560.31,1.77
2017-09-20,11.08,11.4,11.39,11.03,108059.37,0.31,2.8,11.162,11.254,11.06,88020.33,132456.36,154279.72,2.32
2017-09-19,11.28,11.35,11.08,11.04,67360.61,-0.17,-1.51,11.144,11.271,11.005,89371.73,148214.79,154726.23,1.45
2017-09-18,11.0,11.27,11.25,10.98,85382.05,0.23,2.09,11.224,11.302,10.966,124248.05,165066.34,156674.91,1.84
2017-09-15,11.07,11.16,11.02,10.98,76384.81,-0.05,-0.45,11.234,11.293,10.93,129089.89,184669.72,157969.83,1.64
2017-09-14,11.31,11.35,11.07,11.06,102914.8,-0.23,-2.04,11.294,11.289,10.905,140680.16,194912.74,160914.66,2.21
2017-09-13,11.34,11.57,11.3,11.23,114816.38,-0.18,-1.57,11.346,11.255,10.882,176892.39,193710.93,169430.07,2.47
2017-09-12,11.29,11.59,11.48,11.01,241742.23,0.18,1.59,11.398,11.193,10.837,207057.86,193223.67,175890.9,5.2
2017-09-11,11.26,11.34,11.3,11.16,109591.21,-0.02,-0.18,11.38,11.123,10.776,205884.62,183738.23,174161.93,2.36
2017-09-08,11.4,11.46,11.32,11.16,134336.16,-0.01,-0.09,11.352,11.067,10.728,240249.55,197623.58,184183.02,2.89
2017-09-07,11.57,11.93,11.33,11.3,283975.97,-0.23,-1.99,11.284,10.983,10.631,249145.33,196807.02,180675.86,6.1
2017-09-06,11.17,11.58,11.56,11.16,265643.72,0.17,1.49,11.164,10.866,10.545,210529.46,176103.08,169879.72,5.71
2017-09-05,11.06,11.4,11.39,10.95,235876.05,0.23,2.06,10.988,10.739,10.458,179389.49,161237.66,158734.38,5.07
2017-09-04,10.72,11.36,11.16,10.58,281415.84,0.18,1.64,10.866,10.63,10.383,161591.84,148283.48,150326.76,6.05
2017-09-01,10.75,10.98,10.98,10.7,178815.05,0.25,2.33,10.782,10.567,10.315,154997.62,131269.95,138751.18,3.84
2017-08-31,10.68,10.73,10.73,10.6,90896.65,0.05,0.47,10.682,10.52,10.25,144468.71,126916.57,131972.49,1.95
2017-08-30,10.65,10.84,10.68,10.63,109943.85,-0.1,-0.93,10.568,10.508,10.197,141676.7,145149.21,129952.48,2.36
2017-08-29,10.6,10.88,10.78,10.54,146887.83,0.04,0.37,10.49,10.481,10.139,143085.84,158558.13,127048.65,3.16
2017-08-28,10.65,10.98,10.74,10.64,248444.7,0.26,2.48,10.394,10.429,10.088,134975.12,164585.62,121839.38,5.34
2017-08-25,10.17,10.54,10.48,10.17,126170.53,0.32,3.15,10.352,10.388,10.035,107542.28,170742.45,111734.56,2.71
2017-08-24,10.24,10.32,10.16,10.12,76936.61,-0.13,-1.26,10.358,10.279,9.995,109364.43,164544.71,107908.5,1.65
2017-08-23,10.24,10.48,10.29,10.11,116989.52,-0.01,-0.1,10.448,10.223,9.976,148621.71,163656.35,109351.79,2.51
2017-08-22,10.57,10.61,10.3,10.25,106334.25,-0.23,-2.18,10.472,10.177,9.933,174030.43,156231.1,105124.97,2.29
2017-08-21,10.53,10.69,10.53,10.41,111280.5,0.02,0.19,10.464,10.136,9.895,194196.12,152370.03,102032.86,2.39
2017-08-18,10.5,10.73,10.51,10.45,135281.25,-0.1,-0.94,10.424,10.063,9.842,233942.62,146232.4,98896.38,2.91
2017-08-17,10.3,10.83,10.61,10.2,273223.03,0.2,1.92,10.2,9.98,9.794,219724.99,137028.4,94227.78,5.87
2017-08-16,10.2,10.6,10.41,10.11,244033.12,0.15,1.46,9.998,9.885,9.74,178691.0,114755.75,82991.97,5.24
2017-08-15,10.29,10.3,10.26,10.06,207162.72,-0.07,-0.68,9.882,9.797,9.696,138431.77,95539.16,73778.52,4.45
2017-08-14,9.39,10.33,10.33,9.38,310012.97,0.94,10.01,9.808,9.746,9.658,110543.94,79093.13,68269.19,6.66
2017-08-11,9.53,9.62,9.39,9.39,64193.1,-0.21,-2.19,9.702,9.682,9.619,58522.19,52726.66,58758.93,1.38
2017-08-10,9.84,9.89,9.6,9.56,68053.07,-0.23,-2.34,9.76,9.71,9.677,54331.82,51272.3,57311.08,1.46
2017-08-09,9.87,9.89,9.83,9.79,42736.99,-0.06,-0.61,9.772,9.728,9.725,50820.51,55047.23,55506.1,0.92
2017-08-08,9.75,9.92,9.89,9.7,67723.55,0.09,0.92,9.712,9.688,9.763,52646.55,54018.84,56599.16,1.46
2017-08-07,9.67,9.84,9.8,9.63,49904.24,0.12,1.24,9.684,9.654,9.8,47642.32,51695.7,56226.05,1.07
2017-08-04,9.66,9.75,9.68,9.6,43241.24,0.02,0.21,9.662,9.621,9.852,46931.13,51560.36,57237.42,0.93
2017-08-03,9.55,9.81,9.66,9.53,50496.53,0.13,1.36,9.66,9.608,9.919,48212.77,51427.15,58415.72,1.09
2017-08-02,9.72,9.75,9.53,9.51,51867.21,-0.22,-2.26,9.684,9.595,9.983,59273.94,51228.19,60141.63,1.11
2017-08-01,9.72,9.75,9.75,9.66,42702.4,0.06,0.62,9.664,9.594,10.057,55391.12,52017.88,62606.99,0.92
2017-07-31,9.64,9.75,9.69,9.6,46348.28,0.02,0.21,9.624,9.57,10.114,55749.07,57445.25,62747.58,1.0
2017-07-28,9.78,9.78,9.67,9.63,49649.45,-0.11,-1.12,9.58,9.555,10.176,56189.58,64791.21,62874.13,1.07
2017-07-27,9.4,9.84,9.78,9.32,105802.38,0.35,3.71,9.556,9.643,10.235,54641.52,63349.87,63221.95,2.27
2017-07-26,9.5,9.56,9.43,9.37,32453.08,-0.12,-1.26,9.506,9.721,10.288,43182.43,55964.98,61032.12,0.7
2017-07-25,9.41,9.56,9.55,9.38,44492.17,0.08,0.84,9.524,9.837,10.349,48644.65,59179.48,61243.75,0.96
2017-07-24,9.55,9.55,9.47,9.34,48550.84,-0.08,-0.84,9.516,9.946,10.411,59141.43,60756.41,61152.99,1.04
2017-07-21,9.56,9.63,9.55,9.48,41909.15,0.02,0.21,9.53,10.083,10.477,73392.83,62914.48,61434.6,0.9
2017-07-20,9.53,9.7,9.53,9.5,48506.9,0.01,0.1,9.73,10.229,10.529,72058.21,65404.29,62539.05,1.04
2017-07-19,9.5,9.58,9.52,9.32,59764.19,0.01,0.1,9.936,10.37,10.584,68747.53,69055.07,63475.34,1.28
2017-07-18,9.52,9.62,9.51,9.05,96976.07,-0.03,-0.31,10.15,10.52,10.655,69714.3,73196.09,63456.82,2.08
2017-07-17,10.58,10.58,9.54,9.5,119807.85,-1.01,-9.57,10.376,10.658,10.726,62371.39,68049.91,63104.89,2.57
2017-07-14,10.63,10.68,10.55,10.54,35236.02,-0.01,-0.1,10.636,10.797,10.798,52436.12,60957.05,59533.95,0.76
2017-07-13,10.52,10.63,10.56,10.48,31953.5,-0.03,-0.28,10.728,10.827,10.816,58750.38,63094.03,60931.15,0.69
2017-07-12,10.66,10.73,10.59,10.42,64598.07,-0.05,-0.47,10.804,10.855,10.837,69362.61,66099.26,65487.44,1.39
2017-07-11,10.8,10.9,10.64,10.62,60261.52,-0.2,-1.84,10.89,10.861,10.846,76677.87,63308.02,65289.47,1.3
2017-07-10,11.0,11.05,10.84,10.83,70131.49,-0.17,-1.54,10.94,10.875,10.849,73728.43,61549.58,65316.29,1.51
2017-07-07,10.92,11.02,11.01,10.87,66807.31,0.07,0.64,10.958,10.87,10.827,69477.99,59954.73,64391.96,1.44
2017-07-06,11.03,11.05,10.94,10.85,85014.68,-0.08,-0.73,10.926,10.828,10.812,67437.67,59673.82,63459.67,1.83
2017-07-05,10.89,11.05,11.02,10.88,101174.37,0.13,1.19,10.906,10.797,10.799,62835.9,57895.61,62252.97,2.17
2017-07-04,10.92,10.97,10.89,10.82,45514.28,-0.04,-0.37,10.832,10.789,10.788,49938.16,53717.56,61233.73,0.98
2017-07-03,10.88,10.95,10.93,10.83,48879.3,0.08,0.74,10.81,10.794,10.773,49370.73,58159.86,61000.31,1.05
2017-06-30,10.83,10.93,10.85,10.76,56605.74,0.01,0.09,10.782,10.799,10.75,50431.46,58110.85,60644.54,1.22
2017-06-29,10.61,10.9,10.84,10.61,62005.83,0.19,1.78,10.73,10.804,10.728,51909.96,58768.27,60390.02,1.39
2017-06-28,10.77,10.82,10.65,10.63,36685.66,-0.13,-1.21,10.688,10.819,10.699,52955.32,64875.62,60032.09,0.82
2017-06-27,10.81,10.85,10.78,10.71,42677.12,-0.01,-0.09,10.746,10.831,10.699,57496.96,67270.93,60858.33,0.96
2017-06-26,10.63,10.8,10.79,10.5,54182.96,0.2,1.89,10.778,10.823,10.7,66948.99,69083.0,61331.27,1.21
2017-06-23,10.62,10.65,10.59,10.4,63998.23,-0.04,-0.38,10.816,10.783,10.7,65790.25,68829.19,61917.13,1.43
2017-06-22,10.9,10.93,10.63,10.58,67232.62,-0.31,-2.83,10.878,10.795,10.702,65626.57,67245.52,61282.63,1.51
2017-06-21,11.0,11.01,10.94,10.77,59393.85,0.0,0.0,10.95,10.801,10.696,76795.93,66610.33,61442.46,1.33
2017-06-20,10.98,11.16,10.94,10.92,89937.31,-0.04,-0.36,10.916,10.786,10.699,77044.9,68749.89,62621.57,2.01
2017-06-19,10.93,11.08,10.98,10.88,48389.22,0.08,0.73,10.868,10.752,10.715,71217.01,63840.76,64710.6,1.08
2017-06-16,10.96,10.99,10.9,10.82,63179.86,-0.09,-0.82,10.75,10.701,10.702,71868.13,63178.22,64894.65,1.41
2017-06-15,10.71,11.05,10.99,10.71,123079.39,0.22,2.04,10.712,10.652,10.706,68864.46,62011.78,65708.86,2.76
2017-06-14,10.7,10.79,10.77,10.61,60638.73,0.07,0.65,10.652,10.578,10.71,56424.74,55188.56,64665.3,1.36
2017-06-13,10.38,10.79,10.7,10.36,60797.86,0.31,2.98,10.656,10.567,10.719,60454.88,54445.73,68818.68,1.36
2017-06-12,10.71,10.71,10.39,10.36,51644.8,-0.32,-2.99,10.636,10.577,10.71,56464.5,53579.54,68880.15,1.16
2017-06-09,10.68,10.75,10.71,10.54,48161.54,0.02,0.19,10.652,10.617,10.715,54488.32,55005.06,69781.77,1.08
2017-06-08,10.82,10.91,10.69,10.67,60880.76,-0.1,-0.93,10.592,10.609,10.712,55159.09,55319.73,69573.06,1.36
2017-06-07,10.56,10.85,10.79,10.56,80789.45,0.19,1.79,10.504,10.59,10.729,53952.38,56274.58,68297.29,1.81
2017-06-06,10.42,10.62,10.6,10.42,40845.96,0.13,1.24,10.478,10.611,10.735,48436.58,56493.26,67266.34,0.91
2017-06-05,10.43,10.6,10.47,10.36,41763.88,0.06,0.58,10.518,10.678,10.755,50694.57,65580.44,67529.16,0.93
2017-06-02,10.21,10.5,10.41,10.13,51515.38,0.16,1.56,10.582,10.703,10.794,55521.81,66611.07,68924.54,1.15
2017-06-01,10.51,10.66,10.25,10.25,54847.23,-0.41,-3.85,10.626,10.76,10.848,55480.38,69405.95,70473.66,1.23
