date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,12.69,12.77,12.65,12.52,28990.44,-0.12,-0.94,12.696,12.72,12.32,49095.04,62133.13,51041.51,0.25
2018-01-11,12.88,12.88,12.77,12.58,66585.99,0.26,2.08,12.74,12.653,12.287,53498.14,63127.86,51194.25,0.58
2018-01-10,12.58,12.81,12.51,12.39,53009.2,-0.17,-1.34,12.752,12.571,12.257,52897.9,59740.2,49197.55,0.46
2018-01-09,12.77,12.9,12.68,12.58,46402.9,-0.19,-1.48,12.794,12.53,12.235,54147.18,57396.03,48151.84,0.4
2018-01-08,12.87,13.07,12.87,12.8,50486.66,0.0,0.0,12.798,12.469,12.21,58142.79,60353.78,47937.04,0.44
2018-01-05,12.95,12.95,12.87,12.76,51005.94,0.04,0.31,12.744,12.373,12.17,75171.23,59968.4,46911.3,0.44
2018-01-04,12.73,12.9,12.83,12.62,63584.78,0.11,0.86,12.566,12.267,12.121,72757.58,60272.27,45329.4,0.55
2018-01-03,12.99,12.99,12.72,12.66,59255.6,0.02,0.16,12.39,12.162,12.078,66582.51,57856.27,44317.08,0.51
2018-01-02,12.68,12.78,12.7,12.51,66380.97,0.1,0.79,12.266,12.081,12.041,60644.88,54730.75,44479.26,0.57
2017-12-29,11.98,12.85,12.6,11.88,135628.84,0.62,5.17,12.14,11.989,12.014,62564.77,50444.66,43271.39,1.17
2017-12-28,11.89,12.14,11.98,11.86,38937.73,0.03,0.25,12.002,11.919,12.001,44765.58,39949.88,38275.45,0.34
2017-12-27,12.1,12.11,11.95,11.82,32709.4,-0.15,-1.24,11.968,11.921,12.015,47786.95,39260.63,38087.94,0.28
2017-12-26,12.07,12.15,12.1,11.97,29567.48,0.03,0.25,11.934,11.942,12.032,49130.04,38654.89,38342.77,0.26
2017-12-25,11.91,12.24,12.07,11.91,75980.42,0.16,1.34,11.896,11.939,12.046,48816.61,38907.66,38604.52,0.66
2017-12-22,11.71,11.96,11.91,11.63,46632.86,0.1,0.85,11.838,11.951,12.055,38324.54,35520.29,36471.34,0.4
2017-12-21,11.78,12.04,11.81,11.45,54044.6,0.03,0.26,11.836,11.966,12.071,35134.19,33854.2,35893.37,0.47
2017-12-20,11.98,11.98,11.78,11.63,39424.83,-0.13,-1.09,11.874,11.974,12.093,30734.32,30386.53,35948.96,0.34
2017-12-19,11.8,11.95,11.91,11.75,28000.35,0.13,1.1,11.95,11.994,12.12,28179.75,30777.89,36940.45,0.24
2017-12-18,11.88,11.98,11.78,11.74,23520.05,-0.12,-1.01,11.982,12.001,12.151,28998.7,34227.77,38264.02,0.2
2017-12-15,12.0,12.0,11.9,11.82,30681.1,-0.1,-0.83,12.064,12.039,12.185,32716.04,36098.13,39900.19,0.27
2017-12-14,12.06,12.14,12.0,11.92,32045.25,-0.16,-1.32,12.096,12.083,12.215,32574.22,36601.02,42891.19,0.28
2017-12-13,12.25,12.27,12.16,12.1,26652.0,0.09,0.75,12.074,12.109,12.268,30038.74,36915.26,44973.01,0.23
2017-12-12,12.18,12.27,12.07,11.97,32095.12,-0.12,-0.98,12.038,12.122,12.299,33376.02,38030.64,47133.46,0.28
2017-12-11,12.17,12.35,12.19,12.07,42106.74,0.13,1.08,12.02,12.153,12.348,39456.83,38301.38,49101.98,0.36
2017-12-08,11.94,12.14,12.06,11.82,29971.99,0.17,1.43,12.014,12.158,12.397,39480.22,37422.39,52047.23,0.26
2017-12-07,11.98,11.98,11.89,11.84,19367.83,-0.09,-0.75,12.07,12.176,12.44,40627.83,37932.53,53440.88,0.17
2017-12-06,12.15,12.15,11.98,11.73,43338.42,0.0,0.0,12.144,12.211,12.485,43791.78,41511.39,54406.89,0.37
2017-12-05,12.18,12.19,11.98,11.68,62499.18,-0.18,-1.48,12.206,12.246,12.522,42685.27,43103.01,54608.59,0.54
2017-12-04,12.39,12.44,12.16,12.12,42223.7,-0.18,-1.46,12.286,12.3,12.554,37145.93,42300.27,53288.25,0.37
2017-12-01,12.25,12.41,12.34,12.2,35710.0,0.08,0.65,12.302,12.331,12.578,35364.55,43702.25,52846.73,0.31
2017-11-30,12.3,12.38,12.26,12.19,35187.58,-0.03,-0.24,12.282,12.347,12.584,35237.23,49181.36,53096.23,0.3
2017-11-29,12.45,12.46,12.29,12.18,37805.87,-0.09,-0.73,12.278,12.427,12.606,39231.01,53030.76,53468.09,0.33
2017-11-28,12.23,12.39,12.38,12.23,34802.52,0.14,1.14,12.286,12.475,12.641,43520.76,56236.29,53030.43,0.3
2017-11-27,12.35,12.4,12.24,12.2,33316.78,0.0,0.0,12.314,12.542,12.67,47454.6,59902.57,53346.22,0.29
2017-11-24,12.25,12.48,12.24,12.14,35073.42,0.0,0.0,12.36,12.636,12.705,52039.94,66672.07,55152.14,0.3
2017-11-23,12.41,12.41,12.24,12.13,55156.45,-0.09,-0.73,12.412,12.704,12.764,63125.48,68949.22,55134.57,0.48
2017-11-22,12.41,12.59,12.33,12.12,59254.63,-0.19,-1.52,12.576,12.758,12.825,66830.52,67302.38,55330.51,0.51
2017-11-21,12.44,12.78,12.52,12.3,54471.74,0.05,0.4,12.664,12.798,12.875,68951.81,66114.18,54513.86,0.47
2017-11-20,12.51,12.54,12.47,12.11,56243.47,-0.03,-0.24,12.77,12.808,12.913,72350.54,64276.23,53813.39,0.49
2017-11-17,13.06,13.18,12.5,12.5,90501.13,-0.56,-4.29,12.912,12.824,12.96,81304.21,61991.22,52338.4,0.78
2017-11-16,12.75,13.11,13.06,12.54,73681.61,0.29,2.27,12.996,12.821,13.004,74772.96,57011.1,49274.37,0.64
2017-11-15,13.06,13.24,12.77,12.63,69861.1,-0.28,-2.15,12.94,12.784,13.012,67774.25,53905.42,48347.21,0.6
2017-11-14,13.16,13.43,13.05,12.98,71465.37,-0.13,-0.99,12.932,12.806,13.05,63276.54,49824.57,47218.63,0.62
2017-11-13,12.9,13.44,13.18,12.85,101011.83,0.26,2.01,12.846,12.797,13.088,56201.92,46789.86,45518.55,0.87
2017-11-10,12.82,12.98,12.92,12.68,57844.9,0.14,1.09,12.736,12.773,13.118,42678.23,43632.2,43793.29,0.5
2017-11-09,12.73,12.78,12.78,12.66,38688.07,0.05,0.39,12.646,12.824,13.173,39249.24,41319.91,43453.37,0.33
2017-11-08,12.6,12.8,12.73,12.5,47372.54,0.11,0.87,12.628,12.892,13.236,40036.59,43358.63,45753.52,0.41
2017-11-07,12.63,12.75,12.62,12.46,36092.28,-0.01,-0.08,12.68,12.952,13.306,36372.59,42913.55,46213.53,0.31
2017-11-06,12.51,12.63,12.63,12.38,33393.34,0.16,1.28,12.748,13.018,13.386,37377.8,43350.56,49192.12,0.29
