date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,5.22,5.23,5.16,5.15,48536.32,-0.03,-0.58,5.156,5.166,5.171,48103.77,46390.75,43833.37,0.58
2018-01-11,5.06,5.2,5.19,5.05,71846.95,0.09,1.76,5.162,5.159,5.183,46353.33,44400.34,45127.37,0.86
2018-01-10,5.16,5.16,5.1,5.07,43374.38,-0.07,-1.35,5.16,5.15,5.184,41365.1,39975.7,43211.21,0.52
2018-01-09,5.16,5.18,5.17,5.13,36863.2,0.01,0.19,5.186,5.148,5.191,45656.64,38397.79,42337.26,0.44
2018-01-08,5.18,5.18,5.16,5.12,39898.01,-0.03,-0.58,5.182,5.136,5.195,47794.05,37665.53,42185.67,0.48
2018-01-05,5.19,5.21,5.19,5.14,39784.13,0.01,0.19,5.176,5.134,5.198,44677.73,36080.53,41754.95,0.47
2018-01-04,5.19,5.22,5.18,5.15,46905.77,-0.05,-0.96,5.156,5.13,5.197,42447.36,34907.95,41607.73,0.56
2018-01-03,5.15,5.24,5.23,5.13,64832.1,0.08,1.55,5.14,5.128,5.193,38586.29,34512.47,40795.44,0.77
2018-01-02,5.15,5.16,5.15,5.1,47550.26,0.02,0.39,5.11,5.132,5.186,31138.94,32457.05,39759.38,0.57
2017-12-29,5.11,5.13,5.13,5.08,24316.37,0.04,0.79,5.09,5.144,5.191,27537.0,33754.15,38951.36,0.29
2017-12-28,5.09,5.13,5.09,5.05,28632.28,-0.01,-0.2,5.092,5.176,5.202,27483.34,41275.98,39510.16,0.34
2017-12-27,5.08,5.12,5.1,5.06,27600.45,0.02,0.39,5.104,5.207,5.213,27368.55,45854.39,39591.69,0.33
2017-12-26,5.05,5.11,5.08,5.04,27595.34,0.03,0.59,5.116,5.218,5.222,30438.64,46446.72,39643.53,0.33
2017-12-25,5.15,5.2,5.05,5.05,29540.54,-0.09,-1.75,5.154,5.233,5.233,33775.16,46276.72,39794.23,0.35
2017-12-22,5.13,5.19,5.14,5.13,24048.07,-0.01,-0.19,5.198,5.253,5.243,39971.3,46705.81,39834.42,0.29
