date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,7.93,7.99,7.92,7.87,120354.0,-0.04,-0.5,7.956,7.974,7.964,174227.14,150988.58,125280.62,1.76
2018-01-11,7.97,8.04,7.96,7.86,216445.05,-0.01,-0.12,7.976,7.978,7.969,187115.34,154239.49,122407.46,3.16
2018-01-10,7.97,8.0,7.97,7.81,183157.0,0.0,0.0,7.998,7.978,7.973,194566.75,161912.41,114112.69,2.68
2018-01-09,7.9,7.97,7.97,7.73,199536.23,0.01,0.13,7.994,7.967,7.976,169988.54,151677.13,108551.99,2.92
2018-01-08,7.99,8.0,7.96,7.88,151643.44,-0.06,-0.75,7.99,7.956,7.982,145271.3,141183.73,102800.34,2.22
2018-01-05,8.0,8.08,8.02,7.96,184795.0,-0.05,-0.62,7.992,7.956,7.987,127750.02,131859.5,102557.61,2.7
2018-01-04,7.94,8.15,8.07,7.87,253702.06,0.12,1.51,7.98,7.95,7.985,121363.63,118269.5,96282.21,3.71
2018-01-03,7.97,7.98,7.95,7.9,60265.99,0.0,0.0,7.958,7.943,7.984,129258.07,105147.39,89590.11,0.88
2018-01-02,7.97,8.01,7.95,7.95,75950.03,-0.02,-0.25,7.94,7.946,7.988,133365.72,103046.49,92191.76,1.11
2017-12-29,7.92,7.98,7.97,7.85,64037.03,0.01,0.13,7.922,7.951,7.993,137096.16,100928.77,95754.15,0.94
2017-12-28,7.88,7.97,7.96,7.77,152863.06,0.0,0.0,7.92,7.954,7.998,135968.97,99572.66,102361.3,2.23
2017-12-27,7.86,8.19,7.96,7.31,293174.22,0.1,1.27,7.92,7.959,8.004,115175.36,90575.43,118321.06,4.28
2017-12-26,7.82,7.88,7.86,7.77,80804.25,0.0,0.0,7.928,7.967,8.038,81036.72,66312.97,111838.25,1.18
2017-12-25,7.93,7.98,7.86,7.81,94602.25,-0.1,-1.26,7.952,7.984,8.08,72727.27,65426.85,115360.82,1.38
2017-12-22,7.91,7.96,7.96,7.85,58401.09,0.0,0.0,7.98,8.007,8.121,64761.37,64416.94,115267.01,0.85
2017-12-21,7.98,8.02,7.96,7.93,48895.0,-0.04,-0.5,7.988,8.018,8.162,63176.35,73255.73,122080.25,0.71
2017-12-20,7.98,8.15,8.0,7.86,122481.0,0.02,0.25,7.998,8.02,8.2,65975.5,74294.93,128460.15,1.79
2017-12-19,8.0,8.03,7.98,7.96,39257.0,-0.02,-0.25,8.006,8.025,8.245,51589.22,74032.83,137567.46,0.57
2017-12-18,7.99,8.01,8.0,7.94,54772.76,0.0,0.0,8.016,8.03,8.302,58126.42,81337.03,150971.63,0.8
2017-12-15,8.0,8.02,8.0,7.94,50476.0,-0.01,-0.12,8.034,8.034,8.355,64072.51,90579.54,167302.05,0.74
2017-12-14,8.04,8.04,8.01,7.93,62890.72,-0.03,-0.37,8.048,8.042,8.407,83335.11,105149.94,190807.87,0.92
2017-12-13,7.98,8.06,8.04,7.96,50549.64,0.01,0.12,8.042,8.049,8.466,82614.36,146066.69,226572.49,0.74
2017-12-12,8.1,8.1,8.03,7.96,71943.0,-0.06,-0.74,8.044,8.108,8.482,96476.44,157363.53,228381.21,1.05
2017-12-11,8.07,8.13,8.09,8.0,84503.18,0.02,0.25,8.044,8.176,8.503,104547.63,165294.79,231166.98,1.23
2017-12-08,7.98,8.15,8.07,7.94,146789.0,0.09,1.13,8.034,8.235,8.527,117086.56,166117.08,241368.95,2.14
2017-12-07,8.04,8.05,7.98,7.96,59287.0,-0.07,-0.87,8.036,8.306,8.531,126964.76,170904.78,237518.97,0.87
