date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,14.75,14.76,14.75,14.66,11073.03,-0.01,-0.07,14.776,14.799,14.844,10411.78,8932.8,8993.55,0.3
2018-01-11,14.74,14.78,14.76,14.68,7415.1,-0.01,-0.07,14.79,14.808,14.849,10248.97,8853.62,8763.2,0.2
2018-01-10,14.75,14.78,14.77,14.59,15642.06,-0.01,-0.07,14.802,14.816,14.854,10781.15,8907.98,8937.17,0.43
2018-01-09,14.81,14.81,14.78,14.75,6633.3,-0.04,-0.27,14.812,14.824,14.865,8914.88,8865.02,8755.87,0.18
2018-01-08,14.81,14.82,14.82,14.74,11295.4,0.0,0.0,14.822,14.831,14.883,8582.79,8700.39,8878.5,0.31
2018-01-05,14.74,14.82,14.82,14.74,10259.0,0.0,0.0,14.822,14.841,14.899,7453.82,7930.72,8742.06,0.28
2018-01-04,14.84,14.84,14.82,14.73,10076.0,0.0,0.0,14.826,14.854,14.916,7458.26,8248.92,9021.61,0.27
2018-01-03,14.83,14.83,14.82,14.77,6310.7,-0.01,-0.07,14.83,14.858,14.938,7034.81,7723.42,9461.31,0.17
2018-01-02,14.76,14.89,14.83,14.76,4972.86,0.01,0.07,14.836,14.874,14.955,8815.16,7998.85,10355.37,0.14
2017-12-29,14.83,14.84,14.82,14.75,5650.53,-0.02,-0.14,14.84,14.883,14.972,8817.99,9057.36,11140.42,0.15
2017-12-28,14.77,14.84,14.84,14.7,10281.21,0.0,0.0,14.86,14.888,14.99,8407.63,9054.31,11962.26,0.28
2017-12-27,14.85,14.85,14.84,14.75,7958.73,-0.01,-0.07,14.882,14.89,15.007,9039.59,8672.79,13006.47,0.22
2017-12-26,14.79,14.85,14.85,14.75,15212.49,0.0,0.0,14.886,14.891,15.002,8412.03,8966.36,14077.43,0.42
2017-12-25,14.86,14.92,14.85,14.8,4987.0,-0.07,-0.47,14.912,14.906,14.993,7182.53,8646.71,13700.95,0.14
2017-12-22,14.95,14.95,14.92,14.85,3598.72,-0.03,-0.2,14.926,14.935,14.988,9296.73,9056.61,14209.74,0.1
2017-12-21,14.85,15.0,14.95,14.76,13441.0,0.09,0.61,14.916,14.956,14.982,9700.99,9553.39,14621.61,0.37
2017-12-20,14.91,14.99,14.86,14.84,4820.93,-0.12,-0.8,14.898,14.978,14.974,8305.99,9794.29,14720.72,0.13
2017-12-19,14.88,15.0,14.98,14.84,9065.0,0.06,0.4,14.896,15.017,14.977,9520.69,11199.2,16544.03,0.25
2017-12-18,14.86,15.0,14.92,14.75,15558.0,0.05,0.34,14.9,15.036,14.972,10110.89,12711.88,17054.3,0.43
2017-12-15,14.86,14.92,14.87,14.78,5620.0,0.01,0.07,14.944,15.061,14.971,8816.49,13223.48,17565.47,0.15
2017-12-14,14.85,14.96,14.86,14.75,6466.0,0.01,0.07,14.996,15.091,14.973,9405.79,14870.2,18738.9,0.18
2017-12-13,14.92,14.97,14.85,14.81,10894.46,-0.15,-1.0,15.058,15.124,14.982,11282.6,17340.15,19184.24,0.3
2017-12-12,15.05,15.16,15.0,15.0,12016.0,-0.14,-0.93,15.138,15.112,14.993,12877.71,19188.5,19422.72,0.33
2017-12-11,15.12,15.15,15.14,15.01,9086.0,0.01,0.07,15.172,15.08,14.998,15312.87,18755.18,19800.02,0.25
2017-12-08,15.22,15.25,15.13,15.1,8566.48,-0.04,-0.26,15.178,15.041,14.996,17630.46,19362.88,20149.91,0.24
2017-12-07,15.26,15.3,15.17,15.17,15850.06,-0.08,-0.53,15.186,15.007,14.995,20334.62,19689.83,21121.85,0.44
2017-12-06,15.17,15.27,15.25,15.11,18870.0,0.08,0.53,15.19,14.97,14.993,23397.69,19647.14,21074.61,0.52
2017-12-05,15.1,15.21,15.17,15.05,24191.83,0.0,0.0,15.086,14.937,14.988,25499.3,21888.85,20686.62,0.66
2017-12-04,15.03,15.2,15.17,14.99,20673.92,0.0,0.0,14.988,14.907,14.987,22197.49,21396.71,20041.97,0.57
2017-12-01,15.02,15.2,15.17,14.86,22087.28,-0.02,-0.13,14.904,14.88,14.988,21095.29,21907.46,19745.14,0.61
2017-11-30,14.75,15.19,15.19,14.63,31165.42,0.46,3.12,14.828,14.855,14.985,19045.04,22607.59,19659.08,0.86
2017-11-29,14.66,14.73,14.73,14.48,29378.04,0.05,0.34,14.75,14.839,14.981,15896.59,21028.34,18894.57,0.81
2017-11-28,14.72,14.75,14.68,14.63,7682.8,-0.07,-0.47,14.788,14.874,15.0,18278.41,19656.93,18487.05,0.21
2017-11-27,14.77,14.79,14.75,14.65,15162.93,-0.04,-0.27,14.826,14.915,15.023,20595.93,20844.85,18989.99,0.42
