date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,29.0,29.86,26.81,26.62,351869.75,-1.23,-4.39,25.74,24.444,23.785,211566.17,139559.7,111124.18,12.77
2018-01-11,25.6,28.04,28.04,25.18,288478.88,2.55,10.0,25.06,24.031,23.602,163573.7,110207.67,95610.46,10.47
2018-01-10,24.5,26.18,25.49,24.15,212719.02,1.56,6.52,24.098,23.472,23.387,116086.96,86668.28,82670.9,7.72
2018-01-09,24.17,24.28,23.93,23.8,64936.87,-0.5,-2.05,23.674,23.195,23.295,89130.84,71907.93,74645.74,2.36
2018-01-08,23.23,24.57,24.43,23.01,139826.34,1.02,4.36,23.47,23.061,23.288,86934.31,71450.25,75003.45,5.08
2018-01-05,24.04,24.77,23.41,23.36,111907.37,0.18,0.78,23.148,22.928,23.215,67553.23,64265.77,69470.02,4.06
2018-01-04,23.17,23.44,23.23,23.11,51045.21,-0.14,-0.6,23.002,22.939,23.186,56841.65,65652.65,65677.94,1.85
2018-01-03,22.8,23.49,23.37,22.71,77938.39,0.46,2.01,22.846,23.029,23.15,57249.6,73688.32,64590.63,2.83
2018-01-02,22.84,22.95,22.91,22.5,53954.26,0.09,0.39,22.716,23.153,23.082,54685.03,85972.67,63234.93,1.96
2017-12-29,22.66,22.96,22.82,22.56,42920.91,0.14,0.62,22.652,23.099,23.09,55966.18,84354.5,62307.51,1.56
2017-12-28,22.41,22.88,22.68,22.1,58349.47,0.23,1.02,22.708,23.125,23.143,60978.3,82688.66,62017.68,2.12
2017-12-27,22.77,23.02,22.45,22.36,53084.95,-0.27,-1.19,22.876,23.173,23.183,74463.66,81013.25,60388.14,1.93
2017-12-26,22.59,23.07,22.72,22.56,65115.54,0.13,0.57,23.212,23.301,23.236,90127.04,78673.53,59252.84,2.36
2017-12-25,23.06,23.22,22.59,22.37,60360.03,-0.51,-2.21,23.59,23.395,23.288,117260.31,77383.54,57622.12,2.19
2017-12-22,23.35,23.57,23.1,23.01,67981.53,-0.42,-1.79,23.546,23.515,23.32,112742.81,78556.66,55893.54,2.47
2017-12-21,23.79,23.94,23.52,23.0,125776.25,-0.61,-2.53,23.542,23.501,23.33,104399.02,74674.28,53807.24,4.57
2017-12-20,24.39,24.48,24.13,23.8,131401.84,-0.48,-1.95,23.47,23.432,23.318,87562.84,65703.22,49810.81,4.77
2017-12-19,22.25,24.61,24.61,22.25,200781.92,2.24,10.01,23.39,23.271,23.281,67220.02,55492.94,45289.1,7.29
2017-12-18,23.06,23.24,22.37,22.3,37772.53,-0.71,-3.08,23.2,23.011,23.228,37506.77,40497.2,36939.29,1.37
2017-12-15,23.05,23.3,23.08,22.81,26262.56,-0.08,-0.34,23.484,23.081,23.292,44370.51,40260.53,37075.08,1.07
2017-12-14,23.4,23.62,23.16,23.0,41595.37,-0.57,-2.4,23.46,23.16,23.335,44949.54,41346.69,38867.35,1.7
2017-12-13,23.66,24.06,23.73,23.5,29687.7,0.07,0.3,23.394,23.192,23.451,43843.59,39763.03,38383.1,1.21
2017-12-12,23.78,24.28,23.66,23.37,52215.71,-0.13,-0.55,23.152,23.17,23.541,43765.87,39832.15,39025.32,2.13
2017-12-11,23.5,24.8,23.79,23.5,72091.19,0.83,3.62,22.822,23.18,23.667,43487.62,37860.7,37834.57,2.94
2017-12-08,22.71,23.4,22.96,22.63,29157.72,0.13,0.57,22.678,23.125,23.804,36150.54,33230.42,35485.19,1.19
2017-12-07,22.47,23.14,22.83,22.35,36065.64,0.31,1.38,22.86,23.159,23.995,37743.85,32940.2,35489.34,1.47
2017-12-06,21.88,22.56,22.52,21.88,29299.07,0.51,2.32,22.99,23.204,24.203,35682.46,33918.4,35514.81,1.2
2017-12-05,22.9,23.08,22.01,21.88,50824.48,-1.06,-4.59,23.188,23.291,24.419,35898.43,35085.27,36678.16,2.07
2017-12-04,23.89,23.89,23.07,23.03,35405.81,-0.8,-3.35,23.538,23.444,24.647,32233.78,33381.38,35448.33,1.44
2017-12-01,23.5,24.0,23.87,23.33,37124.23,0.39,1.66,23.572,23.502,24.814,30310.29,33889.64,34932.08,1.51
2017-11-30,23.51,23.8,23.48,23.35,25758.72,-0.03,-0.13,23.458,23.51,24.928,28136.54,36388.0,34348.02,1.05
2017-11-29,23.7,23.7,23.51,23.2,30378.91,-0.25,-1.05,23.418,23.709,25.055,32154.34,37003.16,34517.08,1.24
2017-11-28,23.22,23.78,23.76,23.18,32501.22,0.52,2.24,23.394,23.911,25.202,34272.1,38218.5,34291.85,1.33
2017-11-27,23.49,23.69,23.24,23.17,25788.39,-0.06,-0.26,23.35,24.153,25.333,34528.98,37808.45,33835.68,1.05
2017-11-24,23.08,23.67,23.3,23.02,26255.48,0.02,0.09,23.432,24.482,25.479,37468.99,37739.97,35303.9,1.07
2017-11-23,23.39,24.1,23.28,23.02,45847.72,-0.11,-0.47,23.562,24.83,25.699,44639.46,38038.49,35234.54,1.87
2017-11-22,23.56,23.83,23.39,23.12,40967.7,-0.15,-0.64,24.0,25.202,25.942,41851.99,37111.22,34198.94,1.67
2017-11-21,23.64,23.97,23.54,23.36,33785.6,-0.11,-0.47,24.428,25.547,26.179,42164.89,38271.06,33401.98,1.38
2017-11-20,23.91,23.92,23.65,23.01,40488.46,-0.3,-1.25,24.956,25.85,26.393,41087.91,37515.29,33185.5,1.65
2017-11-17,25.48,25.63,23.95,23.71,62107.84,-1.52,-5.97,25.532,26.125,26.617,38010.94,35974.51,32384.29,2.53
2017-11-16,25.45,25.76,25.47,25.43,31910.33,-0.06,-0.23,26.098,26.345,26.814,31437.51,32308.03,30290.17,1.3
2017-11-15,26.17,26.17,25.53,25.52,42532.23,-0.65,-2.48,26.404,26.401,26.917,32370.45,32030.99,30380.01,1.73
2017-11-14,26.57,26.62,26.18,26.05,28400.71,-0.35,-1.32,26.666,26.494,27.034,34377.23,30365.2,30856.79,1.16
2017-11-13,26.61,26.77,26.53,26.44,25103.61,-0.25,-0.93,26.744,26.513,27.173,33942.67,29862.91,30888.83,1.02
2017-11-10,26.85,26.98,26.78,26.43,29240.67,-0.22,-0.81,26.718,26.476,27.292,33938.08,32867.83,32704.88,1.19
2017-11-09,26.71,27.23,27.0,26.61,36575.02,0.16,0.6,26.592,26.567,27.462,33178.54,32430.59,33327.14,1.49
2017-11-08,26.54,27.48,26.84,26.39,52566.13,0.27,1.02,26.398,26.681,27.622,31691.53,31286.66,34473.99,2.14
