date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-11-16,11.36,11.47,11.17,11.11,50737.18,-0.21,-1.84,11.45,11.561,11.707,50453.67,63489.04,50830.45,0.82
2017-11-15,11.37,11.57,11.38,11.35,34334.3,-0.07,-0.61,11.602,11.577,11.741,60021.14,62178.39,50474.25,0.55
2017-11-14,11.46,11.62,11.45,11.32,42916.42,-0.01,-0.09,11.708,11.585,11.776,74264.02,62195.12,51808.15,0.73
2017-11-13,11.68,11.68,11.46,11.45,70582.67,-0.33,-2.8,11.734,11.6,11.821,74270.61,61446.81,52088.57,1.21
2017-11-10,11.82,11.95,11.79,11.79,53697.8,-0.14,-1.17,11.744,11.608,11.861,70877.68,60821.24,56076.65,0.92
2017-11-09,11.9,12.25,11.93,11.72,98574.5,0.02,0.17,11.672,11.62,11.92,76524.41,59769.66,56506.41,1.68
2017-11-08,11.58,12.03,11.91,11.51,105548.71,0.33,2.85,11.552,11.646,11.977,64335.64,53678.38,56527.43,1.8
2017-11-07,11.53,11.63,11.58,11.45,42949.35,0.07,0.61,11.462,11.676,12.025,50126.23,46678.04,60031.06,0.73
2017-11-06,11.48,11.52,11.51,11.17,53618.05,0.08,0.7,11.466,11.726,12.1,48623.02,45514.05,66351.75,0.92
2017-11-03,11.33,11.69,11.43,11.29,81931.43,0.1,0.88,11.472,11.793,12.158,50764.8,43702.44,67608.67,1.4
2017-11-02,11.49,11.54,11.33,11.31,37630.66,-0.13,-1.13,11.568,11.852,12.207,43014.92,38171.86,66052.22,0.64
2017-11-01,11.59,11.73,11.46,11.44,34501.64,-0.14,-1.21,11.74,11.904,12.249,43021.12,38770.11,66374.69,0.59
2017-10-31,11.54,11.63,11.6,11.46,35433.32,0.06,0.52,11.89,11.967,12.293,43229.86,41421.18,66821.14,0.61
2017-10-30,11.92,11.99,11.54,11.3,64326.95,-0.37,-3.11,11.986,12.041,12.328,42405.09,42730.32,68730.81,1.1
2017-10-27,12.22,12.27,11.91,11.9,43182.01,-0.28,-2.3,12.114,12.113,12.374,36640.08,51332.06,68317.25,0.74
2017-10-26,12.17,12.27,12.19,12.11,37661.7,-0.02,-0.16,12.136,12.22,12.411,33328.8,53243.16,68688.22,0.64
2017-10-25,12.11,12.21,12.21,12.06,35545.3,0.13,1.08,12.068,12.307,12.436,34519.09,59376.47,69982.16,0.61
2017-10-24,12.18,12.18,12.08,11.95,31309.47,-0.1,-0.82,12.044,12.373,12.465,39612.51,73384.08,72038.77,0.54
2017-10-23,12.03,12.23,12.18,12.0,35501.94,0.16,1.33,12.096,12.474,12.496,43055.56,87189.45,74871.48,0.61
2017-10-20,11.84,12.1,12.02,11.83,26625.61,0.17,1.44,12.112,12.523,12.541,66024.04,91514.9,76950.38,0.45
2017-10-19,12.05,12.19,11.85,11.81,43613.13,-0.24,-1.99,12.304,12.561,12.583,73157.51,93932.57,78593.16,0.75
