date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,12.41,13.0,12.72,12.22,270289.91,0.17,1.35,12.292,12.051,12.098,209516.43,153013.74,124197.86,4.37
2018-01-11,12.06,12.95,12.55,11.9,326684.03,0.24,1.95,12.098,11.933,12.086,170623.0,134141.54,119161.58,5.28
2018-01-10,11.85,12.4,12.31,11.85,260075.23,0.41,3.44,11.936,11.84,12.099,137239.93,108817.56,108893.69,4.2
2018-01-09,11.9,11.94,11.9,11.78,80088.77,-0.08,-0.67,11.884,11.795,12.117,110828.2,88414.78,101877.77,1.29
2018-01-08,11.75,11.98,11.98,11.75,110444.21,0.23,1.96,11.866,11.783,12.166,107674.11,93852.84,106858.38,1.79
2018-01-05,11.74,11.84,11.75,11.7,75822.74,0.01,0.09,11.81,11.811,12.197,96511.04,89963.52,106624.08,1.23
2018-01-04,11.89,11.93,11.74,11.66,159768.69,-0.31,-2.57,11.768,11.872,12.235,97660.08,91483.18,107916.14,2.58
2018-01-03,11.79,12.15,12.05,11.73,128016.58,0.24,2.03,11.744,11.946,12.281,80395.19,85190.05,107442.07,2.07
2018-01-02,11.76,11.84,11.81,11.66,64318.31,0.11,0.94,11.706,12.009,12.303,66001.36,88405.95,115283.79,1.04
2017-12-29,11.58,11.74,11.7,11.56,54628.89,0.16,1.39,11.7,12.063,12.381,80031.57,91113.18,124242.69,0.88
2017-12-28,11.63,11.75,11.54,11.48,81567.91,-0.08,-0.69,11.812,12.145,12.484,83416.0,95381.98,135848.07,1.32
2017-12-27,11.84,11.85,11.62,11.6,73444.27,-0.24,-2.02,11.976,12.239,12.583,85306.28,104181.62,145467.01,1.19
2017-12-26,11.78,11.88,11.86,11.73,56047.42,0.08,0.68,12.148,12.357,12.678,89984.91,108969.83,154346.62,0.91
2017-12-25,12.21,12.26,11.78,11.72,134469.36,-0.48,-3.92,12.312,12.439,12.76,110810.54,115340.76,164044.63,2.17
2017-12-22,12.32,12.38,12.26,12.21,71551.03,-0.1,-0.81,12.426,12.549,12.834,102194.78,119863.92,169380.24,1.16
2017-12-21,12.44,12.5,12.36,12.15,91019.34,-0.12,-0.96,12.478,12.583,12.874,107347.97,123284.63,175517.98,1.47
2017-12-20,12.58,12.65,12.48,12.37,96837.38,-0.2,-1.58,12.502,12.597,12.896,123056.96,124349.1,183452.83,1.57
2017-12-19,12.36,12.78,12.68,12.33,160175.59,0.33,2.67,12.566,12.615,12.949,127954.75,129694.1,197306.22,2.59
2017-12-18,12.53,12.53,12.35,12.23,91390.56,-0.17,-1.36,12.566,12.596,12.987,119870.97,142161.63,206367.66,1.48
2017-12-15,12.43,12.61,12.52,12.37,97316.97,0.04,0.32,12.672,12.699,13.052,137533.06,157372.21,229557.73,1.57
2017-12-14,12.71,12.73,12.48,12.36,169564.31,-0.32,-2.5,12.688,12.822,13.094,139221.3,176314.17,253318.54,2.74
2017-12-13,12.76,13.05,12.8,12.72,121326.32,0.12,0.95,12.692,12.927,13.077,125641.23,186752.39,248108.82,1.96
2017-12-12,12.88,12.88,12.68,12.6,119756.69,-0.2,-1.55,12.664,12.999,13.052,131433.45,199723.4,245129.02,1.94
2017-12-11,12.95,13.17,12.88,12.83,179701.0,0.28,2.22,12.626,13.081,13.033,164452.29,212748.51,245937.89,2.91
2017-12-08,12.44,12.76,12.6,12.38,105758.18,0.1,0.8,12.726,13.119,13.022,177211.36,218896.56,241109.21,1.71
2017-12-07,12.56,12.75,12.5,12.42,101663.98,-0.16,-1.26,12.956,13.164,13.026,213407.03,227751.33,239985.32,1.64
2017-12-06,12.3,12.66,12.66,12.19,150287.38,0.17,1.36,13.162,13.194,13.041,247863.55,242556.57,239972.1,2.43
2017-12-05,13.37,13.37,12.49,12.21,284850.91,-0.89,-6.65,13.334,13.283,13.038,268013.36,264918.34,236388.67,4.61
