date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,6.2,6.2,6.08,6.06,63612.03,-0.12,-1.94,6.114,6.148,6.273,72221.75,76291.31,75872.16,1.87
2018-01-11,6.01,6.21,6.2,6.0,89928.46,0.16,2.65,6.14,6.165,6.304,68382.78,75128.12,79537.98,2.65
2018-01-10,6.12,6.13,6.04,5.99,71036.64,-0.07,-1.15,6.14,6.167,6.325,62126.09,70970.97,83155.16,2.09
2018-01-09,6.14,6.14,6.11,6.07,53495.0,-0.03,-0.49,6.182,6.188,6.342,69821.73,70366.06,84994.23,1.58
2018-01-08,6.19,6.24,6.14,6.09,83036.64,-0.07,-1.13,6.186,6.193,6.366,71639.93,73750.4,89862.99,2.45
2018-01-05,6.19,6.25,6.21,6.18,44417.16,0.01,0.16,6.182,6.217,6.387,80360.86,72715.13,94801.19,1.31
2018-01-04,6.22,6.24,6.2,6.16,58645.0,-0.05,-0.8,6.19,6.25,6.397,81873.45,77005.92,103514.63,1.73
2018-01-03,6.14,6.34,6.25,6.08,109514.87,0.12,1.96,6.194,6.277,6.399,79815.84,79326.82,105193.42,3.23
2018-01-02,6.1,6.18,6.13,6.06,62586.0,0.01,0.16,6.194,6.315,6.393,70910.39,77418.14,104710.72,1.84
2017-12-29,6.16,6.16,6.12,5.97,126641.27,-0.13,-2.08,6.2,6.351,6.401,75860.86,79310.64,106088.07,3.73
2017-12-28,6.21,6.35,6.25,6.16,51980.13,0.03,0.48,6.252,6.397,6.416,65069.41,75453.02,105213.98,1.53
2017-12-27,6.23,6.27,6.22,6.21,48356.94,-0.03,-0.48,6.31,6.442,6.419,72138.38,83947.84,106815.67,1.42
2017-12-26,6.16,6.26,6.25,6.12,64987.61,0.09,1.46,6.36,6.482,6.426,78837.79,95339.36,110842.53,1.92
2017-12-25,6.33,6.37,6.16,6.13,87338.36,-0.22,-3.45,6.436,6.496,6.439,83925.88,99622.4,115057.32,2.57
2017-12-22,6.52,6.56,6.38,6.37,72684.0,-0.16,-2.45,6.502,6.539,6.447,82760.41,105975.59,119089.75,2.14
2017-12-21,6.42,6.6,6.54,6.35,87325.0,0.07,1.08,6.542,6.556,6.453,85836.63,116887.25,130665.38,2.57
2017-12-20,6.59,6.63,6.47,6.44,81854.0,-0.16,-2.41,6.574,6.544,6.439,95757.29,130023.35,133213.09,2.41
2017-12-19,6.5,6.64,6.63,6.49,90428.04,0.14,2.16,6.604,6.52,6.429,111840.93,131060.02,133466.54,2.66
2017-12-18,6.58,6.65,6.49,6.43,81511.0,-0.09,-1.37,6.556,6.471,6.411,115318.92,132003.31,132919.19,2.4
2017-12-15,6.66,6.69,6.58,6.55,88065.13,-0.12,-1.79,6.576,6.45,6.401,129190.77,132865.51,132592.54,2.6
2017-12-14,6.58,6.71,6.7,6.52,136928.27,0.08,1.21,6.57,6.435,6.385,147937.86,134974.94,137768.26,4.03
2017-12-13,6.38,6.65,6.62,6.37,162272.2,0.23,3.6,6.514,6.395,6.389,164289.41,129683.51,134857.67,4.78
2017-12-12,6.56,6.6,6.39,6.36,107818.0,-0.2,-3.04,6.436,6.37,6.405,150279.11,126345.69,131896.64,3.18
2017-12-11,6.57,6.71,6.59,6.53,150870.25,0.04,0.61,6.386,6.382,6.423,148687.71,130492.23,132416.32,4.45
2017-12-08,6.37,6.66,6.55,6.36,181800.56,0.13,2.02,6.324,6.355,6.444,136540.26,132203.92,131502.14,5.36
2017-12-07,6.23,6.77,6.42,6.18,218686.06,0.19,3.05,6.3,6.35,6.476,122012.02,144443.51,129625.33,6.44
2017-12-06,6.11,6.25,6.23,5.99,92220.66,0.09,1.47,6.276,6.334,6.51,95077.61,136402.83,125422.45,2.72
2017-12-05,6.3,6.37,6.14,6.06,99861.0,-0.14,-2.23,6.304,6.337,6.542,102412.28,135873.07,124760.8,2.94
2017-12-04,6.4,6.43,6.28,6.27,90133.0,-0.15,-2.33,6.378,6.351,6.577,112296.76,133835.07,123691.44,2.66
2017-12-01,6.33,6.48,6.43,6.3,109159.38,0.13,2.06,6.386,6.352,6.605,127867.57,132319.57,123321.27,3.22
2017-11-30,6.37,6.41,6.3,6.28,84014.0,-0.07,-1.1,6.4,6.335,6.62,166874.99,140561.58,121349.2,2.48
2017-11-29,6.47,6.5,6.37,6.21,128894.0,-0.14,-2.15,6.392,6.382,6.64,177728.05,140031.83,121248.81,3.8
2017-11-28,6.26,6.52,6.51,6.25,149283.41,0.19,3.01,6.37,6.44,6.663,169333.86,137447.59,118330.66,4.4
2017-11-27,6.51,6.56,6.32,6.23,167987.08,-0.18,-2.77,6.324,6.464,6.682,155373.37,134340.42,114414.25,4.95
2017-11-24,6.24,6.89,6.5,6.21,304196.47,0.24,3.83,6.318,6.532,6.707,136771.56,130800.36,113287.51,8.96
2017-11-23,6.27,6.51,6.26,6.2,138279.3,0.0,0.0,6.27,6.602,6.743,114248.18,114807.16,104074.99,4.07
2017-11-22,6.31,6.36,6.26,6.2,86923.02,-0.02,-0.32,6.372,6.685,6.801,102335.6,114442.07,102856.08,2.56
2017-11-21,6.27,6.45,6.28,6.21,79481.0,-0.01,-0.16,6.51,6.746,6.857,105561.31,113648.54,102204.13,2.34
2017-11-20,6.24,6.31,6.29,6.03,74978.0,0.03,0.48,6.604,6.802,6.909,113307.46,113547.8,103629.69,2.21
2017-11-17,6.76,6.8,6.26,6.18,191579.56,-0.51,-7.53,6.746,6.858,6.969,124829.15,114322.97,103726.8,5.65
2017-11-16,6.9,6.93,6.77,6.77,78716.44,-0.18,-2.59,6.934,6.904,7.031,115366.14,102136.82,98799.47,2.32
2017-11-15,6.72,6.99,6.95,6.7,103051.57,0.2,2.96,6.998,6.897,7.061,126548.53,102465.79,102100.78,3.04
2017-11-14,7.0,7.0,6.75,6.72,118211.72,-0.25,-3.57,6.982,6.886,7.09,121735.76,99213.74,105558.28,3.48
2017-11-13,7.17,7.19,7.0,6.96,132586.48,-0.2,-2.78,7.0,6.9,7.145,113788.15,94488.08,105480.63,3.91
2017-11-10,7.04,7.24,7.2,6.96,144264.48,0.11,1.55,6.97,6.881,7.186,103816.79,95774.66,115443.11,4.25
2017-11-09,6.87,7.13,7.09,6.83,134628.41,0.22,3.2,6.874,6.883,7.252,88907.51,93342.81,117459.75,3.97
2017-11-08,6.8,6.95,6.87,6.79,78987.71,0.03,0.44,6.796,6.917,7.33,78383.05,91270.09,127551.92,2.33
2017-11-07,6.83,6.86,6.84,6.73,78473.67,-0.01,-0.15,6.79,6.967,7.409,76691.71,90759.72,143443.9,2.31
2017-11-06,6.73,6.88,6.85,6.67,82729.66,0.13,1.94,6.8,7.015,7.517,75188.01,93711.58,159577.25,2.44
2017-11-03,6.72,6.78,6.72,6.62,69718.09,0.02,0.3,6.792,7.08,7.634,87732.54,93130.63,190841.05,2.05
2017-11-02,6.85,6.85,6.7,6.61,82006.11,-0.14,-2.05,6.892,7.158,7.749,97778.12,95462.12,215490.3,2.42
2017-11-01,6.86,6.98,6.84,6.83,70531.02,-0.05,-0.73,7.038,7.225,7.841,104157.13,101735.76,234479.1,2.08
2017-10-31,6.82,6.91,6.89,6.77,70955.17,0.08,1.18,7.144,7.294,7.929,104827.72,111902.82,258414.08,2.09
2017-10-30,7.2,7.21,6.81,6.71,145452.3,-0.41,-5.68,7.23,7.389,7.995,112235.16,116473.19,274296.76,4.29
2017-10-27,7.4,7.47,7.22,7.18,119946.0,-0.21,-2.83,7.368,7.49,8.073,98528.73,135111.55,306235.2,3.53
2017-10-26,7.37,7.5,7.43,7.34,113901.14,0.06,0.81,7.424,7.621,8.142,93146.12,141576.69,332423.31,3.36
2017-10-25,7.3,7.38,7.37,7.25,73884.0,0.05,0.68,7.412,7.742,8.161,99314.39,163833.75,333766.95,2.18
2017-10-24,7.48,7.48,7.32,7.19,107992.35,-0.18,-2.4,7.444,7.85,8.182,118977.92,196128.09,333409.87,3.18
2017-10-23,7.48,7.53,7.5,7.44,76920.15,0.0,0.0,7.548,8.018,8.204,120711.22,225442.92,331167.88,2.27
2017-10-20,7.35,7.52,7.5,7.31,93032.95,0.13,1.76,7.612,8.188,8.209,171694.38,288551.46,329143.6,2.74
2017-10-19,7.5,7.58,7.37,7.28,144742.52,-0.16,-2.12,7.818,8.34,8.212,190007.25,335518.48,326498.42,4.27
2017-10-18,7.81,7.88,7.53,7.41,172201.64,-0.31,-3.95,8.072,8.457,8.221,228353.11,367222.43,322084.17,5.07
2017-10-17,7.82,7.94,7.84,7.76,116658.82,0.02,0.26,8.256,8.563,8.225,273278.26,404925.34,316055.73,3.44
2017-10-16,8.3,8.34,7.82,7.75,331835.97,-0.71,-8.32,8.488,8.601,8.215,330174.63,432120.33,315302.85,9.78
2017-10-13,8.59,8.59,8.53,8.38,184597.31,-0.11,-1.27,8.764,8.656,8.213,405408.54,477358.85,301410.7,5.44
