date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,53.0,53.2,52.14,52.03,58482.46,-1.44,-2.69,52.164,51.133,50.683,65118.75,58538.21,43523.01,2.22
2018-01-11,51.58,54.09,53.58,50.9,101504.53,1.89,3.66,51.984,50.922,50.579,74393.62,55449.27,41770.26,3.85
2018-01-10,51.49,52.8,51.69,51.22,50724.1,0.33,0.64,51.246,50.546,50.425,61035.22,47420.21,37593.07,1.92
2018-01-09,51.9,51.9,51.36,51.14,39448.87,-0.69,-1.33,50.926,50.402,50.364,61153.09,44803.43,37073.64,1.5
2018-01-08,50.9,53.28,52.05,50.3,75433.77,0.81,1.58,50.516,50.264,50.377,62206.19,43517.61,38250.79,2.86
2018-01-05,49.88,51.82,51.24,49.83,104856.85,1.35,2.71,50.102,50.129,50.303,51957.68,38201.67,35949.28,3.98
2018-01-04,50.08,50.08,49.89,49.61,34712.53,-0.2,-0.4,49.86,50.077,50.245,36504.92,30822.5,32441.52,1.32
2018-01-03,49.39,50.24,50.09,49.2,51313.41,0.78,1.58,49.846,50.107,50.271,33805.19,30210.73,32847.69,1.95
2018-01-02,49.98,50.19,49.31,49.03,44714.4,-0.67,-1.34,49.878,50.188,50.251,28453.77,30790.91,32149.63,1.7
2017-12-29,50.17,50.29,49.98,49.48,24191.2,-0.05,-0.1,50.012,50.227,50.33,24829.03,28373.22,31507.23,0.92
2017-12-28,49.9,50.43,50.03,49.88,27593.08,0.21,0.42,50.156,50.233,50.406,24445.65,28507.81,32975.43,1.05
2017-12-27,50.24,50.3,49.82,49.79,21213.86,-0.43,-0.86,50.294,50.235,50.404,25140.07,28091.24,32981.26,0.8
2017-12-26,49.98,50.35,50.25,49.81,24556.31,0.27,0.54,50.368,50.304,50.447,26616.27,27765.93,34225.2,0.93
2017-12-25,50.5,50.83,49.98,49.8,26590.68,-0.72,-1.42,50.498,50.326,50.493,33128.06,29343.85,34932.1,1.01
2017-12-22,50.72,51.15,50.7,50.56,22274.33,-0.02,-0.04,50.442,50.49,50.507,31917.41,32983.97,34975.27,0.84
2017-12-21,50.0,51.1,50.72,49.88,31065.18,0.53,1.06,50.31,50.476,50.501,32569.97,33696.89,35975.94,1.18
2017-12-20,50.5,50.68,50.19,50.0,28594.84,-0.71,-1.4,50.176,50.413,50.513,31042.41,34060.55,36371.7,1.08
2017-12-19,49.77,51.49,50.9,49.77,57115.25,1.2,2.41,50.24,50.434,50.637,28915.59,35484.65,36868.47,2.17
2017-12-18,50.0,50.29,49.7,49.38,20537.44,-0.34,-0.68,50.154,50.313,50.755,25559.64,33508.36,36708.37,0.78
2017-12-15,49.9,50.63,50.04,49.88,25537.14,-0.01,-0.02,50.538,50.433,50.871,34050.53,34641.24,37654.18,0.97
2017-12-14,50.48,50.98,50.05,49.86,23427.36,-0.46,-0.91,50.642,50.579,51.044,34823.81,37443.05,39066.55,0.89
2017-12-13,50.45,50.59,50.51,50.04,17960.74,0.04,0.08,50.65,50.572,51.3,37078.7,37871.28,39129.56,0.68
2017-12-12,51.45,51.45,50.47,50.05,40335.52,-1.15,-2.23,50.628,50.59,51.542,42053.72,40684.48,39512.09,1.53
2017-12-11,50.78,52.2,51.62,50.75,62991.91,1.06,2.1,50.472,50.659,51.813,41457.07,40520.36,39141.37,2.39
2017-12-08,49.9,50.89,50.56,49.9,29403.52,0.47,0.94,50.328,50.523,52.079,35231.94,36966.56,38455.04,1.12
2017-12-07,49.97,50.83,50.09,49.73,34701.79,-0.31,-0.61,50.516,50.527,52.399,40062.29,38254.99,39871.5,1.32
