date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,15.55,15.64,15.29,15.25,49261.46,-0.26,-1.67,15.368,15.455,15.517,44663.74,44833.22,42598.38,1.49
2018-01-11,15.3,15.65,15.55,15.2,58703.08,0.21,1.37,15.38,15.457,15.554,45096.25,43560.7,41885.29,1.78
2018-01-10,15.28,15.35,15.34,15.14,42935.5,0.1,0.66,15.394,15.431,15.58,42747.67,41826.79,40353.2,1.3
2018-01-09,15.42,15.45,15.24,15.21,38483.42,-0.18,-1.17,15.496,15.414,15.609,47789.15,41177.49,40428.39,1.17
2018-01-08,15.48,15.48,15.42,15.31,33935.24,0.07,0.46,15.538,15.405,15.657,47683.4,43295.83,41837.22,1.03
2018-01-05,15.62,15.66,15.35,15.33,51424.0,-0.27,-1.73,15.542,15.424,15.672,45002.69,42376.5,42286.19,1.56
2018-01-04,15.76,15.78,15.62,15.53,46960.19,-0.23,-1.45,15.534,15.457,15.677,42025.14,41706.27,41106.08,1.42
2018-01-03,15.46,15.86,15.85,15.38,68142.9,0.4,2.59,15.468,15.454,15.667,40905.91,41198.92,40352.36,2.06
2018-01-02,15.44,15.63,15.45,15.35,37954.67,0.01,0.07,15.332,15.464,15.632,34565.83,37632.88,39273.18,1.15
2017-12-29,15.33,15.46,15.44,15.28,20531.71,0.13,0.85,15.272,15.506,15.646,38908.25,37880.64,38928.58,0.62
2017-12-28,15.26,15.5,15.31,15.15,36536.25,0.02,0.13,15.306,15.578,15.662,39750.3,40363.54,39446.8,1.11
2017-12-27,15.28,15.36,15.29,15.16,41364.02,0.12,0.79,15.38,15.65,15.672,41387.39,40209.89,38725.99,1.25
2017-12-26,15.17,15.26,15.17,15.1,36442.51,0.02,0.13,15.44,15.728,15.688,41491.94,38879.6,38692.38,1.1
2017-12-25,15.53,15.61,15.15,15.1,59666.78,-0.46,-2.95,15.596,15.803,15.721,40699.94,39679.3,38342.56,1.81
2017-12-22,15.61,15.79,15.61,15.6,24741.93,-0.07,-0.45,15.74,15.908,15.744,36853.02,40378.61,37079.82,0.75
2017-12-21,15.66,15.75,15.68,15.42,44721.69,0.09,0.58,15.85,15.919,15.749,40976.78,42195.89,37397.77,1.35
2017-12-20,15.97,16.07,15.59,15.53,41886.78,-0.36,-2.26,15.92,15.896,15.75,39032.4,40505.9,37359.92,1.27
2017-12-19,15.89,16.12,15.95,15.85,32482.51,0.08,0.5,16.016,15.88,15.781,36267.27,39505.79,37999.59,0.98
2017-12-18,16.17,16.24,15.87,15.8,40432.17,-0.29,-1.79,16.01,15.8,15.784,38658.65,40913.48,38715.5,1.22
2017-12-15,15.93,16.32,16.16,15.93,45360.74,0.13,0.81,16.076,15.786,15.794,43904.21,39976.53,38849.73,1.37
2017-12-14,16.0,16.13,16.03,15.86,34999.78,-0.04,-0.25,15.988,15.746,15.777,43414.99,38530.07,40483.99,1.06
2017-12-13,16.0,16.14,16.07,15.87,28061.13,0.15,0.94,15.872,15.694,15.795,41979.4,37242.09,42070.2,0.85
2017-12-12,16.25,16.25,15.92,15.92,44439.44,-0.28,-1.73,15.744,15.648,15.828,42744.31,38505.15,44072.44,1.35
2017-12-11,15.99,16.48,16.2,15.99,66659.95,0.48,3.05,15.59,15.639,15.893,43168.3,37005.82,47350.06,2.02
2017-12-08,15.48,15.88,15.72,15.48,42914.67,0.27,1.75,15.496,15.579,15.935,36048.86,33781.03,47956.13,1.3
2017-12-07,15.43,15.65,15.45,15.36,27821.83,0.02,0.13,15.504,15.579,15.984,33645.15,32599.66,49007.02,0.84
2017-12-06,15.11,15.45,15.43,15.1,31885.66,0.28,1.85,15.516,15.604,16.063,32504.78,34213.94,49438.06,0.97
2017-12-05,15.68,15.89,15.15,15.08,46559.38,-0.58,-3.69,15.552,15.682,16.145,34265.99,36493.4,50897.26,1.41
2017-12-04,15.78,16.0,15.73,15.62,31062.74,-0.03,-0.19,15.688,15.767,16.234,30843.35,36517.52,51291.44,0.94
2017-12-01,15.5,15.78,15.76,15.5,30896.12,0.25,1.61,15.662,15.801,16.281,31513.2,37722.93,51434.9,0.94
2017-11-30,15.62,15.73,15.51,15.48,22120.0,-0.1,-0.64,15.654,15.807,16.317,31554.18,42437.92,52188.54,0.67
2017-11-29,15.88,15.88,15.61,15.45,40691.71,-0.22,-1.39,15.692,15.896,16.358,35923.11,46898.3,53122.38,1.23
2017-11-28,15.67,15.88,15.83,15.6,29446.18,0.23,1.47,15.812,16.008,16.398,38720.81,49639.73,53926.33,0.89
2017-11-27,15.75,16.03,15.6,15.5,34412.0,-0.12,-0.76,15.846,16.146,16.431,42191.7,57694.29,55725.52,1.04
2017-11-24,15.6,16.08,15.72,15.5,31101.0,0.02,0.13,15.94,16.29,16.475,43932.66,62131.23,57460.33,0.94
2017-11-23,16.09,16.15,15.7,15.6,43964.64,-0.51,-3.15,15.96,16.389,16.542,53321.66,65414.37,57638.0,1.33
2017-11-22,16.01,16.38,16.21,15.88,54680.21,0.21,1.31,16.1,16.522,16.617,57873.5,64662.17,57636.3,1.66
2017-11-21,16.1,16.22,16.0,15.89,46800.64,-0.07,-0.44,16.204,16.607,16.668,60558.66,65301.12,57028.6,1.42
2017-11-20,15.8,16.13,16.07,15.64,43116.79,0.25,1.58,16.446,16.701,16.726,73196.89,66065.36,58708.76,1.31
2017-11-17,16.31,16.48,15.82,15.75,78046.02,-0.58,-3.54,16.64,16.761,16.802,80329.81,65146.87,58217.86,2.36
2017-11-16,16.63,16.94,16.4,16.4,66723.83,-0.33,-1.97,16.818,16.826,16.889,77507.08,61939.17,56722.52,2.02
2017-11-15,17.27,17.27,16.73,16.69,68106.0,-0.48,-2.79,16.944,16.82,16.943,71450.84,59346.46,56076.61,2.06
2017-11-14,17.05,17.4,17.21,16.94,109991.81,0.17,1.0,17.01,16.788,16.979,70043.58,58212.93,55921.78,3.33
2017-11-13,16.66,17.13,17.04,16.37,78781.37,0.33,1.98,16.956,16.715,17.001,58933.83,53756.74,54564.43,2.39
2017-11-10,16.98,17.08,16.71,16.69,63932.37,-0.32,-1.88,16.882,16.659,17.017,49963.94,52789.43,55862.12,1.94
2017-11-09,17.05,17.14,17.03,16.89,36442.64,-0.03,-0.18,16.834,16.694,17.08,46371.26,49861.63,54745.74,1.11
2017-11-08,16.85,17.23,17.06,16.81,61069.73,0.12,0.71,16.696,16.711,17.12,47242.08,50610.43,56350.2,1.86
2017-11-07,16.7,16.94,16.94,16.51,54443.02,0.27,1.62,16.566,16.728,17.164,46382.28,48756.08,57485.56,1.66
2017-11-06,16.6,16.73,16.67,16.4,33931.93,0.2,1.21,16.474,16.75,17.233,48579.65,51352.16,60527.71,1.03
2017-11-03,16.34,16.7,16.47,16.31,45969.0,0.13,0.8,16.436,16.843,17.298,55614.92,51288.84,63475.93,1.4
2017-11-02,16.47,16.51,16.34,16.31,40796.74,-0.07,-0.43,16.554,16.952,17.362,53352.0,51505.88,65433.16,1.24
2017-11-01,16.5,16.54,16.41,16.37,56770.7,-0.07,-0.42,16.726,17.065,17.407,53978.78,52806.76,66056.29,1.73
2017-10-31,16.42,16.72,16.48,16.2,65429.89,0.0,0.0,16.89,17.17,17.456,51129.87,53630.63,67183.09,1.99
2017-10-30,17.1,17.17,16.48,16.4,69108.29,-0.58,-3.4,17.026,17.287,17.517,54124.66,55372.12,68948.96,2.1
2017-10-27,17.14,17.33,17.06,16.98,34654.38,-0.14,-0.81,17.25,17.374,17.546,46962.76,58934.81,67832.95,1.05
2017-10-26,17.15,17.3,17.2,17.04,43930.62,-0.03,-0.17,17.35,17.465,17.554,49659.76,59629.85,69149.66,1.34
2017-10-25,17.16,17.23,17.23,16.98,42526.19,0.07,0.41,17.404,17.528,17.569,51634.74,62089.97,70424.38,1.29
2017-10-24,17.53,17.6,17.16,16.88,80403.81,-0.44,-2.5,17.45,17.599,17.607,56131.38,66215.04,71702.94,2.44
2017-10-23,17.39,17.65,17.6,17.39,33298.82,0.04,0.23,17.548,17.716,17.65,56619.58,69703.27,71716.35,1.01
2017-10-20,17.47,17.64,17.56,17.2,48139.34,0.09,0.52,17.498,17.753,17.666,70906.85,75663.01,72914.7,1.46
2017-10-19,17.52,17.76,17.47,17.36,53805.52,0.01,0.06,17.58,17.771,17.664,69599.93,79360.43,73890.13,1.64
2017-10-18,17.68,17.96,17.46,17.43,65009.39,-0.19,-1.08,17.652,17.748,17.683,72545.21,79305.81,75205.36,1.98
2017-10-17,17.57,17.94,17.65,17.46,82844.84,0.3,1.73,17.748,17.741,17.695,76298.7,80735.55,77172.16,2.52
2017-10-16,18.03,18.27,17.35,17.32,104735.15,-0.62,-3.45,17.884,17.747,17.709,82786.95,82525.8,78192.58,3.18
2017-10-13,17.96,17.99,17.97,17.66,41604.77,0.14,0.79,18.008,17.718,17.755,80419.18,76731.09,76700.42,1.26
2017-10-12,18.12,18.23,17.83,17.71,68531.89,-0.11,-0.61,17.962,17.642,17.765,89120.93,78669.47,81065.01,2.08
2017-10-11,18.25,18.33,17.94,17.81,83776.84,-0.39,-2.13,17.844,17.61,17.794,86066.42,78758.79,85684.94,2.55
2017-10-10,17.9,18.38,18.33,17.8,115286.09,0.36,2.0,17.734,17.615,17.834,85172.41,77190.84,91794.2,3.5
2017-10-09,17.92,18.15,17.97,17.71,92896.32,0.23,1.3,17.61,17.584,17.829,82264.65,73729.44,96917.76,2.82
2017-09-29,17.28,18.95,17.74,17.28,85113.51,0.5,2.9,17.428,17.579,17.845,73042.99,70166.38,99819.73,2.59
2017-09-28,17.34,17.49,17.24,17.16,53259.34,-0.15,-0.86,17.322,17.557,17.858,68218.01,68419.83,101258.17,1.62
2017-09-27,17.6,17.6,17.39,17.28,79306.78,-0.32,-1.81,17.376,17.617,17.883,71451.15,71104.9,101943.05,2.41
2017-09-26,17.06,17.82,17.71,17.01,100747.28,0.65,3.81,17.496,17.649,17.884,69209.28,73608.77,101381.41,3.06
2017-09-25,17.23,17.45,17.06,17.0,46788.04,-0.15,-0.87,17.558,17.67,17.867,65194.23,73859.36,100865.73,1.42
2017-09-22,17.53,17.62,17.21,17.17,60988.63,-0.3,-1.71,17.73,17.791,17.9,67289.76,76669.75,105444.75,1.85
2017-09-21,17.82,17.93,17.51,17.49,69425.03,-0.48,-2.67,17.792,17.888,17.919,68621.64,83460.54,107030.82,2.11
2017-09-20,18.18,18.18,17.99,17.73,68097.42,-0.03,-0.17,17.858,17.978,17.9,70758.64,92611.09,107282.07,2.07
2017-09-19,18.02,18.23,18.02,17.86,80672.05,0.1,0.56,17.802,18.053,17.867,78008.26,106397.56,107590.2,2.45
2017-09-18,17.52,17.95,17.92,17.5,57265.69,0.4,2.28,17.782,18.074,17.84,82524.49,120106.07,111034.47,1.74
2017-09-15,17.78,17.83,17.52,17.42,67648.0,-0.32,-1.79,17.852,18.111,17.846,86049.73,129473.08,114443.19,2.06
2017-09-14,17.72,18.15,17.84,17.63,80110.06,0.13,0.73,17.984,18.158,17.858,98299.44,134096.51,118371.94,2.44
2017-09-13,17.93,18.14,17.71,17.61,104345.52,-0.21,-1.17,18.098,18.149,17.866,114463.53,132781.2,127792.68,3.17
2017-09-12,18.23,18.31,17.92,17.89,103253.17,-0.35,-1.92,18.304,18.118,17.855,134786.86,129154.05,130455.29,3.14
2017-09-11,18.12,18.28,18.27,17.94,74891.91,0.09,0.49,18.366,18.063,17.829,157687.65,127872.09,131843.87,2.28
2017-09-08,18.21,18.47,18.18,17.9,128896.56,-0.23,-1.25,18.37,18.008,17.793,172896.42,134219.75,138371.59,3.92
2017-09-07,18.66,18.94,18.41,18.3,160930.48,-0.33,-1.76,18.332,17.95,17.721,169893.57,130601.1,140074.86,4.89
2017-09-06,18.1,18.77,18.74,17.81,205962.16,0.51,2.8,18.2,17.821,17.649,151098.87,121953.05,139665.86,6.26
2017-09-05,18.3,19.18,18.23,18.2,217757.16,-0.06,-0.33,17.932,17.681,17.554,123521.23,108782.84,139010.94,6.62
2017-09-04,18.0,18.46,18.29,17.72,150935.73,0.3,1.67,17.76,17.606,17.462,98056.53,101962.88,132536.31,4.59
2017-09-01,17.75,18.18,17.99,17.57,113882.3,0.24,1.35,17.646,17.581,17.355,95543.07,99413.31,127846.78,3.46
2017-08-31,17.4,17.75,17.75,17.39,66956.98,0.35,2.01,17.568,17.558,17.256,91308.63,102647.38,125641.74,2.04
2017-08-30,17.3,17.78,17.4,17.3,68074.0,0.03,0.17,17.442,17.582,17.168,92807.22,122804.16,126374.84,2.07
2017-08-29,17.77,17.87,17.37,17.27,90433.62,-0.35,-1.98,17.43,17.591,17.089,94044.45,131756.54,126410.13,2.75
2017-08-28,17.65,18.26,17.72,17.6,138368.47,0.12,0.68,17.452,17.594,17.032,105869.23,135815.65,124873.58,4.21
2017-08-25,17.17,17.62,17.6,17.13,92710.1,0.48,2.8,17.516,17.577,16.963,103283.54,142523.43,122031.03,2.82
2017-08-24,17.31,17.44,17.12,17.01,74449.93,-0.22,-1.27,17.548,17.491,16.892,113986.12,149548.63,121809.09,2.26
2017-08-23,17.48,17.65,17.34,17.3,74260.12,-0.14,-0.8,17.722,17.476,16.846,152801.1,157378.68,125153.4,2.26
2017-08-22,18.16,18.18,17.48,17.41,149557.52,-0.56,-3.1,17.752,17.426,16.751,169468.62,169239.05,123608.61,4.55
2017-08-21,17.76,18.38,18.04,17.72,125440.02,0.28,1.58,17.736,17.317,16.644,165762.07,163109.75,117745.71,3.81
2017-08-18,17.85,18.2,17.76,17.61,146223.03,-0.23,-1.28,17.638,17.128,16.511,181763.32,156280.25,113826.56,4.45
2017-08-17,17.45,18.53,17.99,17.3,268524.81,0.5,2.86,17.434,16.953,16.381,185111.13,148636.1,108533.14,8.16
2017-08-16,17.4,17.74,17.49,17.25,157597.73,0.09,0.52,17.23,16.754,16.238,161956.26,129945.52,99332.01,4.79
2017-08-15,17.47,17.54,17.4,17.23,131024.75,-0.15,-0.85,17.1,16.586,16.136,169009.47,121063.72,94922.08,3.98
2017-08-14,16.85,17.77,17.55,16.83,205446.3,0.81,4.84,16.898,16.469,16.036,160457.43,113931.52,91199.77,6.25
2017-08-11,16.7,17.38,16.74,16.63,162962.08,-0.23,-1.35,16.618,16.349,15.911,130797.17,101538.62,85550.18,4.95
2017-08-10,16.75,17.2,16.97,16.51,152750.42,0.13,0.77,16.472,16.293,15.872,112161.07,94069.54,81156.58,4.64
2017-08-09,16.47,17.25,16.84,16.43,192863.81,0.45,2.75,16.278,16.216,15.807,97934.78,92928.13,75854.84,5.86
2017-08-08,16.25,16.46,16.39,16.03,88264.56,0.24,1.49,16.072,16.076,15.754,73117.97,77978.18,69312.36,2.68
2017-08-07,15.95,16.36,16.15,15.91,57144.96,0.14,0.87,16.04,15.971,15.719,67405.6,72381.67,68713.26,1.74
2017-08-04,15.87,16.25,16.01,15.85,69781.59,0.01,0.06,16.08,15.893,15.722,72280.08,71372.87,69066.33,2.12
2017-08-03,15.83,16.34,16.0,15.75,81618.99,0.19,1.2,16.114,15.809,15.742,75978.02,68430.17,68802.45,2.48
2017-08-02,16.24,16.31,15.81,15.8,68779.74,-0.42,-2.59,16.154,15.721,15.775,87921.47,68718.51,69212.2,2.09
2017-08-01,16.37,16.37,16.23,16.04,59702.74,-0.12,-0.73,16.08,15.686,15.814,82838.39,68780.43,69588.93,1.81
2017-07-31,16.17,16.53,16.35,15.93,81517.32,0.17,1.05,15.902,15.603,15.837,77357.74,68468.02,70410.34,2.48
2017-07-28,16.13,16.42,16.18,16.0,88271.31,-0.02,-0.12,15.706,15.472,15.854,70465.67,69561.75,71038.51,2.68
2017-07-27,15.52,16.45,16.2,15.39,141336.25,0.76,4.92,15.504,15.451,15.863,60882.32,68243.62,70462.6,4.3
2017-07-26,15.4,15.63,15.44,15.34,43364.35,0.1,0.65,15.288,15.398,15.878,49515.54,58781.55,71297.75,1.32
2017-07-25,15.38,15.4,15.34,15.2,32299.48,-0.03,-0.2,15.292,15.431,15.922,54722.47,60646.53,75511.78,0.98
