date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-25,49.58,50.19,48.6,48.53,153569.53,-0.99,-2.0,48.758,49.17,46.841,162185.13,177217.1,215465.63,10.54
2017-12-22,48.1,50.76,49.59,47.89,225372.56,1.7,3.55,49.038,49.232,46.171,167790.23,189158.11,209662.27,15.47
2017-12-21,48.1,48.77,47.89,46.86,157009.92,-0.66,-1.36,48.91,49.163,45.499,155888.69,194554.94,199917.93,10.78
2017-12-20,48.8,49.6,48.55,48.3,107431.72,-0.61,-1.24,49.208,49.199,44.89,165613.65,216172.99,194029.51,7.37
2017-12-19,50.05,50.27,49.16,48.1,167541.91,-0.84,-1.68,49.616,48.817,44.281,183961.59,232237.58,191110.03,11.5
2017-12-18,49.55,50.55,50.0,49.08,181595.05,1.05,2.15,49.582,48.033,43.679,192249.06,239864.66,185003.73,12.46
2017-12-15,49.3,50.14,48.95,48.5,165864.86,-0.43,-0.87,49.426,47.124,43.017,210525.99,250552.11,178517.92,11.38
2017-12-14,50.7,50.79,49.38,48.52,205634.69,-1.21,-2.39,49.416,46.774,42.355,233221.18,261807.95,173110.8,14.11
2017-12-13,48.95,50.59,50.59,48.95,199171.44,1.6,3.27,49.19,46.339,41.87,266732.34,292737.83,164460.31,13.67
2017-12-12,48.69,50.4,48.99,48.51,208979.28,-0.23,-0.47,48.018,45.539,41.331,280513.56,273882.17,156066.19,14.34
2017-12-11,50.3,50.87,49.22,48.83,272979.66,0.32,0.65,46.484,44.512,40.852,287480.25,253714.16,147867.18,18.74
2017-12-08,48.1,49.19,48.9,47.52,279340.84,0.65,1.35,44.822,43.11,40.423,290578.24,230166.43,137481.04,19.17
2017-12-07,44.75,49.2,48.25,44.6,373190.47,3.52,7.87,44.132,41.835,39.987,290394.72,205280.93,126315.67,25.61
2017-12-06,42.15,45.16,44.73,42.13,268077.56,3.41,8.25,43.488,40.58,39.53,318743.32,171886.03,109305.52,18.4
2017-12-05,41.45,43.26,41.32,40.94,243812.73,0.41,1.0,43.06,39.745,39.221,267250.79,149982.48,97678.44,16.73
2017-12-04,43.48,43.75,40.91,40.91,288469.59,-4.54,-9.99,42.54,39.325,39.092,219948.06,130142.81,87707.54,19.8
2017-12-01,45.03,46.58,45.45,44.57,278423.25,0.42,0.93,41.398,38.91,38.937,169754.62,106483.73,74820.43,19.11
2017-11-30,46.85,46.85,45.03,44.88,514933.47,2.44,5.73,39.538,37.936,38.568,120167.15,84413.65,62203.98,35.34
2017-11-29,42.59,42.59,42.59,42.59,10614.9,3.87,9.99,37.672,37.401,38.226,25028.74,36182.78,38156.44,0.73
2017-11-28,38.72,38.72,38.72,38.72,7299.1,3.52,10.0,36.43,37.123,38.048,32714.16,38250.21,38977.54,0.5
2017-11-27,36.37,36.55,35.2,35.2,37502.4,-0.95,-2.63,36.11,37.192,38.061,40337.56,42020.2,40660.4,2.57
2017-11-24,36.0,36.5,36.15,35.56,30485.86,0.45,1.26,36.422,37.736,38.297,43212.83,44795.65,41034.45,2.09
2017-11-23,36.18,37.2,35.7,35.7,39241.46,-0.68,-1.87,36.334,38.138,38.56,48660.16,47350.41,41266.26,2.69
2017-11-22,37.0,37.18,36.38,35.88,49042.0,-0.74,-1.99,37.13,38.48,38.827,47336.82,46725.01,40812.17,3.37
2017-11-21,36.85,37.44,37.12,36.45,45416.07,0.36,0.98,37.816,38.696,39.055,43786.25,45374.41,39774.72,3.12
2017-11-20,36.02,36.99,36.76,35.18,51878.77,1.05,2.94,38.274,38.86,39.233,43702.84,45272.27,38684.46,3.56
2017-11-17,39.21,39.6,35.71,35.71,57722.49,-3.97,-10.01,39.05,38.964,39.426,46378.47,43157.13,37296.31,3.96
2017-11-16,39.41,40.45,39.68,39.41,32624.78,-0.13,-0.33,39.942,39.199,39.644,46040.67,39994.3,35637.74,2.24
2017-11-15,39.18,40.2,39.81,39.02,31289.15,0.4,1.01,39.83,39.051,39.665,46113.19,40130.1,35395.29,2.15
2017-11-14,40.48,40.79,39.41,39.4,44999.0,-1.23,-3.03,39.576,38.973,39.728,46962.56,39704.87,35746.15,3.09
2017-11-13,40.2,41.26,40.64,39.6,65256.91,0.47,1.17,39.446,38.93,39.782,46841.7,39300.61,34737.78,4.48
2017-11-10,39.21,40.47,40.17,38.8,56033.49,1.05,2.68,38.878,38.858,39.765,39935.79,37273.25,34859.19,3.85
