date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,31.58,32.03,32.03,31.52,6180.67,0.17,0.53,31.818,31.852,31.911,3594.26,3258.11,3970.82,0.55
2018-01-11,31.52,32.0,31.86,31.46,4900.84,0.34,1.08,31.812,31.774,31.936,2986.65,2884.76,4327.85,0.44
2018-01-10,31.51,31.74,31.52,31.31,1899.67,-0.17,-0.54,31.774,31.768,31.968,2408.89,2538.88,4445.4,0.17
2018-01-09,31.65,32.0,31.69,31.51,2257.81,-0.3,-0.94,31.84,31.819,31.986,2314.36,2672.61,4432.37,0.2
2018-01-08,32.02,32.02,31.99,31.59,2732.29,-0.01,-0.03,31.898,31.833,31.977,2258.81,2664.53,4436.89,0.24
2018-01-05,31.57,32.0,32.0,31.4,3142.66,0.33,1.04,31.886,31.812,31.973,2921.95,2705.0,4434.27,0.28
2018-01-04,31.53,31.89,31.67,31.53,2012.0,-0.18,-0.56,31.736,31.822,31.973,2782.87,3287.64,4410.59,0.18
2018-01-03,32.02,32.03,31.85,31.56,1427.02,-0.13,-0.41,31.762,31.945,31.984,2668.87,4182.79,4450.01,0.13
2018-01-02,31.35,32.17,31.98,31.33,1980.09,0.05,0.16,31.798,31.98,32.015,3030.87,4335.19,4837.46,0.18
2017-12-29,31.2,31.94,31.93,30.68,6048.0,0.68,2.18,31.768,31.983,32.06,3070.25,4719.51,4963.16,0.54
2017-12-28,31.97,31.97,31.25,31.0,2447.25,-0.55,-1.73,31.738,31.97,32.126,2488.05,4683.54,4891.71,0.22
2017-12-27,31.7,32.28,31.8,31.63,1442.0,-0.23,-0.72,31.908,32.097,32.223,3792.4,5770.95,4867.5,0.13
2017-12-26,31.64,32.34,32.03,31.48,3237.01,0.2,0.63,32.128,32.168,32.255,5696.72,6351.92,4872.95,0.29
2017-12-25,31.15,32.3,31.83,31.15,2177.0,0.05,0.16,32.162,32.152,32.289,5639.51,6192.12,4833.68,0.19
2017-12-22,32.1,32.1,31.78,31.47,3137.0,-0.32,-1.0,32.198,32.121,32.366,6368.77,6209.25,5271.52,0.28
2017-12-21,32.85,34.5,32.1,32.03,8968.99,-0.8,-2.43,32.202,32.133,32.411,6879.02,6163.55,5480.32,0.8
2017-12-20,31.8,32.98,32.9,31.6,10963.58,0.7,2.17,32.286,32.123,32.466,7749.49,5533.55,5398.53,0.98
