date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,15.44,15.44,15.03,15.02,65704.0,-0.45,-2.91,15.224,15.24,15.728,72339.06,59662.03,60374.54,2.72
2018-01-11,15.0,15.73,15.48,14.77,126357.82,0.33,2.18,15.272,15.224,15.841,68073.66,58764.81,58653.03,5.23
2018-01-10,15.28,15.31,15.15,14.97,49819.17,-0.21,-1.37,15.24,15.161,15.935,52096.3,55540.21,53835.62,2.06
2018-01-09,15.1,15.39,15.36,14.95,65214.13,0.26,1.72,15.296,15.199,16.041,54966.13,54358.34,53495.41,2.7
2018-01-08,15.3,15.32,15.1,14.89,54600.19,-0.17,-1.11,15.274,15.216,16.148,51232.12,52902.68,53715.7,2.26
2018-01-05,15.31,15.43,15.27,15.17,44377.0,-0.05,-0.33,15.256,15.264,16.243,46985.01,62436.91,53014.37,1.84
2018-01-04,15.4,15.4,15.32,15.25,46471.0,-0.11,-0.71,15.176,15.417,16.318,49455.95,62523.96,54070.42,1.92
2018-01-03,15.32,15.46,15.43,15.12,64168.34,0.18,1.18,15.082,15.592,16.414,58984.12,61721.7,54023.47,2.65
2018-01-02,15.06,15.32,15.25,15.01,46544.05,0.24,1.6,15.102,15.777,16.514,53750.55,58084.73,53320.5,1.92
2017-12-29,14.89,15.05,15.01,14.88,33364.64,0.14,0.94,15.158,15.962,16.602,54573.24,57406.15,53098.78,1.38
2017-12-28,14.92,15.08,14.87,14.83,56731.74,0.02,0.14,15.272,16.216,16.71,77888.8,61087.04,53398.95,2.35
2017-12-27,15.54,15.54,14.85,14.8,94111.83,-0.68,-4.38,15.658,16.457,16.823,75591.97,58541.24,53966.81,3.87
2017-12-26,15.47,15.68,15.53,15.39,38000.51,0.0,0.0,16.102,16.709,16.972,64459.29,52131.04,53498.73,1.56
2017-12-25,15.38,15.75,15.53,15.38,50657.5,-0.05,-0.32,16.452,16.882,17.076,62418.9,52632.47,55595.68,2.09
2017-12-22,16.48,16.48,15.58,15.45,149942.44,-1.22,-7.26,16.766,17.08,17.196,60239.06,54528.72,56479.41,6.17
2017-12-21,17.01,17.02,16.8,16.55,45247.55,-0.27,-1.58,17.16,17.222,17.293,44285.28,43591.84,54590.65,1.86
2017-12-20,17.29,17.4,17.07,16.93,38448.44,-0.21,-1.22,17.256,17.218,17.37,41490.52,45616.87,56451.13,1.58
2017-12-19,17.11,17.4,17.28,17.11,27798.55,0.18,1.05,17.316,17.235,17.43,39802.78,46325.23,60256.1,1.14
2017-12-18,17.41,17.53,17.1,17.08,39758.31,-0.45,-2.56,17.312,17.25,17.52,42846.04,48556.27,65080.84,1.64
2017-12-15,17.5,17.88,17.55,17.46,70173.57,0.27,1.56,17.394,17.241,17.649,48818.38,48791.4,71311.82,2.89
2017-12-14,17.39,17.41,17.28,17.23,31273.72,-0.09,-0.52,17.284,17.203,17.726,42898.4,45710.86,72314.46,1.29
2017-12-13,17.29,17.45,17.37,17.21,30009.77,0.11,0.64,17.18,17.189,17.818,49743.22,49392.38,73947.6,1.24
2017-12-12,17.5,17.58,17.26,17.23,43014.84,-0.25,-1.43,17.154,17.234,17.903,52847.67,54866.43,77297.03,1.77
2017-12-11,17.3,17.89,17.51,17.3,69620.01,0.51,3.0,17.188,17.27,18.004,54266.5,58558.9,83756.4,2.87
2017-12-08,16.61,17.14,17.0,16.61,40573.68,0.24,1.43,17.088,17.312,18.04,48764.42,58430.1,82885.96,1.67
2017-12-07,16.8,17.15,16.76,16.32,65497.82,-0.48,-2.78,17.122,17.364,18.092,48523.32,65589.46,85349.56,2.7
2017-11-29,17.38,17.41,17.24,16.96,45532.0,-0.19,-1.09,17.198,17.521,18.191,49041.53,67285.39,86321.16,1.87
2017-11-28,17.05,17.49,17.43,17.05,50109.0,0.42,2.47,17.314,17.625,18.261,56885.19,74186.98,86873.93,2.06
