date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,10.92,11.68,11.04,10.81,248705.22,-0.08,-0.72,10.462,10.067,9.912,155895.66,94135.5,66751.11,10.14
2018-01-11,10.3,11.35,11.12,10.23,246108.64,0.71,6.82,10.214,9.909,9.855,115751.01,71762.65,56363.44,10.03
2018-01-10,9.9,10.8,10.41,9.8,209997.69,0.57,5.79,9.928,9.743,9.798,72635.15,50586.39,45872.18,8.56
2018-01-09,9.82,9.9,9.84,9.67,37305.36,-0.06,-0.61,9.79,9.655,9.774,37416.67,32165.6,38540.3,1.52
2018-01-08,9.73,9.9,9.9,9.56,37361.37,0.1,1.02,9.742,9.61,9.789,35104.6,32642.06,41034.58,1.52
2018-01-05,9.74,9.97,9.8,9.72,47981.97,0.11,1.14,9.672,9.594,9.802,32375.34,31744.72,42584.92,1.96
2018-01-04,9.74,9.75,9.69,9.62,30529.38,-0.03,-0.31,9.604,9.608,9.818,27774.29,31040.32,45890.68,1.24
2018-01-03,9.59,9.8,9.72,9.52,33905.27,0.12,1.25,9.558,9.634,9.823,28537.63,32584.49,47276.67,1.38
2018-01-02,9.55,9.6,9.6,9.42,25745.01,0.05,0.52,9.52,9.677,9.803,26914.52,36612.95,48424.8,1.05
2017-12-29,9.4,9.58,9.55,9.39,23715.06,0.09,0.95,9.478,9.707,9.805,30179.52,37533.71,50495.26,0.97
2017-12-28,9.39,9.54,9.46,9.37,24976.74,0.0,0.0,9.516,9.757,9.823,31114.1,39366.71,55328.26,1.02
2017-12-27,9.55,9.55,9.46,9.3,34346.06,-0.07,-0.73,9.612,9.8,9.82,34306.36,40964.24,55231.82,1.4
2017-12-26,9.4,9.58,9.53,9.4,25789.74,0.14,1.49,9.71,9.853,9.82,36631.36,41157.97,55154.57,1.05
2017-12-25,9.85,9.85,9.39,9.3,42069.98,-0.35,-3.59,9.834,9.893,9.826,46311.38,44915.01,55766.7,1.71
2017-12-22,9.9,9.92,9.74,9.73,28388.0,-0.2,-2.01,9.936,9.968,9.828,44887.89,49427.1,55375.91,1.16
