date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,15.85,15.85,15.85,15.85,36803.54,1.44,9.99,14.43,14.383,14.585,87830.44,71638.92,78302.93,1.41
2018-01-11,14.15,14.65,14.41,13.82,119517.5,0.18,1.26,14.11,14.212,14.587,93125.52,72921.87,81180.77,4.59
2018-01-10,13.85,14.3,14.23,13.74,100920.62,0.28,2.01,14.114,14.179,14.653,79463.84,66738.27,80534.07,3.88
2018-01-09,13.61,14.2,13.95,13.57,82089.61,0.24,1.75,14.16,14.188,14.734,74814.34,64764.82,80049.21,3.15
2018-01-08,14.1,14.1,13.71,13.5,99820.91,-0.54,-3.79,14.228,14.204,14.836,66857.45,63490.78,80778.83,3.84
2018-01-05,14.31,14.6,14.25,14.21,63278.98,-0.18,-1.25,14.336,14.24,14.95,55447.41,62398.77,82280.47,2.43
2018-01-04,14.33,14.49,14.43,14.25,51209.06,-0.03,-0.21,14.314,14.256,15.051,52718.23,70463.99,86905.21,1.97
2018-01-03,14.29,14.75,14.46,14.13,77673.14,0.17,1.19,14.244,14.373,15.148,54012.69,71562.47,95087.61,2.99
2018-01-02,14.31,14.37,14.29,14.15,42305.15,0.04,0.28,14.216,14.489,15.209,54715.29,70977.61,99154.31,1.63
2017-12-29,14.11,14.31,14.25,14.06,42770.7,0.11,0.78,14.18,14.603,15.271,60124.1,76935.9,108217.49,1.64
2017-12-28,13.97,14.33,14.14,13.91,49633.08,0.06,0.43,14.144,14.786,15.331,69350.13,84966.93,111303.38,1.91
2017-12-27,14.13,14.28,14.08,14.07,57681.4,-0.24,-1.68,14.198,14.961,15.326,88209.75,89439.67,110392.08,2.22
2017-12-26,14.05,14.89,14.32,13.93,81186.12,0.21,1.49,14.502,15.126,15.337,89112.25,94329.88,109834.41,3.12
2017-12-25,13.97,14.26,14.11,13.72,69349.21,0.04,0.28,14.762,15.279,15.341,87239.93,95333.6,108668.74,2.67
2017-12-22,14.4,14.47,14.07,13.91,88900.84,-0.34,-2.36,15.026,15.467,15.341,93747.69,98066.89,107877.11,3.42
2017-12-21,15.52,15.61,14.41,14.12,143931.19,-1.19,-7.63,15.428,15.66,15.333,100583.74,102162.16,105824.61,5.53
2017-12-20,15.75,15.83,15.6,15.47,62193.89,-0.02,-0.13,15.724,15.846,15.31,90669.58,103346.44,102728.98,2.39
2017-12-19,15.45,15.76,15.62,15.45,71824.53,0.19,1.23,15.75,15.922,15.225,99547.5,118612.75,101019.3,2.76
2017-12-18,16.09,16.24,15.43,15.4,101888.0,-0.65,-4.04,15.796,15.929,15.135,103427.27,127331.02,98712.3,3.92
2017-12-15,15.8,16.17,16.08,15.66,123081.07,0.19,1.2,15.908,15.939,15.061,102386.1,139499.09,94941.23,4.73
2017-12-14,15.66,15.95,15.89,15.48,94360.42,0.16,1.02,15.892,15.875,14.945,103740.59,137639.84,91841.07,3.63
2017-12-13,15.81,15.96,15.73,15.4,106583.48,-0.12,-0.76,15.968,15.69,14.887,116023.29,131344.49,90327.77,4.1
2017-12-12,15.9,16.15,15.85,15.75,91223.37,-0.14,-0.88,16.094,15.547,14.843,137677.99,125338.95,87401.87,3.51
2017-12-11,15.85,16.24,15.99,15.78,96682.15,-0.01,-0.06,16.062,15.403,14.781,151234.76,122003.87,84506.22,3.72
2017-12-08,16.04,16.28,16.0,15.73,129853.53,-0.27,-1.66,15.97,15.214,14.705,176612.09,117687.33,81790.91,4.99
2017-12-07,16.11,16.54,16.27,15.96,155773.92,-0.09,-0.55,15.858,15.006,14.653,171539.08,109487.05,76755.61,5.99
2017-12-06,15.53,16.57,16.36,15.42,214857.0,0.67,4.27,15.412,14.774,14.598,146665.7,102111.52,70820.45,8.26
2017-12-05,15.32,15.95,15.69,15.26,159007.22,0.16,1.03,15.0,14.527,14.528,112999.9,83425.86,62145.58,6.11
2017-12-04,15.7,16.19,15.53,15.31,223568.77,0.09,0.58,14.744,14.341,14.492,92772.99,70093.58,56286.38,8.59
2017-12-01,14.1,15.44,15.44,14.06,104488.51,1.4,9.97,14.458,14.182,14.453,58762.57,50383.36,46217.11,4.02
2017-11-30,14.22,14.36,14.04,13.91,31406.99,-0.26,-1.82,14.154,14.015,14.408,47435.02,46042.31,42388.7,1.21
2017-11-29,14.41,14.41,14.3,14.02,46528.01,-0.11,-0.76,14.136,14.084,14.445,57557.34,49311.05,42624.16,1.79
2017-11-28,14.01,14.42,14.41,14.01,57872.65,0.31,2.2,14.054,14.139,14.485,53851.81,49464.79,41504.41,2.22
2017-11-27,13.92,14.39,14.1,13.71,53516.71,0.18,1.29,13.938,14.158,14.522,47414.17,47008.57,39868.43,2.06
2017-11-24,13.65,14.14,13.92,13.5,47850.75,-0.03,-0.21,13.906,14.196,14.57,42004.15,45894.5,39931.93,1.84
