date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,13.31,13.47,13.23,13.15,958017.25,-0.07,-0.53,13.146,13.103,12.968,900506.29,766710.43,691325.15,3.0
2018-01-11,12.95,13.39,13.3,12.74,1326782.12,0.3,2.31,13.112,13.073,12.962,837881.29,759942.98,706072.91,4.16
2018-01-10,12.96,13.12,13.0,12.82,577215.12,0.0,0.0,13.062,12.995,12.973,698587.3,674050.76,676083.11,1.81
2018-01-09,13.21,13.28,13.0,12.94,616235.69,-0.2,-1.51,13.11,12.954,13.004,769439.06,657425.27,689917.87,1.93
2018-01-08,13.0,13.39,13.2,12.85,1024281.25,0.14,1.07,13.11,12.894,13.054,747867.56,672057.75,718190.96,3.21
2018-01-05,13.02,13.26,13.06,12.99,644892.25,0.01,0.08,13.06,12.864,13.08,632914.57,608320.04,712325.67,2.02
2018-01-04,13.15,13.18,13.05,12.94,630312.19,-0.19,-1.44,13.034,12.848,13.113,682004.68,605141.85,727475.33,1.98
2018-01-03,13.03,13.33,13.24,12.92,931473.94,0.24,1.85,12.928,12.831,13.169,649514.22,610159.78,756655.03,2.92
2018-01-02,13.01,13.13,13.0,12.86,508378.16,0.05,0.39,12.798,12.834,13.202,545411.47,597987.33,769143.06,1.59
2017-12-29,12.89,13.04,12.95,12.79,449516.31,0.02,0.15,12.678,12.824,13.257,596247.94,604886.07,804134.67,1.41
2017-12-28,12.49,13.03,12.93,12.44,890342.81,0.41,3.27,12.668,12.833,13.32,583725.5,615939.88,864298.32,2.79
2017-12-27,12.55,12.65,12.52,12.3,467859.88,-0.07,-0.56,12.662,12.85,13.354,528279.01,652202.84,881207.69,1.47
2017-12-26,12.4,12.63,12.59,12.38,410960.19,0.19,1.53,12.734,12.951,13.418,570805.34,678115.46,907443.8,1.29
2017-12-25,12.91,12.98,12.4,12.38,762560.5,-0.5,-3.88,12.87,13.053,13.478,650563.19,722410.46,936819.79,2.39
2017-12-22,12.86,13.06,12.9,12.82,386904.12,0.0,0.0,12.97,13.214,13.531,613524.21,764324.16,955839.48,1.21
2017-12-21,12.8,13.06,12.9,12.63,613110.38,0.02,0.15,12.998,13.295,13.562,648154.26,816331.31,974416.62,1.92
2017-12-20,13.15,13.19,12.88,12.82,680491.5,-0.39,-2.94,13.038,13.377,13.585,776126.66,849808.82,999615.18,2.13
2017-12-19,12.91,13.3,13.27,12.91,809749.44,0.37,2.87,13.168,13.507,13.638,785425.58,903150.28,1033997.93,2.54
2017-12-18,13.01,13.18,12.9,12.72,577365.62,-0.14,-1.07,13.236,13.57,13.656,794257.74,940298.79,1070035.0,1.81
2017-12-15,13.04,13.19,13.04,12.96,560054.38,-0.06,-0.46,13.458,13.689,13.648,915124.11,1003383.26,1076708.9,1.76
2017-12-14,13.57,13.58,13.1,12.96,1252972.38,-0.43,-3.18,13.592,13.807,13.639,984508.36,1112656.75,1094752.87,3.93
2017-12-13,13.61,13.8,13.53,13.4,726986.06,-0.08,-0.59,13.716,13.858,13.634,923490.97,1110212.55,1061146.32,2.28
2017-12-12,13.99,14.09,13.61,13.61,853910.25,-0.4,-2.85,13.846,13.885,13.611,1020874.99,1136772.14,1062684.17,2.68
2017-12-11,13.77,14.06,14.01,13.71,1181697.5,0.3,2.19,13.904,13.903,13.6,1086339.84,1151229.12,1058727.97,3.71
2017-12-08,13.7,14.03,13.71,13.62,906975.62,-0.01,-0.07,13.92,13.848,13.583,1091642.41,1147354.79,1047788.41,2.84
2017-12-07,14.05,14.24,13.72,13.71,947885.44,-0.46,-3.24,14.022,13.829,13.578,1240805.14,1132501.93,1054967.65,2.97
2017-12-06,13.83,14.21,14.18,13.62,1213906.12,0.28,2.01,14.0,13.793,13.559,1296934.13,1149421.54,1046727.12,3.81
2017-12-05,14.03,14.28,13.9,13.61,1181234.5,-0.19,-1.35,13.924,13.768,13.516,1252669.29,1164845.58,1056183.44,3.71
2017-12-04,14.04,14.35,14.09,13.95,1208210.38,-0.13,-0.91,13.902,13.741,13.461,1216118.4,1199771.21,1042386.85,3.79
2017-12-01,13.55,14.24,14.22,13.52,1652789.25,0.61,4.48,13.776,13.606,13.377,1203067.18,1150034.54,1008764.46,5.18
2017-11-30,13.68,14.16,13.61,13.58,1228530.38,-0.19,-1.38,13.636,13.47,13.283,1024198.71,1076848.98,958175.89,3.85
2017-11-29,13.72,13.88,13.8,13.39,992581.94,0.01,0.07,13.586,13.409,13.215,1001908.96,1012080.08,937590.79,3.11
2017-11-28,13.4,13.79,13.79,13.12,998480.06,0.33,2.45,13.612,13.336,13.13,1077021.87,988596.2,922368.92,3.13
2017-11-27,13.4,13.85,13.46,13.12,1142954.25,-0.06,-0.44,13.58,13.296,13.059,1183424.01,966226.82,904954.58,3.58
2017-11-24,13.42,13.75,13.52,13.21,758446.94,0.16,1.2,13.436,13.318,13.001,1097001.91,948222.03,910143.24,2.38
2017-11-23,13.8,14.11,13.36,13.28,1117081.62,-0.57,-4.09,13.304,13.326,12.991,1129499.25,977433.37,897722.21,3.5
2017-11-22,13.56,13.93,13.93,13.47,1368146.5,0.3,2.2,13.232,13.325,12.992,1022251.2,944032.7,875543.2,4.29
2017-11-21,12.76,13.75,13.63,12.71,1530490.75,0.89,6.99,13.06,13.263,12.966,900170.52,947521.3,825549.62,4.8
2017-11-20,12.73,12.78,12.74,12.22,710843.75,-0.12,-0.93,13.012,13.181,12.954,749029.64,885002.49,774731.04,2.23
2017-11-17,13.12,13.46,12.86,12.75,920933.62,-0.14,-1.08,13.2,13.147,12.976,799442.15,867494.37,754242.26,2.89
2017-11-16,13.02,13.36,13.0,12.96,580841.38,-0.07,-0.54,13.348,13.096,12.987,825367.5,839502.79,732755.78,1.82
2017-11-15,13.3,13.63,13.07,13.07,757743.12,-0.32,-2.39,13.418,13.021,12.98,865814.2,863101.49,740231.04,2.38
2017-11-14,13.6,13.68,13.39,13.3,774786.31,-0.29,-2.12,13.466,12.924,12.994,994872.08,856141.63,738534.97,2.43
2017-11-13,13.6,13.93,13.68,13.48,962906.31,0.08,0.59,13.35,12.821,12.991,1020975.34,843682.34,733462.25,3.02
2017-11-10,13.36,13.77,13.6,13.16,1050560.38,0.25,1.87,13.094,12.683,12.984,935546.6,872064.46,729586.72,3.3
2017-11-09,13.2,13.6,13.35,13.14,783074.88,0.04,0.3,12.844,12.655,13.006,853638.09,818011.05,707967.01,2.46
2017-11-08,12.75,13.65,13.31,12.67,1403032.5,0.5,3.9,12.624,12.659,13.032,860388.79,807053.71,699796.01,4.4
