date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,8.62,8.68,8.57,8.5,54217.69,-0.05,-0.58,8.438,8.344,8.265,50315.85,44632.69,86449.77,1.37
2018-01-11,8.36,8.64,8.62,8.32,73171.43,0.26,3.11,8.366,8.312,8.253,45478.84,43174.02,88000.79,1.85
2018-01-10,8.38,8.41,8.36,8.32,39337.52,0.0,0.0,8.276,8.279,8.23,41203.47,40334.62,87843.05,0.99
2018-01-09,8.28,8.37,8.36,8.22,33490.93,0.08,0.97,8.248,8.27,8.222,42388.85,41452.61,89884.31,0.85
2018-01-08,8.22,8.29,8.28,8.09,51361.67,0.07,0.85,8.242,8.259,8.204,43026.41,42634.16,91750.01,1.3
2018-01-05,8.25,8.27,8.21,8.14,30032.64,0.04,0.49,8.25,8.237,8.176,38949.53,44018.49,90416.34,0.76
2018-01-04,8.24,8.29,8.17,8.16,51794.6,-0.05,-0.61,8.258,8.222,8.153,40869.2,46217.56,91512.78,1.31
2018-01-03,8.32,8.41,8.22,8.2,45264.4,-0.11,-1.32,8.282,8.211,8.125,39465.77,49248.39,90641.63,1.14
2018-01-02,8.32,8.44,8.33,8.25,36678.76,0.01,0.12,8.292,8.195,8.105,40516.37,57940.99,90855.91,0.93
2017-12-29,8.25,8.33,8.32,8.12,30977.23,0.07,0.85,8.276,8.164,8.078,42241.9,85989.88,91552.25,0.78
2017-12-28,8.27,8.37,8.25,8.23,39631.0,-0.04,-0.48,8.224,8.185,8.046,49087.45,128266.86,93027.28,1.0
2017-12-27,8.24,8.35,8.29,8.16,44777.46,0.02,0.24,8.186,8.193,8.019,51565.92,132827.56,96632.45,1.13
2017-12-26,8.18,8.38,8.27,8.16,50517.4,0.02,0.24,8.14,8.181,8.003,59031.01,135351.47,99021.79,1.28
2017-12-25,8.08,8.25,8.25,8.03,45306.42,0.19,2.36,8.098,8.173,8.002,75365.61,138316.01,99668.23,1.14
2017-12-22,7.98,8.07,8.06,7.93,65204.95,0.0,0.0,8.052,8.148,7.999,129737.85,140865.86,104677.29,1.65
