date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,10.35,10.4,10.14,10.12,37236.63,-0.17,-1.65,10.26,10.264,10.245,36225.82,40491.62,38111.43,1.52
2018-01-11,10.15,10.34,10.31,10.05,51069.09,0.13,1.28,10.302,10.256,10.27,37806.32,39026.91,37640.11,2.08
2018-01-10,10.35,10.38,10.18,10.06,35637.5,-0.15,-1.45,10.298,10.233,10.287,36587.8,36075.15,37028.54,1.45
2018-01-09,10.39,10.39,10.33,10.22,22907.05,-0.01,-0.1,10.346,10.224,10.303,45795.67,34959.17,38074.26,0.93
2018-01-08,10.35,10.39,10.34,10.18,34278.85,-0.01,-0.1,10.302,10.188,10.33,47687.78,38128.29,39544.89,1.4
2018-01-05,10.3,10.44,10.35,10.22,45139.13,0.06,0.58,10.268,10.17,10.353,44757.41,37545.26,40516.43,1.84
2018-01-04,10.38,10.39,10.29,10.23,44976.47,-0.13,-1.25,10.21,10.161,10.37,40247.49,37469.01,39717.94,1.83
2018-01-03,10.08,10.49,10.42,10.08,81676.87,0.31,3.07,10.168,10.154,10.393,35562.49,37816.36,39465.48,3.33
2018-01-02,10.17,10.25,10.11,10.06,32367.6,-0.06,-0.59,10.102,10.162,10.397,24122.67,33809.35,37470.36,1.32
2017-12-29,10.08,10.21,10.17,10.06,19627.0,0.11,1.09,10.074,10.194,10.446,28568.8,33783.14,37570.6,0.8
2017-12-28,10.02,10.18,10.06,9.98,22589.5,-0.02,-0.2,10.072,10.226,10.51,30333.1,35731.24,39085.33,0.92
2017-12-27,10.15,10.22,10.08,10.06,21551.49,-0.01,-0.1,10.112,10.283,10.575,34690.53,36253.31,39104.08,0.88
2017-12-26,9.94,10.14,10.09,9.93,24477.74,0.12,1.2,10.14,10.34,10.642,40070.23,37981.93,39776.46,1.0
2017-12-25,10.16,10.22,9.97,9.74,54598.26,-0.19,-1.87,10.222,10.382,10.713,43496.03,41189.35,40704.42,2.23
2017-12-22,10.26,10.31,10.16,10.1,28448.5,-0.1,-0.97,10.314,10.471,10.791,38997.48,40961.48,39800.79,1.16
2017-12-21,10.22,10.38,10.26,10.0,44376.66,0.04,0.39,10.38,10.535,10.861,41129.39,43487.61,40241.24,1.84
2017-12-20,10.51,10.51,10.22,10.12,48450.0,-0.28,-2.67,10.454,10.578,10.919,37816.08,41966.88,40024.58,2.01
2017-12-19,10.44,10.56,10.5,10.39,41606.74,0.07,0.67,10.54,10.631,10.987,35893.62,41114.59,40137.86,1.73
2017-12-18,10.49,10.5,10.43,10.31,32105.5,-0.06,-0.57,10.542,10.631,11.033,38882.67,41131.37,39960.62,1.33
2017-12-15,10.6,10.6,10.49,10.31,39108.05,-0.14,-1.32,10.628,10.697,11.083,42925.48,41358.05,40289.39,1.62
2017-12-14,10.65,10.71,10.63,10.48,27810.12,-0.02,-0.19,10.69,10.794,11.124,45845.82,42439.42,42524.19,1.15
2017-12-13,10.42,10.69,10.65,10.42,38837.69,0.14,1.33,10.702,10.867,11.206,46117.67,41954.86,42998.86,1.61
2017-12-12,10.79,10.88,10.51,10.42,56552.0,-0.35,-3.22,10.722,10.944,11.3,46335.57,41570.99,43441.98,2.35
