date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,10.95,11.99,11.97,10.93,192917.52,1.06,9.72,11.068,11.016,11.489,84877.25,71352.82,97267.38,5.0
2018-01-11,10.83,10.96,10.91,10.76,76932.63,0.12,1.11,10.856,10.928,11.577,55158.23,56959.18,89988.54,1.99
2018-01-10,10.82,10.85,10.79,10.64,62250.09,-0.05,-0.46,10.86,10.972,11.732,51582.29,54178.42,94979.67,1.61
2018-01-09,10.8,10.89,10.84,10.75,46920.0,0.01,0.09,10.886,11.03,11.892,53992.76,52100.0,96236.11,1.22
2018-01-08,10.96,11.06,10.83,10.8,45366.0,-0.08,-0.73,10.91,11.086,12.028,53697.03,53510.08,98270.42,1.18
2018-01-05,11.01,11.01,10.91,10.83,44322.45,-0.02,-0.18,10.964,11.176,12.147,57828.4,56316.28,97894.34,1.15
2018-01-04,11.03,11.05,10.93,10.85,59052.89,0.01,0.09,11.0,11.25,12.264,58760.13,63465.21,100653.89,1.53
2018-01-03,10.98,10.98,10.92,10.75,74302.44,-0.04,-0.36,11.084,11.339,12.362,56774.55,71747.83,100127.63,1.93
2018-01-02,11.07,11.08,10.96,10.9,45441.37,-0.14,-1.26,11.174,11.46,12.477,50207.24,95997.12,98921.87,1.18
2017-12-29,11.1,11.19,11.1,10.85,66022.84,0.01,0.09,11.262,11.712,12.591,53323.13,125790.28,97859.17,1.71
2017-12-28,11.3,11.35,11.09,11.08,48981.1,-0.26,-2.29,11.388,11.962,12.697,54804.16,123181.94,96027.98,1.27
2017-12-27,11.41,11.58,11.35,11.21,49125.0,-0.02,-0.18,11.5,12.226,12.802,68170.28,123017.91,98757.5,1.27
2017-12-26,11.35,11.56,11.37,11.34,41465.88,-0.03,-0.26,11.594,12.491,12.892,86721.12,135780.91,98696.02,1.07
2017-12-25,11.68,11.69,11.4,11.14,61020.81,-0.33,-2.81,11.746,12.754,12.992,141787.0,140372.23,98881.07,1.58
2017-12-22,11.83,11.87,11.73,11.67,73428.03,0.08,0.69,12.162,12.97,13.087,198257.44,143030.76,98797.7,1.9
2017-12-21,11.74,11.9,11.65,11.45,115811.7,-0.17,-1.44,12.536,13.117,13.174,191559.71,139472.4,98686.47,3.0
2017-12-20,11.81,12.07,11.82,11.33,141879.17,-0.31,-2.56,12.952,13.277,13.246,177865.53,137842.57,94975.11,3.68
2017-12-19,13.18,13.39,12.13,12.13,316795.28,-1.35,-10.02,13.388,13.385,13.34,184840.71,128507.43,92988.84,8.21
