date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,13.76,13.76,13.51,13.49,98998.02,-0.29,-2.1,13.728,13.714,13.448,122497.97,125108.91,121466.31,1.67
2018-01-11,13.77,13.95,13.8,13.56,109237.46,-0.08,-0.58,13.752,13.658,13.397,130357.71,121735.63,119993.45,1.85
2018-01-10,13.55,13.91,13.88,13.51,126949.91,0.29,2.13,13.778,13.568,13.343,127569.11,122229.99,118366.06,2.14
2018-01-09,13.89,13.95,13.59,13.53,109212.56,-0.27,-1.95,13.798,13.492,13.273,135429.91,119620.37,117215.72,1.84
2018-01-08,13.9,13.95,13.86,13.48,168091.92,0.23,1.69,13.812,13.45,13.236,140801.73,117802.76,115679.56,2.84
2018-01-05,13.87,14.27,13.63,13.63,138296.7,-0.3,-2.15,13.7,13.421,13.191,127719.84,111517.6,112429.61,2.34
2018-01-04,14.0,14.07,13.93,13.84,95294.46,-0.05,-0.36,13.564,13.4,13.141,113113.54,111302.38,108563.72,1.61
2018-01-03,13.62,14.11,13.98,13.51,166253.92,0.32,2.34,13.358,13.339,13.077,116890.87,112399.11,109234.52,2.81
2018-01-02,13.44,13.73,13.66,13.27,136071.64,0.36,2.71,13.186,13.259,13.008,103810.83,115480.29,105841.95,2.3
2017-12-29,12.99,13.37,13.3,12.83,102682.5,0.35,2.7,13.088,13.225,12.939,94803.78,118350.89,102833.0,1.73
2017-12-28,12.91,13.06,12.95,12.87,65265.19,0.05,0.39,13.142,13.182,12.904,95315.35,117823.72,102901.3,1.1
2017-12-27,13.11,13.13,12.9,12.86,114181.1,-0.22,-1.68,13.236,13.136,12.876,109491.22,118251.27,106891.23,1.93
2017-12-26,13.34,13.47,13.12,13.08,100853.71,-0.05,-0.38,13.32,13.118,12.874,107907.35,114502.13,116912.58,1.7
2017-12-25,13.5,13.54,13.17,13.11,91036.41,-0.4,-2.95,13.332,13.053,12.889,127149.75,114811.08,122582.05,1.54
2017-12-22,13.51,13.68,13.57,13.35,105240.34,0.15,1.12,13.362,13.021,12.902,141898.0,113556.37,137424.6,1.78
2017-12-21,13.14,13.61,13.42,12.98,136144.56,0.1,0.75,13.222,12.961,12.907,140332.08,113341.63,149253.04,2.3
2017-12-20,13.3,13.59,13.32,13.22,106261.73,0.14,1.06,13.036,12.882,12.996,127011.32,105825.06,155240.54,1.8
2017-12-19,13.13,13.78,13.18,13.0,197065.69,-0.14,-1.05,12.916,12.814,13.119,121096.9,106069.92,163529.16,3.33
2017-12-11,13.01,13.5,13.32,13.01,164777.69,0.45,3.5,12.774,12.756,13.24,102472.41,96203.62,171926.82,2.78
2017-12-08,12.54,13.07,12.87,12.46,97410.74,0.38,3.04,12.68,12.652,13.361,85214.73,87315.1,177883.42,1.65
2017-12-07,12.68,12.76,12.49,12.41,69540.77,-0.23,-1.81,12.7,12.625,13.507,86351.18,87978.89,203384.52,1.17
2017-12-06,12.37,12.74,12.72,12.18,76689.61,0.25,2.0,12.728,12.616,13.652,84638.79,95531.19,225571.77,1.3
2017-12-05,12.82,12.95,12.47,12.23,103943.26,-0.38,-2.96,12.712,12.629,13.734,91042.94,119323.03,228158.94,1.76
