date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,18.89,19.6,18.92,18.87,242149.69,0.05,0.27,18.58,18.617,18.829,144278.54,125989.35,134482.3,5.24
2018-01-11,18.72,19.16,18.87,18.3,171355.8,0.24,1.29,18.508,18.54,18.89,118711.7,111980.28,131758.2,3.71
2018-01-10,18.26,18.77,18.63,18.06,90237.81,0.28,1.53,18.506,18.499,18.976,104986.96,104874.64,130654.36,1.95
2018-01-09,18.2,18.48,18.35,18.01,82391.98,0.22,1.21,18.598,18.475,19.074,119246.63,107459.35,134939.68,1.78
2018-01-08,18.45,18.49,18.13,17.86,135257.44,-0.43,-2.32,18.622,18.459,19.193,119270.17,112202.72,144697.02,2.93
2018-01-05,18.97,19.04,18.56,18.54,114315.47,-0.3,-1.59,18.654,18.462,19.318,107700.15,115748.75,152075.38,2.47
2018-01-04,18.91,19.07,18.86,18.65,102732.1,-0.23,-1.21,18.572,18.484,19.42,105248.87,129370.62,164451.64,2.22
2018-01-03,18.44,19.13,19.09,18.34,161536.17,0.62,3.36,18.492,18.596,19.48,104762.33,130460.06,170905.11,3.5
2018-01-02,18.34,18.55,18.47,18.11,82509.69,0.18,0.98,18.352,18.704,19.486,95672.07,128251.34,173668.3,1.79
2017-12-29,18.03,18.35,18.29,17.94,77407.34,0.14,0.77,18.296,18.856,19.564,105135.26,133427.57,180109.6,1.68
2017-12-28,18.4,18.74,18.15,18.07,102059.03,-0.31,-1.68,18.27,19.04,19.659,123797.35,142975.24,193205.01,2.21
2017-12-27,18.26,18.8,18.46,18.26,100299.42,0.07,0.38,18.396,19.239,19.733,153492.38,151536.11,196711.97,2.17
2017-12-26,18.2,18.65,18.39,18.08,116084.89,0.2,1.1,18.7,19.453,19.794,156157.79,156434.08,203369.26,2.51
2017-12-25,18.18,18.44,18.19,17.9,129825.62,0.03,0.17,19.056,19.673,19.885,160830.6,162420.0,211703.24,2.81
2017-12-22,18.8,18.9,18.16,18.15,170717.8,-0.62,-3.3,19.416,19.927,19.926,161719.88,177191.32,214869.62,3.69
2017-12-21,19.9,19.98,18.78,18.3,250534.16,-1.2,-6.01,19.81,20.173,20.007,162153.14,188402.01,224345.37,5.42
