date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,5.58,5.63,5.54,5.52,21037.78,-0.05,-0.89,5.54,5.555,5.474,22508.88,32926.11,24426.82,0.47
2018-01-11,5.46,5.61,5.59,5.45,29032.52,0.1,1.82,5.554,5.536,5.473,23987.27,32402.97,23942.01,0.66
2018-01-10,5.52,5.55,5.49,5.43,22236.0,-0.04,-0.72,5.56,5.505,5.47,30960.7,30855.01,23228.65,0.5
2018-01-09,5.56,5.58,5.53,5.51,15713.6,-0.02,-0.36,5.616,5.49,5.47,44738.1,30242.07,23045.94,0.35
2018-01-08,5.6,5.61,5.55,5.51,24524.52,-0.06,-1.07,5.598,5.465,5.473,45129.78,30596.84,23337.21,0.55
2018-01-05,5.58,5.64,5.61,5.54,28429.72,-0.01,-0.18,5.57,5.445,5.471,43343.34,29351.99,23131.78,0.64
2018-01-04,5.62,5.7,5.62,5.57,63899.65,-0.15,-2.6,5.518,5.423,5.461,40818.66,27905.98,22620.33,1.44
2018-01-03,5.44,5.82,5.77,5.4,91123.0,0.33,6.07,5.45,5.404,5.452,30749.33,23128.82,20573.43,2.06
2018-01-02,5.43,5.46,5.44,5.36,17672.02,0.03,0.56,5.364,5.379,5.43,15746.04,15657.26,17841.8,0.4
2017-12-29,5.3,5.42,5.41,5.3,15592.33,0.06,1.12,5.332,5.378,5.438,16063.89,15714.36,18155.77,0.35
2017-12-28,5.3,5.42,5.35,5.26,15806.3,0.07,1.33,5.32,5.393,5.455,15360.63,15927.53,18339.29,0.36
2017-12-27,5.35,5.38,5.28,5.28,13553.0,-0.06,-1.12,5.328,5.41,5.472,14993.31,15481.06,18795.68,0.31
2017-12-26,5.27,5.36,5.34,5.26,16106.54,0.06,1.14,5.358,5.435,5.49,15508.31,15602.28,19048.18,0.36
2017-12-25,5.35,5.39,5.28,5.26,19261.3,-0.07,-1.31,5.394,5.449,5.508,15568.48,15849.82,19204.62,0.43
2017-12-22,5.38,5.42,5.35,5.33,12076.0,-0.04,-0.74,5.424,5.48,5.525,15364.82,16077.58,19201.92,0.27
2017-12-21,5.45,5.45,5.39,5.31,13969.7,-0.04,-0.74,5.466,5.497,5.539,16494.44,16911.58,19405.57,0.32
2017-12-20,5.51,5.53,5.43,5.39,16128.0,-0.09,-1.63,5.492,5.498,5.549,15968.81,17334.68,20020.89,0.36
2017-12-19,5.48,5.52,5.52,5.45,16407.38,0.09,1.66,5.512,5.5,5.565,15696.25,18018.05,20368.54,0.37
2017-12-18,5.59,5.59,5.43,5.4,18243.0,-0.13,-2.34,5.504,5.48,5.574,16131.17,20026.34,21119.95,0.41
2017-12-15,5.52,5.59,5.56,5.4,17724.11,0.04,0.72,5.536,5.497,5.591,16790.34,20597.19,22241.26,0.4
2017-12-14,5.54,5.55,5.52,5.47,11341.54,-0.01,-0.18,5.528,5.516,5.605,17328.72,20751.04,23851.38,0.26
2017-12-13,5.48,5.53,5.53,5.43,14765.24,0.05,0.91,5.504,5.533,5.638,18700.56,22110.29,24100.22,0.33
2017-12-12,5.58,5.58,5.48,5.45,18581.95,-0.11,-1.97,5.488,5.544,5.671,20339.84,22494.09,24378.04,0.42
2017-12-11,5.53,5.67,5.59,5.52,21538.85,0.07,1.27,5.456,5.566,5.707,23921.51,22559.42,25635.15,0.49
2017-12-08,5.4,5.54,5.52,5.4,20416.04,0.12,2.22,5.458,5.569,5.74,24404.03,22326.27,26710.0,0.46
2017-12-07,5.44,5.5,5.4,5.39,18200.73,-0.05,-0.92,5.504,5.58,5.785,24173.36,21899.57,26725.95,0.41
2017-12-06,5.35,5.45,5.45,5.29,22961.64,0.13,2.44,5.562,5.6,5.839,25520.02,22707.1,27066.79,0.52
2017-12-05,5.58,5.66,5.32,5.2,36490.3,-0.28,-5.0,5.6,5.629,5.888,24648.33,22719.03,27247.23,0.82
2017-12-04,5.74,5.75,5.6,5.59,23951.46,-0.15,-2.61,5.676,5.668,5.941,21197.33,22213.56,26699.58,0.54
2017-12-01,5.69,5.76,5.75,5.66,19262.68,0.06,1.05,5.68,5.685,5.977,20248.5,23885.33,27004.52,0.43
2017-11-30,5.64,5.71,5.69,5.62,24934.04,0.05,0.89,5.656,5.694,6.005,19625.77,26951.71,27504.84,0.56
2017-11-29,5.7,5.71,5.64,5.58,18603.16,-0.06,-1.05,5.638,5.743,6.039,19894.17,26090.15,28464.16,0.42
2017-11-28,5.65,5.73,5.7,5.62,19235.29,0.08,1.42,5.658,5.797,6.086,20789.74,26261.99,28951.09,0.43
2017-11-27,5.66,5.73,5.62,5.6,19207.34,-0.01,-0.18,5.66,5.847,6.131,23229.79,28710.88,29281.93,0.43
2017-11-24,5.56,5.65,5.63,5.54,16149.01,0.03,0.54,5.69,5.911,6.178,27522.16,31093.74,31559.91,0.36
2017-11-23,5.71,5.75,5.6,5.6,26276.06,-0.14,-2.44,5.732,5.989,6.245,34277.65,31552.34,34551.61,0.59
2017-11-22,5.71,5.77,5.74,5.65,23081.0,0.03,0.53,5.848,6.077,6.328,32286.13,31426.49,37174.54,0.52
2017-11-21,5.77,5.83,5.71,5.68,31435.52,-0.06,-1.04,5.936,6.147,6.393,31734.23,31775.42,36877.69,0.71
2017-11-20,5.85,5.9,5.77,5.69,40669.23,-0.07,-1.2,6.034,6.213,6.462,34191.97,31185.6,36113.88,0.92
