date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,10.62,10.72,10.71,10.57,27185.93,0.09,0.85,10.598,10.588,10.642,23322.19,18926.75,16668.81,0.86
2018-01-11,10.45,10.65,10.62,10.42,25571.38,0.18,1.72,10.582,10.556,10.664,20766.29,17541.98,16294.36,0.81
2018-01-10,10.59,10.63,10.44,10.39,20624.73,-0.15,-1.42,10.582,10.537,10.688,18665.33,16359.18,16191.6,0.65
2018-01-09,10.59,10.68,10.59,10.5,20540.8,-0.04,-0.38,10.622,10.549,10.711,18732.93,15343.13,16155.16,0.65
2018-01-08,10.63,10.74,10.63,10.58,22688.11,0.0,0.0,10.612,10.544,10.734,17261.16,15000.55,16398.05,0.72
2018-01-05,10.62,10.66,10.63,10.59,14406.42,0.01,0.09,10.578,10.547,10.748,14531.31,13724.24,16369.55,0.45
2018-01-04,10.57,10.68,10.62,10.57,15066.58,-0.02,-0.19,10.53,10.555,10.758,14317.68,13598.52,16746.35,0.48
2018-01-03,10.55,10.7,10.64,10.48,20962.73,0.1,0.95,10.492,10.563,10.769,14053.04,13412.34,17147.48,0.66
2018-01-02,10.46,10.56,10.54,10.43,13181.94,0.08,0.77,10.476,10.591,10.771,11953.33,12527.72,18458.79,0.42
2017-12-29,10.41,10.5,10.46,10.41,9038.88,0.07,0.67,10.476,10.624,10.804,12739.94,13401.89,19330.05,0.29
2017-12-28,10.43,10.51,10.39,10.39,13338.27,-0.04,-0.38,10.516,10.695,10.845,12917.17,14410.87,20283.27,0.42
2017-12-27,10.68,10.68,10.43,10.39,13743.36,-0.13,-1.23,10.58,10.772,10.884,12879.35,15046.74,21299.5,0.43
2017-12-26,10.54,10.57,10.56,10.39,10464.2,0.02,0.19,10.634,10.839,10.926,12771.65,16024.02,22178.8,0.33
2017-12-25,10.65,10.67,10.54,10.38,17115.0,-0.12,-1.13,10.706,10.873,10.97,13102.12,16967.19,23995.78,0.54
2017-12-22,10.71,10.77,10.66,10.63,9925.0,-0.05,-0.47,10.772,10.923,11.001,14063.84,17795.56,25124.83,0.31
2017-12-21,10.66,10.77,10.71,10.6,13149.21,0.01,0.09,10.874,10.948,11.046,15904.58,19014.86,26424.09,0.42
2017-12-20,10.91,10.92,10.7,10.68,13204.85,-0.22,-2.02,10.964,10.96,11.091,17214.12,19894.19,29444.02,0.42
2017-12-19,10.8,10.98,10.92,10.8,12116.52,0.05,0.46,11.044,10.974,11.135,19276.39,20882.61,31215.83,0.39
2017-12-18,11.08,11.1,10.87,10.85,21923.61,-0.3,-2.69,11.04,10.951,11.151,20832.27,24389.86,31648.53,0.7
2017-12-15,11.11,11.22,11.17,11.08,19128.72,0.01,0.09,11.074,10.983,11.168,21527.27,25258.21,31781.17,0.61
2017-12-14,11.19,11.19,11.16,11.05,19696.9,0.06,0.54,11.022,10.994,11.162,22125.13,26155.66,32694.41,0.63
2017-12-13,10.9,11.15,11.1,10.85,23516.2,0.2,1.83,10.956,10.996,11.171,22574.26,27552.25,33125.38,0.75
2017-12-12,11.09,11.16,10.9,10.9,19895.92,-0.14,-1.27,10.904,11.012,11.186,22488.83,28333.58,33514.01,0.63
2017-12-11,10.99,11.08,11.04,10.9,25398.62,0.13,1.19,10.862,11.067,11.218,27947.46,31024.36,34042.5,0.81
2017-12-08,10.8,10.98,10.91,10.8,22118.0,0.08,0.74,10.892,11.079,11.251,28989.16,32454.1,34313.52,0.7
2017-12-07,10.81,10.98,10.83,10.75,21942.57,-0.01,-0.09,10.966,11.144,11.281,30186.18,33833.32,34316.29,0.7
2017-12-06,10.68,10.86,10.84,10.61,23089.02,0.15,1.4,11.036,11.221,11.318,32530.24,38993.85,34488.01,0.74
2017-12-05,11.17,11.17,10.69,10.58,47189.08,-0.5,-4.47,11.12,11.296,11.349,34178.34,41549.04,34660.55,1.5
2017-12-04,11.26,11.45,11.19,11.19,30607.11,-0.09,-0.8,11.272,11.351,11.38,34101.27,38907.19,33733.32,0.97
2017-12-01,11.16,11.35,11.28,11.1,28103.14,0.1,0.89,11.266,11.353,11.385,35919.05,38304.13,33283.88,0.89
2017-11-30,11.28,11.34,11.18,11.06,33662.87,-0.08,-0.71,11.322,11.329,11.374,37480.46,39233.17,32901.5,1.07
2017-11-29,11.47,11.47,11.26,11.16,31329.51,-0.19,-1.66,11.406,11.346,11.367,45457.45,38698.51,32534.11,1.0
2017-11-28,11.18,11.54,11.45,11.15,46803.71,0.29,2.6,11.472,11.359,11.369,48919.75,38694.43,31856.97,1.49
2017-11-27,11.57,11.87,11.16,11.09,39696.01,-0.4,-3.46,11.43,11.369,11.362,43713.12,37060.64,30634.06,1.26
2017-11-24,11.5,11.76,11.56,11.45,35910.2,-0.04,-0.34,11.44,11.423,11.369,40689.22,36172.94,30561.27,1.14
2017-11-23,11.53,11.86,11.6,11.37,73547.81,0.01,0.09,11.336,11.418,11.381,40985.89,34799.26,29795.06,2.34
2017-11-22,11.24,11.67,11.59,11.22,48641.0,0.35,3.11,11.286,11.414,11.399,31939.58,29982.18,27408.48,1.55
2017-11-21,11.15,11.34,11.24,11.12,20770.57,0.03,0.27,11.246,11.402,11.412,28469.11,27772.05,25991.36,0.66
2017-11-20,11.11,11.28,11.21,10.78,24576.52,0.17,1.54,11.308,11.409,11.44,30408.16,28559.45,26476.04,0.78
2017-11-17,11.42,11.42,11.04,11.0,37393.53,-0.31,-2.73,11.406,11.416,11.48,31656.65,28263.62,26572.32,1.19
2017-11-16,11.4,11.51,11.35,11.25,28316.26,-0.04,-0.35,11.5,11.419,11.524,28612.63,26569.84,25999.46,0.9
2017-11-15,11.55,11.68,11.39,11.33,31288.65,-0.16,-1.39,11.542,11.388,11.544,28024.78,26369.71,26295.14,1.0
2017-11-14,11.75,11.78,11.55,11.52,30465.82,-0.15,-1.28,11.558,11.378,11.569,27074.99,25019.52,26510.86,0.97
2017-11-13,11.5,11.75,11.7,11.48,30819.0,0.19,1.65,11.51,11.355,11.597,26710.74,24207.49,26939.02,0.98
2017-11-10,11.61,11.61,11.51,11.44,22173.41,-0.05,-0.43,11.426,11.314,11.623,24870.59,24949.6,29567.93,0.71
2017-11-09,11.5,11.64,11.56,11.47,25377.0,0.09,0.79,11.338,11.344,11.661,24527.04,24790.86,31266.72,0.81
2017-11-08,11.25,11.53,11.47,11.25,26539.7,0.16,1.42,11.234,11.384,11.705,24714.65,24834.78,35398.53,0.85
2017-11-07,11.28,11.48,11.31,11.15,28644.6,0.03,0.27,11.198,11.422,11.769,22964.06,24210.68,41807.46,0.91
2017-11-06,11.15,11.34,11.28,11.08,21618.23,0.21,1.9,11.2,11.47,11.831,21704.24,24392.64,48674.42,0.69
2017-11-03,11.03,11.19,11.07,11.0,20455.68,0.03,0.27,11.202,11.543,11.907,25028.62,24881.03,50398.0,0.65
2017-11-02,11.25,11.28,11.04,11.02,26315.03,-0.25,-2.21,11.35,11.629,11.936,25054.69,25429.08,50601.58,0.84
2017-11-01,11.32,11.4,11.29,11.26,17786.74,-0.03,-0.27,11.534,11.699,11.974,24954.9,26220.57,51048.97,0.57
2017-10-31,11.3,11.43,11.32,11.11,22345.5,0.03,0.27,11.646,11.759,11.998,25457.3,28002.19,51540.79,0.71
2017-10-30,11.81,11.9,11.29,11.29,38240.13,-0.52,-4.4,11.74,11.838,12.018,27081.04,29670.56,51987.95,1.22
2017-10-27,11.91,11.99,11.81,11.8,20586.03,-0.15,-1.25,11.884,11.932,12.038,24733.44,34186.26,51704.3,0.66
2017-10-26,11.89,11.98,11.96,11.77,25816.12,0.11,0.93,11.908,11.977,12.024,25803.48,37742.58,51551.07,0.82
2017-10-25,11.72,11.85,11.85,11.71,20298.72,0.06,0.51,11.864,12.026,12.001,27486.23,45962.29,51220.73,0.65
2017-10-24,12.08,12.09,11.79,11.71,30464.2,-0.22,-1.83,11.872,12.116,11.977,30547.08,59404.24,51524.36,0.97
